date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
08/01/2010,"74 Oak Road, Donnycarney, Dublin 9",Dublin,310000.0,No,Donnycarney,Dublin 9,q3,80%
12/01/2010,"25 Belton Park Road, Donnycarney",Dublin,222500.0,No,Donnycarney,Dublin 9,q2,40%
04/02/2010,"10 Belton Park Gardens, Donnycarney",Dublin,315000.0,No,Donnycarney,Dublin 9,q3,80%
19/02/2010,"109 Clanranald Road, Donnycarney, Dublin 5",Dublin,250000.0,No,Donnycarney,Dublin 9,q2,50%
23/03/2010,"75 Collins Avenue West, Donnycarney",Dublin,291000.0,No,Donnycarney,Dublin 9,q3,70%
25/03/2010,"24  Clanree Road, Donnycarney",Dublin,182000.0,No,Donnycarney,Dublin 9,q1,20%
30/03/2010,"39 Clanmahon Road, Donnycarney, Dublin 5",Dublin,196750.0,No,Donnycarney,Dublin 9,q2,30%
13/04/2010,"21 Clanhugh Road, Donnycarney, Dublin",Dublin,195000.0,No,Donnycarney,Dublin 9,q2,30%
26/04/2010,"32 Clanmaurice Road, Donnycarney, Dublin",Dublin,180000.0,No,Donnycarney,Dublin 9,q1,20%
05/05/2010,"28 Clanboy Road, Donnycarney, Dublin 5",Dublin,287000.0,No,Donnycarney,Dublin 9,q3,60%
22/06/2010,"16 Belton Park Avenue, Donnycarney, Dublin",Dublin,312000.0,No,Donnycarney,Dublin 9,q3,80%
15/07/2010,"40 Clanree Road, Donnycarney",Dublin,187000.0,No,Donnycarney,Dublin 9,q1,30%
05/08/2010,"11 Clanree Road, Donnycarney, Dublin 5",Dublin,273000.0,No,Donnycarney,Dublin 9,q3,60%
12/08/2010,"76A Elm Road, Donnycarney",Dublin,176116.0,Yes,Donnycarney,Dublin 9,q1,20%
02/09/2010,"23  Clanree Road, Donnycarney",Dublin,330000.0,No,Donnycarney,Dublin 9,q4,80%
03/11/2010,"26 Clanboy Road, Donnycarney",Dublin,265000.0,No,Donnycarney,Dublin 9,q2,50%
25/01/2011,"130 Collins Avenue East, Donnycarney",Dublin,210000.0,No,Donnycarney,Dublin 9,q2,40%
11/02/2011,"3 Belton Park Road, Donnycarney, Dublin 9",Dublin,300000.0,No,Donnycarney,Dublin 9,q3,70%
15/04/2011,"24 Clanmaurice Road, Donnycarney",Dublin,170000.0,No,Donnycarney,Dublin 9,q1,20%
27/05/2011,"1 Clanmahon Road, Donnycarney, Dublin 5",Dublin,240000.0,No,Donnycarney,Dublin 9,q2,40%
18/08/2011,"19 Holly Road, Donnycarney, Dublin",Dublin,140000.0,No,Donnycarney,Dublin 9,q1,10%
18/08/2011,"32 Clandonagh Road, Donnycarney",Dublin,200000.0,No,Donnycarney,Dublin 9,q2,30%
27/09/2011,"19 Oak Road, Donnycarney",Dublin,120000.0,No,Donnycarney,Dublin 9,q1,10%
12/10/2011,"47 Clandonagh Road, Donnycarney",Dublin,198000.0,No,Donnycarney,Dublin 9,q2,30%
25/10/2011,"49 Clanranald Road, Donnycarney",Dublin,142000.0,No,Donnycarney,Dublin 9,q1,10%
27/10/2011,"42 Clancarty Road, Donnycarney",Dublin,135000.0,No,Donnycarney,Dublin 9,q1,10%
04/11/2011,"40 Belton Park Road, Donnycarney, Dublin 9",Dublin,202000.0,No,Donnycarney,Dublin 9,q2,30%
11/11/2011,"89 Clanmaurice Road, Donnycarney, Dublin 5",Dublin,145000.0,No,Donnycarney,Dublin 9,q1,10%
23/11/2011,"13 Elm Road, Donnycarney",Dublin,115000.0,No,Donnycarney,Dublin 9,q1,10%
23/11/2011,"7 Elm Road, Donnycarney, Dublin 9",Dublin,150000.0,No,Donnycarney,Dublin 9,q1,10%
25/11/2011,"5 Clanmaurice Road, Donnycarney",Dublin,135000.0,No,Donnycarney,Dublin 9,q1,10%
13/12/2011,"222 Collins Avenue East, Donnycarney",Dublin,140000.0,No,Donnycarney,Dublin 9,q1,10%
