date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
14/04/2011,"83 Derrynane Square, Dorset Street",Dublin,172500.0,No,Dorset St,Dublin 1,q2,30%
05/09/2011,"82B, Dorset Street, Dublin",Dublin,875000.0,No,Dorset St,Dublin 1,q4,100%
16/11/2011,"Apartment 26, Derrynane Square, Dorset Street",Dublin,105000.0,No,Dorset St,Dublin 1,q1,10%
26/06/2012,"8 Sherrard Avenue, Dorset Street",Dublin,88000.0,No,Dorset St,Dublin 1,q1,10%
10/01/2013,"23/24 Lower Dorset Street, Dublin",Dublin,680000.0,No,Dorset St,Dublin 1,q4,100%
17/06/2013,"8 Portland Place, Off Lower Dorset Street, Dublin 1",Dublin,115000.0,No,Dorset St,Dublin 1,q1,20%
23/07/2013,"5 Portland Place, Dorset Street",Dublin,200000.0,No,Dorset St,Dublin 1,q2,50%
03/10/2013,"52 Upper Dorset Street, Dorset Street, Dublin 1",Dublin,146250.0,No,Dorset St,Dublin 1,q1,20%
27/11/2013,"119 Dorset Street, Dublin 1",Dublin,56250.0,No,Dorset St,Dublin 1,q1,10%
11/12/2013,"54A Dorset St Lower, Dublin 1, Dublin",Dublin,75000.0,No,Dorset St,Dublin 1,q1,10%
11/12/2013,"61 Derrynane Sq, Dorset St, Dublin 1",Dublin,90000.0,No,Dorset St,Dublin 1,q1,10%
20/01/2014,"Apt 1, 21-22 Lower Dorset Street, Dublin 1",Dublin,137000.0,No,Dorset St,Dublin 1,q1,20%
19/02/2014,"39 St Josephs Place, Dorset St, Dublin 7",Dublin,180000.0,No,Dorset St,Dublin 1,q2,40%
03/03/2014,"102 Dorset St Upper, Dublin 1",Dublin,475000.0,No,Dorset St,Dublin 1,q4,100%
16/04/2014,"67 Derrynane Square, Dorset Street, Dublin 1",Dublin,230000.0,No,Dorset St,Dublin 1,q3,60%
04/06/2014,"Apt 53 Derrynane Square, Off Lower Dorset Street",Dublin,195000.0,No,Dorset St,Dublin 1,q2,40%
05/06/2014,"41 Dorset St Upper, Dorset St, Dublin 1",Dublin,250000.0,No,Dorset St,Dublin 1,q3,60%
10/06/2014,"60 Derrynane Sq, Lower Dorset Street, Dublin 1",Dublin,170000.0,No,Dorset St,Dublin 1,q2,30%
15/07/2014,"Apartment 76 Derrynane Square, Dorset Street",Dublin,167100.0,No,Dorset St,Dublin 1,q1,30%
30/07/2014,"7, Williams Place Upper, Dorset Street Lower Dublin 1",Dublin,98000.0,No,Dorset St,Dublin 1,q1,10%
07/08/2014,"43 Upper Dorset Street, Dublin 1",Dublin,150000.0,No,Dorset St,Dublin 1,q1,20%
31/10/2014,"65, Upper Dorset Street",Dublin,150000.0,No,Dorset St,Dublin 1,q1,30%
11/11/2014,"Flat 1, 16 Dorset Street, Dublin 1",Dublin,90000.0,No,Dorset St,Dublin 1,q1,10%
11/11/2014,"Flat 2, 16 Dorset Street, Dublin 1",Dublin,90000.0,No,Dorset St,Dublin 1,q1,10%
16/12/2014,"61 Derrynane Sq, Dorset St, Dublin 1",Dublin,90000.0,No,Dorset St,Dublin 1,q1,10%
22/12/2014,"1 Derrynane Square, Dorset Street",Dublin,128239.0,No,Dorset St,Dublin 1,q1,20%
26/01/2015,"Apartment 72, Derrynane Square, Dorset Street",Dublin,215000.0,No,Dorset St,Dublin 1,q2,50%
02/02/2015,"Apt 4, 21-22 Lower Dorset St, Dublin 1",Dublin,195000.0,No,Dorset St,Dublin 1,q2,40%
03/02/2015,"Apt 7, 39-40 Upper Dorset St, Dublin",Dublin,173000.0,Yes,Dorset St,Dublin 1,q2,40%
10/02/2015,"85 Derrynane Sq, Dorset St, Dublin 1",Dublin,187000.0,No,Dorset St,Dublin 1,q2,40%
12/02/2015,"Apt 5, 21 22 Dorset St, Dublin 1",Dublin,195000.0,No,Dorset St,Dublin 1,q2,40%
20/02/2015,"28 Derrynane Sq, Lower Dorset St, Dublin 7",Dublin,125000.0,No,Dorset St,Dublin 1,q1,20%
27/03/2015,"22 Derrynane Sq, Upper Dorset St, Dublin 1",Dublin,162500.0,No,Dorset St,Dublin 1,q1,30%
10/04/2015,"70 And 70A, Upper Dorset St, Dublin 1",Dublin,160000.0,No,Dorset St,Dublin 1,q1,30%
30/04/2015,"Apartment 102  2Nd Floor, Block F  Derrynane Square, Dorset Street",Dublin,175000.0,Yes,Dorset St,Dublin 1,q2,40%
06/05/2015,"46 St Joesphs Place, Dorset St, Dublin 7",Dublin,215000.0,No,Dorset St,Dublin 1,q2,50%
28/05/2015,"Apt 1, 77 Upper Dorset St, Dublin 1",Dublin,170000.0,No,Dorset St,Dublin 1,q2,30%
08/06/2015,"84 Innisfallen Parade, Dorset St, Dublin 3",Dublin,255000.0,No,Dorset St,Dublin 1,q3,70%
26/06/2015,"Apt 1, Portland Lock, Dorset St Dublin 1",Dublin,170000.0,No,Dorset St,Dublin 1,q2,30%
22/07/2015,"92 Dorset St Upper, Dublin 1, Dublin",Dublin,238000.0,No,Dorset St,Dublin 1,q3,60%
07/09/2015,"10 St Ignatius Rd, Dorset St, Dublin 7",Dublin,325000.0,No,Dorset St,Dublin 1,q4,90%
24/09/2015,"Apartment 8, 39-40 Dorset Street, Dublin 1",Dublin,136010.0,Yes,Dorset St,Dublin 1,q1,20%
09/10/2015,"Apt 4, 39 Lower Dorset St, Dublin",Dublin,137638.77,Yes,Dorset St,Dublin 1,q1,20%
14/10/2015,"57 Derrynane Square, Dorset Street, Dublin 1",Dublin,183000.0,No,Dorset St,Dublin 1,q2,40%
24/11/2015,"13 Sherrard Ave, Dorset St Lower, Dublin 1",Dublin,150000.0,No,Dorset St,Dublin 1,q1,30%
10/12/2015,"24 Derrynane Sq, Dorset St, Dublin 7",Dublin,230000.0,No,Dorset St,Dublin 1,q3,60%
10/12/2015,"40 Derrynane Sq, Dorset St, Dublin 7",Dublin,215000.0,No,Dorset St,Dublin 1,q2,50%
22/01/2016,"Apartment 10, Lower Dorset Street, Dublin",Dublin,123700.0,No,Dorset St,Dublin 1,q1,20%
25/01/2016,"Apartment 5, Lower Dorset Street, Dublin",Dublin,196000.0,Yes,Dorset St,Dublin 1,q2,50%
29/01/2016,"78 Lower Dorset St, Dublin 1",Dublin,305000.0,No,Dorset St,Dublin 1,q4,90%
18/02/2016,"19 St. Joseph'S Place, Off Dorset Street, Dublin 7",Dublin,212000.0,No,Dorset St,Dublin 1,q2,50%
22/02/2016,"Apt 18 Derrynane Sq, Dorset St, Dublin",Dublin,170000.0,No,Dorset St,Dublin 1,q2,30%
22/02/2016,"Apt 3, Derrynane Sq, Dorset St Dublin 4",Dublin,230000.0,No,Dorset St,Dublin 1,q3,60%
08/03/2016,"17 Wellington St Lower, Off Dorset St, Dublin 7",Dublin,240000.0,No,Dorset St,Dublin 1,q3,60%
21/03/2016,"Apt 1-4, 50 Dorset St Upper, Dublin",Dublin,242000.0,No,Dorset St,Dublin 1,q3,60%
29/04/2016,"Apt 2 Block A, Derrynane Sq, Lower Dorset St Dublin 1",Dublin,195000.0,No,Dorset St,Dublin 1,q2,50%
19/08/2016,"96 Lower Dorset Street, Dublin 1",Dublin,340000.0,No,Dorset St,Dublin 1,q4,90%
27/10/2016,"63 Derrynane Sq, Dorset St Lower, Dublin",Dublin,340000.0,No,Dorset St,Dublin 1,q4,90%
01/12/2016,"93 Dorset St Lower, Dublin 1, Dublin",Dublin,325000.0,No,Dorset St,Dublin 1,q4,90%
06/12/2016,"Apartment 2, 121  Dorset Street Upper, Dublin 1",Dublin,100000.0,No,Dorset St,Dublin 1,q1,10%
08/12/2016,"Apt 38, Derrynane Sq, Lower Dorset St Dublin 7",Dublin,175000.0,No,Dorset St,Dublin 1,q2,40%
10/03/2017,"Apt 2  Second Floor, 51 Upper Dorset Street, Dublin 1",Dublin,138000.0,No,Dorset St,Dublin 1,q1,20%
13/03/2017,"106 Derrynane Sq, Dorset St, Dublin 1",Dublin,240000.0,No,Dorset St,Dublin 1,q3,60%
15/03/2017,"Apt1 82B Lower Dorset Street, Dublin 1",Dublin,95000.0,No,Dorset St,Dublin 1,q1,10%
09/05/2017,"56 Derrynane Sq, Dorset St, Dublin 1",Dublin,260000.0,No,Dorset St,Dublin 1,q3,70%
11/05/2017,"58 Derrynane Sq, Dorset St, Dublin 1",Dublin,260000.0,No,Dorset St,Dublin 1,q3,70%
03/07/2017,"Apt 86, Derrynane Sq, Dorset St Dublin 7",Dublin,274950.0,No,Dorset St,Dublin 1,q3,70%
31/07/2017,"76 Derrynane Square, Dorset St, Dublin 7",Dublin,278000.0,No,Dorset St,Dublin 1,q3,70%
04/08/2017,"Apt 1 - 7, 96 Dorset St, Dublin 1",Dublin,587100.0,No,Dorset St,Dublin 1,q4,100%
