date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
05/01/2010,"87 Mangerton Raod, Drimnagh",Dublin,182556.12,No,Drimnagh,Dublin 12,q2,40%
07/01/2010,"24 Drimnagh Road, Drimnagh, Dublin 12",Dublin,140000.0,No,Drimnagh,Dublin 12,q1,20%
15/01/2010,"199 Cooley Road, Drimnagh, Dublin 12",Dublin,270000.0,No,Drimnagh,Dublin 12,q3,80%
29/01/2010,"57 Galtymore Drive, Drimnagh",Dublin,207818.03,No,Drimnagh,Dublin 12,q2,50%
26/02/2010,"117 Benmadigan Road, Drimnagh",Dublin,215000.0,No,Drimnagh,Dublin 12,q2,50%
03/03/2010,"159 Benmadigan Road, Drimnagh, Dublin 12",Dublin,175000.0,No,Drimnagh,Dublin 12,q2,40%
15/03/2010,"21 Galtymore Close, Drimnagh",Dublin,256000.0,No,Drimnagh,Dublin 12,q3,70%
29/03/2010,"40 Errigal Road, Drimnagh, Dublin 12",Dublin,255000.0,No,Drimnagh,Dublin 12,q3,70%
31/03/2010,"110 Benmadigan Road, Drimnagh",Dublin,110000.0,No,Drimnagh,Dublin 12,q1,10%
01/04/2010,"140 Galtymore Road, Drimnagh, Dublin",Dublin,180000.0,No,Drimnagh,Dublin 12,q2,40%
19/04/2010,"51 Donard Rod, Drimnagh",Dublin,215000.0,No,Drimnagh,Dublin 12,q2,50%
22/04/2010,"77 Drimnagh Road, Drimnagh",Dublin,270000.0,No,Drimnagh,Dublin 12,q3,80%
26/04/2010,"99 Benmadigan Road, Drimnagh, Dublin 12",Dublin,230000.0,No,Drimnagh,Dublin 12,q3,60%
29/04/2010,"25 Rafters Road, Drimnagh",Dublin,180000.0,No,Drimnagh,Dublin 12,q2,40%
30/04/2010,"119 Carrow Road, Drimnagh",Dublin,160000.0,No,Drimnagh,Dublin 12,q1,30%
30/04/2010,"32 Slievebloom Park, Drimnagh",Dublin,290000.0,No,Drimnagh,Dublin 12,q4,90%
04/05/2010,"28 Cooley Road, Drimnagh",Dublin,173000.0,No,Drimnagh,Dublin 12,q2,30%
11/05/2010,"53 Lisadell Avenue, Drimnagh",Dublin,166000.0,No,Drimnagh,Dublin 12,q2,30%
19/05/2010,"165 Comeragh Road, Drimnagh",Dublin,230000.0,No,Drimnagh,Dublin 12,q3,60%
21/05/2010,"211 Brandon Road, Drimnagh",Dublin,225000.0,No,Drimnagh,Dublin 12,q3,60%
21/05/2010,"297 Mourne Road, Drimnagh",Dublin,260000.0,No,Drimnagh,Dublin 12,q3,70%
25/05/2010,"131 Kilworth Road, Drimnagh",Dublin,270000.0,No,Drimnagh,Dublin 12,q3,80%
26/05/2010,"73 Cooley Road, Drimnagh",Dublin,170000.0,No,Drimnagh,Dublin 12,q2,30%
27/05/2010,"30 Galtymore Close, Drimnagh",Dublin,217476.11,No,Drimnagh,Dublin 12,q2,50%
27/05/2010,"70 Galtymore Drive, Drimnagh, Dublin 12",Dublin,162500.0,No,Drimnagh,Dublin 12,q2,30%
28/05/2010,"224 Galtymore Road, Drimnagh",Dublin,180000.0,No,Drimnagh,Dublin 12,q2,40%
02/06/2010,"440 Mourne Road, Drimnagh",Dublin,125000.0,No,Drimnagh,Dublin 12,q1,20%
09/06/2010,"13  Sperrin Road, Drimnagh",Dublin,239000.0,No,Drimnagh,Dublin 12,q3,60%
16/06/2010,"23 Keeper Road, Drimnagh, Dublin 12",Dublin,165000.0,No,Drimnagh,Dublin 12,q2,30%
21/06/2010,"115 Sperrin Road, Drimnagh, Dublin 12",Dublin,210000.0,No,Drimnagh,Dublin 12,q2,50%
24/06/2010,"150 Mangerton Road, Drimnagh, Dublin 12",Dublin,200000.0,No,Drimnagh,Dublin 12,q2,50%
09/07/2010,"49 Errigal Road, Drimnagh",Dublin,246500.0,No,Drimnagh,Dublin 12,q3,70%
09/07/2010,"74 Brandon Road, Drimnagh, Dublin 12",Dublin,205000.0,No,Drimnagh,Dublin 12,q2,50%
12/07/2010,"50 Lissadel Drive, Drimnagh, Dublin 12",Dublin,170000.0,No,Drimnagh,Dublin 12,q2,30%
16/07/2010,"338 Galtymore Road, Drimnagh",Dublin,175000.0,No,Drimnagh,Dublin 12,q2,40%
23/07/2010,"64 Brandon Road, Drimnagh",Dublin,255000.0,No,Drimnagh,Dublin 12,q3,70%
29/07/2010,"51 Rafters Road, Drimnagh",Dublin,140000.0,No,Drimnagh,Dublin 12,q1,20%
30/07/2010,"64 Galtymore Park, Drimnagh",Dublin,267500.0,No,Drimnagh,Dublin 12,q3,80%
09/08/2010,"44 Curlew Road, Drimnagh",Dublin,185000.0,No,Drimnagh,Dublin 12,q2,40%
20/08/2010,"117 Comeragh Road, Drimnagh",Dublin,197500.0,No,Drimnagh,Dublin 12,q2,50%
20/08/2010,"61 Mangerton Road, Drimnagh",Dublin,188500.0,No,Drimnagh,Dublin 12,q2,40%
03/09/2010,"298 Mourne Road, Drimnagh",Dublin,125000.0,No,Drimnagh,Dublin 12,q1,20%
06/09/2010,"285 Mourne Road, Drimnagh, Dublin 12",Dublin,260000.0,No,Drimnagh,Dublin 12,q3,70%
07/09/2010,"19 Galtymore Close, Drimnagh, Dublin 12",Dublin,232000.0,No,Drimnagh,Dublin 12,q3,60%
21/09/2010,"22 Comeragh Road, Drimnagh, Dublin",Dublin,175000.0,No,Drimnagh,Dublin 12,q2,40%
08/10/2010,"75 Cooley Road, Drimnagh",Dublin,150000.0,No,Drimnagh,Dublin 12,q1,30%
22/10/2010,"119 Dolphin Road, Drimnagh",Dublin,185000.0,No,Drimnagh,Dublin 12,q2,40%
22/10/2010,"38 Brandon Road, Drimnagh",Dublin,183500.0,No,Drimnagh,Dublin 12,q2,40%
27/10/2010,"312  Galtymore Road, Drimnagh, Dublin 12",Dublin,185000.0,No,Drimnagh,Dublin 12,q2,40%
04/11/2010,"137 Comeragh Road, Drimnagh",Dublin,315000.0,No,Drimnagh,Dublin 12,q4,100%
26/11/2010,"25 Brickfield Drive, Off Crumlin Road, Drimnagh Dublin 12",Dublin,225000.0,No,Drimnagh,Dublin 12,q3,60%
10/12/2010,"1 Lansdowne Valley, Drimnagh, Dublin 12",Dublin,208250.0,No,Drimnagh,Dublin 12,q2,50%
10/12/2010,"76 Drimnagh Road, Drimnagh",Dublin,216000.0,No,Drimnagh,Dublin 12,q2,50%
15/12/2010,"111 Keeper Road, Drimnagh",Dublin,160000.0,No,Drimnagh,Dublin 12,q1,30%
21/12/2010,"5 Slievebloom Road, Drimnagh, Dublin 12",Dublin,152000.0,No,Drimnagh,Dublin 12,q1,30%
21/12/2010,"73 Benmadigan Road, Drimnagh",Dublin,122500.0,No,Drimnagh,Dublin 12,q1,20%
07/01/2011,"88 Errigal Road, Drimnagh",Dublin,220000.0,No,Drimnagh,Dublin 12,q2,50%
10/01/2011,"134 Dolphin Road, Drimnagh",Dublin,228000.0,No,Drimnagh,Dublin 12,q3,60%
