date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
26/01/2010,"116 Gracepark Meadows, Drumcondra",Dublin,330000.0,No,Drumcondra,Dublin 9,q2,50%
27/01/2010,"24 Susanville Road, Drumcondra",Dublin,233000.0,No,Drumcondra,Dublin 9,q1,20%
29/01/2010,"6 Gracepark Terrace, Drumcondra, Drumcondra",Dublin,480000.0,No,Drumcondra,Dublin 9,q4,80%
03/02/2010,"401 Gracepark Heights, Drumcondra",Dublin,360000.0,No,Drumcondra,Dublin 9,q3,60%
04/02/2010,"339 Griffith Avenue, Drumcondra",Dublin,760000.0,No,Drumcondra,Dublin 9,q4,100%
09/02/2010,"12 College Manor, Drumcondra, Dublin",Dublin,325000.0,No,Drumcondra,Dublin 9,q2,50%
10/02/2010,"82 Fitzroy Avenue, Drumcondra D. 9",Dublin,300000.0,No,Drumcondra,Dublin 9,q2,40%
25/02/2010,"38 Fleming Road, Drumcondra",Dublin,218000.0,No,Drumcondra,Dublin 9,q1,20%
01/03/2010,"23 All Hallows Square, Drumcondra, Dublin 9",Dublin,513000.0,No,Drumcondra,Dublin 9,q4,90%
19/03/2010,"23 Wigan Road, Drumcondra",Dublin,385000.0,No,Drumcondra,Dublin 9,q3,60%
23/03/2010,"129 Annadale Drive, Drumcondra",Dublin,290000.0,No,Drumcondra,Dublin 9,q2,40%
01/04/2010,"21 Clonliffe Gardens, Clonliffe Road, Drumcondra",Dublin,310000.0,No,Drumcondra,Dublin 9,q2,40%
01/04/2010,"34 Hollybank Road, Drumcondra",Dublin,500000.0,No,Drumcondra,Dublin 9,q4,80%
14/04/2010,"Townhouse No 2., 182 Clonliffe Road, Drumcondra",Dublin,230000.0,No,Drumcondra,Dublin 9,q1,20%
16/04/2010,"71 Richmond Road, Drumcondra",Dublin,285000.0,No,Drumcondra,Dublin 9,q2,40%
29/04/2010,"121 Ferguson Road, Drumcondra, Dublin 9",Dublin,280000.0,No,Drumcondra,Dublin 9,q2,30%
30/04/2010,"9 Griffith Walk, Griffith Avenue, Drumcondra",Dublin,305000.0,No,Drumcondra,Dublin 9,q2,40%
05/05/2010,"Apartment 126 Griffith Hall, Drumcondra",Dublin,290000.0,No,Drumcondra,Dublin 9,q2,40%
11/05/2010,"128 Walsh Road, Drumcondra, Dublin 9",Dublin,185000.0,No,Drumcondra,Dublin 9,q1,20%
18/05/2010,"8 Comyn Place, Drumcondra",Dublin,295000.0,No,Drumcondra,Dublin 9,q2,40%
04/06/2010,"24 St. Columbas Road Lower, Drumcondra, Dublin 9",Dublin,362500.0,No,Drumcondra,Dublin 9,q3,60%
10/06/2010,"46 Elizabeth Street, Drumcondra",Dublin,160000.0,No,Drumcondra,Dublin 9,q1,10%
11/06/2010,"87 Annadale Drive, Drumcondra, Dublin 9",Dublin,275000.0,No,Drumcondra,Dublin 9,q2,30%
23/06/2010,"68 Annadale Crescent, Drumcondra, Dublin 9",Dublin,285000.0,No,Drumcondra,Dublin 9,q2,40%
29/06/2010,"14 Distillery Road, Drumcondra, Dublin",Dublin,252000.0,No,Drumcondra,Dublin 9,q1,30%
05/07/2010,"42 Walnut Avenue, Drumcondra",Dublin,490000.0,No,Drumcondra,Dublin 9,q4,80%
09/07/2010,"6 Distillery Road, Drumcondra, Dublin 3",Dublin,275000.0,No,Drumcondra,Dublin 9,q2,30%
14/07/2010,"6  Joyce Road, Drumcondra",Dublin,304000.0,No,Drumcondra,Dublin 9,q2,40%
