date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
03/02/2010,"10 Mounttown Park, Dun Laoghaire",Dublin,515000.0,No,Dun Laoghaire,Co. Dublin,q3,80%
03/02/2010,"41 Silchester Park, Glenageary, Dun Laoghaire",Dublin,610000.0,No,Dun Laoghaire,Co. Dublin,q4,90%
05/02/2010,"11 Belville Court, Johnstown Road, Dun Laoghaire",Dublin,230000.0,Yes,Dun Laoghaire,Co. Dublin,q1,20%
19/02/2010,"20 Beechwood Park, Dun Laoghaire",Dublin,507500.0,No,Dun Laoghaire,Co. Dublin,q3,80%
05/03/2010,"107 Clearwater Cove, Dun Laoghaire",Dublin,191000.0,No,Dun Laoghaire,Co. Dublin,q1,10%
08/03/2010,"Shanganna, 199 Rochestown Avenue, Dun Laoghaire",Dublin,500000.0,No,Dun Laoghaire,Co. Dublin,q3,80%
11/03/2010,"50 Harbour View, Crofton Road, Dun Laoghaire",Dublin,314000.0,No,Dun Laoghaire,Co. Dublin,q2,40%
29/03/2010,"104 First Floor Block C The Crannog, Granitefield Manor, Dun Laoghaire",Dublin,252500.0,No,Dun Laoghaire,Co. Dublin,q1,20%
31/03/2010,"119 Harbourview, Crofton Road, Dun Laoghaire",Dublin,230000.0,Yes,Dun Laoghaire,Co. Dublin,q1,20%
31/03/2010,"76 Oliver Plunkett Avenue, Monkstown Farm, Dun Laoghaire",Dublin,270000.0,No,Dun Laoghaire,Co. Dublin,q1,30%
01/04/2010,"Apartment 4, The Pierre, Victoria Terrace  Dun Laoghaire",Dublin,425000.0,No,Dun Laoghaire,Co. Dublin,q3,60%
20/04/2010,"Apartment 11  Clarinda Park House, Clarinda Park, Dun Laoghaire",Dublin,250000.0,No,Dun Laoghaire,Co. Dublin,q1,20%
29/04/2010,"129 Harbour View, Crofton Road, Dun Laoghaire",Dublin,220000.0,No,Dun Laoghaire,Co. Dublin,q1,20%
30/04/2010,"24 Glenview, Rochestown Avenue, Dun Laoghaire",Dublin,547500.0,No,Dun Laoghaire,Co. Dublin,q4,80%
30/04/2010,"6 Auburn Avenue, Dun Laoghaire",Dublin,402000.0,No,Dun Laoghaire,Co. Dublin,q3,60%
30/04/2010,"Apt 38  Glebe Hall, Kill Ave, Dun Laoghaire",Dublin,251101.0,Yes,Dun Laoghaire,Co. Dublin,q1,20%
07/05/2010,"22 Cambridge Terrace, Dun Laoghaire",Dublin,1030000.0,No,Dun Laoghaire,Co. Dublin,q4,100%
15/05/2010,"17 Carysfort Road, Dalkey, Dun Laoghaire",Dublin,390000.0,No,Dun Laoghaire,Co. Dublin,q2,50%
24/05/2010,"16 Mulgrave Terrace, Dun Laoghaire",Dublin,650000.0,No,Dun Laoghaire,Co. Dublin,q4,90%
27/05/2010,"15 Harbour Court, George'S Place, Dun Laoghaire",Dublin,286344.0,Yes,Dun Laoghaire,Co. Dublin,q2,30%
27/05/2010,"41A Carriglea Gardens, Kill Avenue, Dun Laoghaire",Dublin,270000.0,No,Dun Laoghaire,Co. Dublin,q1,30%
28/05/2010,"24 Castle Court, Booterstown Avenue, Dun Laoghaire & Rathdown",Dublin,595000.0,No,Dun Laoghaire,Co. Dublin,q4,90%
31/05/2010,"Apt 11 Mounttown Villas, Mounttown Road, Dun Laoghaire",Dublin,260000.0,No,Dun Laoghaire,Co. Dublin,q1,30%
31/05/2010,"Number 30 Rosmeen Park, Dun Laoghaire, Dublin",Dublin,750000.0,No,Dun Laoghaire,Co. Dublin,q4,100%
03/06/2010,"49 Clarinda Park East, Dun Laoghaire, Co.Dublin",Dublin,1150000.0,No,Dun Laoghaire,Co. Dublin,q4,100%
04/06/2010,"23 The Green, Kensington Lodge  Rochestown Avenue, Dun Laoghaire",Dublin,211453.74,Yes,Dun Laoghaire,Co. Dublin,q1,10%
04/06/2010,"7 The Green  Kensington Lodge, Rochestown Avenue, Dun Laoghaire",Dublin,250000.0,Yes,Dun Laoghaire,Co. Dublin,q1,20%
10/06/2010,"137 Harbour View, Crofton Road, Dun Laoghaire",Dublin,208800.0,Yes,Dun Laoghaire,Co. Dublin,q1,10%
