date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
04/01/2010,"1 Meadow Avenue, Dundrum, Dublin 14",Dublin,438500.0,No,Dundrum,Dublin 14,q3,60%
04/01/2010,"The Mews, 11A Wyckham Park Road, Dundrum",Dublin,345000.0,No,Dundrum,Dublin 14,q2,40%
12/01/2010,"10 Ailesbury Lawn, Dundrum, Dublin 16",Dublin,800000.0,No,Dundrum,Dublin 14,q4,100%
12/01/2010,"15 Rosemount Park, Dundrum, Dublin 14",Dublin,356000.0,No,Dundrum,Dublin 14,q2,40%
13/01/2010,"11 Balally Drive, Dundrum",Dublin,500000.0,No,Dundrum,Dublin 14,q3,70%
15/01/2010,"27 Mulvey Park, Dundrum",Dublin,334000.0,No,Dundrum,Dublin 14,q2,30%
20/01/2010,"9 Taney Manor, Dundrum",Dublin,412000.0,No,Dundrum,Dublin 14,q3,60%
05/02/2010,"75 Rosemount Estate, Dundrum",Dublin,245000.0,No,Dundrum,Dublin 14,q1,20%
09/02/2010,"Apt Wyckham Point, Wyckham Way, Dundrum",Dublin,290748.0,Yes,Dundrum,Dublin 14,q1,30%
18/02/2010,"133 Wyckham Point, Wyckham Way, Dundrum",Dublin,300000.0,Yes,Dundrum,Dublin 14,q1,30%
22/02/2010,"Frankfort Lodge, Dundrum, Dublin",Dublin,880000.0,No,Dundrum,Dublin 14,q4,100%
26/02/2010,"10 Olivemount Grove, Dundrum",Dublin,395000.0,No,Dundrum,Dublin 14,q2,50%
10/03/2010,"Apartment 146 Wyckham Point, Wyckham Way, Dundrum  D16",Dublin,286343.61,Yes,Dundrum,Dublin 14,q1,30%
29/03/2010,"3 Frankfort Court, Dundrum, Dublin 14",Dublin,470000.0,No,Dundrum,Dublin 14,q3,70%
31/03/2010,"5 Laurel Drive, Dundrum",Dublin,375000.0,No,Dundrum,Dublin 14,q2,50%
07/04/2010,"59 Mulvey Park, Dundrum",Dublin,265000.0,No,Dundrum,Dublin 14,q1,20%
23/04/2010,"77 Highfield Park, Dundrum, Dublin 14",Dublin,455000.0,No,Dundrum,Dublin 14,q3,70%
30/04/2010,"260 Wyckham Point, Wyckham Way, Dundrum",Dublin,397500.0,Yes,Dundrum,Dublin 14,q2,50%
30/04/2010,"No 2 Olaf Hall, Sandyfort Road, Dundrum",Dublin,230000.0,No,Dundrum,Dublin 14,q1,10%
06/05/2010,"25 Wyckham Park Road, Dundrum, Dublin 16",Dublin,595000.0,No,Dundrum,Dublin 14,q4,90%
11/05/2010,"72 Wyckham Point, Wyckham Way, Dundrum Dublin 16",Dublin,220264.31,Yes,Dundrum,Dublin 14,q1,10%
13/05/2010,"68 Highfield Park, Dundrum",Dublin,393750.0,No,Dundrum,Dublin 14,q2,50%
14/05/2010,"10 Balally Grove, Dundrum, Dublin 14",Dublin,460000.0,No,Dundrum,Dublin 14,q3,70%
14/05/2010,"15 Millmount Terrace, Windy Arbour, Dundrum",Dublin,324000.0,No,Dundrum,Dublin 14,q2,30%
14/05/2010,"27 Somerville, Dundrum Road",Dublin,385000.0,No,Dundrum,Dublin 14,q2,50%
14/05/2010,"6 Alexandra Court, Dundrum, Dublin 14",Dublin,185000.0,No,Dundrum,Dublin 14,q1,10%
18/05/2010,"43 Balally Avenue, Dundrum, Dublin 14",Dublin,385000.0,No,Dundrum,Dublin 14,q2,50%
20/05/2010,"110 Balally Drive, Dundrum, Dublin 16",Dublin,435000.0,No,Dundrum,Dublin 14,q3,60%
20/05/2010,"110 Balally Drive, Dundrum, Dublin 16",Dublin,435000.0,No,Dundrum,Dublin 14,q3,60%
21/05/2010,"18  Frankfort Park, Dundrum",Dublin,813000.0,No,Dundrum,Dublin 14,q4,100%
24/05/2010,"291 Wyckham Point, Wyckham Way, Dundrum",Dublin,168367.06,Yes,Dundrum,Dublin 14,q1,10%
27/05/2010,"297 Wyckham Point, Wyckham Way, Dundrum",Dublin,84234.0,Yes,Dundrum,Dublin 14,q1,10%
01/06/2010,"187 Barton Road East, Dundrum",Dublin,385000.0,No,Dundrum,Dublin 14,q2,50%
01/06/2010,"4 Dundrum House Castle, Dundrum",Dublin,165000.0,No,Dundrum,Dublin 14,q1,10%
03/06/2010,"49 Sweetmount Avenue, Dundrum",Dublin,264000.0,No,Dundrum,Dublin 14,q1,20%
09/06/2010,"24 Wesley Heights, Dundrum, Dublin",Dublin,595000.0,No,Dundrum,Dublin 14,q4,90%
10/06/2010,"32 Dun Emer Drive, Dundrum",Dublin,530000.0,No,Dundrum,Dublin 14,q3,80%
16/06/2010,"205 Wyckham Point, Wyckham Way, Dundrum",Dublin,315659.08,Yes,Dundrum,Dublin 14,q2,30%
16/06/2010,"214 Barton Road East, Dundrum, Dublin 14",Dublin,400000.0,No,Dundrum,Dublin 14,q2,50%
16/06/2010,"Apartment 7, Carmichael Hall, St Columbanus Road  Dundrum",Dublin,230000.0,No,Dundrum,Dublin 14,q1,10%
28/06/2010,"287 Wyckham Point, Wickham Way, Dundrum",Dublin,212916.59,Yes,Dundrum,Dublin 14,q1,10%
28/06/2010,"300 Wyckham Point, Wyckham Way, Dundrum",Dublin,212916.59,Yes,Dundrum,Dublin 14,q1,10%
30/06/2010,"109 Wyckham Point, Wyckham Way, Dundrum",Dublin,214978.0,Yes,Dundrum,Dublin 14,q1,10%
02/07/2010,"33 Annaville Park, Dundrum",Dublin,385000.0,No,Dundrum,Dublin 14,q2,50%
08/07/2010,"244 Wyckham Point, Wyckham Way, Dundrum",Dublin,215859.02,Yes,Dundrum,Dublin 14,q1,10%
09/07/2010,"143 Mulvey Park, Dundrum",Dublin,323500.0,No,Dundrum,Dublin 14,q2,30%
12/07/2010,"10 Annaville Grove, Dundrum",Dublin,425000.0,No,Dundrum,Dublin 14,q3,60%
19/07/2010,"76 Castlebrook, Dundrum, Dublin 14",Dublin,565000.0,No,Dundrum,Dublin 14,q4,80%
20/07/2010,"38 Pine Copse Road, Dundrum",Dublin,350000.0,No,Dundrum,Dublin 14,q2,40%
