date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
05/03/2010,"71 Ravensdale Road, East Wall, Dublin",Dublin,230000.0,No,East Wall,Dublin 3,q2,50%
12/04/2010,"6 Portside Court, West Road, East Wall",Dublin,210000.0,No,East Wall,Dublin 3,q2,50%
09/06/2010,"178 East Wall Road, East Wall, Dublin 3",Dublin,8000.0,No,East Wall,Dublin 3,q1,10%
02/07/2010,"6 Shelmalier Road, East Wall",Dublin,212000.0,No,East Wall,Dublin 3,q2,50%
30/07/2010,"194  East Wall Road, East Wall, Dublin 3",Dublin,350000.0,No,East Wall,Dublin 3,q4,90%
17/08/2010,"8 Hope Avenue, East Wall",Dublin,172166.79,No,East Wall,Dublin 3,q2,40%
30/08/2010,"Apt 16 Lighthouse Apts, Church Road, East Wall",Dublin,178000.0,No,East Wall,Dublin 3,q2,40%
10/09/2010,"21  Merchant'S Square, East Wall",Dublin,187000.0,No,East Wall,Dublin 3,q2,40%
05/10/2010,"2 Abercorn Road, East Wall",Dublin,110000.0,No,East Wall,Dublin 3,q1,10%
15/10/2010,"14 Strangford Road, East Wall",Dublin,130000.0,No,East Wall,Dublin 3,q1,20%
05/11/2010,"62 Merchant'S Square, Merchant Road, East Wall",Dublin,170000.0,No,East Wall,Dublin 3,q2,30%
11/11/2010,"86 St Marys Road, East Wall, Dublin 3",Dublin,215000.0,No,East Wall,Dublin 3,q2,50%
30/11/2010,"58 Shelmalier Road, East Wall, Dublin 3",Dublin,155000.0,No,East Wall,Dublin 3,q2,30%
11/01/2011,"82 East Road, East Wall, Dublin 3",Dublin,165000.0,No,East Wall,Dublin 3,q2,30%
18/02/2011,"47  Seaview Avenue West, East Wall, Dublin 3",Dublin,225000.0,No,East Wall,Dublin 3,q2,50%
07/04/2011,"11 Crescent Gardens, West Road, East Wall",Dublin,200000.0,No,East Wall,Dublin 3,q2,40%
31/05/2011,"40 Seaview Avenue, East Wall",Dublin,227500.0,No,East Wall,Dublin 3,q2,50%
20/09/2011,"29 Ravensdale Road, East Wall, Parish Of Saint Thomas",Dublin,73000.0,No,East Wall,Dublin 3,q1,10%
12/10/2011,"2 Portside Court, East Wall",Dublin,152000.0,No,East Wall,Dublin 3,q2,30%
17/11/2011,"75 Caledon Road, East Wall",Dublin,177000.0,No,East Wall,Dublin 3,q2,40%
13/12/2011,"21 Forth Road, East Wall, Dublin 3",Dublin,125000.0,No,East Wall,Dublin 3,q1,20%
16/12/2011,"13&15 Merchants Road, East Wall, Dublin 3",Dublin,50000.0,No,East Wall,Dublin 3,q1,10%
21/12/2011,"15 Church Road, East Wall",Dublin,65000.0,No,East Wall,Dublin 3,q1,10%
01/02/2012,"5 Caledon Road, East Wall",Dublin,125000.0,No,East Wall,Dublin 3,q1,20%
24/02/2012,"31 Caledon Road, East Wall",Dublin,107000.0,No,East Wall,Dublin 3,q1,10%
12/04/2012,"24 Fourth Road, East Wall, Dublin 3",Dublin,60000.0,No,East Wall,Dublin 3,q1,10%
20/04/2012,"Apt. 65 Crosbies Yard, Ossory Road, East Wall",Dublin,116740.09,Yes,East Wall,Dublin 3,q1,20%
26/04/2012,"29 Church Road, East Wall, Dublin 3",Dublin,187000.0,No,East Wall,Dublin 3,q2,40%
26/04/2012,"8 West Wall, East Wall, Dublin 3",Dublin,85000.0,No,East Wall,Dublin 3,q1,10%
01/05/2012,"54, Ravensdale Road, East Wall",Dublin,130000.0,No,East Wall,Dublin 3,q1,20%
22/05/2012,"14A And 14B Hawthorn Ave, East Wall",Dublin,900000.0,No,East Wall,Dublin 3,q4,100%
08/06/2012,"5 West Road, East Wall",Dublin,50000.0,No,East Wall,Dublin 3,q1,10%
22/06/2012,"4 Shelmalier Road, East Wall, Dublin 3",Dublin,212000.0,No,East Wall,Dublin 3,q2,50%
