date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
08/02/2010,"65 Cadogan Road, Fairview",Dublin,185000.0,No,Fairview,Dublin 3,q1,30%
26/02/2010,"Apartment 4, Caragh Court, Fairview",Dublin,135000.0,No,Fairview,Dublin 3,q1,20%
05/03/2010,"209 Philipsburgh Avenue, Fairview, Dublin 3",Dublin,277500.0,No,Fairview,Dublin 3,q3,60%
12/03/2010,"3 Philipsburgh Terrace, Fairview, Dublin 3",Dublin,255000.0,No,Fairview,Dublin 3,q2,50%
01/04/2010,"33 Merville Avenue, Fairview, Dublin 3",Dublin,370000.0,No,Fairview,Dublin 3,q3,80%
16/04/2010,"155  Philipsburgh Avenue, Fairview",Dublin,402500.0,No,Fairview,Dublin 3,q4,80%
08/06/2010,"3 Richmond Lodge, Fairview",Dublin,310000.0,No,Fairview,Dublin 3,q3,60%
11/06/2010,"25 Fairview Strand, Fairview",Dublin,200000.0,No,Fairview,Dublin 3,q1,30%
14/06/2010,"8 Fairview Green, Fairview",Dublin,210000.0,No,Fairview,Dublin 3,q2,30%
16/06/2010,"88  Tolka Road, Fairview",Dublin,170000.0,No,Fairview,Dublin 3,q1,20%
02/07/2010,"66 Griffith Court, Fairview",Dublin,427051.0,No,Fairview,Dublin 3,q4,90%
23/07/2010,"17 Elton Court, Philipsburgh Avenue, Fairview",Dublin,212000.0,No,Fairview,Dublin 3,q2,30%
19/08/2010,"18 Turlough Gardens, Fairview",Dublin,346000.0,No,Fairview,Dublin 3,q3,70%
25/08/2010,"7 Griffith Court, Fairview, Dublin",Dublin,382000.0,No,Fairview,Dublin 3,q4,80%
10/09/2010,"6 Foyle Road, Fairview, Dublin 3",Dublin,442000.0,No,Fairview,Dublin 3,q4,90%
06/10/2010,"2 Fairview Villas, O' Curry Avenue, Dublin 8",Dublin,332000.0,No,Fairview,Dublin 3,q3,70%
14/12/2010,"19 Addison Road, Fairview",Dublin,250000.0,No,Fairview,Dublin 3,q2,50%
28/01/2011,"129 Philipsburgh Avenue, Fairview, Dublin 3",Dublin,502000.0,No,Fairview,Dublin 3,q4,100%
28/02/2011,"74 Leinster Avenue, North Strand, Fairview",Dublin,200500.0,No,Fairview,Dublin 3,q1,30%
10/03/2011,"42 Cadogan Road, Fairview",Dublin,160000.0,No,Fairview,Dublin 3,q1,20%
25/03/2011,"14  Addison Road, Fairview, Dublin",Dublin,232000.0,No,Fairview,Dublin 3,q2,40%
30/03/2011,"38 Foyle Road, Fairview",Dublin,480000.0,No,Fairview,Dublin 3,q4,100%
11/05/2011,"16 Annadale Avenue, Fairview",Dublin,200000.0,No,Fairview,Dublin 3,q1,30%
