date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
04/01/2010,"5 Clancy Road, Finglas, Dublin 11",Dublin,205000.0,No,Finglas,Dublin 11,q3,70%
07/01/2010,"Unit 55  Heathfield Park, Heathfield, Cappagh Road  Finglas",Dublin,289950.0,Yes,Finglas,Dublin 11,q4,100%
14/01/2010,"99 Mellowes Road, Finglas, Dublin 11",Dublin,200000.0,No,Finglas,Dublin 11,q3,70%
21/01/2010,"29 Heathfield Crescent, Cappagh Road, Finglas",Dublin,219950.0,Yes,Finglas,Dublin 11,q3,80%
22/01/2010,"2 Heathfield Close, Cappagh Road, Finglas",Dublin,252450.0,Yes,Finglas,Dublin 11,q4,90%
26/01/2010,"40 Melville Way, Cityside, Finglas",Dublin,165000.0,No,Finglas,Dublin 11,q2,50%
27/01/2010,"27 Gloonlara Road, Finglas, Dulbin 11",Dublin,125000.0,No,Finglas,Dublin 11,q1,30%
27/01/2010,"50 Casement Park, Finglas, Dublin 11",Dublin,170000.0,No,Finglas,Dublin 11,q2,50%
28/01/2010,"15 Lanesborough Mews, St. Margarets  Finglas, Dublin 11",Dublin,185000.0,No,Finglas,Dublin 11,q2,50%
28/01/2010,"9 Valley Park Drive, Finglas, Dublin 11",Dublin,76666.66,No,Finglas,Dublin 11,q1,10%
01/02/2010,"90 Sycamore Road, Finglas",Dublin,330000.0,No,Finglas,Dublin 11,q4,100%
04/02/2010,"22 Rathoath Drive, Finglas, Dublin 11",Dublin,70000.0,No,Finglas,Dublin 11,q1,10%
11/02/2010,"Apartment 26 Block 4, Prospect Hill, Finglas Road",Dublin,171500.0,No,Finglas,Dublin 11,q2,50%
18/02/2010,"33 North Road, Finglas Village",Dublin,285000.0,No,Finglas,Dublin 11,q4,100%
19/02/2010,"98 Sycamore Road, Finglas East",Dublin,187500.0,No,Finglas,Dublin 11,q3,60%
24/02/2010,"13, Collins Green, Finglas East",Dublin,25000.0,No,Finglas,Dublin 11,q1,10%
25/02/2010,"78 Ballygall Crescent, Finglas East",Dublin,170000.0,No,Finglas,Dublin 11,q2,50%
26/02/2010,"41 Melville Way, Cityside, Finglas",Dublin,149950.0,No,Finglas,Dublin 11,q2,40%
01/03/2010,"Lanesborough Court, Finglas, Dublin 11",Dublin,158000.0,No,Finglas,Dublin 11,q2,40%
