date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
11/01/2010,"16 Oakdale Drive, Ballycullen, Firhouse",Dublin,322500.0,No,Firhouse,Dublin 24,q3,60%
12/01/2010,"168 Carrigwood, Firhouse, Dublin 24",Dublin,285000.0,No,Firhouse,Dublin 24,q2,50%
15/01/2010,"12 Old Court Close, Firhouse, Dublin 24",Dublin,295000.0,No,Firhouse,Dublin 24,q2,50%
29/01/2010,"67 Woodlawn Park Grove, Firhouse, Dublin 24",Dublin,320000.0,No,Firhouse,Dublin 24,q3,60%
12/03/2010,"26 Beechdale Court, Firhouse, Dublin 24",Dublin,205000.0,No,Firhouse,Dublin 24,q1,20%
26/03/2010,"33 Monalea Park, Firhouse",Dublin,325000.0,No,Firhouse,Dublin 24,q3,60%
31/03/2010,"16 Kilakee Rise, Firhouse",Dublin,290000.0,No,Firhouse,Dublin 24,q2,50%
15/04/2010,"57 Rathlyon Grove, Firhouse, Dublin 24",Dublin,247500.0,No,Firhouse,Dublin 24,q2,30%
19/04/2010,"7 Hunters Crescent, Ballycullen, Firhouse",Dublin,325000.0,No,Firhouse,Dublin 24,q3,60%
23/04/2010,"1 Parklands View  Ballycullen, Firhouse, Dublin 24",Dublin,440000.0,No,Firhouse,Dublin 24,q4,100%
23/04/2010,"4 Dale Tree Avenue, Firhouse",Dublin,298000.0,No,Firhouse,Dublin 24,q2,50%
13/05/2010,"34 Killakee Way, Firhouse",Dublin,290000.0,No,Firhouse,Dublin 24,q2,50%
20/05/2010,"56 Woodlawn Park Drive, Firhouse",Dublin,300000.0,No,Firhouse,Dublin 24,q2,50%
21/05/2010,"6 Cremorne  Firhouse Road, Templeogue",Dublin,478000.0,No,Firhouse,Dublin 24,q4,100%
26/05/2010,"47 Hunters Lane, Hunterswood, Firhouse",Dublin,180000.0,No,Firhouse,Dublin 24,q1,10%
28/05/2010,"44  Woodlawn Park Grove, Firhouse",Dublin,306000.0,No,Firhouse,Dublin 24,q3,60%
03/06/2010,"12 Killakee Park, Firhouse, Dublin 24",Dublin,260000.0,No,Firhouse,Dublin 24,q2,30%
03/06/2010,"57 Woodlawn Park Grove, Firhouse, Dublin 24",Dublin,340000.0,No,Firhouse,Dublin 24,q3,70%
21/06/2010,"22 Killakee Grove, Firhouse, Dublin 24",Dublin,260000.0,No,Firhouse,Dublin 24,q2,40%
28/06/2010,"54 Cremorne Road, Firhouse Road, Dublin 15",Dublin,515000.0,No,Firhouse,Dublin 24,q4,100%
02/07/2010,"126 Carrigwood, Firhouse, Dublin 24",Dublin,270000.0,No,Firhouse,Dublin 24,q2,40%
18/07/2010,"36 Carrigwood, Firhouse, Dublin 24",Dublin,311000.0,No,Firhouse,Dublin 24,q3,60%
04/08/2010,"16 Park Lands Drive, Firhouse",Dublin,345000.0,No,Firhouse,Dublin 24,q3,70%
18/08/2010,"184A Woodlawn Park Grove, Firhouse, Dublin 24",Dublin,150000.0,No,Firhouse,Dublin 24,q1,10%
