date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
15/01/2010,"30 Pine Avenue, Westminster Park, Foxrock",Dublin,440000.0,No,Foxrock,Dublin 18,q1,20%
18/02/2010,"5 Mountsandel, Brighton Road, Foxrock",Dublin,1496000.0,No,Foxrock,Dublin 18,q4,90%
19/02/2010,"Kylemhuire, 3 Knocksinna Park, Foxrock",Dublin,742500.0,No,Foxrock,Dublin 18,q3,60%
15/03/2010,"58 St. Brigid'S Park, Foxrock",Dublin,187500.0,No,Foxrock,Dublin 18,q1,10%
22/03/2010,"18 Pine Avenue, Westminster Park, Foxrock",Dublin,420000.0,No,Foxrock,Dublin 18,q1,20%
31/03/2010,"19 St. Brigid'S Park, Foxrock, Dublin 18",Dublin,339500.0,No,Foxrock,Dublin 18,q1,10%
09/04/2010,"Pipers Croft, Kilteragh Drive, Foxrock",Dublin,990000.0,No,Foxrock,Dublin 18,q4,80%
21/04/2010,"18 Cairnhill, Westminster Road, Foxrock",Dublin,818000.0,No,Foxrock,Dublin 18,q3,70%
28/04/2010,"4 Arkle Square, The Chase  Foxrock, Dublin",Dublin,370000.0,No,Foxrock,Dublin 18,q1,10%
05/05/2010,"45 Tudor Lawns, Foxrock",Dublin,531000.0,No,Foxrock,Dublin 18,q1,30%
06/05/2010,"12 Beech Park Drive, Foxrock",Dublin,600000.0,No,Foxrock,Dublin 18,q2,40%
19/05/2010,"114 Foxrock Park, Foxrock, Dublin 18",Dublin,535000.0,No,Foxrock,Dublin 18,q2,30%
28/05/2010,"40  Leopardstown Grove, Foxrock, Co. Dublin",Dublin,550000.0,No,Foxrock,Dublin 18,q2,30%
03/06/2010,"69 Tudor Lawns, Foxrock, Dublin 18",Dublin,500000.0,No,Foxrock,Dublin 18,q1,20%
15/07/2010,"13 Foxrock Green, Foxrock, Dublin",Dublin,275000.0,No,Foxrock,Dublin 18,q1,10%
30/07/2010,"46 Westminster Lawns, Foxrock",Dublin,682500.0,No,Foxrock,Dublin 18,q2,50%
06/08/2010,"30 Knocksinna Park, Foxrock",Dublin,605000.0,No,Foxrock,Dublin 18,q2,40%
10/08/2010,"7 Sycamore Grove, Westminster Park, Foxrock",Dublin,400000.0,No,Foxrock,Dublin 18,q1,10%
12/08/2010,"71 Tudor Lawns, Foxrock, Dublni 18",Dublin,485000.0,No,Foxrock,Dublin 18,q1,20%
18/08/2010,"11 Beech Park Road, Foxrock",Dublin,605000.0,No,Foxrock,Dublin 18,q2,40%
20/08/2010,"9 Dunboy, Brighton Road, Foxrock",Dublin,1400000.0,No,Foxrock,Dublin 18,q4,90%
24/08/2010,"108 Foxrock Park, Foxrock, Dublin 18",Dublin,520000.0,No,Foxrock,Dublin 18,q1,30%
31/08/2010,"815000, Leopardstown Road, Foxrock",Dublin,815000.0,No,Foxrock,Dublin 18,q3,70%
29/09/2010,"61 Foxrock Manor, Foxrock",Dublin,525000.0,No,Foxrock,Dublin 18,q1,30%
04/10/2010,"8 Knocksinna Park, Foxrock, County Dublin",Dublin,710000.0,No,Foxrock,Dublin 18,q3,60%
12/10/2010,"Aisling, Kilteragh Drive, Foxrock",Dublin,1175000.0,No,Foxrock,Dublin 18,q4,90%
20/10/2010,"7 Willow Grove, Cornelscourt, Foxrock",Dublin,432000.0,No,Foxrock,Dublin 18,q1,20%
27/10/2010,"2 Newpark Lodge, Foxrock, Dublin 18",Dublin,689000.0,No,Foxrock,Dublin 18,q2,50%
11/11/2010,"7 Grove House, Hainault Road, Foxrock",Dublin,471365.63,Yes,Foxrock,Dublin 18,q1,20%
12/11/2010,"50 St. Brigid'S Park, Foxrock",Dublin,275000.0,No,Foxrock,Dublin 18,q1,10%
03/12/2010,"Lus Mor, Torquay Road, Foxrock",Dublin,875000.0,No,Foxrock,Dublin 18,q3,80%
14/12/2010,"Innisfallen, Kerrymount Avenue, Foxrock",Dublin,2250000.0,No,Foxrock,Dublin 18,q4,100%
15/12/2010,"Glenstal, Westminster Road, Foxrock",Dublin,1650000.0,No,Foxrock,Dublin 18,q4,100%
16/12/2010,"161 Foxrock Park, Foxrock",Dublin,690000.0,No,Foxrock,Dublin 18,q3,60%
14/01/2011,"'Trefluer', Westminster Road, Foxrock  Dublin 18",Dublin,2650000.0,No,Foxrock,Dublin 18,q4,100%
17/01/2011,"2 Kelston Drive, Foxrock",Dublin,500000.0,No,Foxrock,Dublin 18,q1,20%
18/02/2011,"16 Foxrock Mount, Foxrock",Dublin,325000.0,No,Foxrock,Dublin 18,q1,10%
31/03/2011,"20 Kelston Drive, Foxrock, Dubllin 18",Dublin,465000.0,No,Foxrock,Dublin 18,q1,20%
28/04/2011,"20 Brighton Court, Foxrock, Dublin 18",Dublin,530000.0,No,Foxrock,Dublin 18,q1,30%
26/05/2011,"6 Kelston Drive, Leopardstown Road, Foxrock",Dublin,455000.0,No,Foxrock,Dublin 18,q1,20%
