date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
29/01/2010,"Apartment 40, Gandon Hall, Lower Gardiner Street",Dublin,150000.0,No,Gardiner St,Dublin 1,q2,40%
11/06/2010,"14 Upper Gardiner Stree, Dublin 1",Dublin,200000.0,No,Gardiner St,Dublin 1,q3,60%
26/08/2010,"Apartment 58 Custom Hall, Gardiner Street, Dublin 1",Dublin,196000.0,No,Gardiner St,Dublin 1,q3,60%
24/02/2011,"99  Custom Hall, Lower Gardiner Street, Dublin 1",Dublin,190000.0,No,Gardiner St,Dublin 1,q3,60%
02/09/2011,"148, Custom Hall, Lower Gardiner Street",Dublin,120000.0,No,Gardiner St,Dublin 1,q1,20%
11/10/2011,"65 Custom Hall, Lower Gardiner Street",Dublin,130000.0,No,Gardiner St,Dublin 1,q1,20%
08/12/2011,"37, Upper Gardiner Street",Dublin,280000.0,No,Gardiner St,Dublin 1,q4,80%
17/04/2012,"Apartment 47, Gandon Hall, Lr Gardiner Street",Dublin,54715.0,No,Gardiner St,Dublin 1,q1,10%
02/11/2012,"36 Upper Gardiner Street, Dublin 1",Dublin,590000.0,No,Gardiner St,Dublin 1,q4,100%
10/01/2013,"4 Upper Gardiner Street, Dublin 1",Dublin,335000.0,No,Gardiner St,Dublin 1,q4,90%
29/04/2013,"Apt. 49  Belmont Hall., Middle Gardiner St., Dublin 1",Dublin,130000.0,Yes,Gardiner St,Dublin 1,q1,20%
17/07/2013,"90 Custom Hall, Lower Gardiner Street",Dublin,94000.0,No,Gardiner St,Dublin 1,q1,10%
08/08/2013,"88 Custom Hall, Gardiner Street, Dublin 1",Dublin,95000.0,No,Gardiner St,Dublin 1,q1,10%
10/09/2013,"116 Custom Hall, Lower Gardiner Street, Dublin 1",Dublin,84850.0,No,Gardiner St,Dublin 1,q1,10%
18/09/2013,"Apartment 32, Gandon Hall, Gardiner Street",Dublin,95000.0,No,Gardiner St,Dublin 1,q1,10%
27/09/2013,"Apartment 27 Dorset Square, Upper Gardiner Street",Dublin,164000.0,No,Gardiner St,Dublin 1,q2,50%
07/11/2013,"Apartment 21  Belmont, Middle Gardiner Street",Dublin,85000.0,Yes,Gardiner St,Dublin 1,q1,10%
13/11/2013,"37 Dorset Square, Upper Gardiner Street, Dublin 1",Dublin,139000.0,No,Gardiner St,Dublin 1,q2,30%
18/12/2013,"Apartment 20, Belmont, Middle Gardiner Street",Dublin,73525.0,Yes,Gardiner St,Dublin 1,q1,10%
19/12/2013,"102 Custom Hall, Lr Gardiner St, Dublin 1",Dublin,120000.0,No,Gardiner St,Dublin 1,q1,20%
24/01/2014,"58 Gandon Hall, Lower Gardiner Street, Dublin 1",Dublin,100000.0,No,Gardiner St,Dublin 1,q1,10%
01/04/2014,"5 Gardiner Street Upper, Dublin 1",Dublin,450000.0,No,Gardiner St,Dublin 1,q4,90%
15/04/2014,"Apt 6, 32-33 Upper Gardiner Street, Dublin 1",Dublin,175000.0,No,Gardiner St,Dublin 1,q2,50%
15/05/2014,"No 14, Upper Gardiner Street, Dublin 1",Dublin,380000.0,No,Gardiner St,Dublin 1,q4,90%
11/06/2014,"63 Belmont Hall, Middle Gardiner St, Dublin 1",Dublin,125000.0,No,Gardiner St,Dublin 1,q1,20%
26/06/2014,"42 Custom Hall, Gardiner St, Dublin 1",Dublin,118000.0,No,Gardiner St,Dublin 1,q1,20%
18/07/2014,"17 Custom Hall, Deverell Place, Gardiner St Lower Dublin 1",Dublin,149000.0,No,Gardiner St,Dublin 1,q2,40%
29/07/2014,"49 Custom Hall, Gardiner St Lower, Dublin 1",Dublin,115000.0,No,Gardiner St,Dublin 1,q1,20%
19/08/2014,"12 Belmont Hall, Gardiner St, Dublin 1",Dublin,142000.0,No,Gardiner St,Dublin 1,q2,30%
25/08/2014,"31 Dorset Square, 31 Upper Gardiner Street, Dublin 1",Dublin,164500.0,No,Gardiner St,Dublin 1,q2,50%
08/09/2014,"152 Custom Hall, Lower Gardiner St, Dublin 1",Dublin,147000.0,No,Gardiner St,Dublin 1,q2,40%
12/09/2014,"29 Belmont Hall, Gardiner St Lower, Dublin 1",Dublin,161000.0,No,Gardiner St,Dublin 1,q2,40%
23/09/2014,"171 Custom Hall, Lower Gardiner St, Dublin 1",Dublin,120000.0,No,Gardiner St,Dublin 1,q1,20%
23/09/2014,"25 Upper Gardiner Street, Dublin",Dublin,340000.0,No,Gardiner St,Dublin 1,q4,90%
13/12/2014,"22 Belmont Hall, Gardiner St Lower, Dublin 1",Dublin,131000.0,No,Gardiner St,Dublin 1,q1,20%
22/12/2014,"34 Dorset Square, Upper Gardiner Street",Dublin,178619.0,No,Gardiner St,Dublin 1,q2,50%
23/12/2014,"33 Dorset Square, Gardiner St Upper, Dublin 1",Dublin,148000.0,No,Gardiner St,Dublin 1,q2,40%
23/12/2014,"85 Gandon Hall, Lower Gardiner Street, Dublin 1",Dublin,115000.0,No,Gardiner St,Dublin 1,q1,20%
19/02/2015,"26 Gandon Hall, Gardiner St Lower, Dublin",Dublin,107500.0,No,Gardiner St,Dublin 1,q1,20%
04/06/2015,"Apt 117, Block 4 Custom Hall, Lower Gardiner St Dublin 1",Dublin,88000.0,No,Gardiner St,Dublin 1,q1,10%
05/06/2015,"20 Dorset Sq, Gardiner St, Dublin 1",Dublin,145000.0,No,Gardiner St,Dublin 1,q2,40%
01/09/2015,"6 Gardiner St Upper, Dublin 1",Dublin,860000.0,No,Gardiner St,Dublin 1,q4,100%
11/09/2015,"78 Custom Hall, Lower Gardiner St, Dublin 1",Dublin,228000.0,No,Gardiner St,Dublin 1,q3,70%
30/11/2015,"89 Gandon Hall, Lower Gardiner Street, Dublin 1",Dublin,105000.0,No,Gardiner St,Dublin 1,q1,10%
08/12/2015,"38 Dorset Sq, Gardiner St Upper, Dublin 1",Dublin,140000.0,No,Gardiner St,Dublin 1,q2,30%
22/01/2016,"59 Gandon Hall, Gardiner Street Lower, Dublin 1",Dublin,126000.0,No,Gardiner St,Dublin 1,q1,20%
25/02/2016,"55 Custom Hall, Gardiner St, Dublin 1",Dublin,167500.0,No,Gardiner St,Dublin 1,q2,50%
08/03/2016,"27 Gandon Hall, Gardiner St, Dublin 1",Dublin,100000.0,No,Gardiner St,Dublin 1,q1,10%
08/03/2016,"3 Gandon Hall, Gardiner St, Dublin 1",Dublin,100000.0,No,Gardiner St,Dublin 1,q1,10%
01/04/2016,"Apt A, Mabbot House, 91 Lower Gardiner Street Rear",Dublin,132500.0,No,Gardiner St,Dublin 1,q1,20%
01/04/2016,"Apt B, Mabbot House, 91 Lower Gardiner Street Rear",Dublin,132500.0,No,Gardiner St,Dublin 1,q1,30%
