date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
14/01/2010,"98 Willow Park Avenue, Glasnevin, Dublin 11",Dublin,405000.0,No,Glasnevin,Dublin 9,q3,70%
15/01/2010,"2 Glasnevin Woods, Ballyboggan Road, Dublin 11",Dublin,297000.0,No,Glasnevin,Dublin 9,q2,40%
15/01/2010,"30 Wadelai Green, Glasnevin, Dublin 9",Dublin,320000.0,No,Glasnevin,Dublin 9,q2,50%
20/01/2010,"10 Decourcey Square, Glasnevin",Dublin,315000.0,No,Glasnevin,Dublin 9,q2,50%
21/01/2010,"33 Cedarwood Road, Glasnevin, Dublin 11",Dublin,294000.0,No,Glasnevin,Dublin 9,q2,40%
25/01/2010,"157 Botanic Road, Glasnevin, Dublin 9",Dublin,400000.0,No,Glasnevin,Dublin 9,q3,70%
26/01/2010,"Apartment 107, River Gardens, Glasnevin",Dublin,215000.0,No,Glasnevin,Dublin 9,q1,20%
29/01/2010,"12 Iona Road, Glasnevin",Dublin,952599.0,No,Glasnevin,Dublin 9,q4,100%
04/02/2010,"18 Glasnevin Woods, Ballyboggan Road, Glasnevin",Dublin,287000.0,No,Glasnevin,Dublin 9,q2,40%
15/02/2010,"118, Glasnevin Avenue, Glasnevin",Dublin,307295.0,No,Glasnevin,Dublin 9,q2,40%
16/02/2010,"19 Hampstead Park, Glasnevin, Dublin 9",Dublin,515000.0,No,Glasnevin,Dublin 9,q4,90%
26/02/2010,"151 Willow Park Road, Glasnevin, Dublin 9",Dublin,265000.0,No,Glasnevin,Dublin 9,q2,30%
02/03/2010,"438 Griffith Avenue, Glasnevin",Dublin,388000.0,No,Glasnevin,Dublin 9,q3,70%
04/03/2010,"20 Marguerite Road, Glasnevin",Dublin,262500.0,No,Glasnevin,Dublin 9,q2,30%
09/03/2010,"103  Ballymun Road, Glasnevin",Dublin,544700.0,No,Glasnevin,Dublin 9,q4,90%
10/03/2010,"26 Claremont Drive, Glasnevin, Dublin 11",Dublin,325000.0,No,Glasnevin,Dublin 9,q2,50%
10/03/2010,"54 Willow Park Grove, Glasnevin, Dublin",Dublin,407500.0,No,Glasnevin,Dublin 9,q3,70%
12/03/2010,"27 Botanic Hall, Addison Park, Glasnevin",Dublin,235000.0,No,Glasnevin,Dublin 9,q1,20%
16/03/2010,"15A Drapier Road, Glasnevin, Dublin 11",Dublin,295000.0,No,Glasnevin,Dublin 9,q2,40%
24/03/2010,"132 Lindsay Road, Glasnevin",Dublin,585000.0,No,Glasnevin,Dublin 9,q4,100%
25/03/2010,"48, Claremont Drive, Glasnevin",Dublin,305000.0,No,Glasnevin,Dublin 9,q2,40%
25/03/2010,"99 Delcassian Downs, Glasnevin, Dublin 11",Dublin,315000.0,No,Glasnevin,Dublin 9,q2,50%
26/03/2010,"20 Grove Park Crescent, Glasnevin",Dublin,320000.0,No,Glasnevin,Dublin 9,q2,50%
26/03/2010,"3 Woodpark, The Rise, Glasnevin",Dublin,365000.0,No,Glasnevin,Dublin 9,q3,60%
30/03/2010,"15 Hampstead Park, Glasnevin",Dublin,380000.0,No,Glasnevin,Dublin 9,q3,70%
05/04/2010,"23 Drapier Road, Glasnevin",Dublin,290000.0,No,Glasnevin,Dublin 9,q2,40%
09/04/2010,"44 Botanic Road, Glasnevin",Dublin,245000.0,No,Glasnevin,Dublin 9,q1,30%
13/04/2010,"7 St. Canice'S Road, Glasnevin, Dublin 11",Dublin,520000.0,No,Glasnevin,Dublin 9,q4,90%
15/04/2010,"82 Hillcrest Park, Glasnevin, Dublin 11",Dublin,305000.0,No,Glasnevin,Dublin 9,q2,40%
16/04/2010,"94 Iona Road, Glasnevin",Dublin,1395000.0,No,Glasnevin,Dublin 9,q4,100%
20/04/2010,"38 Cliftonville Road, Glasnevin",Dublin,590000.0,No,Glasnevin,Dublin 9,q4,100%
23/04/2010,"24 Willow Park Avenue, Glasnevin  Dublin 11",Dublin,222500.0,No,Glasnevin,Dublin 9,q1,20%
24/04/2010,"80 St Mobhi Road, Glasnevin",Dublin,385000.0,No,Glasnevin,Dublin 9,q3,70%
27/04/2010,"5 Willow Park Lawn, Glasnevin",Dublin,315000.0,No,Glasnevin,Dublin 9,q2,50%
29/04/2010,"10 Tolka Estate, Glasnevin, Dublin 11",Dublin,260000.0,No,Glasnevin,Dublin 9,q1,30%
29/04/2010,"111 Claremont Crescent, Glasnevin",Dublin,365000.0,No,Glasnevin,Dublin 9,q3,60%
29/04/2010,"7 Violet Hill Drive, Glasnevin, Dublin",Dublin,320000.0,No,Glasnevin,Dublin 9,q2,50%
03/05/2010,"119 Ballymun Road, Glasnevin, Dublin 9",Dublin,620000.0,No,Glasnevin,Dublin 9,q4,100%
05/05/2010,"19 Willow Park Crescent, Glasnevin  Dublin 11",Dublin,305000.0,No,Glasnevin,Dublin 9,q2,40%
08/05/2010,"54 The Willows, Glasnevin",Dublin,330000.0,Yes,Glasnevin,Dublin 9,q2,50%
12/05/2010,"19 St Pappins Green, Glasnevin, Dublin 11",Dublin,380000.0,No,Glasnevin,Dublin 9,q3,70%
12/05/2010,"19 St Pappins Green, Glasnevin, Dublin 11",Dublin,380000.0,No,Glasnevin,Dublin 9,q3,70%
14/05/2010,"8 Albert College Grove, Glasnevin",Dublin,275000.0,No,Glasnevin,Dublin 9,q2,30%
28/05/2010,"62A Glasnevin Avenue, Glasnevin",Dublin,307000.0,Yes,Glasnevin,Dublin 9,q2,40%
01/06/2010,"32 Deanswift Green, Glasnevin",Dublin,290000.0,No,Glasnevin,Dublin 9,q2,40%
04/06/2010,"88 Linsday Rroad, Glasnevin",Dublin,865000.0,No,Glasnevin,Dublin 9,q4,100%
09/06/2010,"32 Ferndale Road, Glasnevin, Dublin 11",Dublin,283000.0,No,Glasnevin,Dublin 9,q2,40%
14/06/2010,"130 Glasnevin Avenue, Glasnevin, Dublin 11",Dublin,390000.0,No,Glasnevin,Dublin 9,q3,70%
22/06/2010,"137 Glasnevin Avenue, Glasnevin",Dublin,440000.0,No,Glasnevin,Dublin 9,q4,80%
