date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
25/01/2010,"7 Adelaide Road, Glasthule",Dublin,560000.0,No,Glasthule,Co. Dublin,q4,90%
22/02/2010,"1 O'Donnell Gardens, Glasthule",Dublin,375000.0,No,Glasthule,Co. Dublin,q3,60%
23/02/2010,"13 O'Donnell Gardens, Glasthule, Co Dublin",Dublin,365000.0,No,Glasthule,Co. Dublin,q3,60%
12/03/2010,"26 Findlater Street, Glasthule, Dublin",Dublin,305000.0,No,Glasthule,Co. Dublin,q2,40%
06/05/2010,"33 Findlater Street, Glasthule",Dublin,223500.0,No,Glasthule,Co. Dublin,q1,20%
01/06/2010,"18 O'Donnell Gardens, Glasthule",Dublin,342500.0,No,Glasthule,Co. Dublin,q2,50%
15/11/2010,"3 The Mews, Eden Park, Glasthule",Dublin,250000.0,No,Glasthule,Co. Dublin,q1,30%
16/11/2010,"46 Eden Villas, Glasthule, Co Dublin",Dublin,206000.0,No,Glasthule,Co. Dublin,q1,20%
31/05/2011,"29 O'Donnell Gardens, Glasthule",Dublin,300000.0,No,Glasthule,Co. Dublin,q2,30%
28/07/2011,"100 Eden Villas, Glasthule, Dublin",Dublin,155000.0,No,Glasthule,Co. Dublin,q1,10%
11/08/2011,"22 Congress Gardens, Glasthule",Dublin,215000.0,No,Glasthule,Co. Dublin,q1,20%
27/10/2011,"6 O'Donnell Gardens, Glasthule",Dublin,267000.0,No,Glasthule,Co. Dublin,q2,30%
24/11/2011,"28 O' Donnell Park, Glasthule, Co. Dublin",Dublin,245000.0,No,Glasthule,Co. Dublin,q1,20%
22/12/2011,"53 Eden Villas, Glasthule",Dublin,187000.0,No,Glasthule,Co. Dublin,q1,10%
30/01/2012,"4 Devitt Villas, Glasthule",Dublin,309000.0,No,Glasthule,Co. Dublin,q2,40%
20/04/2012,"10 Findlater Street, Glasthule",Dublin,170000.0,No,Glasthule,Co. Dublin,q1,10%
20/04/2012,"96 Eden Villas, Glasthule",Dublin,145000.0,No,Glasthule,Co. Dublin,q1,10%
13/07/2012,"1 Summerhill Court, Summerhill Road, Glasthule",Dublin,395000.0,No,Glasthule,Co. Dublin,q3,60%
23/07/2012,"15 Coldwell Street, Glasthule",Dublin,120000.0,No,Glasthule,Co. Dublin,q1,10%
28/09/2012,"22  Summerhill Road, Glasthule, County Dublin",Dublin,460000.0,No,Glasthule,Co. Dublin,q3,80%
03/10/2012,"7 Congress Gardens, Glasthule",Dublin,260000.0,No,Glasthule,Co. Dublin,q1,30%
17/12/2012,"72 Eden Villas, Glasthule, County Dublin",Dublin,185000.0,No,Glasthule,Co. Dublin,q1,10%
10/01/2013,"4 Coldwell Street, Glasthule",Dublin,130000.0,No,Glasthule,Co. Dublin,q1,10%
02/05/2013,"24 Coldwell Street, Glasthule, Co. Dublin",Dublin,120000.0,No,Glasthule,Co. Dublin,q1,10%
02/07/2013,"8 Eden Terrace, Glasthule",Dublin,232023.0,No,Glasthule,Co. Dublin,q1,20%
04/09/2013,"26 Coldwell Street, Glasthule",Dublin,173000.0,No,Glasthule,Co. Dublin,q1,10%
13/09/2013,"44 O'Donnell Gardens, Glasthule",Dublin,255000.0,No,Glasthule,Co. Dublin,q1,30%
30/09/2013,"8 Findlater Street, Glasthule, County Dublin",Dublin,220000.0,No,Glasthule,Co. Dublin,q1,20%
03/10/2013,"4 Eden Park Mews, Eden Park, Glasthule",Dublin,300000.0,Yes,Glasthule,Co. Dublin,q2,30%
09/10/2013,"26 Eden Villas, Glasthule, County Dublin",Dublin,218000.0,No,Glasthule,Co. Dublin,q1,20%
06/11/2013,"6 Dixon Villas, Glasthule, Dublin",Dublin,345000.0,No,Glasthule,Co. Dublin,q2,50%
06/12/2013,"39 Glasthule Rd, Glasthule",Dublin,770000.0,No,Glasthule,Co. Dublin,q4,100%
03/03/2014,"7 Devitt Villas, Glasthule, Dublin",Dublin,528000.0,No,Glasthule,Co. Dublin,q4,80%
14/03/2014,"23 Eden Villas, Glasthule, Dublin",Dublin,387500.0,No,Glasthule,Co. Dublin,q3,60%
29/05/2014,"25 Congress Gardens, Glasthule",Dublin,286000.0,No,Glasthule,Co. Dublin,q2,30%
03/06/2014,"9 St Pauls Terrace, Glasthule, Dublin",Dublin,435000.0,No,Glasthule,Co. Dublin,q3,70%
03/07/2014,"4 Magenta Place, Glasthule",Dublin,445000.0,No,Glasthule,Co. Dublin,q3,80%
30/09/2014,"Buncraggy, Islington Ave, Glasthule",Dublin,530000.0,No,Glasthule,Co. Dublin,q4,80%
02/10/2014,"97 Eden Villas, Glasthule, Dublin",Dublin,305000.0,No,Glasthule,Co. Dublin,q2,40%
12/01/2015,"6 Lower Eden Rd, Glasthule, Dublin",Dublin,720000.0,No,Glasthule,Co. Dublin,q4,100%
30/01/2015,"24 Coldwell St, Glasthule, Dublin",Dublin,300000.0,No,Glasthule,Co. Dublin,q2,40%
18/02/2015,"Invicta, Harold Crescent, Glasthule",Dublin,675000.0,No,Glasthule,Co. Dublin,q4,100%
04/06/2015,"97 Eden Villas, Glasthule, Dublin",Dublin,395000.0,No,Glasthule,Co. Dublin,q3,60%
17/06/2015,"5 O Donnell Gardens, Glasthule, Dublin",Dublin,405000.0,No,Glasthule,Co. Dublin,q3,70%
31/07/2015,"14 Coldwell St, Glasthule, Dublin",Dublin,235000.0,No,Glasthule,Co. Dublin,q1,20%
20/08/2015,"21 Findlater St, Glasthule, Dublin",Dublin,265751.0,No,Glasthule,Co. Dublin,q1,30%
20/08/2015,"44 Coldwell St, Glasthule, Dublin",Dublin,215309.0,No,Glasthule,Co. Dublin,q1,20%
08/09/2015,"3 Coldwell St, Glasthule, Dublin",Dublin,200010.0,No,Glasthule,Co. Dublin,q1,20%
