date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
22/01/2010,"36 Glenageary Court, Glenageary",Dublin,345000.0,No,Glenageary,Co. Dublin,q1,20%
08/03/2010,"Falcondip, 23 Sion Road, Glenageary",Dublin,580000.0,No,Glenageary,Co. Dublin,q2,50%
03/05/2010,"Avalon, 64 Upper Albert Road, Glenageary",Dublin,475000.0,No,Glenageary,Co. Dublin,q2,30%
07/05/2010,"6 Kilcolman Court, Upper Glenageary Road, Glenageary",Dublin,300000.0,No,Glenageary,Co. Dublin,q1,10%
19/05/2010,"79 Glenageary Park, Glenageary, County Dublin",Dublin,450000.0,No,Glenageary,Co. Dublin,q2,30%
27/05/2010,"17 Hillcourt Road, Glenageary",Dublin,835000.0,No,Glenageary,Co. Dublin,q4,90%
21/06/2010,"13 Arnold Grove, Glenageary",Dublin,466129.0,No,Glenageary,Co. Dublin,q2,30%
30/06/2010,"94 Glenageary Avenue, Glenageary, Dublin",Dublin,422000.0,No,Glenageary,Co. Dublin,q1,30%
02/07/2010,"13 The Lodge, Glenageary Road Lower, Glenageary",Dublin,345000.0,No,Glenageary,Co. Dublin,q1,20%
09/07/2010,"31 Villarea Park, Glenageary, County Dublin",Dublin,645000.0,No,Glenageary,Co. Dublin,q3,60%
02/09/2010,"12 St. Catherines Road, Glenageary, Co. Dublin",Dublin,950000.0,No,Glenageary,Co. Dublin,q4,100%
06/09/2010,"29 Sion Road, Glenageary, Co. Dublin",Dublin,580000.0,No,Glenageary,Co. Dublin,q2,50%
09/09/2010,"142 Silchester Park, Glenageary",Dublin,705500.0,No,Glenageary,Co. Dublin,q3,80%
10/09/2010,"9 Glengara Park, Glenageary, .",Dublin,475000.0,No,Glenageary,Co. Dublin,q2,30%
13/09/2010,"31 Hillcourt Park, Glenageary, Co. Dublin",Dublin,565000.0,No,Glenageary,Co. Dublin,q2,50%
17/09/2010,"13 Greythorn Park, Glenageary",Dublin,465000.0,No,Glenageary,Co. Dublin,q2,30%
17/09/2010,"Number 3, Marlborough Road, Glenageary",Dublin,1960000.0,No,Glenageary,Co. Dublin,q4,100%
20/09/2010,"7 Glenageary Lodge, Glenageary",Dublin,511000.0,No,Glenageary,Co. Dublin,q2,40%
14/10/2010,"15 Glenageary Court, Glenageary, County Dublin",Dublin,320000.0,No,Glenageary,Co. Dublin,q1,10%
15/10/2010,"95 Glenageary Park, Glenageary, Co. Dublin",Dublin,452000.0,No,Glenageary,Co. Dublin,q2,30%
21/10/2010,"3 Sharavogue, Glenageary, Co Dublin",Dublin,570000.0,No,Glenageary,Co. Dublin,q2,50%
05/11/2010,"35 Bellevue Road, Glenageary",Dublin,489000.0,No,Glenageary,Co. Dublin,q2,40%
07/12/2010,"Redbridge, 204 Glenageary Road, Glenageary",Dublin,845000.0,No,Glenageary,Co. Dublin,q4,90%
09/12/2010,"14 Traverslea Wood, Glenageary",Dublin,392071.0,Yes,Glenageary,Co. Dublin,q1,20%
10/12/2010,"2 Claremont Villas, Adelaide Road, Glenageary",Dublin,610000.0,No,Glenageary,Co. Dublin,q2,50%
15/12/2010,"Ferndown, Marlborough Road, Glenageary",Dublin,1600000.0,No,Glenageary,Co. Dublin,q4,100%
20/12/2010,"30  Silchester Park, Glenageary",Dublin,535000.0,No,Glenageary,Co. Dublin,q2,40%
24/01/2011,"128 Glenageary Avenue, Glenageary",Dublin,412500.0,No,Glenageary,Co. Dublin,q1,30%
24/01/2011,"130 Glenageary Avenue, Glenageary",Dublin,465000.0,No,Glenageary,Co. Dublin,q2,30%
25/02/2011,"15 Upper Albert Road, Glenageary",Dublin,780000.0,No,Glenageary,Co. Dublin,q4,90%
04/05/2011,"18 Haddington Park, Glenageary",Dublin,405000.0,No,Glenageary,Co. Dublin,q1,20%
26/05/2011,"50 Glengara Park, Glenageary, County Dublin",Dublin,360000.0,No,Glenageary,Co. Dublin,q1,20%
26/05/2011,"82 Adelaide Road, Glenageary, Co. Dublin",Dublin,25000.0,No,Glenageary,Co. Dublin,q1,10%
27/05/2011,"10 St. Catherines Park, Glenageary",Dublin,620000.0,No,Glenageary,Co. Dublin,q2,50%
03/06/2011,"122 Silchester Park, Glenageary",Dublin,570000.0,No,Glenageary,Co. Dublin,q2,50%
22/07/2011,"179 Glenageary Park, Glenageary",Dublin,424000.0,No,Glenageary,Co. Dublin,q1,30%
04/08/2011,"2 Glenageary Hall, Glenageary",Dublin,610000.0,No,Glenageary,Co. Dublin,q2,50%
05/08/2011,"8 St Catherines Park, Glenageary",Dublin,629200.0,No,Glenageary,Co. Dublin,q3,60%
12/08/2011,"41 Glenageary Woods, Glenageary",Dublin,480000.0,No,Glenageary,Co. Dublin,q2,40%
29/08/2011,"146 Upper Glenageary Road, Glenageary, County Dublin",Dublin,391000.0,No,Glenageary,Co. Dublin,q1,20%
01/09/2011,"94 Silchester Park, Glenageary",Dublin,650000.0,No,Glenageary,Co. Dublin,q3,60%
01/09/2011,"Ashley, Adelaide Road  Glenageary, Co. Dublin",Dublin,1890000.0,No,Glenageary,Co. Dublin,q4,100%
23/09/2011,"59 Flower Grove, Glenageary",Dublin,465000.0,No,Glenageary,Co. Dublin,q2,30%
27/09/2011,"Strathdoon, 24 Marlborough Road, Glenageary",Dublin,1510000.0,No,Glenageary,Co. Dublin,q4,100%
17/11/2011,"5 Station Road, Glenageary",Dublin,500000.0,No,Glenageary,Co. Dublin,q2,40%
15/12/2011,"132 Silchester Park, Glenageary, Co. Dublin",Dublin,425000.0,No,Glenageary,Co. Dublin,q1,30%
16/12/2011,"21 Silchester Park, Glenageary",Dublin,425000.0,No,Glenageary,Co. Dublin,q1,30%
16/12/2011,"3 Claremont Villas, Glenageary",Dublin,650000.0,No,Glenageary,Co. Dublin,q3,60%
27/01/2012,"Salruck, Upper Glenageary Road, Glenageary",Dublin,568000.0,No,Glenageary,Co. Dublin,q2,50%
24/02/2012,"27 Lower Glenageary Road, Glenageary",Dublin,930000.0,No,Glenageary,Co. Dublin,q4,100%
24/02/2012,"7 Gowrie Park, Glenageary",Dublin,330000.0,No,Glenageary,Co. Dublin,q1,10%
12/03/2012,"83 Silchester Park, Glenageary",Dublin,579000.0,No,Glenageary,Co. Dublin,q2,50%
26/03/2012,"19 Arkendale Wood, Glenageary",Dublin,240000.0,No,Glenageary,Co. Dublin,q1,10%
30/03/2012,"32 Glenageary Lodge, Glenageary",Dublin,414000.0,No,Glenageary,Co. Dublin,q1,30%
13/04/2012,"20B  Park Road, Glenageary",Dublin,240000.0,No,Glenageary,Co. Dublin,q1,10%
03/05/2012,"Lauriston, Glenageary Road, Glenageary",Dublin,490000.0,No,Glenageary,Co. Dublin,q2,40%
04/05/2012,"1 St. Catherines Park, Glenageary",Dublin,700000.0,No,Glenageary,Co. Dublin,q3,70%
15/05/2012,"134 Upper Glenageary Road, Glenageary",Dublin,400000.0,No,Glenageary,Co. Dublin,q1,20%
