date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
11/02/2010,"42 Knocknashee, Goatstown",Dublin,750000.0,No,Goatstown,Dublin 14,q4,90%
12/02/2010,"22 Eden Park Road, Goatstown",Dublin,620000.0,No,Goatstown,Dublin 14,q3,70%
19/02/2010,"Thendara, Mount Anville Road, Goatstown",Dublin,490000.0,No,Goatstown,Dublin 14,q2,50%
25/02/2010,"26 Larchfield Road, Goatstown",Dublin,475000.0,No,Goatstown,Dublin 14,q2,50%
23/03/2010,"55 Taney Avenue, Goatstown",Dublin,425000.0,No,Goatstown,Dublin 14,q2,40%
26/04/2010,"29 Farmhill Road, Goatstown, Dublin 14",Dublin,502000.0,No,Goatstown,Dublin 14,q3,60%
30/04/2010,"9 Goatstown Avenue, Goatstown",Dublin,465000.0,No,Goatstown,Dublin 14,q2,50%
05/05/2010,"54 Mount Carmel Road, Goatstown",Dublin,500000.0,No,Goatstown,Dublin 14,q3,60%
06/05/2010,"14 Farmhill Drive, Goatstown",Dublin,600000.0,No,Goatstown,Dublin 14,q3,70%
03/06/2010,"35 Birchfield Park, Goatstown",Dublin,495000.0,No,Goatstown,Dublin 14,q2,50%
17/06/2010,"54 Farmhill Road, Goatstown, Dublin 14",Dublin,455000.0,No,Goatstown,Dublin 14,q2,40%
30/06/2010,"2 Eden Park Avenue, Goatstown",Dublin,455000.0,No,Goatstown,Dublin 14,q2,40%
02/07/2010,"21 Taney Grove, Dundrum, Goatstown",Dublin,457500.0,No,Goatstown,Dublin 14,q2,40%
08/07/2010,"19 Eden Park Drive, Goatstown, Dublin 14",Dublin,492500.0,No,Goatstown,Dublin 14,q2,50%
15/07/2010,"122 Mount Anville Park, Goatstown, Dublin 14",Dublin,707000.0,No,Goatstown,Dublin 14,q4,90%
16/07/2010,"83 Trimbleston, Goatstown Road",Dublin,400000.0,No,Goatstown,Dublin 14,q2,30%
23/07/2010,"6 Taney Rise, Goatstown",Dublin,470000.0,No,Goatstown,Dublin 14,q2,50%
26/07/2010,"7 Mount Anville Park, Goatstown",Dublin,978000.0,No,Goatstown,Dublin 14,q4,100%
10/08/2010,"17 Larchfield Park, Goatstown",Dublin,520000.0,No,Goatstown,Dublin 14,q3,60%
25/08/2010,"9 Birchfield Court, Goatstown",Dublin,460000.0,No,Goatstown,Dublin 14,q2,50%
30/08/2010,"122 Taney Crescent, Goatstown",Dublin,335000.0,No,Goatstown,Dublin 14,q1,20%
20/09/2010,"13  Farmhill Park, Goatstown",Dublin,355000.0,No,Goatstown,Dublin 14,q1,20%
28/09/2010,"16 Farmhill Road, Goatstown, Dublin 14",Dublin,490000.0,No,Goatstown,Dublin 14,q2,50%
12/10/2010,"24 Drummartin Terrace, Goatstown, Dublin 14",Dublin,275000.0,No,Goatstown,Dublin 14,q1,10%
11/11/2010,"34 Belfield Downs, Belfield, Goatstown Road",Dublin,425000.0,No,Goatstown,Dublin 14,q2,40%
15/12/2010,"Apartment 153 Trimbleston, Goatstown Road, Goatstown",Dublin,370044.05,Yes,Goatstown,Dublin 14,q1,20%
17/12/2010,"7 Drummartin Close, Goatstown",Dublin,385000.0,No,Goatstown,Dublin 14,q1,30%
