date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
25/01/2010,"412 South Block, Longboat Quay, Grand Canal",Dublin,210000.0,No,Grand Canal,Dublin 2,q1,20%
02/02/2010,"Apt 3  Block 10  Gallery Quay, Grand Canal Square  Dublini 2",Dublin,244500.0,No,Grand Canal,Dublin 2,q1,30%
16/04/2010,"59 Carlingford Parade, Lr. Grand Canal Street",Dublin,260000.0,No,Grand Canal,Dublin 2,q2,30%
06/08/2010,"Apartment 95, Forbes Quay, Grand Canal Harbour",Dublin,430000.0,No,Grand Canal,Dublin 2,q3,70%
05/10/2010,"Apartment 12 Block 4, Gallery Quay, Grand Canal Dock",Dublin,363000.0,No,Grand Canal,Dublin 2,q3,60%
08/10/2010,"Apartment 17  Block 2, Gallery Quay, Grand Canal Dock",Dublin,306500.0,No,Grand Canal,Dublin 2,q2,40%
15/10/2010,"120 Forbes Quay, Grand Canal Harbour, Dublin 2",Dublin,374449.0,Yes,Grand Canal,Dublin 2,q3,60%
18/10/2010,"Apartment 5  Block 6, Gallery Quay, Grand Canal Dock",Dublin,355000.0,No,Grand Canal,Dublin 2,q3,60%
03/11/2010,"122 Forbes Quay, Grand Canal Square, Dublin 2",Dublin,290000.0,Yes,Grand Canal,Dublin 2,q2,40%
16/02/2011,"Apt 12 Block 2, Gallery Quay, Grand Canal Dock",Dublin,295000.0,No,Grand Canal,Dublin 2,q2,40%
16/02/2011,"Apt 519 Longboat Quay, Grand Canal Dock, Dublin 2",Dublin,407000.0,No,Grand Canal,Dublin 2,q3,70%
21/02/2011,"44 Eblana Willas, Lower Grand Canal Street",Dublin,145000.0,No,Grand Canal,Dublin 2,q1,10%
11/04/2011,"Car Park Space76, Longboat Quay, Grand Canal Dock",Dublin,25000.0,No,Grand Canal,Dublin 2,q1,10%
01/06/2011,"101 Grand Canal Residence, Grand Canal Square, Hanover Quay  Grand Canal Harbour",Dublin,231000.0,No,Grand Canal,Dublin 2,q1,30%
24/06/2011,"Apartment 30 The Locks, Charlotte Quay Dock, Grand Canal Dock",Dublin,292000.0,No,Grand Canal,Dublin 2,q2,40%
15/07/2011,"Apartment No.93, Grand Canal Residences, Grand Canal Harbour",Dublin,237000.0,No,Grand Canal,Dublin 2,q1,30%
07/10/2011,"Apt 21 Block 2, Gallery Quat, Grand Canal Square",Dublin,279000.0,No,Grand Canal,Dublin 2,q2,40%
07/12/2011,"Apartment 87, Grand Canal Residences, Grand Canal Sqaure Hanover Quay",Dublin,150000.0,No,Grand Canal,Dublin 2,q1,10%
09/12/2011,"104 Grand Canal Residences, Grand Canal Square, Hanover Quay  Grand Canal Harbour",Dublin,130000.0,No,Grand Canal,Dublin 2,q1,10%
21/12/2011,"98 Grand Canal Residence, Grand Canal Square",Dublin,110000.0,Yes,Grand Canal,Dublin 2,q1,10%
03/02/2012,"88 Grand Canal Residences, Grand Canal Sq, Hanover Wuay",Dublin,165000.0,No,Grand Canal,Dublin 2,q1,10%
09/02/2012,"Apartment 21, Hanover Quarter, Grand Canal Dock",Dublin,310000.0,No,Grand Canal,Dublin 2,q2,50%
05/04/2012,"Apartment 16, Gallery Quay, Grand Canal Dock",Dublin,290000.0,No,Grand Canal,Dublin 2,q2,40%
02/05/2012,"28 Upper Grand Canal Street, Dublin 4",Dublin,475000.0,No,Grand Canal,Dublin 2,q4,80%
29/05/2012,"Apt 11  3Rd Floor  Block 1, Gallery Quay, Grand Canal Dock",Dublin,250000.0,No,Grand Canal,Dublin 2,q1,30%
10/07/2012,"102 Grand Canal Residences, Grand Canal Sq. Hanover Quay, Grand Canal Harbour",Dublin,115000.0,No,Grand Canal,Dublin 2,q1,10%
10/08/2012,"97 Grand Canal Residences, Grand Canal Square, Grand Canal Harbour",Dublin,199000.0,Yes,Grand Canal,Dublin 2,q1,20%
21/08/2012,"5 Albert Court, Grand Canal Street Lower",Dublin,90000.0,No,Grand Canal,Dublin 2,q1,10%
21/08/2012,"No. 2 & 3 Otherwise 2A Albert Court, Grand Canal Street",Dublin,90000.0,No,Grand Canal,Dublin 2,q1,10%
10/10/2012,"175 The Waterside, Charlotte Quay, Grand Canal Dock",Dublin,92000.0,No,Grand Canal,Dublin 2,q1,10%
09/11/2012,"5 Albert Court, Lower Grand Canal Street",Dublin,185000.0,No,Grand Canal,Dublin 2,q1,20%
14/11/2012,"Apartment 19  Block F, Hanover Wharf, Grand Canal Dock",Dublin,280000.0,No,Grand Canal,Dublin 2,q2,40%
05/12/2012,"92 Grand Canal Residence, Grand Canal Square, Hanover Quay  Grand Canal Harbour",Dublin,160000.0,No,Grand Canal,Dublin 2,q1,10%
10/12/2012,"9 Butlers Place, Grand Canal Dock",Dublin,230000.0,No,Grand Canal,Dublin 2,q1,30%
31/12/2012,"Apartment 17  Block 5, Gallery Quay, Grand Canal Dock",Dublin,199000.0,No,Grand Canal,Dublin 2,q1,20%
06/03/2013,"Apartment 72 Hanover Dock, Hanover Quay, Grand Canal Dock",Dublin,200000.0,No,Grand Canal,Dublin 2,q1,20%
11/03/2013,"Apartment 3 Block 4, Gallery Quay, Grand Canal Dock",Dublin,275000.0,No,Grand Canal,Dublin 2,q2,30%
02/04/2013,"Apt 26 Grand Canal Court, Herberton Road",Dublin,80000.0,No,Grand Canal,Dublin 2,q1,10%
18/04/2013,"Apartment 8, Block 12 Gallery Quay, Grand Canal Dock  D.4",Dublin,160000.0,No,Grand Canal,Dublin 2,q1,10%
10/06/2013,"24 Northumberland Place, Grand Canal Street",Dublin,195000.0,No,Grand Canal,Dublin 2,q1,20%
13/06/2013,"44 Upper Grand Canal, Street",Dublin,262500.0,No,Grand Canal,Dublin 2,q2,30%
18/07/2013,"Unit 90 Grand Canal Residences, Grand Canal Sq Hanover Quay, Grand Canal Harbour",Dublin,120000.0,No,Grand Canal,Dublin 2,q1,10%
20/08/2013,"46 Dock Mill, Barrow Street, Grand Canal Dock",Dublin,255000.0,No,Grand Canal,Dublin 2,q2,30%
22/08/2013,"53 Millenium Tower, Grand Canal Dock, Dublin 4",Dublin,317000.0,No,Grand Canal,Dublin 2,q2,50%
25/09/2013,"25 Albert Place East, Grand Canal Street",Dublin,450250.0,No,Grand Canal,Dublin 2,q3,80%
07/10/2013,"Apartment 17  Block 15, Gallery Quay  Grand Canal Dock",Dublin,198000.0,No,Grand Canal,Dublin 2,q1,20%
16/10/2013,"Flat 7, Northumberland Place, Grand Canal Street",Dublin,220000.0,No,Grand Canal,Dublin 2,q1,30%
18/10/2013,"15 Grand Canal Court, Herberton Road",Dublin,118950.0,Yes,Grand Canal,Dublin 2,q1,10%
13/11/2013,"3 Albert Place East, Grand Canal Street",Dublin,380000.0,No,Grand Canal,Dublin 2,q3,60%
04/12/2013,"Apt 11 3Rd Floor Block 1, Gallery Quay, Grand Canal Dock",Dublin,289000.0,No,Grand Canal,Dublin 2,q2,40%
20/12/2013,"Apt 1 The Malthouse, Grand Canal Quay",Dublin,210000.0,No,Grand Canal,Dublin 2,q1,20%
20/12/2013,"Apt 2 The Malthouse, Grand Canal Quay",Dublin,325000.0,No,Grand Canal,Dublin 2,q2,50%
20/12/2013,"Apt 74, Forbes Quay, Grand Canal Harbour Dublin 2",Dublin,260000.0,No,Grand Canal,Dublin 2,q2,30%
15/01/2014,"9 Gallery Quay, Grand Canal, Dublin",Dublin,208000.0,No,Grand Canal,Dublin 2,q1,20%
22/01/2014,"19 Albert Place East, Off Grand Canal Street, Dublin 2",Dublin,570000.0,No,Grand Canal,Dublin 2,q4,100%
22/01/2014,"9 Gallery Quay, Grand Canal, Dublin",Dublin,333000.0,No,Grand Canal,Dublin 2,q2,50%
06/02/2014,"6 Gallery Quay, Grand Canal Dock, Dublin",Dublin,208000.0,No,Grand Canal,Dublin 2,q1,20%
07/02/2014,"Apt 6 Block 9, Gallery Quay, Grand Canal Dock",Dublin,315000.0,No,Grand Canal,Dublin 2,q2,50%
26/02/2014,"17 Northumberland Place, Grand Canal Street, Dublin 4",Dublin,230000.0,No,Grand Canal,Dublin 2,q1,30%
28/02/2014,"1 Alto Vetro, Grand Canal Quay, Dublin 2",Dublin,9515419.0,No,Grand Canal,Dublin 2,q4,100%
25/03/2014,"124 Forbes Quay, Grand Canal Harbour, Dublin 2",Dublin,490000.0,No,Grand Canal,Dublin 2,q4,90%
27/05/2014,"6 Gallery Quay, Grand Canal Dock, Dublin",Dublin,330000.0,No,Grand Canal,Dublin 2,q2,50%
25/07/2014,"5 Forbes Quay, Grand Canal Dock, Dublin 2",Dublin,551000.0,No,Grand Canal,Dublin 2,q4,90%
31/07/2014,"Apt 48 Forbes Quay, Grand Canal Harbour, Dublin 2",Dublin,318000.0,No,Grand Canal,Dublin 2,q2,50%
04/09/2014,"37 Grand Canal St Upper, Dublin 4, Dublin",Dublin,710000.0,No,Grand Canal,Dublin 2,q4,100%
05/09/2014,"Block 3, 28 Gallery Quay, Grand Canal Dock",Dublin,525000.0,No,Grand Canal,Dublin 2,q4,90%
15/10/2014,"24 Lower Grand Canal Street, Dublin 2",Dublin,376000.0,No,Grand Canal,Dublin 2,q3,60%
30/10/2014,"Apartment 57, Grand Canal Wharf",Dublin,360000.0,No,Grand Canal,Dublin 2,q3,60%
12/11/2014,"Apartment 171  4Th Floor, Upper Grand Canal Street, Dublin 4",Dublin,395000.0,No,Grand Canal,Dublin 2,q3,70%
28/11/2014,"7 Forbes Quay, Grand Canal Harbour",Dublin,430000.0,No,Grand Canal,Dublin 2,q3,80%
02/12/2014,"62 Forbes Quay, Grand Canal Harbour, Lazer Lane",Dublin,406000.0,No,Grand Canal,Dublin 2,q3,70%
15/12/2014,"15 Grand Canal Wharf, South Dock Road, Grand Canal Dock",Dublin,369000.0,No,Grand Canal,Dublin 2,q3,60%
18/12/2014,"55 Grand Canal St, Dublin 4, Dublin",Dublin,700000.0,No,Grand Canal,Dublin 2,q4,100%
12/01/2015,"63 Forbes Quay, Lazer Lane, Grand Canal Dock",Dublin,204000.0,No,Grand Canal,Dublin 2,q1,20%
16/01/2015,"6 Rostrevor Terrace, Grand Canal St, Dublin",Dublin,117000.0,No,Grand Canal,Dublin 2,q1,10%
06/03/2015,"Apt 8, Grand Canal View, Jamess Walk Dublin 8",Dublin,177000.0,No,Grand Canal,Dublin 2,q1,20%
22/05/2015,"49 Forbes Quay, Grand Canal Sq, Dublin 2",Dublin,401000.0,No,Grand Canal,Dublin 2,q3,70%
12/06/2015,"22 Gallery Quay, Block 3, Grand Canal Dock",Dublin,175000.0,No,Grand Canal,Dublin 2,q1,20%
12/06/2015,"9 Albert Court East, Grand Canal Street, Dublin 2",Dublin,850000.0,No,Grand Canal,Dublin 2,q4,100%
19/06/2015,"20 Lower Grand Canal St, Dublin 2, Dublin",Dublin,625000.0,No,Grand Canal,Dublin 2,q4,100%
10/07/2015,"Apt 20 Block 14, Gallery Quay, Grand Canal Dock",Dublin,485000.0,No,Grand Canal,Dublin 2,q4,90%
15/07/2015,"Apt 23, Grand Canal Wharf, South Dock Rd Dublin 4",Dublin,282000.0,No,Grand Canal,Dublin 2,q2,40%
25/08/2015,"13  Albert Place East, Lower Grand Canal Street, Dublin 2",Dublin,556000.0,No,Grand Canal,Dublin 2,q4,90%
29/10/2015,"Apt 61, Grand Canal Wharf, South Dock Rd Dublin 4",Dublin,290000.0,No,Grand Canal,Dublin 2,q2,40%
19/11/2015,"Apartment 7 Block 2, Gallery Quay Grand Canal Quay, Dublin 2",Dublin,455000.0,No,Grand Canal,Dublin 2,q3,80%
20/11/2015,"Apt 8 Block 4 Gallery Quay, Grand Canal Dock, Dublin 2",Dublin,265000.0,No,Grand Canal,Dublin 2,q2,30%
29/12/2015,"17 Island Villa, Lower Grand Canal Street, Dublin 2",Dublin,322000.0,No,Grand Canal,Dublin 2,q2,50%
15/01/2016,"28 Greenore Terrace, Off Lr Grand Canal St, Dublin 2",Dublin,307500.0,No,Grand Canal,Dublin 2,q2,40%
05/02/2016,"27 Gallery Quay, Block 2, Grand Canal Dock Dublin 2",Dublin,770000.0,No,Grand Canal,Dublin 2,q4,100%
06/04/2016,"48 Upper Grand Canal St, Dublin 4, Dublin",Dublin,675000.0,No,Grand Canal,Dublin 2,q4,100%
06/04/2016,"Apt 47 Forbes Quay Grand Canal Sq, Dublin 2, Dublin",Dublin,485000.0,No,Grand Canal,Dublin 2,q4,90%
08/04/2016,"Apartment 5 Block 7, Gallery Quay, Grand Canal Dock",Dublin,265000.0,No,Grand Canal,Dublin 2,q2,30%
14/04/2016,"Apt 7, Block 6 Gallery Quay, Grand Canal Dock",Dublin,390000.0,No,Grand Canal,Dublin 2,q3,70%
25/04/2016,"Apt 4, The Malt House, Grand Canal Quay Dublin 2",Dublin,475000.0,No,Grand Canal,Dublin 2,q4,80%
06/05/2016,"98 Hanover Dock, Grand Canal Dock, Dublin 2",Dublin,670000.0,No,Grand Canal,Dublin 2,q4,100%
19/05/2016,"35 Northumberland Place, Grand Canal St, Dublin 4",Dublin,350000.0,No,Grand Canal,Dublin 2,q3,60%
10/06/2016,"Apt 22 Block 1, Gallery Quay, Grand Canal Dock Dublin 2",Dublin,421500.0,No,Grand Canal,Dublin 2,q3,70%
07/07/2016,"Apt 3 The Malt House, Grand Canal Quay, Dublin 2",Dublin,492500.0,No,Grand Canal,Dublin 2,q4,90%
21/07/2016,"10 Emerald Cottages, Grand Canal St Upper, Dublin 4",Dublin,459000.0,No,Grand Canal,Dublin 2,q4,80%
20/09/2016,"44 The Waterfront, Hanover Quay, Grand Canal Dock Dublin 2",Dublin,550000.0,No,Grand Canal,Dublin 2,q4,90%
29/09/2016,"Apt 12, Grand Canal Wharf, South Dock Rd Dublin 4",Dublin,252000.0,No,Grand Canal,Dublin 2,q2,30%
11/10/2016,"Apt 98, Grand Canal Residence, Grand Canal Sq Dublin 4",Dublin,295000.0,No,Grand Canal,Dublin 2,q2,40%
21/10/2016,"11 Albert Place East, Grand Canal St, Dublin 2",Dublin,820000.0,No,Grand Canal,Dublin 2,q4,100%
25/11/2016,"Apt 95 Block 6, Grand Canal Square Residences, Lazer Lane Dublin 2",Dublin,455000.0,No,Grand Canal,Dublin 2,q4,80%
01/12/2016,"Apt 5, Block 3 Gallery Quay, Grand Canal Dock",Dublin,329000.0,No,Grand Canal,Dublin 2,q2,50%
08/12/2016,"Apt 8 Block 1 Gallery Quay, Grand Canal Dock, Dublin 2",Dublin,395000.0,No,Grand Canal,Dublin 2,q3,70%
13/12/2016,"97 Grand Canal Residences, Grand Canal Sq, Grand Canal Harbour",Dublin,445000.0,No,Grand Canal,Dublin 2,q3,80%
18/12/2016,"16 The Locks, Charlotte Quay, Grand Canal Dock Dublin 4",Dublin,450000.0,No,Grand Canal,Dublin 2,q3,80%
19/12/2016,"Apt 10 Block 8 Gallery Quay, Grand Canal Dock, Dublin 2",Dublin,175000.0,No,Grand Canal,Dublin 2,q1,20%
05/01/2017,"35 Forbes Quay, Sir George Rogersons Quay, Grand Canal Sq",Dublin,453000.0,No,Grand Canal,Dublin 2,q3,80%
20/01/2017,"67 Grand Canal St Upper, Dublin 4, Dublin",Dublin,1075000.0,No,Grand Canal,Dublin 2,q4,100%
27/01/2017,"30 Grand Canal St Upper, Dublin 4, Dublin",Dublin,1250000.0,No,Grand Canal,Dublin 2,q4,100%
24/03/2017,"22 Grand Canal Wharf, South Dock St, Dublin 4",Dublin,415000.0,No,Grand Canal,Dublin 2,q3,70%
05/04/2017,"28 Greenore Terrace, Off Lr Grand Canal St, Dublin 2",Dublin,337500.0,No,Grand Canal,Dublin 2,q2,50%
07/04/2017,"215 Charlott Quay Dock, Grand Canal, Dublin 4",Dublin,440000.0,No,Grand Canal,Dublin 2,q3,80%
24/05/2017,"62 Forbes Quay, Grand Canal Harbour, Lazer Lane",Dublin,475000.0,No,Grand Canal,Dublin 2,q4,90%
09/06/2017,"11 Lower Grand Canal Stre, Dublin, Dublin 2",Dublin,280000.0,No,Grand Canal,Dublin 2,q2,40%
30/06/2017,"12 Island Villas, Grand Canal St Lower, Dublin",Dublin,355000.0,No,Grand Canal,Dublin 2,q3,60%
30/08/2017,"Apt 1, 4 Lower Grand Canal St, Dublin 4",Dublin,215000.0,No,Grand Canal,Dublin 2,q1,20%
22/09/2017,"6 Rostrevor Terrace, Grand Canal St, Dublin",Dublin,312000.0,No,Grand Canal,Dublin 2,q2,50%
27/10/2017,"5 Albert Court, Lower Grand Canal St, Dublin City",Dublin,500000.0,No,Grand Canal,Dublin 2,q4,90%
03/11/2017,"33 Elbana Villa, Grand Canal St, Dublin 2",Dublin,333000.0,No,Grand Canal,Dublin 2,q2,50%
06/12/2017,"11 Grand Canal Wharf, South Dock Rd, Dublin 4",Dublin,427000.0,No,Grand Canal,Dublin 2,q3,70%
31/01/2018,"26 Lower, Grand Canal St, Dublin 2",Dublin,715000.0,No,Grand Canal,Dublin 2,q4,100%
12/03/2018,"86 Grand Canal Residences, Forbes St, Grand Canal Dock Dublin 2",Dublin,465000.0,No,Grand Canal,Dublin 2,q4,80%
21/05/2018,"11 Forbes Quay, Grand Canal Harbour, Dublin 2",Dublin,630000.0,No,Grand Canal,Dublin 2,q4,100%
23/05/2018,"32 Northhumberland Place, Grand Canal St Upr, Dublin 4",Dublin,352000.0,No,Grand Canal,Dublin 2,q3,60%
31/07/2018,"64 Grand Canal Wharf, South Dock Rd, Dublin 4",Dublin,465000.0,No,Grand Canal,Dublin 2,q4,80%
03/08/2018,"36 Forbes Quay, Grand Canal Sq, Dublin 2",Dublin,425000.0,No,Grand Canal,Dublin 2,q3,70%
22/08/2018,"Apt 26, Grand Canal Court, Herberton Rd Dublin 8",Dublin,225500.0,No,Grand Canal,Dublin 2,q1,30%
28/08/2018,"2 Island Villas, Grand Canal St, Dublin 2",Dublin,440000.0,No,Grand Canal,Dublin 2,q3,80%
04/09/2018,"10 Albert Place East, Grand Canal St Lower, Dublin 2",Dublin,810000.0,No,Grand Canal,Dublin 2,q4,100%
11/09/2018,"43 The Waterfront, Grand Canal, Dublin 2",Dublin,391000.0,No,Grand Canal,Dublin 2,q3,70%
19/09/2018,"711 Longboat Quay, North Block, Grand Canal Dock Dublin 4",Dublin,495000.0,No,Grand Canal,Dublin 2,q4,90%
19/09/2018,"717 Long Boat Quay, Grand Canal Dock, Dublin 4",Dublin,495000.0,No,Grand Canal,Dublin 2,q4,90%
25/09/2018,"Apt 5 Block 8, Gallery Quay, Grand Canal Dock",Dublin,275000.0,No,Grand Canal,Dublin 2,q2,40%
26/09/2018,"72 Forbes Quay, Grand Canal Sq, Dublin 2",Dublin,385000.0,No,Grand Canal,Dublin 2,q3,60%
18/10/2018,"103 Grand Canal Sq, Forbes St, Docklands Dublin 2",Dublin,395000.0,No,Grand Canal,Dublin 2,q3,70%
19/10/2018,"62Penbroke Sq, Grand Canal St, Dublin 4",Dublin,455000.0,No,Grand Canal,Dublin 2,q4,80%
26/10/2018,"10 Lower Grand Canal St, Dublin 2, Dublin",Dublin,321959.0,No,Grand Canal,Dublin 2,q2,50%
