date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
05/02/2010,"87 St. Conleths Road, Greenhills, Dublin 12",Dublin,262000.0,No,Greenhills,Dublin 12,q1,20%
26/03/2010,"1 Templemanor Avenue, Greenhills, Dublin 12",Dublin,289000.0,No,Greenhills,Dublin 12,q2,30%
04/11/2010,"1 Temple Manor, Greenhills, Dublin 12",Dublin,280000.0,No,Greenhills,Dublin 12,q1,30%
08/11/2010,"225 St. James Road, Greenhills, Dublin 12",Dublin,220000.0,No,Greenhills,Dublin 12,q1,10%
31/08/2011,"96 St James Road, Greenhills",Dublin,200000.0,No,Greenhills,Dublin 12,q1,10%
25/11/2011,"35 St Conleth'S Road, Greenhills Estate, Dublin 12",Dublin,165000.0,No,Greenhills,Dublin 12,q1,10%
19/12/2011,"56 St. James Road, Greenhills, Dublin 12",Dublin,250000.0,No,Greenhills,Dublin 12,q1,20%
13/01/2012,"31 Limekiln Park, Greenhills",Dublin,247500.0,No,Greenhills,Dublin 12,q1,20%
07/02/2013,"15 Parkview, Greenhills",Dublin,172000.0,No,Greenhills,Dublin 12,q1,10%
24/05/2013,"23 St. Columba'S Road, Greenhills",Dublin,185000.0,No,Greenhills,Dublin 12,q1,10%
11/11/2013,"44 St Brendan'S Crescent, Greenhills, Dublin 12",Dublin,231000.0,No,Greenhills,Dublin 12,q1,20%
12/12/2013,"63 St Josephs Rd, Greenhills, Dublin 12",Dublin,239000.0,No,Greenhills,Dublin 12,q1,20%
19/12/2013,"20 Walkinstown Rd, Greenhills Rd, Dublin 12",Dublin,221000.0,No,Greenhills,Dublin 12,q1,10%
04/04/2014,"8 Greentrees Rd, Greenhills, Dublin 12",Dublin,435000.0,No,Greenhills,Dublin 12,q4,100%
12/06/2014,"134 St Peters Road, Greenhills, Dublin 12",Dublin,241000.0,No,Greenhills,Dublin 12,q1,20%
29/08/2014,"3 St Mels Ave, Greenhills, Dublin 12",Dublin,250000.0,No,Greenhills,Dublin 12,q1,20%
18/09/2014,"St Paul'S Convent, Greenhills, Dublin 12",Dublin,985000.0,No,Greenhills,Dublin 12,q4,100%
06/10/2014,"Gortgrib, 167 Limekiln Rd, Greenhills Dublin 12",Dublin,340000.0,No,Greenhills,Dublin 12,q3,70%
29/10/2014,"32 Fernhill Rd, Greenhills, Dublin 12",Dublin,425000.0,No,Greenhills,Dublin 12,q4,100%
20/11/2014,"70 St Patricks Rd, Greenhills, Dublin 12",Dublin,295000.0,No,Greenhills,Dublin 12,q2,30%
04/12/2014,"25 St Killians Ave, Greenhills, Dublin 12",Dublin,305000.0,No,Greenhills,Dublin 12,q2,40%
05/12/2014,"6 St Peters Dr, Greenhills, Dublin 12",Dublin,310000.0,No,Greenhills,Dublin 12,q2,40%
23/01/2015,"Apt 54, Greenhills Court, Greenhills Rd Dublin 24",Dublin,1900000.0,No,Greenhills,Dublin 12,q4,100%
15/04/2015,"328 St James Rd, Greenhills, Dublin 12",Dublin,238000.0,No,Greenhills,Dublin 12,q1,20%
24/04/2015,"1 St Bridgets Dr, Greenhills, Dublin 12",Dublin,315000.0,No,Greenhills,Dublin 12,q2,50%
29/05/2015,"43 St Jamess Rd, Greenhills, Dublin 12",Dublin,242000.0,No,Greenhills,Dublin 12,q1,20%
10/06/2015,"64 St Patricks Rd, Greenhills, Dublin 12",Dublin,319000.0,No,Greenhills,Dublin 12,q2,50%
03/07/2015,"20 Walkinstown Rd, Greenhills Rd, Dublin 12",Dublin,340000.0,No,Greenhills,Dublin 12,q3,70%
08/07/2015,"14 Temple Manor Dr, Greenhills, Dublin 12",Dublin,300000.0,No,Greenhills,Dublin 12,q2,30%
20/07/2015,"23 St Malachys Dr, Greenhills, Dublin 12",Dublin,280000.0,No,Greenhills,Dublin 12,q1,30%
22/07/2015,"29 Limekiln Green, Greenhills, Dublin 12",Dublin,243000.0,No,Greenhills,Dublin 12,q1,20%
27/08/2015,"53 St Brendans Crescent, Greenhills, Dublin",Dublin,263000.0,No,Greenhills,Dublin 12,q1,20%
23/09/2015,"23 St Peter'S Cresent, Greenhills, Dublin 12",Dublin,262000.0,No,Greenhills,Dublin 12,q1,20%
30/10/2015,"43 St Malachys Dr, Greenhills Estate, Dublin 12",Dublin,270000.0,No,Greenhills,Dublin 12,q1,30%
25/11/2015,"78 St Columbas Rd, Greenhills, Dublin 12",Dublin,325000.0,No,Greenhills,Dublin 12,q3,60%
11/12/2015,"52 St Columbas Rd, Greenhills, Dublin 12",Dublin,290000.0,No,Greenhills,Dublin 12,q2,30%
11/01/2016,"19 St James Rd, Greenhills Estate, Dublin 12",Dublin,280000.0,No,Greenhills,Dublin 12,q1,30%
21/01/2016,"111 St Jamess Rd, Greenhills, Dublin 12",Dublin,278000.0,No,Greenhills,Dublin 12,q1,30%
18/02/2016,"5 St Brendans Crescent, Greenhills, Dublin 12",Dublin,256000.0,No,Greenhills,Dublin 12,q1,20%
10/03/2016,"16 St Gerards Rd, Greenhills, Dublin 12",Dublin,331000.0,No,Greenhills,Dublin 12,q3,60%
21/04/2016,"Apt 63, New Bancroft Hall, Greenhills Rd Extension Dublin 24",Dublin,176500.0,No,Greenhills,Dublin 12,q1,10%
22/06/2016,"54 St Patricks Rd, Greenhills, Dublin 12",Dublin,337500.0,No,Greenhills,Dublin 12,q3,70%
30/06/2016,"4 St Columbas Rd, Greenhills, Dublin 12",Dublin,330000.0,No,Greenhills,Dublin 12,q3,60%
04/08/2016,"Apt 41, New Bancroft Hall, Greenhills Rd Extension Dublin 24",Dublin,227500.0,No,Greenhills,Dublin 12,q1,10%
06/09/2016,"35 St Patricks Rd, Greenhills, Dublin 12",Dublin,313000.0,No,Greenhills,Dublin 12,q2,50%
08/09/2016,"24 St Peter'S Crescent, Greenhills, Dublin 12",Dublin,295000.0,No,Greenhills,Dublin 12,q2,30%
17/10/2016,"5 Kilmashogue Dr, Greenhills, Dublin 24",Dublin,340000.0,No,Greenhills,Dublin 12,q3,70%
17/10/2016,"98 St Josephs Rd, Greenhills, Dublin 12",Dublin,300000.0,No,Greenhills,Dublin 12,q2,30%
24/11/2016,"8 Wilkins View, Greenhills",Dublin,383259.0,Yes,Greenhills,Dublin 12,q4,80%
06/12/2016,"36 St James Road, Greenhills, Dublin 12",Dublin,305000.0,No,Greenhills,Dublin 12,q2,40%
08/12/2016,"196 St Peters Rd, Greenhills, Dublin 12",Dublin,350000.0,No,Greenhills,Dublin 12,q3,80%
12/12/2016,"228 St Jamess Rd, Greenhills, Dublin 12",Dublin,300000.0,No,Greenhills,Dublin 12,q2,40%
16/12/2016,"18 Wilkins View, Greenhills, Dublin 12",Dublin,409692.0,Yes,Greenhills,Dublin 12,q4,90%
20/12/2016,"14 Wilkins View, Greenhills, Dublin 12",Dublin,494216.0,Yes,Greenhills,Dublin 12,q4,100%
21/12/2016,"24  Wilkin'S View, Greenhills",Dublin,406110.0,Yes,Greenhills,Dublin 12,q4,90%
26/01/2017,"23 Limekiln Dr, Greenhills, Dublin 12",Dublin,370000.0,No,Greenhills,Dublin 12,q4,80%
06/02/2017,"113 St Patricks Rd, Greenhills, Dublin 12",Dublin,332000.0,No,Greenhills,Dublin 12,q3,70%
16/03/2017,"158 St Jamess Rd, Greenhills, Dublin 12",Dublin,280000.0,No,Greenhills,Dublin 12,q1,30%
31/03/2017,"2 Wilkins View, Greenhills, Dublin 12",Dublin,528634.36,Yes,Greenhills,Dublin 12,q4,100%
03/04/2017,"1 Greenhills Road, Tallagh, Dublin 24",Dublin,325000.0,No,Greenhills,Dublin 12,q3,60%
24/04/2017,"36 Wilkins View, Greenhills, Dublin 12",Dublin,396475.77,Yes,Greenhills,Dublin 12,q4,90%
11/05/2017,"No. 38 Wilkins View, Greenhills, Dublin 12",Dublin,396476.0,Yes,Greenhills,Dublin 12,q4,90%
17/05/2017,"249 St Jamess Rd, Greenhills, Dublin 12",Dublin,263000.0,No,Greenhills,Dublin 12,q1,30%
02/06/2017,"48 Wilkins View, Greenhills, Dublin 12",Dublin,400881.0,Yes,Greenhills,Dublin 12,q4,90%
06/06/2017,"80 St Jamess Rd, Greenhills, Dublin 12",Dublin,305150.0,No,Greenhills,Dublin 12,q2,40%
12/06/2017,"22 Wilkins View, Greenhills",Dublin,408810.57,Yes,Greenhills,Dublin 12,q4,90%
16/06/2017,"50 Wilkins View, Greenhills, Dublin 12",Dublin,392070.0,Yes,Greenhills,Dublin 12,q4,90%
20/06/2017,"30 Wilkins View, Greenhills, Dublin 12",Dublin,475770.91,Yes,Greenhills,Dublin 12,q4,100%
21/06/2017,"44  Wilkins View, Greenhills",Dublin,475770.93,Yes,Greenhills,Dublin 12,q4,100%
04/07/2017,"Site 56 Wilkins View, Greenhills, Dublin 12",Dublin,409690.0,Yes,Greenhills,Dublin 12,q4,90%
10/07/2017,"56 Saint Brendon Crescent, Greenhills, Dublin 12",Dublin,340000.0,No,Greenhills,Dublin 12,q3,70%
19/07/2017,"334 St Jamess Rd, Greenhills, Dublin 12",Dublin,310000.0,No,Greenhills,Dublin 12,q2,40%
19/07/2017,"60 St Anthony'S Crescent, Greenhills, Dublin 12",Dublin,306000.0,No,Greenhills,Dublin 12,q2,40%
