date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
21/01/2010,"38 Walnut Rise  Courtlands, Off Griffith Avenue, Dublin",Dublin,490000.0,No,Griffith Avenue,Dublin 9,q4,80%
26/03/2010,"150 Charlemont, Griffith Avenue",Dublin,380000.0,No,Griffith Avenue,Dublin 9,q3,60%
16/04/2010,"2 The Copse, All Hallows, Griffith Avenue",Dublin,1000000.0,No,Griffith Avenue,Dublin 9,q4,100%
19/04/2010,"4 The Copse, Griffith Avenue, Dublin 9",Dublin,840000.0,No,Griffith Avenue,Dublin 9,q4,100%
17/06/2010,"278 Charlemont, Off Griffith Avenue",Dublin,477000.0,No,Griffith Avenue,Dublin 9,q3,80%
26/08/2010,"141 Griffith Avenue, Dublin 9",Dublin,485000.0,No,Griffith Avenue,Dublin 9,q3,80%
20/09/2010,"7  Turlough Parade, Griffith Avenue, Fairview",Dublin,305000.0,No,Griffith Avenue,Dublin 9,q1,30%
25/11/2010,"173 Charlemont, Griffith Avenue",Dublin,399000.0,No,Griffith Avenue,Dublin 9,q3,70%
28/02/2011,"64 Griffith Avenue, Clonturk, Dublin",Dublin,560000.0,No,Griffith Avenue,Dublin 9,q4,90%
01/04/2011,"252 Charlemont, Griffith Avenue, Dublin 9",Dublin,353000.0,No,Griffith Avenue,Dublin 9,q2,50%
14/06/2011,"358 Griffith Avenue, Dublin 9",Dublin,405000.0,No,Griffith Avenue,Dublin 9,q3,70%
11/07/2011,"13 Beresford Lawn, Griffith Avenue",Dublin,1010000.0,No,Griffith Avenue,Dublin 9,q4,100%
21/07/2011,"50 All Hallows Square, Beresford, Griffith Avenue",Dublin,315000.0,No,Griffith Avenue,Dublin 9,q1,30%
04/07/2012,"94 Charlemont, Griffith Avenue",Dublin,351000.0,No,Griffith Avenue,Dublin 9,q2,40%
10/07/2012,"3 The Woods, Charlemont, Griffith Avenue",Dublin,200000.0,No,Griffith Avenue,Dublin 9,q1,10%
12/07/2012,"8 Walnut Court, Courtlands, Griffith Avenue",Dublin,350000.0,No,Griffith Avenue,Dublin 9,q2,40%
22/09/2012,"20 Walnut Court, Courtlands, Off Griffith Avenue",Dublin,375000.0,No,Griffith Avenue,Dublin 9,q3,60%
22/10/2012,"156 Charlemont, Griffith Avenue, Dublin 9",Dublin,283000.0,No,Griffith Avenue,Dublin 9,q1,20%
04/12/2012,"202 Charlemont, Griffith Avenue, Dublin",Dublin,360000.0,No,Griffith Avenue,Dublin 9,q2,50%
21/06/2013,"314 Charlemont, Griffith Avenue, Dublin 9",Dublin,370000.0,No,Griffith Avenue,Dublin 9,q2,50%
01/08/2013,"193 Charlemont, Griffith Avenue",Dublin,288000.0,No,Griffith Avenue,Dublin 9,q1,20%
20/09/2013,"6 Beresford Lawn, Griffith Avenue",Dublin,665500.0,No,Griffith Avenue,Dublin 9,q4,90%
16/05/2014,"8 Turlough Parade, Off Griffith Avenue, Marino",Dublin,350000.0,No,Griffith Avenue,Dublin 9,q2,40%
27/05/2014,"Apt 103 Griffith Hal, Griffith Avenue",Dublin,160000.0,No,Griffith Avenue,Dublin 9,q1,10%
20/11/2014,"9 College View, Griffith Avenue, Dublin 9",Dublin,120000.0,No,Griffith Avenue,Dublin 9,q1,10%
16/12/2014,"134 Charlemont, Griffith Avenue",Dublin,390000.0,No,Griffith Avenue,Dublin 9,q3,70%
12/05/2015,"285 Charlemont, Griffith Avenue, Dublin 9",Dublin,390000.0,No,Griffith Avenue,Dublin 9,q3,70%
23/06/2015,"320 Charlemont, Griffith Avenue, Dublin 9",Dublin,370000.0,No,Griffith Avenue,Dublin 9,q2,50%
06/07/2015,"11 Rosemount, Glandore Road, Griffith Avenue",Dublin,315000.0,No,Griffith Avenue,Dublin 9,q2,30%
18/09/2015,"312 Charlemont, Off Griffith Avenue",Dublin,385000.0,No,Griffith Avenue,Dublin 9,q3,60%
29/10/2015,"Apt 54 Block D, Griffith Hall, Griffith Avenue",Dublin,258000.0,No,Griffith Avenue,Dublin 9,q1,10%
14/10/2016,"7 Walnut Rise, Griffith Avenue, Dublin 9",Dublin,492500.0,No,Griffith Avenue,Dublin 9,q4,90%
22/12/2017,"104 Walnut Rise, Courtlands, Griffith Avenue",Dublin,510000.0,No,Griffith Avenue,Dublin 9,q4,90%
02/07/2018,"Apt 103 Griffith Hall, Griffith Avenue, Dublin 9",Dublin,345000.0,No,Griffith Avenue,Dublin 9,q2,40%
03/04/2019,"174 Charlemont, Griffith Avenue, Dublin 9",Dublin,300000.0,No,Griffith Avenue,Dublin 9,q1,20%
23/07/2019,"34 Ashford Apartsments, Griffith Avenue Extension, Dublin 11",Dublin,275000.0,No,Griffith Avenue,Dublin 9,q1,20%
30/08/2019,"32 Glandore Road, Griffith Avenue, Dublin 9",Dublin,935000.0,No,Griffith Avenue,Dublin 9,q4,100%
