date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
26/02/2010,"Apartment 20, The Waterfront, Hanover Quay",Dublin,285000.0,Yes,Hanover Quay,Dublin 2,q1,30%
01/03/2010,"Apartment 10, The Waterfront, Hanover Quay",Dublin,436366.0,Yes,Hanover Quay,Dublin 2,q2,40%
15/03/2010,"Apartment 415, Longboat Quay South, Hanover Quay",Dublin,210000.0,No,Hanover Quay,Dublin 2,q1,20%
23/04/2010,"Apartment 21, The Waterfront, Hanover Quay",Dublin,212000.0,No,Hanover Quay,Dublin 2,q1,20%
30/04/2010,"Apartment 8 The Waterfront, Hanover Quay, Dublin 2",Dublin,250000.0,No,Hanover Quay,Dublin 2,q1,30%
10/06/2010,"15 The Waterfront, Hanover Quay",Dublin,440000.0,Yes,Hanover Quay,Dublin 2,q2,40%
18/06/2010,"Apartment 2, The Waterfront, Hanover Quay  Dublin 2",Dublin,205000.0,No,Hanover Quay,Dublin 2,q1,20%
02/07/2010,"Unit 64  The Waterfront, Hanover Quay",Dublin,24050.65,Yes,Hanover Quay,Dublin 2,q1,10%
23/07/2010,"Apartment 4  Ground Floor, Block 1  The Waterfront, Hanover Quay",Dublin,220000.0,Yes,Hanover Quay,Dublin 2,q1,20%
31/08/2010,"Apartment 19, The Waterfront, Hanover Quay",Dublin,195000.0,No,Hanover Quay,Dublin 2,q1,20%
17/09/2010,"55 The Waterfront, Hanover Quay",Dublin,249000.0,Yes,Hanover Quay,Dublin 2,q1,30%
03/12/2010,"12  Block F Hanover Wharf, Hanover Quay",Dublin,100000.0,No,Hanover Quay,Dublin 2,q1,10%
27/05/2011,"32 The Waterfront, Hanover Quay, Dublin 2",Dublin,185022.0,Yes,Hanover Quay,Dublin 2,q1,20%
30/06/2011,"Apartment 133 Longboat Quay North, Hanover Quay",Dublin,225000.0,No,Hanover Quay,Dublin 2,q1,20%
30/09/2011,"86 Grand Canal Residencies, Grand Canal Square, Hanover Quay",Dublin,160000.0,Yes,Hanover Quay,Dublin 2,q1,10%
28/10/2011,"100 Grand Canal Residence, Grand Canal Square, Hanover Quay",Dublin,115000.0,No,Hanover Quay,Dublin 2,q1,10%
