date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
22/01/2010,"1 Barnwell Way, Barnwell  Hansfield, Dublin 15",Dublin,236499.0,Yes,Hansfield,Dublin 15,q1,20%
16/02/2010,"16 Barnwell Green, Barnwell, Hansfield",Dublin,325000.0,Yes,Hansfield,Dublin 15,q4,80%
29/03/2010,"4 Barnwell Crescent, Barnwell, Hansfield",Dublin,231113.5,Yes,Hansfield,Dublin 15,q1,20%
30/03/2010,"1 Barnwell Avenue, Barnwell, Hansfield",Dublin,224950.0,Yes,Hansfield,Dublin 15,q1,20%
04/06/2010,"29 Barnwell Place, Barnwell, Hansfield",Dublin,164757.7,Yes,Hansfield,Dublin 15,q1,10%
21/06/2010,"8  Barnwell Crescent, Barnwell, Hansfield",Dublin,227558.08,Yes,Hansfield,Dublin 15,q1,20%
24/06/2010,"39 Barnwell Place, Hansfield, Dublin 15",Dublin,194582.0,Yes,Hansfield,Dublin 15,q1,20%
30/09/2010,"9 Barnwell Road, Barnwell, Hansfield",Dublin,222423.0,Yes,Hansfield,Dublin 15,q1,20%
14/10/2010,"2 Barnwell Avenue, Barnwell  Hansfield, Dublin 15",Dublin,36028.3,Yes,Hansfield,Dublin 15,q1,10%
12/11/2010,"15 Barnwell Avenue, Barnwell, Hansfield",Dublin,312607.79,Yes,Hansfield,Dublin 15,q3,80%
22/12/2010,"25 Barwell Place, Barnwell, Hansfield",Dublin,182000.0,Yes,Hansfield,Dublin 15,q1,20%
22/12/2010,"33 Barnwell Place  Barnwell, Hansfield",Dublin,152644.0,Yes,Hansfield,Dublin 15,q1,10%
03/02/2011,"3 Barnwell Way, Hansfield",Dublin,213000.0,Yes,Hansfield,Dublin 15,q1,20%
18/03/2011,"10 Barnwell Way, Barnwell  Hansfield, Dublin 15",Dublin,180000.0,Yes,Hansfield,Dublin 15,q1,10%
18/03/2011,"4 Barnwell Way, Barnwell  Hansfield, Dublin 15",Dublin,180000.0,Yes,Hansfield,Dublin 15,q1,10%
21/03/2011,"Unit 12 Barnwell Way, Barnwell, Hansfield",Dublin,183259.91,Yes,Hansfield,Dublin 15,q1,20%
31/03/2011,"7 Barnwell Road, Hansfield",Dublin,233480.18,Yes,Hansfield,Dublin 15,q1,20%
26/05/2011,"33 Barnwell Road, Barnwell Hansfield",Dublin,273127.75,Yes,Hansfield,Dublin 15,q2,40%
26/09/2011,"41 Barnwell Place, Hansfield, Dublin 15",Dublin,171686.18,Yes,Hansfield,Dublin 15,q1,10%
18/04/2012,"10 Barnwell Crescent, Barnwell, Hansfield",Dublin,164950.0,Yes,Hansfield,Dublin 15,q1,10%
18/04/2012,"21 Barnwell Place, Barnwell, Hansfield",Dublin,126000.0,Yes,Hansfield,Dublin 15,q1,10%
04/05/2012,"14 Barnwell Place, Hansfield",Dublin,109251.0,Yes,Hansfield,Dublin 15,q1,10%
04/05/2012,"5 Barnwell Green, Barnwell  Hansfield",Dublin,145330.0,Yes,Hansfield,Dublin 15,q1,10%
10/05/2012,"12 Barnwell Way, Hansfield, Dublin 15",Dublin,150000.0,No,Hansfield,Dublin 15,q1,10%
23/05/2012,"49 Barnwell Place, Hansfield",Dublin,133000.0,No,Hansfield,Dublin 15,q1,10%
19/06/2012,"31 Barnwell Crescent, Hansfield, Dublin 15",Dublin,140926.0,Yes,Hansfield,Dublin 15,q1,10%
26/06/2012,"14 Barnwell Drive, Hansfield, Dublin 15",Dublin,164950.0,Yes,Hansfield,Dublin 15,q1,10%
04/07/2012,"21 Barnwell Road, Hansfield, Dublin 5",Dublin,134801.76,Yes,Hansfield,Dublin 15,q1,10%
13/07/2012,"13 Barnwell Terrace, Hansfield",Dublin,151000.0,Yes,Hansfield,Dublin 15,q1,10%
08/08/2012,"13  Barnwell Drive, Barnwell, Hansfield",Dublin,164196.0,Yes,Hansfield,Dublin 15,q1,10%
13/08/2012,"1 Barnwell Terrace, Hansfield, Dublin 15",Dublin,140925.11,Yes,Hansfield,Dublin 15,q1,10%
14/08/2012,"9 Barnwell Way, Hansfield, Dublin 15",Dublin,136519.9,Yes,Hansfield,Dublin 15,q1,10%
17/08/2012,"18 Barnwell Avenue, Hansfield, Dublin 15",Dublin,195000.0,No,Hansfield,Dublin 15,q1,20%
17/08/2012,"4 Barnwell Way, Hansfield, Dublin 12",Dublin,150000.0,No,Hansfield,Dublin 15,q1,10%
23/08/2012,"7 Barnwell Way, Hansfield",Dublin,134801.76,Yes,Hansfield,Dublin 15,q1,10%
31/08/2012,"3 Barnwell Lane, Barnwell, Hansfield",Dublin,154950.0,Yes,Hansfield,Dublin 15,q1,10%
03/09/2012,"2 Barnwell Way, Hansfield, Dubin 15",Dublin,136520.0,Yes,Hansfield,Dublin 15,q1,10%
11/09/2012,"11 Barnwell Road, Hansfield",Dublin,155000.0,Yes,Hansfield,Dublin 15,q1,10%
18/09/2012,"5 Barnwell Terrace, Hansfield",Dublin,136519.82,Yes,Hansfield,Dublin 15,q1,10%
27/09/2012,"31 Barnwell Road, Hansfield",Dublin,169163.0,Yes,Hansfield,Dublin 15,q1,10%
04/10/2012,"14 Bramwell Cresent, Hansfield",Dublin,164950.0,Yes,Hansfield,Dublin 15,q1,10%
19/10/2012,"13  Barnwell Green, Barnwell, Hansfield",Dublin,105682.81,Yes,Hansfield,Dublin 15,q1,10%
15/11/2012,"11 Barnwell Lane, Hansfield",Dublin,119950.0,Yes,Hansfield,Dublin 15,q1,10%
21/11/2012,"5 Barnwell Drive, Hansfield, Dublin 15",Dublin,145330.0,Yes,Hansfield,Dublin 15,q1,10%
26/11/2012,"5 Barnwell Avenue, Hansfield",Dublin,119950.0,Yes,Hansfield,Dublin 15,q1,10%
05/12/2012,"3 Barnwell Avenue, Hansfield",Dublin,119950.0,Yes,Hansfield,Dublin 15,q1,10%
05/12/2012,"3 Barnwell Crescent, Barnwell, Hansfield",Dublin,185000.0,Yes,Hansfield,Dublin 15,q1,20%
10/12/2012,"13 Barnwell Lane, Hansfield, Dublin 15",Dublin,103756.75,Yes,Hansfield,Dublin 15,q1,10%
11/12/2012,"6 Barnwell Way, Hansfield",Dublin,136519.82,Yes,Hansfield,Dublin 15,q1,10%
13/12/2012,"8 Barnwell Way, Hansfield",Dublin,134730.0,Yes,Hansfield,Dublin 15,q1,10%
20/12/2012,"9 Barnwell Drive, Hansfield, Dublin 15",Dublin,134740.0,Yes,Hansfield,Dublin 15,q1,10%
21/12/2012,"3 Barnwell Terrace, Hansfield, Dubin 15",Dublin,134730.0,Yes,Hansfield,Dublin 15,q1,10%
21/12/2012,"8 Barnwell Drive, Hansfield, Dublin 15",Dublin,134730.0,Yes,Hansfield,Dublin 15,q1,10%
02/01/2013,"2 Barnwell Terrace, Hansfield, Dublin 15",Dublin,147974.0,Yes,Hansfield,Dublin 15,q1,10%
14/01/2013,"14 Barnwell Avenue, Hansfield",Dublin,103756.75,Yes,Hansfield,Dublin 15,q1,10%
25/02/2013,"7 Barnwell Lane, Hansfield",Dublin,136519.82,Yes,Hansfield,Dublin 15,q1,10%
01/03/2013,"10 Barnwell Drive, Hansfield",Dublin,135398.0,Yes,Hansfield,Dublin 15,q1,10%
12/04/2013,"11 Barnwell Way, Hansfield, Dublin 15",Dublin,134075.0,Yes,Hansfield,Dublin 15,q1,10%
26/06/2013,"27 Barnwell Road, Hansfield",Dublin,136519.0,Yes,Hansfield,Dublin 15,q1,10%
04/07/2013,"15 Barnwell Terrace, Hansfield",Dublin,138356.75,Yes,Hansfield,Dublin 15,q1,10%
02/08/2013,"27 Barnwell Crescent, Hansfield",Dublin,131480.0,Yes,Hansfield,Dublin 15,q1,10%
08/10/2013,"4 Barnwell Terrace, Hansfield, Dublin 15",Dublin,200000.0,No,Hansfield,Dublin 15,q1,20%
10/01/2014,"14 Barnwell Way, Barnwell, Hansfield",Dublin,136563.87,Yes,Hansfield,Dublin 15,q1,10%
03/02/2014,"9 Barnwell Lane, Hansfield, Dublin 15",Dublin,136519.82,Yes,Hansfield,Dublin 15,q1,10%
28/07/2015,"15 Barnwell Lane, Barnwell, Hansfield",Dublin,277500.0,Yes,Hansfield,Dublin 15,q2,50%
30/07/2015,"19 Barnwell Lane, Hansfield, Barnwell",Dublin,197698.23,Yes,Hansfield,Dublin 15,q1,20%
31/07/2015,"5 Barnwell Lawns, Hansfield, Dublin 15",Dublin,295000.0,Yes,Hansfield,Dublin 15,q3,60%
18/08/2015,"Unit 2, Barnwell Mews, Hansfield",Dublin,240464.0,Yes,Hansfield,Dublin 15,q1,20%
20/08/2015,"25 Barnwell Lane, Hansfield, Dublin 15",Dublin,260162.6,Yes,Hansfield,Dublin 15,q2,30%
27/08/2015,"9 Barnwell Lawn, Barnwell, Hansfield",Dublin,272588.0,Yes,Hansfield,Dublin 15,q2,40%
22/09/2015,"4 Barnwell Mews, Hansfield, Barnwell",Dublin,244326.0,Yes,Hansfield,Dublin 15,q1,20%
02/10/2015,"15 Barnwell Lawn, Hansfield, Dublin 15",Dublin,329856.82,Yes,Hansfield,Dublin 15,q4,90%
20/10/2015,"17 Barnwell Lane, Hansfield, Dublin 15",Dublin,178861.79,Yes,Hansfield,Dublin 15,q1,10%
25/11/2015,"1 Barnwell Mews, Hansfield, Barnwell",Dublin,267301.0,Yes,Hansfield,Dublin 15,q2,40%
04/12/2015,"12 Barnwell Lane, Hansfield, Bernwell",Dublin,254966.0,Yes,Hansfield,Dublin 15,q1,30%
07/12/2015,"10 Barnwell Lane, Hansfield, Dublin 15",Dublin,237345.81,Yes,Hansfield,Dublin 15,q1,20%
16/12/2015,"23 Barnwell Lane, Hansfield, Barnwell",Dublin,325000.0,Yes,Hansfield,Dublin 15,q4,80%
17/12/2015,"18 Barnwell Way, Hansfield, Barnwell",Dublin,254964.0,Yes,Hansfield,Dublin 15,q1,30%
21/12/2015,"3 Barnwell Walk, Hansfield",Dublin,233480.0,Yes,Hansfield,Dublin 15,q1,20%
21/12/2015,"35 Barnwell Road, Hansfield, Barnwell  Dublin",Dublin,263777.53,Yes,Hansfield,Dublin 15,q2,30%
13/01/2016,"13 Barnwell Lawn, Hansfield, Barnwell",Dublin,263303.96,Yes,Hansfield,Dublin 15,q2,30%
15/01/2016,"29 Barnwell Place, Barnwell, Hansfield Dublin 15",Dublin,195000.0,No,Hansfield,Dublin 15,q1,20%
21/01/2016,"8 Barnwell Lane, Hansfield, Dublin 15",Dublin,254966.0,Yes,Hansfield,Dublin 15,q1,30%
22/01/2016,"7 Barnwell Walk, Hansfield, Barnwell",Dublin,254966.0,Yes,Hansfield,Dublin 15,q1,30%
28/01/2016,"6 Barnwell Lane, Hansfield, Dublin 15",Dublin,295000.0,Yes,Hansfield,Dublin 15,q3,60%
02/02/2016,"11 Barnwell Walk, Barnwell, Hansfield",Dublin,215447.15,Yes,Hansfield,Dublin 15,q1,20%
05/02/2016,"15 Barnwell Walk, Barnwell  Hansfield, Dublin 15",Dublin,254967.0,Yes,Hansfield,Dublin 15,q1,30%
15/02/2016,"7 Barnwell Lawn, Hansfield, Dublin 15",Dublin,299020.0,Yes,Hansfield,Dublin 15,q3,70%
19/02/2016,"1 Barnwell Walk, Hansfield, Barnwell",Dublin,237345.0,Yes,Hansfield,Dublin 15,q1,20%
22/02/2016,"9 Barnwell Walk, Hansfield",Dublin,251101.0,Yes,Hansfield,Dublin 15,q1,30%
24/02/2016,"13 Barnwell Walk, Hansfield",Dublin,237345.81,Yes,Hansfield,Dublin 15,q1,20%
07/03/2016,"5 Barnwell Walk, Hansfield, Barnwell",Dublin,265000.0,Yes,Hansfield,Dublin 15,q2,40%
20/05/2016,"5 Barnwell Gate, Barnwell, Hansfield",Dublin,316640.96,Yes,Hansfield,Dublin 15,q3,80%
17/06/2016,"22 Barnwell Crescent, Hansfield, Dublin 15",Dublin,312236.0,Yes,Hansfield,Dublin 15,q3,80%
15/07/2016,"16  Barnwell Crescent, Hansfield, Dublin 15",Dublin,245656.0,Yes,Hansfield,Dublin 15,q1,20%
22/07/2016,"2 Station Rd, Hansfield",Dublin,312779.0,Yes,Hansfield,Dublin 15,q3,80%
06/09/2016,"4 Station Road, Hansfield, Barnwell",Dublin,239647.0,Yes,Hansfield,Dublin 15,q1,20%
06/09/2016,"6 Station Road, Barnwell, Hansfield",Dublin,237885.0,Yes,Hansfield,Dublin 15,q1,20%
23/09/2016,"4 Barnwell Square West, Hansfield Square, Dublin 15",Dublin,290000.0,Yes,Hansfield,Dublin 15,q3,60%
23/09/2016,"6 Barnwell Sq West, Barnwell Sq, Hansfield",Dublin,237885.0,Yes,Hansfield,Dublin 15,q1,20%
26/09/2016,"3 Barnwell Square North, Barnwell Square, Hansfield",Dublin,254966.0,Yes,Hansfield,Dublin 15,q1,30%
27/09/2016,"4 Barnwell Square North, Hansfield, Barnwell",Dublin,254966.96,Yes,Hansfield,Dublin 15,q1,30%
29/09/2016,"3 Barnwell Square West, Barnwell Square, Hansfield",Dublin,237885.0,Yes,Hansfield,Dublin 15,q1,20%
30/09/2016,"Unit 1 Barnwell Square North, Barnwell Square, Hansfield",Dublin,263777.53,Yes,Hansfield,Dublin 15,q2,30%
05/10/2016,"4 Barnhall Lawn, Hansfield, Barnwell",Dublin,242290.75,Yes,Hansfield,Dublin 15,q1,20%
05/10/2016,"7 Barnwell Sq, Hansfield",Dublin,237885.0,Yes,Hansfield,Dublin 15,q1,20%
05/10/2016,"8 Barnwell Sq West, Hansfield",Dublin,263876.0,Yes,Hansfield,Dublin 15,q2,30%
07/10/2016,"2 Barnwell Square West, Barnwell Square, Hansfield",Dublin,270000.0,Yes,Hansfield,Dublin 15,q2,40%
