date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
07/01/2011,"12 Lein Gardens, Harmonstown",Dublin,180000.0,No,Harmonstown,Dublin 5,q1,30%
14/01/2013,"105 Harmonstown Road, Dublin 5",Dublin,132943.0,No,Harmonstown,Dublin 5,q1,10%
17/05/2013,"39 Harmonstown Rd, Dublin 5",Dublin,125000.0,No,Harmonstown,Dublin 5,q1,10%
19/03/2014,"36 Lein Road, Harmonstown, Dublin 5",Dublin,155000.0,No,Harmonstown,Dublin 5,q1,20%
18/07/2014,"22 Brookwood Rise, Harmonstown, Dublin 5",Dublin,312500.0,No,Harmonstown,Dublin 5,q4,100%
25/04/2017,"5 Lein Park, Harmonstown, Dublin 5",Dublin,220000.0,No,Harmonstown,Dublin 5,q2,40%
18/07/2017,"44 Lein Rd, Harmonstown Artane, Dublin 5",Dublin,231000.0,No,Harmonstown,Dublin 5,q2,50%
31/08/2017,"29 Mcauley Park, Harmonstown, Dublin 5",Dublin,278500.0,No,Harmonstown,Dublin 5,q3,70%
27/10/2017,"62 Lein Rd, Harmonstown, Dublin 5",Dublin,265000.0,No,Harmonstown,Dublin 5,q3,60%
09/03/2018,"5 Lein Park, Harmonstown, Dublin 5",Dublin,254582.44,No,Harmonstown,Dublin 5,q2,50%
13/04/2018,"23A Ribh Rd, Harmonstown, Dublin 5",Dublin,285000.0,No,Harmonstown,Dublin 5,q3,80%
05/07/2019,"44 Lein Rd, Harmonstown Artane, Dublin 5",Dublin,345000.0,No,Harmonstown,Dublin 5,q4,100%
29/08/2019,"52 Lein Rd, Harmonstown, Dublin 5",Dublin,290000.0,No,Harmonstown,Dublin 5,q4,90%
