date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
25/01/2010,"45 Harolds Cross Cottages, Harolds Cross",Dublin,266000.0,No,Harolds Cross,Dublin 6W,q2,30%
28/01/2010,"12 Clareville Road, Harolds Cross, Dublin 6W",Dublin,710000.0,No,Harolds Cross,Dublin 6W,q4,100%
28/01/2010,"16 Larkfield Park, Harolds Cross, Dublin 6W",Dublin,325000.0,No,Harolds Cross,Dublin 6W,q2,50%
04/02/2010,"11 Fitzgerald Street, Harolds Cross",Dublin,323000.0,No,Harolds Cross,Dublin 6W,q2,50%
05/02/2010,"116 Harolds Cross Cottages, Dublin 6",Dublin,230000.0,No,Harolds Cross,Dublin 6W,q1,30%
23/02/2010,"8 Mount Argus Green, Harolds Cross",Dublin,346000.0,No,Harolds Cross,Dublin 6W,q3,60%
04/03/2010,"17 Harolds Cross Road, Harolds Cross",Dublin,205000.0,No,Harolds Cross,Dublin 6W,q1,20%
18/03/2010,"6 Parnell Avenue, Harolds Cross, Dublin 12",Dublin,265000.0,No,Harolds Cross,Dublin 6W,q2,30%
19/03/2010,"15 Leinster Park, Harolds Cross",Dublin,490000.0,No,Harolds Cross,Dublin 6W,q4,80%
31/03/2010,"56 Harolds Cross Cottages, Harolds Cross",Dublin,245000.0,No,Harolds Cross,Dublin 6W,q1,30%
15/04/2010,"20 Mount Drummond Avenue, Harolds Cross",Dublin,270000.0,No,Harolds Cross,Dublin 6W,q2,30%
23/04/2010,"37 Laurence Court, Mount Argos, Harolds Cross",Dublin,235000.0,No,Harolds Cross,Dublin 6W,q1,30%
05/05/2010,"173 Harolds Cross Road, Dublin 6W",Dublin,325000.0,No,Harolds Cross,Dublin 6W,q2,50%
14/05/2010,"23 Harolds Cross Cottages, Harolds Cross",Dublin,231000.0,No,Harolds Cross,Dublin 6W,q1,30%
10/06/2010,"21 Larkfield Grove, Harolds Cross",Dublin,315000.0,No,Harolds Cross,Dublin 6W,q2,50%
11/06/2010,"13 Adrian Avenue, Harolds Cross, Dublin 6W",Dublin,448000.0,No,Harolds Cross,Dublin 6W,q3,80%
15/06/2010,"57 Mount Drummond Square, Harolds Cross, Dublin 6W",Dublin,288500.0,No,Harolds Cross,Dublin 6W,q2,40%
21/06/2010,"50 Larkfield Gardens, Harolds Cross, Dublin 6W",Dublin,410000.0,No,Harolds Cross,Dublin 6W,q3,70%
24/06/2010,"37 Larkfield Avenue, Harolds Cross",Dublin,330000.0,No,Harolds Cross,Dublin 6W,q2,50%
29/06/2010,"25 Ashworth Place, Harolds Cross, Dublin",Dublin,307500.0,No,Harolds Cross,Dublin 6W,q2,50%
22/07/2010,"25  Kenilworth Lane, Harolds Cross, Dublin 6",Dublin,462000.0,No,Harolds Cross,Dublin 6W,q3,80%
13/08/2010,"32 Larkfield Grove, Harolds Cross",Dublin,368000.0,No,Harolds Cross,Dublin 6W,q3,60%
19/08/2010,"9 Arbutus Avenue, Harolds Cross",Dublin,370000.0,No,Harolds Cross,Dublin 6W,q3,60%
30/08/2010,"8 Westfield Road, Harolds Cross",Dublin,640000.0,No,Harolds Cross,Dublin 6W,q4,90%
