date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
15/02/2010,"8 Cherryfield Park, Hartstown, Dublin 15",Dublin,220000.0,No,Hartstown,Dublin 15,q3,60%
03/11/2011,"4 Oakview Drive, Hartstown",Dublin,135500.0,No,Hartstown,Dublin 15,q1,10%
05/04/2012,"16 Cherryfield Park, Hartstown, Dublin 15",Dublin,105000.0,No,Hartstown,Dublin 15,q1,10%
07/09/2012,"57 Willow Wood Grove, Hartstown",Dublin,180000.0,No,Hartstown,Dublin 15,q1,30%
07/12/2012,"31 Stonebridge Avenue, Hartstown, Dublin 15",Dublin,125000.0,No,Hartstown,Dublin 15,q1,10%
18/12/2012,"3 Oakview Way, Hartstown, Dublin 15",Dublin,145000.0,No,Hartstown,Dublin 15,q1,20%
19/12/2012,"27 Meadow Green, Hartstown, Dublin 15",Dublin,150000.0,No,Hartstown,Dublin 15,q1,20%
14/01/2013,"25  Meadow Way, Hartstown",Dublin,130000.0,No,Hartstown,Dublin 15,q1,10%
18/07/2013,"6 Cherryfield Court, Hartstown",Dublin,122000.0,No,Hartstown,Dublin 15,q1,10%
29/08/2013,"102 Meadow Copse, Hartstown, Dublin",Dublin,137500.0,No,Hartstown,Dublin 15,q1,10%
10/09/2013,"8 Oakview Close, Hartstown, Dublin 15",Dublin,145000.0,No,Hartstown,Dublin 15,q1,20%
11/03/2014,"70 Briarwood Ave, Hartstown, Dublin 15",Dublin,155000.0,No,Hartstown,Dublin 15,q1,20%
19/12/2014,"13 Willow Wood Walk, Hartstown, Dublin 15",Dublin,190000.0,No,Hartstown,Dublin 15,q2,30%
13/01/2015,"41A Oakview Ave, Hartstown, Dublin 15",Dublin,255000.0,No,Hartstown,Dublin 15,q3,80%
16/01/2015,"14 Cherryfield View, Hartstown, Dublin 15",Dublin,205000.0,No,Hartstown,Dublin 15,q2,40%
25/03/2015,"6 Willow Wood Lawn, Hartstown, Dublin",Dublin,210000.0,No,Hartstown,Dublin 15,q2,50%
30/03/2015,"17 Willow Wood Green, Hartstown, Dublin 15",Dublin,210000.0,No,Hartstown,Dublin 15,q2,50%
12/06/2015,"16A Inglewodd Rd, Hartstown, Dublin 15",Dublin,215956.0,No,Hartstown,Dublin 15,q3,60%
18/06/2015,"6 Oakview Grove, Hartstown, Dublin 5",Dublin,215000.0,No,Hartstown,Dublin 15,q3,60%
16/07/2015,"1 Cherryfield Court, Hartstown, Dublin 15",Dublin,185000.0,No,Hartstown,Dublin 15,q2,30%
18/09/2015,"25 Willow Wood Green, Hartstown, Dublin 15",Dublin,200000.0,No,Hartstown,Dublin 15,q2,40%
30/09/2015,"34 Meadow Dr, Hartstown, Dublin 15",Dublin,190000.0,No,Hartstown,Dublin 15,q2,40%
30/10/2015,"13 Oakview Close, Hartstown, Dublin 15",Dublin,205000.0,No,Hartstown,Dublin 15,q2,40%
04/12/2015,"12 Cherryfield Close, Hartstown, Dublin 15",Dublin,215000.0,No,Hartstown,Dublin 15,q3,60%
10/12/2015,"19 Whatley Hall, Archerswood, Hartstown Dublin 15",Dublin,186000.0,No,Hartstown,Dublin 15,q2,30%
03/02/2016,"14 Huntstown Ave, Hartstown, Dublin 15",Dublin,160000.0,No,Hartstown,Dublin 15,q1,20%
09/02/2016,"28 Willow Ct, Hartstown, Dublin 15",Dublin,235000.0,No,Hartstown,Dublin 15,q3,70%
25/02/2016,"34 Willow Wood Park, Hartstown, Dublin 15",Dublin,205000.0,No,Hartstown,Dublin 15,q2,50%
21/04/2016,"6 Beechwood Close, Hartstown, Dublin 15",Dublin,190000.0,No,Hartstown,Dublin 15,q2,40%
03/05/2016,"102 Meadow Copse, Hartstown, Dublin 15",Dublin,225000.0,No,Hartstown,Dublin 15,q3,70%
10/05/2016,"32 Willow Wood Lawn, Hartstown, Dublin 15",Dublin,200000.0,No,Hartstown,Dublin 15,q2,40%
25/05/2016,"10 Inglewood Crescent, Hartstown, Dublin 15",Dublin,210000.0,No,Hartstown,Dublin 15,q2,50%
02/06/2016,"1 Oak View Lawn, Hartstown, Dublin 15",Dublin,225000.0,No,Hartstown,Dublin 15,q3,70%
20/06/2016,"4 Cherryfield Walk, Hartstown, Dublin 15",Dublin,162500.0,No,Hartstown,Dublin 15,q1,30%
06/07/2016,"51 Stonebridge Ave, Hartstown, Dublin 15",Dublin,207000.0,No,Hartstown,Dublin 15,q2,50%
02/09/2016,"17A Cherryfield Lawn, Hartstown, Dublin 15",Dublin,138000.0,No,Hartstown,Dublin 15,q1,20%
21/09/2016,"16 Willow Wood Grove, Hartstown, Dublin 15",Dublin,252000.0,No,Hartstown,Dublin 15,q3,80%
23/09/2016,"6 Hazelwood Crescent, Hartstown, Dublin 15",Dublin,213000.0,No,Hartstown,Dublin 15,q3,60%
18/11/2016,"67 Meadow Copse, Hartstown, Dublin 15",Dublin,260000.0,No,Hartstown,Dublin 15,q4,80%
10/02/2017,"10 Willows Rd, Hartstown, Dublin 15",Dublin,250000.0,No,Hartstown,Dublin 15,q3,70%
08/05/2017,"16 Inglewood Rd, Hartstown, Dublin 15",Dublin,220000.0,No,Hartstown,Dublin 15,q3,70%
15/05/2017,"33 Willows Dr, Hartstown, Dublin",Dublin,266000.0,No,Hartstown,Dublin 15,q4,80%
09/01/2018,"17 Willow Wood Green, Hartstown, Dublin 15",Dublin,277000.0,No,Hartstown,Dublin 15,q4,90%
24/05/2018,"10 Oakview Way, Hartstown, Dublin 15",Dublin,305000.0,No,Hartstown,Dublin 15,q4,100%
30/08/2018,"45 Oakview Ave, Hartstown, Dublin 15",Dublin,271000.0,No,Hartstown,Dublin 15,q4,90%
16/10/2018,"21  Elmwood, Hartstown, Dublin 15",Dublin,295000.0,No,Hartstown,Dublin 15,q4,100%
23/10/2018,"10 Willow Wood Walk, Hartstown, Dublin 15",Dublin,280000.0,No,Hartstown,Dublin 15,q4,90%
31/10/2018,"6 Willows Rd, Hartstown, Dublin 15",Dublin,315000.0,No,Hartstown,Dublin 15,q4,100%
21/12/2018,"41A Oakview Ave, Hartstown, Dublin 15",Dublin,300000.0,No,Hartstown,Dublin 15,q4,100%
23/01/2019,"14 Hazelwood Crescent, Hartstown, Dublin 15",Dublin,271000.0,No,Hartstown,Dublin 15,q4,90%
25/02/2019,"23  23A And 23B Oakview Way, Hartstown, Dublin 15",Dublin,635286.0,No,Hartstown,Dublin 15,q4,100%
06/03/2019,"30 Ravenswood View, Hartstown, Dublin 15",Dublin,244000.0,No,Hartstown,Dublin 15,q3,70%
26/04/2019,"27 Meadow Way, Hartstown, Dublin 15",Dublin,280000.0,No,Hartstown,Dublin 15,q4,90%
08/05/2019,"14 Willows Dr, Hartstown, Dublin 15",Dublin,278000.0,No,Hartstown,Dublin 15,q4,90%
17/05/2019,"39 Willow Wood Lawn, Hartstown, Dublin",Dublin,176000.0,No,Hartstown,Dublin 15,q1,30%
30/05/2019,"1 Cherryfield Park, Hartstown, Dublin 15",Dublin,330000.0,No,Hartstown,Dublin 15,q4,100%
24/06/2019,"45A Meadow Copse, Hartstown, Dublin 15",Dublin,250000.0,No,Hartstown,Dublin 15,q3,80%
05/07/2019,"7 Pinebrook Glen, Hartstown, Dublin 15",Dublin,213000.0,No,Hartstown,Dublin 15,q3,60%
06/09/2019,"24 Pinebrook View, Hartstown, Dublin 15",Dublin,210000.0,No,Hartstown,Dublin 15,q2,50%
17/09/2019,"28 Willow Ct, Hartstown, Dublin 15",Dublin,25000.0,No,Hartstown,Dublin 15,q1,10%
07/10/2019,"4 Oakview Ave, Hartstown, Dublin 15",Dublin,265000.0,No,Hartstown,Dublin 15,q4,80%
15/10/2019,"12 Cherryfield Lawnd, Hartstown, Dublin 15",Dublin,280000.0,No,Hartstown,Dublin 15,q4,100%
