date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
29/01/2010,"1 Church View, Hollystown, Dublin 15",Dublin,466960.35,Yes,Hollystown,Dublin 15,q4,100%
03/06/2010,"51 Redwood Heights, Hollystown, Dublin 15",Dublin,395000.0,No,Hollystown,Dublin 15,q4,100%
16/09/2010,"6 Hollystown Demesne, Hollystown",Dublin,420000.0,No,Hollystown,Dublin 15,q4,100%
12/11/2010,"19 Hollystown Park, Hollystown, Dublin 15",Dublin,435000.0,No,Hollystown,Dublin 15,q4,100%
02/11/2011,"14 Chapelwood View, Hollystown",Dublin,235000.0,No,Hollystown,Dublin 15,q1,20%
13/12/2011,"2 Chapelwood Green, Hollystown, Dublin 15",Dublin,260000.0,No,Hollystown,Dublin 15,q1,30%
09/02/2012,"25 Chapelwood Drive, Chapelwood, Hollystown",Dublin,92511.0,Yes,Hollystown,Dublin 15,q1,10%
28/03/2012,"4 Church View, Hollystown, Dublin 15",Dublin,490000.0,No,Hollystown,Dublin 15,q4,100%
04/04/2012,"41 Hollystown Park, Hollystown",Dublin,335000.0,No,Hollystown,Dublin 15,q3,70%
16/04/2012,"1 Chapelwood Crescent, Chapelwood, Hollystown",Dublin,112500.0,Yes,Hollystown,Dublin 15,q1,10%
16/04/2012,"8 Chapelwood Park, Chapelwood, Hollystown",Dublin,112500.0,Yes,Hollystown,Dublin 15,q1,10%
24/04/2012,"Hollywood Rath, Hollystown",Dublin,115000.0,No,Hollystown,Dublin 15,q1,10%
29/05/2012,"3 Chapelwood View, Chapelwood, Hollystown",Dublin,100000.0,No,Hollystown,Dublin 15,q1,10%
30/05/2012,"3 Chapelwood Green, Hollystown, Dublin 15",Dublin,96916.0,Yes,Hollystown,Dublin 15,q1,10%
01/06/2012,"18 Alderwood, Hollystown",Dublin,92511.0,Yes,Hollystown,Dublin 15,q1,10%
01/06/2012,"25 Alderwood, Hollystown",Dublin,92511.0,Yes,Hollystown,Dublin 15,q1,10%
01/06/2012,"40 Alderwood, Hollystown",Dublin,92511.0,Yes,Hollystown,Dublin 15,q1,10%
01/06/2012,"46 Alderwood, Hollystown",Dublin,92511.0,Yes,Hollystown,Dublin 15,q1,10%
06/06/2012,"37  Alderwood, Hollystown",Dublin,190000.0,Yes,Hollystown,Dublin 15,q1,10%
07/06/2012,"29 Hollystown Demesne, Hollystown, Dublin 15",Dublin,315000.0,No,Hollystown,Dublin 15,q3,60%
10/07/2012,"19 Alderwood, Alderwood, Hollystown",Dublin,164701.0,Yes,Hollystown,Dublin 15,q1,10%
19/07/2012,"11 Chapelwood Green, Hollystown",Dublin,95000.0,Yes,Hollystown,Dublin 15,q1,10%
01/08/2012,"23 Alderwood, Hollystown",Dublin,100000.0,Yes,Hollystown,Dublin 15,q1,10%
03/08/2012,"50 Alderwood, Hollystown",Dublin,79295.0,Yes,Hollystown,Dublin 15,q1,10%
07/08/2012,"30 Alderwood, Chapelwood, Hollystown",Dublin,77850.0,Yes,Hollystown,Dublin 15,q1,10%
09/08/2012,"38 Redwood, Hollystown, Dublin 15",Dublin,270000.0,No,Hollystown,Dublin 15,q2,40%
20/08/2012,"24 Alderwood, Hollystown",Dublin,182378.85,Yes,Hollystown,Dublin 15,q1,10%
05/09/2012,"22 Alderwood, Hollystown",Dublin,94000.0,No,Hollystown,Dublin 15,q1,10%
06/09/2012,"33 Alderwood, Hollystown",Dublin,77800.0,Yes,Hollystown,Dublin 15,q1,10%
13/09/2012,"13 Chapelwood Green, Chapelwood, Hollystown",Dublin,95000.0,Yes,Hollystown,Dublin 15,q1,10%
19/09/2012,"48 Alderwood, Hollystown, Dublin 15",Dublin,88106.0,Yes,Hollystown,Dublin 15,q1,10%
11/10/2012,"39 Alderwood, Hollystown",Dublin,173569.0,Yes,Hollystown,Dublin 15,q1,10%
31/10/2012,"47 Alderwood, Hollystown, Dublin 15",Dublin,88106.0,Yes,Hollystown,Dublin 15,q1,10%
21/11/2012,"30 Alderwood, Hollystown, Dublin 15",Dublin,194000.0,No,Hollystown,Dublin 15,q1,20%
26/11/2012,"3 Chapelwood Green, Hollystown, Dublin 15",Dublin,255000.0,No,Hollystown,Dublin 15,q1,20%
10/12/2012,"7 Chapelwood Crescent, Hollystown, Dublin 15",Dublin,77800.0,Yes,Hollystown,Dublin 15,q1,10%
20/12/2012,"37 Hollystown Park, Hollystown",Dublin,300000.0,No,Hollystown,Dublin 15,q2,50%
21/12/2012,"47 Alderwood, Hollystown",Dublin,229000.0,No,Hollystown,Dublin 15,q1,20%
21/12/2012,"48 Alderwood, Hollystown, Dublin15",Dublin,225000.0,No,Hollystown,Dublin 15,q1,20%
04/02/2013,"10 Hollystown Park, Hollystown",Dublin,330000.0,No,Hollystown,Dublin 15,q3,70%
08/02/2013,"33 Alderwood, Hollystown",Dublin,196000.0,No,Hollystown,Dublin 15,q1,20%
20/02/2013,"49 Alderwood, Hollystown",Dublin,77800.0,Yes,Hollystown,Dublin 15,q1,10%
12/04/2013,"43 Alderwood, Hollystown",Dublin,77800.0,Yes,Hollystown,Dublin 15,q1,10%
26/04/2013,"7 Chapelwood Crescent, Hollystown, Dublin 15",Dublin,200000.0,No,Hollystown,Dublin 15,q1,20%
20/05/2013,"Killamonan, Hollystown Rath, Hollystown",Dublin,55000.0,No,Hollystown,Dublin 15,q1,10%
24/05/2013,"49 Alderwood, Hollystown, Dublin 15",Dublin,229000.0,Yes,Hollystown,Dublin 15,q1,20%
21/08/2013,"9 Alderwood, Hollystown, Dublin 15",Dublin,250000.0,Yes,Hollystown,Dublin 15,q1,20%
17/09/2013,"11 Redwood Park, Hollystown",Dublin,210000.0,No,Hollystown,Dublin 15,q1,20%
02/10/2013,"10 Hollystown Demesne, Hollystown",Dublin,350000.0,No,Hollystown,Dublin 15,q4,80%
15/10/2013,"29 Hollystown Park, Hollystown, Dublin 15",Dublin,348000.0,No,Hollystown,Dublin 15,q4,80%
17/10/2013,"43 Alderwood, Hollystown",Dublin,235000.0,No,Hollystown,Dublin 15,q1,20%
01/11/2013,"7 Alderwood, Hollystown, Dublin 15",Dublin,245000.0,No,Hollystown,Dublin 15,q1,20%
19/12/2013,"8 Church View, Hollystown, Dublin 15",Dublin,200000.0,No,Hollystown,Dublin 15,q1,20%
27/01/2014,"5 Alderwood, Hollystown, Dublin 15",Dublin,259030.84,Yes,Hollystown,Dublin 15,q1,30%
14/02/2014,"6 Alderwood, Hollystown",Dublin,245000.0,Yes,Hollystown,Dublin 15,q1,20%
21/03/2014,"3 Alderwood, Hollystown, Dublin 15",Dublin,262996.0,Yes,Hollystown,Dublin 15,q2,30%
10/04/2014,"1 Alderwood, Hollystown",Dublin,268722.46,Yes,Hollystown,Dublin 15,q2,40%
14/04/2014,"10 Alderwood, Hollystown, Dublin 15",Dublin,273127.75,Yes,Hollystown,Dublin 15,q2,40%
14/04/2014,"4 Alderwood, Hollystown, Dublin 15",Dublin,299000.0,Yes,Hollystown,Dublin 15,q2,50%
23/04/2014,"8  Alderwood, Hollystown, Dublin 15",Dublin,265000.0,Yes,Hollystown,Dublin 15,q2,30%
12/05/2014,"22 Redwood Park, Hollystown, Dublin 15",Dublin,205000.0,No,Hollystown,Dublin 15,q1,20%
14/05/2014,"2 Alderwood, Hollystown, Dublin 15",Dublin,298500.0,No,Hollystown,Dublin 15,q2,50%
14/05/2014,"45 Alderwood, Hollystown",Dublin,325000.0,Yes,Hollystown,Dublin 15,q3,70%
24/06/2014,"5 Redwood, Hollystown, Dublin 15",Dublin,101250.0,No,Hollystown,Dublin 15,q1,10%
30/06/2014,"3 The Oaks Hollystown, Hollystown Dublin 15, Dublin",Dublin,490000.0,No,Hollystown,Dublin 15,q4,100%
10/07/2014,"The Gatelodge, Hollywood Rath, Hollystown",Dublin,55000.0,No,Hollystown,Dublin 15,q1,10%
07/08/2014,"14 Hollystown Park, Hollystown, Dublin 15",Dublin,345000.0,No,Hollystown,Dublin 15,q3,80%
03/10/2014,"23 Redwood, Hollystown, Dublin 15",Dublin,218000.0,No,Hollystown,Dublin 15,q1,20%
03/12/2014,"60 Hollystown Pk, Hollystown, Dublin 15",Dublin,416000.0,No,Hollystown,Dublin 15,q4,100%
06/01/2015,"Duinch, Hollystown, Dublin 15",Dublin,800000.0,No,Hollystown,Dublin 15,q4,100%
19/02/2015,"Whitegables, Kilmartin Lane, Hollystown",Dublin,498000.0,No,Hollystown,Dublin 15,q4,100%
18/03/2015,"36 Hollystown Park, Hollystown, Dublin 15",Dublin,362500.0,No,Hollystown,Dublin 15,q4,90%
25/03/2015,"36 Redwood, Hollystown, Dublin 15",Dublin,256479.0,No,Hollystown,Dublin 15,q1,20%
08/05/2015,"11 Alderwood, Hollystown, Dublin 15",Dublin,315000.0,Yes,Hollystown,Dublin 15,q3,60%
18/06/2015,"46 Redwood, Hollystown, Dublin 15",Dublin,272000.0,No,Hollystown,Dublin 15,q2,40%
27/08/2015,"5 Chapelwood Green, Hollystown, Dublin 15",Dublin,322500.0,No,Hollystown,Dublin 15,q3,70%
22/09/2015,"7 Chapelwood Green, Hollystown, Dublin 15",Dublin,348500.0,No,Hollystown,Dublin 15,q4,80%
01/10/2015,"25 Alderwood, Hollystown, Dublin",Dublin,370000.0,No,Hollystown,Dublin 15,q4,90%
07/10/2015,"59 Hollystown Park, Hollystown, Dublin 15",Dublin,435000.0,No,Hollystown,Dublin 15,q4,100%
16/11/2015,"3 Chapelton, Hollystown, Dublin",Dublin,300000.0,No,Hollystown,Dublin 15,q2,50%
01/12/2015,"18 Redwood, Hollystown, Dublin 15",Dublin,259000.0,No,Hollystown,Dublin 15,q1,30%
25/01/2016,"8 Redwood Park, Hollystown, Dublin 15",Dublin,395000.0,No,Hollystown,Dublin 15,q4,100%
28/04/2016,"1 Hollywoodrath Road, Hollystown, Dublin 15",Dublin,317180.62,Yes,Hollystown,Dublin 15,q3,60%
28/04/2016,"2 Hollywoodrath Road, Hollystown, Dublin 15",Dublin,317180.62,Yes,Hollystown,Dublin 15,q3,60%
29/04/2016,"15 Hollywoodrath Avenue, Hollystown",Dublin,255506.6,Yes,Hollystown,Dublin 15,q1,20%
04/05/2016,"4 Hollywoodrath Avenue, Hollystown, Dublin 15",Dublin,257268.0,Yes,Hollystown,Dublin 15,q1,30%
05/05/2016,"Unit 3 Hollywoodrath Road, Hollystown, Dublin 15",Dublin,311400.0,Yes,Hollystown,Dublin 15,q3,60%
10/05/2016,"13 Hollywoodrath Avenue, Hollystown, Dublin 15",Dublin,287500.0,Yes,Hollystown,Dublin 15,q2,40%
11/05/2016,"14 Hollywoodrath Avenue, Hollystown, Dublin 15",Dublin,253304.0,Yes,Hollystown,Dublin 15,q1,20%
11/05/2016,"17 Hollywood Rath Avenue, Hollystown, Dublin 15",Dublin,253013.0,Yes,Hollystown,Dublin 15,q1,20%
11/05/2016,"18 Hollywoodrath Avenue, Hollystown, Dublin 15",Dublin,255506.61,Yes,Hollystown,Dublin 15,q1,20%
16/05/2016,"19 Hollywoodrath, Hollystown, Dublin 15",Dublin,340000.0,Yes,Hollystown,Dublin 15,q3,80%
23/05/2016,"4 Hollywoodrath Road, Hollystown",Dublin,324229.0,Yes,Hollystown,Dublin 15,q3,70%
25/05/2016,"2 Hollystown, Demesne Dublin 15, Dublin",Dublin,395000.0,No,Hollystown,Dublin 15,q4,100%
27/05/2016,"6 Hollywoodrath Avenue, Hollystown, Dublin 15",Dublin,290748.9,Yes,Hollystown,Dublin 15,q2,40%
02/06/2016,"1 Chapelton, Hollystown, Dublin 15",Dublin,182345.83,No,Hollystown,Dublin 15,q1,10%
02/06/2016,"2 Chapelton, Hollystown, Dublin 15",Dublin,182345.83,No,Hollystown,Dublin 15,q1,10%
02/06/2016,"7 Chapelton, Hollystown, Dublin 15",Dublin,182345.83,No,Hollystown,Dublin 15,q1,10%
02/06/2016,"8 Chapelton, Hollystown, Dublin 15",Dublin,182345.83,No,Hollystown,Dublin 15,q1,10%
02/06/2016,"9 Chapelton, Hollystown, Dublin 15",Dublin,182345.83,No,Hollystown,Dublin 15,q1,10%
03/06/2016,"12 Hollywoodrath Avenue, Hollystown, Dublin 15",Dublin,297356.82,Yes,Hollystown,Dublin 15,q2,50%
08/06/2016,"20 Hollywoodrath Avenue, Hollystown, Dublin 15",Dublin,305309.73,Yes,Hollystown,Dublin 15,q2,50%
10/06/2016,"5 Hollywoodrath Avenue, Hollystown",Dublin,295154.18,Yes,Hollystown,Dublin 15,q2,50%
22/06/2016,"68 Hollystown Park, Hollystown, Dublin 15",Dublin,350000.0,No,Hollystown,Dublin 15,q4,80%
23/06/2016,"3 Hollywoodrath Avenue, Hollystown, Dublin 15",Dublin,251101.32,Yes,Hollystown,Dublin 15,q1,20%
04/07/2016,"11 Hollywoodrath Avenue, Hollystown, Dublin 15",Dublin,297356.83,Yes,Hollystown,Dublin 15,q2,50%
11/07/2016,"9 Church View, Hollystown, Dublin 15",Dublin,425000.0,No,Hollystown,Dublin 15,q4,100%
22/07/2016,"16 Hollywoodrath Avenue, Hollystown",Dublin,257709.0,Yes,Hollystown,Dublin 15,q1,30%
22/07/2016,"2 Hollywoodrath Avenue, Hollystown, Dublin 15",Dublin,295830.0,Yes,Hollystown,Dublin 15,q2,50%
22/07/2016,"8 Hollywoodrath Avenue, Hollystown",Dublin,285000.0,Yes,Hollystown,Dublin 15,q2,40%
28/07/2016,"18 Hollywoodrath Crescent, Hollystown, Dublin 15",Dublin,303965.0,Yes,Hollystown,Dublin 15,q2,50%
28/07/2016,"9 Hollywoodrath Avenue, Hollystown",Dublin,253304.0,Yes,Hollystown,Dublin 15,q1,20%
03/08/2016,"23  Hollywoodrath Avenue, Hollystown",Dublin,253303.96,Yes,Hollystown,Dublin 15,q1,20%
08/08/2016,"24 Hollywoodrath Avenue, Hollystown",Dublin,253304.0,Yes,Hollystown,Dublin 15,q1,20%
12/08/2016,"4 Hollywoodrath Crescent, Hollystown, Dublin 15",Dublin,253304.0,Yes,Hollystown,Dublin 15,q1,20%
17/08/2016,"21 Hollywoodrath Avenue, Hollystown, Dublin 15",Dublin,299559.5,Yes,Hollystown,Dublin 15,q2,50%
19/08/2016,"19 Hollywoodrath Crescent, Hollystown, Dublin 15",Dublin,299559.0,Yes,Hollystown,Dublin 15,q2,50%
19/08/2016,"3 Hollywoodrath Crescent, Hollystown, Dublin 15",Dublin,253304.0,Yes,Hollystown,Dublin 15,q1,20%
25/08/2016,"1 Hollywoodrath Avenue, Hollystown, Dublin 15",Dublin,290748.9,Yes,Hollystown,Dublin 15,q2,40%
14/09/2016,"7 Hollywoodrath Avenue, Hollystown, Dublin 15",Dublin,251101.32,Yes,Hollystown,Dublin 15,q1,20%
21/09/2016,"10 Hollywoodrath Avenue, Hollystown, Dublin 15",Dublin,253304.0,Yes,Hollystown,Dublin 15,q1,20%
06/10/2016,"22 Hollywoodrath Avenue, Hollystown",Dublin,299559.0,Yes,Hollystown,Dublin 15,q2,50%
25/10/2016,"6 Hollywoodrath Crescent, Hollystown",Dublin,255947.13,Yes,Hollystown,Dublin 15,q1,20%
28/10/2016,"28 Hollywoodrath Avenue, Hollystown",Dublin,259911.89,Yes,Hollystown,Dublin 15,q1,30%
04/11/2016,"5 Hollywoodrath Crescent, Hollystown, Dublin 15",Dublin,255947.5,Yes,Hollystown,Dublin 15,q1,20%
07/11/2016,"27 Hollywoodrath Avenue, Hollystown, Dublin 15",Dublin,259912.0,Yes,Hollystown,Dublin 15,q1,30%
11/11/2016,"20 Hollywood Rath Crescent, Hollystown, Dublin 15",Dublin,303964.76,Yes,Hollystown,Dublin 15,q2,50%
15/11/2016,"26 Hollywoodrath Avenue, Hollystown, Dublin 15",Dublin,261674.0,Yes,Hollystown,Dublin 15,q1,30%
23/11/2016,"10 Hollywoodrath Crescent, Hollystown, Dublin 15",Dublin,262115.0,Yes,Hollystown,Dublin 15,q1,30%
23/11/2016,"21 Hollywoodrath Crescent, Hollystown, Dublin 15",Dublin,305727.0,Yes,Hollystown,Dublin 15,q3,60%
23/11/2016,"25 Hollywoodrath Avenue, Hollystown, Dublin 15",Dublin,262995.6,Yes,Hollystown,Dublin 15,q2,30%
