date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
12/01/2010,"House 2  Dungriffin Road, Howth, County Dublin",Dublin,594714.0,Yes,Howth,Dublin 13,q3,60%
27/01/2010,"5 Campbells Court, Main Street, Howth",Dublin,400000.0,No,Howth,Dublin 13,q2,40%
28/01/2010,"5 Evora Park, Howth",Dublin,420000.0,No,Howth,Dublin 13,q2,50%
01/02/2010,"581 Howth Road, Raheny",Dublin,501000.0,No,Howth,Dublin 13,q3,60%
04/02/2010,"34 The Pines, Howth Road, Killester",Dublin,285000.0,No,Howth,Dublin 13,q1,20%
04/02/2010,"56 The Pines, Howth Road, Killester",Dublin,305000.0,No,Howth,Dublin 13,q1,30%
11/02/2010,"545 Howth Road, Raheny, Dublin",Dublin,525000.0,No,Howth,Dublin 13,q3,60%
15/02/2010,"605 Howth Road, Raheny, Dublin 5",Dublin,635000.0,No,Howth,Dublin 13,q3,70%
23/02/2010,"5 Abbey Street, Howth",Dublin,527000.0,No,Howth,Dublin 13,q3,60%
26/02/2010,"Apt 5 Auburn, 118 Howth Road, Clontarf",Dublin,344000.0,No,Howth,Dublin 13,q2,30%
05/03/2010,"10 Rosevale, Howth Road  Raheny",Dublin,260000.0,No,Howth,Dublin 13,q1,20%
31/03/2010,"No 10  150 Howth Road, Clontarf",Dublin,490000.0,No,Howth,Dublin 13,q2,50%
31/03/2010,"Whitewater House, Baily, Howth",Dublin,1550000.0,No,Howth,Dublin 13,q4,100%
08/04/2010,"Apt 14 Block B Howth Junction Court, St Donagh'S Road, Dublin 5",Dublin,200000.0,Yes,Howth,Dublin 13,q1,10%
12/04/2010,"16 Thormanby Woods, Howth, County Dublin",Dublin,1400000.0,No,Howth,Dublin 13,q4,100%
27/04/2010,"Apartment 21  Block B, Howth Junction Court, St. Donagh'S Road",Dublin,202643.17,Yes,Howth,Dublin 13,q1,10%
07/05/2010,"2 Corr Castle, Howth",Dublin,696750.0,No,Howth,Dublin 13,q3,80%
07/05/2010,"Monksilver, Windgate Rise, Howth",Dublin,775000.0,No,Howth,Dublin 13,q4,80%
14/05/2010,"Apartment 5 Garland Court, Abbey Street  Howth",Dublin,277533.03,Yes,Howth,Dublin 13,q1,20%
29/05/2010,"Holly Cottage, Balkhill Road, Howth",Dublin,485000.0,No,Howth,Dublin 13,q2,50%
11/06/2010,"7 Asgard Road, Howth",Dublin,555000.0,No,Howth,Dublin 13,q3,60%
16/06/2010,"Heather Cottage, Upper Cliff Rd, Howth  Co Dublin",Dublin,2022511.0,No,Howth,Dublin 13,q4,100%
18/06/2010,"8 Mariner'S Cove, Howth",Dublin,720000.0,No,Howth,Dublin 13,q3,80%
22/06/2010,"5 Cannon Rock View, Howth",Dublin,1500000.0,No,Howth,Dublin 13,q4,100%
16/07/2010,"8 Dungriffin Villas, Howth",Dublin,735000.0,No,Howth,Dublin 13,q3,80%
20/07/2010,"53 Thormanby Lawn, Howth",Dublin,640000.0,No,Howth,Dublin 13,q3,70%
22/07/2010,"67 Balglass Estate, Howth",Dublin,380000.0,No,Howth,Dublin 13,q2,40%
23/07/2010,"Portmor, Greys Lane, Howth",Dublin,900000.0,Yes,Howth,Dublin 13,q4,90%
28/07/2010,"15 Furry Park Court, Howth Road",Dublin,155000.0,No,Howth,Dublin 13,q1,10%
29/07/2010,"Apt. 1  Glenbrian Hall, 98  Howth Road, Clontarf",Dublin,283000.0,No,Howth,Dublin 13,q1,20%
12/08/2010,"32 Howth Road, Dublin 3, Dublin 3",Dublin,67500.0,No,Howth,Dublin 13,q1,10%
17/08/2010,"562 Howth Road, Raheny",Dublin,311000.0,No,Howth,Dublin 13,q1,30%
23/08/2010,"16 Woodside, Balkill Road, Howth",Dublin,460000.0,No,Howth,Dublin 13,q2,50%
27/08/2010,"171 Ashbrook, Howth Road, Clontarf",Dublin,415000.0,No,Howth,Dublin 13,q2,50%
31/08/2010,"3 Thormanby Lawns, Howth",Dublin,690000.0,No,Howth,Dublin 13,q3,80%
03/09/2010,"St Gerards, Balkill Road, Howth",Dublin,640000.0,No,Howth,Dublin 13,q3,70%
01/10/2010,"Apt 2 Auburn, 118 Howth Road, Clontarf",Dublin,315000.0,No,Howth,Dublin 13,q2,30%
14/10/2010,"Heritage Lodge, Balkill Road, Howth",Dublin,810000.0,No,Howth,Dublin 13,q4,90%
15/10/2010,"13 Crosstrees Court, Howth, County Dublin",Dublin,344500.0,No,Howth,Dublin 13,q2,40%
18/10/2010,"Flat Numbr 17, Glenbrian Hall, 98 Howth Road",Dublin,225000.0,No,Howth,Dublin 13,q1,20%
19/10/2010,"Ayrton, 634 Howth Road, Raheny",Dublin,425000.0,No,Howth,Dublin 13,q2,50%
27/10/2010,"12 Mariners Cove, Thornmanby Road, Howth",Dublin,750000.0,No,Howth,Dublin 13,q4,80%
03/12/2010,"Site 2, 101 Howth Road, Howth",Dublin,1396475.0,Yes,Howth,Dublin 13,q4,100%
07/12/2010,"16 Crosstrees, Main Street, Howth",Dublin,350000.0,No,Howth,Dublin 13,q2,40%
09/12/2010,"24 Corr Castle, Howth Road Sutton",Dublin,602500.0,No,Howth,Dublin 13,q3,70%
10/12/2010,"'Greygates', Grey'S Lane, Howth",Dublin,1300000.0,No,Howth,Dublin 13,q4,100%
10/12/2010,"40 Ashbrook, Howth Road, Clontarf",Dublin,520000.0,No,Howth,Dublin 13,q3,60%
16/12/2010,"Dunbo Hill, Howth, Co Dublin",Dublin,1500000.0,No,Howth,Dublin 13,q4,100%
17/12/2010,"1 Thulla, Dunbo Hill, Howth",Dublin,1000000.0,Yes,Howth,Dublin 13,q4,90%
17/12/2010,"5 Crosstrees Court, Main Street, Howth",Dublin,355000.0,No,Howth,Dublin 13,q2,40%
20/12/2010,"Apartment 1 Rookstown, Thormanby Road, Howth",Dublin,250000.0,No,Howth,Dublin 13,q1,20%
22/12/2010,"Apartment 14, Block 1, Howth Lodge  Howth",Dublin,675000.0,No,Howth,Dublin 13,q3,70%
22/12/2010,"No 2 Brooklawn, Dungriffin Road, Howth",Dublin,270000.0,No,Howth,Dublin 13,q1,20%
17/01/2011,"43 Venetian Hall, Howth Road",Dublin,245000.0,No,Howth,Dublin 13,q1,20%
28/01/2011,"370 Howth Road, Raheny",Dublin,348000.0,No,Howth,Dublin 13,q2,40%
28/01/2011,"Apartment 3  308 Howth Road, Killester  Dublin 3",Dublin,345000.0,No,Howth,Dublin 13,q2,40%
08/02/2011,"93 Corr Castle, Howth",Dublin,700000.0,No,Howth,Dublin 13,q3,80%
17/02/2011,"Windrush, 772 Howth Road, Dublin 5",Dublin,2000000.0,No,Howth,Dublin 13,q4,100%
17/02/2011,"Wyvern, Dungriffin Road, Howth",Dublin,1425000.0,No,Howth,Dublin 13,q4,100%
23/02/2011,"15 Harbour View, Howth",Dublin,375000.0,No,Howth,Dublin 13,q2,40%
22/03/2011,"18 Thormanby Woods, Howth",Dublin,925000.0,No,Howth,Dublin 13,q4,90%
05/05/2011,"Couleen, Baily, Howth",Dublin,1255000.0,No,Howth,Dublin 13,q4,100%
15/05/2011,"The Moorings, Claremont, Howth Road",Dublin,735000.0,No,Howth,Dublin 13,q4,80%
24/05/2011,"16 Rosevale, Howth Road, Raheny",Dublin,125000.0,No,Howth,Dublin 13,q1,10%
27/05/2011,"No. 9 Grace O'Malley Drive, Howth, Co. Dublin",Dublin,270000.0,No,Howth,Dublin 13,q1,20%
31/05/2011,"90 St. Peter'S Terrace, Howth",Dublin,250000.0,No,Howth,Dublin 13,q1,20%
31/05/2011,"Apt 84, Block 5 Corr Castle, Howth Road",Dublin,450000.0,No,Howth,Dublin 13,q2,50%
30/06/2011,"44A, Grace O'Malley Drive, Howth",Dublin,260000.0,No,Howth,Dublin 13,q1,20%
01/07/2011,"36 Rosevale Apartments, Howth Road, Raheny",Dublin,140000.0,No,Howth,Dublin 13,q1,10%
01/07/2011,"6 Claremont Road, Howth",Dublin,610000.0,No,Howth,Dublin 13,q3,70%
08/07/2011,"The Anchorage, Church Street, Howth",Dublin,820000.0,No,Howth,Dublin 13,q4,90%
