date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
12/02/2010,"21 Ring Terrace, Inchicore, Dublin 8",Dublin,200000.0,No,Inchicore,Dublin 8,q2,40%
23/02/2010,"106 Inchicore Road, Inchicore",Dublin,310000.0,No,Inchicore,Dublin 8,q4,80%
03/03/2010,"15 Ebenezer Terrace, Donor Avenue, Inchicore  Dubllin 8",Dublin,306000.0,No,Inchicore,Dublin 8,q4,80%
01/04/2010,"114 Tyrconnell Park, Inchicore, Dublin 8",Dublin,270000.0,No,Inchicore,Dublin 8,q3,70%
20/04/2010,"18 Bulfin Road, Inchicore, Dublin 8",Dublin,215000.0,No,Inchicore,Dublin 8,q2,50%
21/04/2010,"21 Anner Road, Inchicore",Dublin,170000.0,No,Inchicore,Dublin 8,q2,30%
22/04/2010,"Apt 166 The Tramyards, Inchicore",Dublin,115000.0,No,Inchicore,Dublin 8,q1,20%
29/04/2010,"47 Railway Avenue, Inchicore, Dublin 8",Dublin,240000.0,No,Inchicore,Dublin 8,q3,60%
14/05/2010,"169 Emmet Road, Inchicore, Dublin 8",Dublin,250000.0,No,Inchicore,Dublin 8,q3,60%
10/06/2010,"17 Tyrconnell Park, Inchicore",Dublin,220000.0,No,Inchicore,Dublin 8,q2,50%
14/06/2010,"58 Anner Road, Inchicore, Dublin 8",Dublin,240000.0,No,Inchicore,Dublin 8,q3,60%
22/06/2010,"34 Goldenbridge Avenue, Inchicore, Dublin 8",Dublin,200000.0,No,Inchicore,Dublin 8,q2,40%
12/07/2010,"14 St. Vincent'S Street West, Inchicore",Dublin,105000.0,No,Inchicore,Dublin 8,q1,10%
12/07/2010,"175 Emmett Road, Inchicore",Dublin,190000.0,No,Inchicore,Dublin 8,q2,40%
21/07/2010,"5 Phoenix Street, Inchicore",Dublin,163000.0,No,Inchicore,Dublin 8,q2,30%
27/08/2010,"36A Ring Terrace, Inchicore",Dublin,225000.0,No,Inchicore,Dublin 8,q2,50%
02/09/2010,"22 Ring Terrace, Inchicore",Dublin,200000.0,No,Inchicore,Dublin 8,q2,50%
13/09/2010,"14 Southern Cross Avenue, Inchicore",Dublin,265000.0,No,Inchicore,Dublin 8,q3,70%
17/09/2010,"52 Ring Street, Inchicore, Dublin 8",Dublin,238000.0,No,Inchicore,Dublin 8,q3,60%
05/10/2010,"77 Kickham Road, Inchicore",Dublin,255000.0,No,Inchicore,Dublin 8,q3,70%
21/10/2010,"9 Harcourt Lodge, Off Southern Cross Avenue, Inchicore",Dublin,261500.0,No,Inchicore,Dublin 8,q3,70%
15/11/2010,"15 Tyrconnell Park, Inchicore, Dublin 8",Dublin,170000.0,No,Inchicore,Dublin 8,q2,30%
20/12/2010,"Apartment 125 Sevenoaks, Sarsfield Road, Inchicore",Dublin,157000.0,No,Inchicore,Dublin 8,q1,30%
02/02/2011,"31 Dolpin Road, Inchicore",Dublin,208000.0,No,Inchicore,Dublin 8,q2,50%
15/02/2011,"103 Naas Road, Inchicore",Dublin,190000.0,No,Inchicore,Dublin 8,q2,40%
22/02/2011,"11 Railway Avenue, Inchicore",Dublin,103000.0,No,Inchicore,Dublin 8,q1,10%
28/02/2011,"52 Kickham Road, Inchicore",Dublin,100000.0,No,Inchicore,Dublin 8,q1,10%
02/03/2011,"70 Bulfin Road, Inchicore",Dublin,205000.0,No,Inchicore,Dublin 8,q2,50%
