date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
10/06/2010,"28 St. Brendan'S Cottages, Irishtown",Dublin,210000.0,No,Irishtown,Dublin 4,q1,20%
15/06/2010,"6 St. Brendan'S Cottages, Irishtown Road",Dublin,310000.0,No,Irishtown,Dublin 4,q2,40%
01/10/2010,"30 St. Brendan'S Cottages, Irishtown",Dublin,225000.0,No,Irishtown,Dublin 4,q1,20%
06/10/2010,"46 Bremen Road, Irishtown, Dublin 4",Dublin,285000.0,No,Irishtown,Dublin 4,q2,30%
29/10/2010,"32 Bath Street, Irishtown",Dublin,150000.0,No,Irishtown,Dublin 4,q1,10%
30/11/2010,"76 Magdelan Terrace, Stella Gardens, Irishtown",Dublin,191000.0,No,Irishtown,Dublin 4,q1,20%
15/12/2010,"68 Irishtown Road, Irishtown",Dublin,403000.0,No,Irishtown,Dublin 4,q3,70%
17/12/2010,"17 Aiken Head Terrace, Stella Gardens, Irishtown",Dublin,415000.0,No,Irishtown,Dublin 4,q3,70%
17/12/2010,"3 Pembroke Grove, Irishtown",Dublin,450000.0,No,Irishtown,Dublin 4,q4,80%
04/04/2011,"4 Chapel Ave, Irishtown",Dublin,310000.0,No,Irishtown,Dublin 4,q2,40%
23/06/2011,"18 Irishtown Road, Irishtown",Dublin,290000.0,No,Irishtown,Dublin 4,q2,30%
01/07/2011,"10 St. Brendans Cottages, Irishtown, Dublin 4",Dublin,330000.0,No,Irishtown,Dublin 4,q2,50%
25/08/2011,"13 Dermot O'Hurley Avenue, Stella Gardens, Irishtown",Dublin,91500.0,No,Irishtown,Dublin 4,q1,10%
06/10/2011,"79 Magdalen Terrace  Stella Gardens, Irishtown, Dublin 4",Dublin,120000.0,No,Irishtown,Dublin 4,q1,10%
25/10/2011,"2 St Mary'S Terrace, Bath St, Irishtown",Dublin,180000.0,No,Irishtown,Dublin 4,q1,20%
14/02/2012,"Apartment 29  Block B, The Bottleworks, Dermot O'Hurley Avenue  Irishtown",Dublin,148000.0,No,Irishtown,Dublin 4,q1,10%
05/04/2012,"78 Magdalen Terrace, Stella Gardens, Irishtown",Dublin,157000.0,No,Irishtown,Dublin 4,q1,10%
20/04/2012,"38 Bath Street, Irishtown, Dublin 4",Dublin,328000.0,No,Irishtown,Dublin 4,q2,40%
02/05/2012,"104 Veronica Terrace, Irishtown",Dublin,184000.0,No,Irishtown,Dublin 4,q1,20%
20/06/2012,"46 Irishtown Road, Irishtown, Dublin 4",Dublin,130000.0,No,Irishtown,Dublin 4,q1,10%
03/07/2012,"132 Oliver Plunkett Avenue, Irishtown",Dublin,145000.0,No,Irishtown,Dublin 4,q1,10%
24/08/2012,"11 Bayview Terrace, Irishtown",Dublin,165000.0,No,Irishtown,Dublin 4,q1,10%
15/10/2012,"75 Magdalen Terrace, Stella Gardens, Irishtown",Dublin,163000.0,No,Irishtown,Dublin 4,q1,10%
02/11/2012,"2 Pembroke Street, Irishtown",Dublin,63250.0,No,Irishtown,Dublin 4,q1,10%
02/11/2012,"4 St. Mary'S Terrace, Bath Street, Irishtown",Dublin,230000.0,No,Irishtown,Dublin 4,q1,20%
23/11/2012,"90 Veronica Terrace, Stella Gardens, Irishtown",Dublin,185000.0,No,Irishtown,Dublin 4,q1,20%
21/12/2012,"17 Strand Street, Irishtown",Dublin,177500.0,No,Irishtown,Dublin 4,q1,10%
15/02/2013,"17 Strand Street, Irishtown",Dublin,220000.0,No,Irishtown,Dublin 4,q1,20%
20/09/2013,"108 St. Philomenas Terrace, Stella Gardens, Irishtown",Dublin,225000.0,No,Irishtown,Dublin 4,q1,20%
04/10/2013,"1 Seaview, Pembroke Road, Irishtown",Dublin,316000.0,No,Irishtown,Dublin 4,q2,40%
13/11/2013,"33 Bath Street, Irishtown",Dublin,402500.0,No,Irishtown,Dublin 4,q3,70%
23/12/2013,"2 Bayview, Pembroke St, Irishtown Dublin 4",Dublin,561500.0,No,Irishtown,Dublin 4,q4,100%
12/02/2014,"40 Stella Gardens, Irishtown, Dublin 4",Dublin,260000.0,No,Irishtown,Dublin 4,q1,30%
17/07/2014,"62 Stella Gardens, Irishtown, Dublin 4",Dublin,232500.0,No,Irishtown,Dublin 4,q1,20%
08/08/2014,"19 Aikenhead Terrace, Irishtown, Dublin 4",Dublin,297000.0,No,Irishtown,Dublin 4,q2,40%
28/08/2014,"17 Bath St, Irishtown, Dublin 4",Dublin,275000.0,No,Irishtown,Dublin 4,q2,30%
16/09/2014,"76 Magdalen Terrace, Stella Gardens, Irishtown Dublin 4",Dublin,395000.0,No,Irishtown,Dublin 4,q3,60%
24/10/2014,"Apartment 8A, Riverview Court, The Bottleworks  Irishtown",Dublin,275000.0,No,Irishtown,Dublin 4,q2,30%
01/12/2014,"117 Stella Gardens, Irishtown, Dublin 4",Dublin,316000.0,No,Irishtown,Dublin 4,q2,40%
11/12/2014,"21 Aikenhead Terrace, Irishtown, Dublin 4",Dublin,395000.0,No,Irishtown,Dublin 4,q3,60%
18/12/2014,"5 Strasburg Terrace, Irishtown, Dublin",Dublin,419000.0,No,Irishtown,Dublin 4,q3,70%
22/12/2014,"37 Stella Gardens, Irishtown, Dublin 4",Dublin,348078.0,No,Irishtown,Dublin 4,q2,50%
31/12/2014,"20 Bath St, Irishtown, Dublin 4",Dublin,175000.0,No,Irishtown,Dublin 4,q1,10%
19/01/2015,"33 St Brendans Cottages, Irishtown, Dublin 4",Dublin,296500.0,No,Irishtown,Dublin 4,q2,40%
30/01/2015,"8 Dodder Terrace, Irishtown, Dublin 4",Dublin,365500.0,No,Irishtown,Dublin 4,q3,60%
24/02/2015,"11 Bath Street, Irishtown",Dublin,183750.0,No,Irishtown,Dublin 4,q1,20%
24/02/2015,"13 Bath Street, Irishtown",Dublin,183750.0,No,Irishtown,Dublin 4,q1,20%
24/02/2015,"31 Aikenhead Terrace, Irishtown, Dublin 4",Dublin,427000.0,No,Irishtown,Dublin 4,q3,80%
02/04/2015,"10 Bayview, Pembroke Street, Irishtown",Dublin,410000.0,No,Irishtown,Dublin 4,q3,70%
25/05/2015,"25 Strand St, Irishtown, Dublin 4",Dublin,205000.0,No,Irishtown,Dublin 4,q1,20%
16/06/2015,"155 Rosary Terrace, Stella Gardens, Irishtown Dublin 4",Dublin,305000.0,No,Irishtown,Dublin 4,q2,40%
25/06/2015,"69 St Magdalen Terrace, Stella Gardens, Irishtown",Dublin,325000.0,No,Irishtown,Dublin 4,q2,40%
21/07/2015,"19 St Brendans Cottages, Irishtown, Dublin 4",Dublin,360000.0,No,Irishtown,Dublin 4,q2,50%
31/07/2015,"5 Bayview, Pembroke St, Irishtown Dublin 4",Dublin,440000.0,No,Irishtown,Dublin 4,q4,80%
04/08/2015,"3 Rosary Terrace, Irishtown, Dublin 4",Dublin,315000.0,No,Irishtown,Dublin 4,q2,40%
06/08/2015,"15 Kennedy Court, Irishtown, Dublin 4",Dublin,370000.0,No,Irishtown,Dublin 4,q3,60%
07/10/2015,"137 Stella Gardens, Irishtown, Dublin 4",Dublin,265000.0,No,Irishtown,Dublin 4,q1,30%
10/10/2015,"2 Summerfield, Irishtown Rd, Dublin 4",Dublin,295000.0,No,Irishtown,Dublin 4,q2,40%
13/10/2015,"179 Stella Gardens, Irishtown, Dublin 4",Dublin,285000.0,No,Irishtown,Dublin 4,q2,30%
30/10/2015,"21 Kerlogue Rd, Irishtown, Dublin 4",Dublin,380100.0,No,Irishtown,Dublin 4,q3,60%
30/10/2015,"55 Kerlogue Rd, Irishtown Dublin 4, Dublin",Dublin,340000.0,No,Irishtown,Dublin 4,q2,50%
30/10/2015,"Apt 7, Summerfield, Irishtown Rd Dublin 4",Dublin,357050.0,No,Irishtown,Dublin 4,q2,50%
