date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
03/12/2010,"Apartment 69  Long Meadows, Conyngham Road, Island Bridge",Dublin,105000.0,No,Island Bridge,Dublin 8,q1,10%
18/12/2012,"125 Bridgewater Quay, Island Bridge, Dublin 8",Dublin,168000.0,No,Island Bridge,Dublin 8,q2,30%
01/02/2013,"Apartment 26, Bridgewater Quay, Island Bridge",Dublin,165000.0,No,Island Bridge,Dublin 8,q1,20%
17/05/2013,"43 The Phoenix, River Park, Conynaham Road Island Bridge",Dublin,135000.0,No,Island Bridge,Dublin 8,q1,10%
18/12/2013,"73 The Wellington, Riverpark, Island Bridge Dublin 8",Dublin,370000.0,No,Island Bridge,Dublin 8,q4,100%
06/01/2014,"241 Bellevue, Neptune, House Island Bridge",Dublin,221000.0,No,Island Bridge,Dublin 8,q2,50%
19/10/2015,"Apt 135 Block F, Belview, Island Bridge",Dublin,173000.0,No,Island Bridge,Dublin 8,q2,40%
07/10/2016,"114 Bridge Water Quay, Island Bridge, Dublin 8",Dublin,236000.0,No,Island Bridge,Dublin 8,q3,70%
23/03/2017,"58 Bridgewater Quay, Island Bridge, Dublin 8",Dublin,232000.0,No,Island Bridge,Dublin 8,q3,60%
29/01/2019,"241 Bellevue, Neptune, House Island Bridge",Dublin,355000.0,No,Island Bridge,Dublin 8,q4,90%
09/10/2019,"Apt 94 Bridgewater Quay, Conyham Rd, Island Bridge Dublin 8",Dublin,295000.0,No,Island Bridge,Dublin 8,q4,80%
