date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
17/03/2010,"243 Bellevue, Islandbridge",Dublin,222500.0,No,Islandbridge,Dublin 8,q2,40%
15/07/2010,"Apt No. 253, Bellevue, Islandbridge",Dublin,222500.0,No,Islandbridge,Dublin 8,q2,50%
10/08/2010,"48E Bellevue, Islandbridge",Dublin,157000.0,No,Islandbridge,Dublin 8,q1,20%
20/08/2010,"225  Bellevue, Islandbridge, Dublin 8",Dublin,227000.0,No,Islandbridge,Dublin 8,q2,50%
16/12/2010,"250 Bellevue, Islandbridge, Dublin 8",Dublin,145000.0,No,Islandbridge,Dublin 8,q1,10%
04/01/2011,"46 Longmeadows, Islandbridge",Dublin,254000.0,No,Islandbridge,Dublin 8,q3,60%
13/01/2011,"Apartment 141, Bellevue, Islandbridge",Dublin,150000.0,No,Islandbridge,Dublin 8,q1,20%
21/07/2011,"108 Bridgewater Quay, Islandbridge, Dublin 8",Dublin,200000.0,No,Islandbridge,Dublin 8,q2,40%
28/07/2011,"41 Bridgewater Quay, Islandbridge",Dublin,300000.0,No,Islandbridge,Dublin 8,q4,80%
22/08/2011,"Apartment 1, The Wellington  Riverpark, Conyngham Road  Islandbridge",Dublin,130000.0,No,Islandbridge,Dublin 8,q1,10%
02/09/2011,"131 Bellvue, Islandbridge",Dublin,209000.0,No,Islandbridge,Dublin 8,q2,40%
04/10/2011,"No. 110 Bridge Water Quay, Islandbridge",Dublin,150000.0,No,Islandbridge,Dublin 8,q1,20%
10/11/2011,"Apartment 6, Long Meadow, Islandbridge",Dublin,190000.0,No,Islandbridge,Dublin 8,q1,30%
10/10/2012,"2 Bridgewater Quay, Islandbridge",Dublin,172500.0,No,Islandbridge,Dublin 8,q1,20%
27/11/2012,"63 Longmeadow, Conyngham Road, Islandbridge",Dublin,152500.0,No,Islandbridge,Dublin 8,q1,20%
17/12/2012,"65  Bridgewater Quay, Islandbridge, Dublin 8",Dublin,205000.0,No,Islandbridge,Dublin 8,q2,40%
24/01/2013,"No. 200 Bellevue, Islandbridge, Dublin 8",Dublin,124229.07,No,Islandbridge,Dublin 8,q1,10%
25/01/2013,"3 The Salmon Poole, Islandbridge, Dublin 8",Dublin,145000.0,No,Islandbridge,Dublin 8,q1,10%
21/05/2013,"188 Bellevue, Islandbridge, Dublin 8",Dublin,145000.0,No,Islandbridge,Dublin 8,q1,10%
06/06/2013,"112 Bridgwater Quay, Islandbridge, Dublin 8",Dublin,190000.0,No,Islandbridge,Dublin 8,q1,30%
11/06/2013,"3 Bellevue, Islandbridge",Dublin,160000.0,No,Islandbridge,Dublin 8,q1,20%
19/06/2013,"Clancy Quay, Islandbridge",Dublin,60528634.0,No,Islandbridge,Dublin 8,q4,100%
01/07/2013,"2 Riverbank House, Hospital Lane, Islandbridge",Dublin,105000.0,No,Islandbridge,Dublin 8,q1,10%
08/08/2013,"264 Bellevue, Islandbridge",Dublin,229000.0,No,Islandbridge,Dublin 8,q2,50%
