date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
07/12/2011,"113 De Selby Park, Jobstown, Tallagh",Dublin,149950.0,No,Jobstown,Dublin 24,q2,50%
19/03/2013,"5 Cloonmore Grove, Jobstown",Dublin,65000.0,No,Jobstown,Dublin 24,q1,10%
25/07/2014,"11 Russel Lawn, Jobstown, Tallagh",Dublin,130000.0,No,Jobstown,Dublin 24,q2,40%
05/08/2014,"24 Mountpeilier View, Jobstown, Dublin 24",Dublin,87000.0,No,Jobstown,Dublin 24,q1,10%
22/12/2014,"2 Kiltalown Close, Jobstown, Dublin 24",Dublin,118000.0,No,Jobstown,Dublin 24,q1,30%
17/07/2015,"4 Montpelier View, Blessington Rd, Jobstown Dublin 24",Dublin,115000.0,No,Jobstown,Dublin 24,q1,20%
04/04/2018,"5 Cloonmore Close Jobstown, Dublin 24, Dublin",Dublin,191000.0,No,Jobstown,Dublin 24,q4,80%
17/10/2018,"34 Montpellier Court, Jobstown, Dublin 24",Dublin,137000.0,No,Jobstown,Dublin 24,q2,40%
11/02/2019,"28 Kilclare Crescent, Jobstown, Dublin 24",Dublin,220000.0,No,Jobstown,Dublin 24,q4,100%
12/03/2019,"6 Kilclare Drive, Jobstown, Dublin 24",Dublin,186000.0,No,Jobstown,Dublin 24,q3,70%
26/04/2019,"40 Montpelier View, Blessington Oaks, Jobstown Dublin 24",Dublin,195000.0,No,Jobstown,Dublin 24,q4,90%
02/08/2019,"39 Sundale Ave, Sundale, Jobstown Dublin 24",Dublin,210000.0,No,Jobstown,Dublin 24,q4,100%
02/09/2019,"29 Kilatown Heights, Jobstown, Dublin 24",Dublin,160000.0,No,Jobstown,Dublin 24,q3,60%
27/09/2019,"33 Montpelier View, Jobstown, Blessington Rd Dublin 24",Dublin,183000.0,No,Jobstown,Dublin 24,q3,70%
