date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
10/03/2010,"69 Mount Oliver Road, Kilbarrack, Dublin 5",Dublin,200000.0,No,Kilbarrack,Dublin 5,q2,30%
21/05/2010,"21 Mount Olive Park, Kilbarrack",Dublin,63750.0,No,Kilbarrack,Dublin 5,q1,10%
02/07/2010,"8 Berach Lodge, Kilbarrack Road",Dublin,340000.0,No,Kilbarrack,Dublin 5,q4,90%
28/07/2010,"7 Thornville Road, Kilbarrack, Dublin 13",Dublin,205000.0,No,Kilbarrack,Dublin 5,q2,30%
30/07/2010,"209 Kilbarrack Road, Dublin 5",Dublin,285000.0,No,Kilbarrack,Dublin 5,q3,70%
04/08/2010,"4 Thornville Avenue, Kilbarrack, Dublin 13",Dublin,371000.0,No,Kilbarrack,Dublin 5,q4,90%
17/08/2010,"97 Kilbarrack Road, Kilbarrack",Dublin,280000.0,No,Kilbarrack,Dublin 5,q3,70%
25/01/2011,"16 Briarfield Road, Kilbarrack",Dublin,196000.0,No,Kilbarrack,Dublin 5,q2,30%
04/03/2011,"4 Sarto Road, Kilbarrack",Dublin,425000.0,No,Kilbarrack,Dublin 5,q4,100%
19/05/2011,"6  Berach Lodge, Kilbarrack Road",Dublin,260000.0,No,Kilbarrack,Dublin 5,q3,60%
19/07/2011,"25 Briarfield Grove, Kilbarrack, Dublin 5",Dublin,200000.0,No,Kilbarrack,Dublin 5,q2,30%
05/10/2011,"69 Thornville Road, Kilbarrack, Dublin 5",Dublin,153000.0,No,Kilbarrack,Dublin 5,q1,20%
21/11/2011,"1 Alden Road, Kilbarrack, Dublin",Dublin,220000.0,No,Kilbarrack,Dublin 5,q2,40%
09/12/2011,"67 Kilbarrack Road, Dublin 5",Dublin,320000.0,No,Kilbarrack,Dublin 5,q4,80%
20/12/2011,"17 Thornville Avenue, Kilbarrack",Dublin,180000.0,No,Kilbarrack,Dublin 5,q1,30%
12/03/2012,"84A  Millbrook Avenue, Kilbarrack",Dublin,192000.0,No,Kilbarrack,Dublin 5,q1,30%
19/06/2012,"10 Kilbarrack Road, Kilbarrack",Dublin,303000.0,No,Kilbarrack,Dublin 5,q3,80%
20/07/2012,"7 Briarfield Grove, Kilbarrack, Dublin 5",Dublin,95000.0,No,Kilbarrack,Dublin 5,q1,10%
20/08/2012,"51 Briarfield Road, Kilbarrack, Dubln 5",Dublin,115000.0,No,Kilbarrack,Dublin 5,q1,10%
30/08/2012,"86B Briarfield Road, Kilbarrack",Dublin,142235.77,Yes,Kilbarrack,Dublin 5,q1,20%
07/09/2012,"86A Briarfield Road, Kilbarrack",Dublin,140000.0,Yes,Kilbarrack,Dublin 5,q1,20%
11/10/2012,"43 Thornville Avenue, Kilbarrack",Dublin,110000.0,No,Kilbarrack,Dublin 5,q1,10%
