date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
08/01/2010,"24 Abbey Park, Killester Avenue",Dublin,275000.0,No,Killester,Dublin 3,q1,30%
18/02/2010,"133 St Bridget'S Grove, Killester",Dublin,330000.0,No,Killester,Dublin 3,q2,40%
19/02/2010,"52 Furry Park Road, Killester",Dublin,530000.0,No,Killester,Dublin 3,q4,100%
25/03/2010,"15 The Bramblings, Killester",Dublin,325000.0,No,Killester,Dublin 3,q2,40%
31/03/2010,"60 Furry Park Road, Killester, Dublin 5",Dublin,375000.0,No,Killester,Dublin 3,q3,60%
24/06/2010,"13 Killester Park, Killester, Dublin",Dublin,280000.0,No,Killester,Dublin 3,q2,30%
25/06/2010,"22 Kilbride Road, Killester, Dublin 5",Dublin,235000.0,No,Killester,Dublin 3,q1,20%
14/07/2010,"21 St. Brigid'S Grove, Killester",Dublin,375000.0,No,Killester,Dublin 3,q3,60%
28/07/2010,"30 The Bramblings, Killester, Dublin 5",Dublin,350000.0,No,Killester,Dublin 3,q2,50%
03/08/2010,"63 Furry Park, Killester, Dublin 3",Dublin,340000.0,No,Killester,Dublin 3,q2,50%
09/08/2010,"28 Middle Third, Killester",Dublin,350000.0,No,Killester,Dublin 3,q2,50%
13/08/2010,"141 Killester Avenue, Killester",Dublin,205000.0,No,Killester,Dublin 3,q1,20%
13/10/2010,"43 The Demesne, Killester",Dublin,522000.0,No,Killester,Dublin 3,q4,90%
12/11/2010,"7 Killester Park, Killester, Dublin 5",Dublin,226000.0,No,Killester,Dublin 3,q1,20%
14/12/2010,"72 Collins Avenue East, Killester",Dublin,320000.0,No,Killester,Dublin 3,q2,40%
15/12/2010,"29 Middle Third, Killester",Dublin,415000.0,No,Killester,Dublin 3,q3,70%
16/12/2010,"16 Craigford Avenue, Killester, Dublin 3",Dublin,220000.0,No,Killester,Dublin 3,q1,20%
17/12/2010,"105 Abbeyfield, Killester",Dublin,327000.0,No,Killester,Dublin 3,q2,40%
24/12/2010,"42 Furry Park Court, Killester, Dublin 5",Dublin,405000.0,No,Killester,Dublin 3,q3,70%
24/02/2011,"4 Killester Avenue, Killester, Dublin 5",Dublin,300000.0,No,Killester,Dublin 3,q2,30%
03/03/2011,"43 The Bramblings, Killester, Dublin 6",Dublin,297000.0,No,Killester,Dublin 3,q2,30%
11/03/2011,"30 Abbey Court, Killester",Dublin,247000.0,No,Killester,Dublin 3,q1,20%
01/04/2011,"43 The Bramblings, Killester, Dublin 5",Dublin,300000.0,No,Killester,Dublin 3,q2,40%
04/05/2011,"8 Abbey Park, Killester, Dublin 3",Dublin,220000.0,No,Killester,Dublin 3,q1,20%
13/05/2011,"41 Craigford Drive, Killester, Dublin 5",Dublin,232000.0,No,Killester,Dublin 3,q1,20%
30/05/2011,"186 Collins Avenue, East, Killester",Dublin,230000.0,No,Killester,Dublin 3,q1,20%
03/06/2011,"42  Middle Third, Killester",Dublin,431500.0,No,Killester,Dublin 3,q3,80%
28/07/2011,"1 The Pines, Killester, Dublin 5",Dublin,211000.0,No,Killester,Dublin 3,q1,20%
16/09/2011,"20 Kilbride Road, Killester",Dublin,187000.0,No,Killester,Dublin 3,q1,10%
