date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
07/01/2010,"37 Castle Court, Killiney Hill Road, Killiney",Dublin,272500.0,No,Killiney,Co. Dublin,q1,10%
08/01/2010,"62 Watson Road, Killiney",Dublin,525000.0,No,Killiney,Co. Dublin,q2,50%
14/01/2010,"Melrose, 13 Killiney Road, Killiney",Dublin,490000.0,No,Killiney,Co. Dublin,q2,50%
19/01/2010,"182 Ballinclea Heights, Killiney",Dublin,610000.0,No,Killiney,Co. Dublin,q3,60%
28/01/2010,"St. Columba'S Lodge, Killiney Hill Road, Killiney",Dublin,325000.0,No,Killiney,Co. Dublin,q1,20%
03/02/2010,"108 Churchview Road, Killiney",Dublin,410000.0,No,Killiney,Co. Dublin,q2,30%
12/02/2010,"4 Glenalua Heights, Glenalua Road, Killiney",Dublin,660000.0,No,Killiney,Co. Dublin,q3,70%
12/02/2010,"8 Domville Grove, Killiney Hill, Killiney",Dublin,374500.0,No,Killiney,Co. Dublin,q1,30%
11/03/2010,"Apt 38 Deane, Station Road, Killiney",Dublin,415935.0,Yes,Killiney,Co. Dublin,q2,30%
18/03/2010,"38A Thomastown Road, Killiney",Dublin,470000.0,No,Killiney,Co. Dublin,q2,40%
31/03/2010,"184 Ballinclea Heights, Killiney, County Dublin",Dublin,590000.0,No,Killiney,Co. Dublin,q3,60%
06/04/2010,"1 Hollymount, Glenalua Road, Killiney",Dublin,290000.0,No,Killiney,Co. Dublin,q1,20%
09/04/2010,"5 Ballinclea Wood, Ballinclea Road, Killiney",Dublin,570000.0,No,Killiney,Co. Dublin,q3,60%
09/04/2010,"Kinvarra, Military Road, Killiney",Dublin,885000.0,No,Killiney,Co. Dublin,q4,90%
13/04/2010,"63 Bayview Drive, Killiney, County Dublin",Dublin,355000.0,No,Killiney,Co. Dublin,q1,20%
19/04/2010,"27 Auburn Drive, Killiney, Dublin",Dublin,400000.0,No,Killiney,Co. Dublin,q2,30%
20/04/2010,"7 Avondale Park, Killiney, County Dublin",Dublin,464000.0,No,Killiney,Co. Dublin,q2,40%
23/04/2010,"10 Watson Park, Killiney",Dublin,385000.0,No,Killiney,Co. Dublin,q1,30%
30/04/2010,"2 Bayview Grove, Killiney",Dublin,350000.0,No,Killiney,Co. Dublin,q1,20%
06/05/2010,"93 Avondale Road, Killiney",Dublin,645000.0,No,Killiney,Co. Dublin,q3,70%
15/05/2010,"Marine Lodge, Seafield Road, Killiney",Dublin,460000.0,No,Killiney,Co. Dublin,q2,40%
31/05/2010,"124 Churchview Road, Killiney",Dublin,320000.0,No,Killiney,Co. Dublin,q1,20%
17/06/2010,"3 Mount Auburn, Killiney",Dublin,850000.0,No,Killiney,Co. Dublin,q4,90%
18/06/2010,"42 Watson Drive, Killiney",Dublin,416000.0,No,Killiney,Co. Dublin,q2,40%
25/06/2010,"17 Avondale Road, Killiney",Dublin,650000.0,No,Killiney,Co. Dublin,q3,70%
01/07/2010,"Apartment 10 The Court, Station Road, Killiney",Dublin,264317.0,Yes,Killiney,Co. Dublin,q1,10%
12/07/2010,"11 Abberley, Killiney",Dublin,285000.0,No,Killiney,Co. Dublin,q1,20%
12/07/2010,"24 Watson Road, Killiney",Dublin,690000.0,No,Killiney,Co. Dublin,q3,70%
22/07/2010,"65 Avondale Road, Killiney, Co. Dublin",Dublin,640000.0,No,Killiney,Co. Dublin,q3,70%
27/07/2010,"126A Ballinclea Heights, Killiney",Dublin,630000.0,No,Killiney,Co. Dublin,q3,70%
06/08/2010,"22 Killiney Grove, Killiney",Dublin,460000.0,No,Killiney,Co. Dublin,q2,40%
06/08/2010,"3 Bayview Drive, Killiney",Dublin,385000.0,No,Killiney,Co. Dublin,q1,30%
