date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
21/01/2010,"193 Holywell, Upper Kilmacud Road",Dublin,455000.0,No,Kilmacud,Dublin 14,q2,50%
23/03/2010,"6 Rathmore Avenue, Kilmacud",Dublin,395000.0,No,Kilmacud,Dublin 14,q2,30%
01/04/2010,"37 Hazelbrook, Upper Kilmacud Road, Dublin 14",Dublin,250000.0,Yes,Kilmacud,Dublin 14,q1,20%
20/04/2010,"Apartment No. 5 Hazelbrook, Kilmacud Road Upper, Dublin",Dublin,259911.89,Yes,Kilmacud,Dublin 14,q1,20%
02/07/2010,"19 Hazelbrook, Upper Kilmacud Park",Dublin,264317.18,Yes,Kilmacud,Dublin 14,q1,20%
30/07/2010,"208 Holywell, Upper Kilmacud Road",Dublin,1090000.0,No,Kilmacud,Dublin 14,q4,100%
30/07/2010,"Apt 29, Hazelbrook, Upper Kilmacud Rd.",Dublin,400000.0,No,Kilmacud,Dublin 14,q2,40%
19/08/2010,"36 Hazelbrook, Upper Kilmacud Road, Co. Dublin",Dublin,308370.04,Yes,Kilmacud,Dublin 14,q1,20%
20/08/2010,"146 Holywell, Upper Kilmacud Road, Dublin 14",Dublin,530000.0,No,Kilmacud,Dublin 14,q3,60%
28/09/2010,"53 Holywell, Upper Kilmacud Road",Dublin,530000.0,No,Kilmacud,Dublin 14,q3,60%
03/12/2010,"1 Sweetbriar Lane, Kilmacud",Dublin,505000.0,No,Kilmacud,Dublin 14,q3,60%
16/12/2010,"44B  The Beeches, Holywell, Upper Kilmacud Road",Dublin,540625.0,Yes,Kilmacud,Dublin 14,q3,70%
17/12/2010,"9 Drumahill, Kilmacud Road Upper",Dublin,955000.0,No,Kilmacud,Dublin 14,q4,100%
07/01/2011,"46 Woodley Park, Kilmacud, Dublin",Dublin,523000.0,No,Kilmacud,Dublin 14,q3,60%
07/01/2011,"46 Woodley Park, Kilmacud, Dublin",Dublin,523000.0,No,Kilmacud,Dublin 14,q3,60%
03/02/2011,"55 Lakelands Close, Kilmacud",Dublin,380000.0,No,Kilmacud,Dublin 14,q2,30%
21/02/2011,"30 Woodley Park, Kilmacud",Dublin,455000.0,No,Kilmacud,Dublin 14,q2,50%
03/03/2011,"25 Holywell, Upper Kilmacud Road, Dublin 14",Dublin,500000.0,No,Kilmacud,Dublin 14,q2,50%
22/03/2011,"43B Holywell, Upper Kilmacud Road, Kilmacud",Dublin,585903.08,Yes,Kilmacud,Dublin 14,q3,80%
01/06/2011,"12 Sweetbriar Lane, Kilmacud, Dublin 14",Dublin,445000.0,No,Kilmacud,Dublin 14,q2,40%
16/06/2011,"44 Holywell, Upper Kilmacud Road, Kilmacud",Dublin,480000.0,No,Kilmacud,Dublin 14,q2,50%
04/07/2011,"201 Holywell, Kilmacud Road Upper",Dublin,375000.0,No,Kilmacud,Dublin 14,q2,30%
24/08/2011,"171 Holywell, Upper Kilmacud Road, Dublin 14",Dublin,462500.0,No,Kilmacud,Dublin 14,q2,50%
25/08/2011,"90 Marsham Court, Kilmacud, County Dublin",Dublin,350000.0,No,Kilmacud,Dublin 14,q1,30%
01/09/2011,"15 Annville Drive, Kilmacud",Dublin,380000.0,No,Kilmacud,Dublin 14,q2,30%
03/10/2011,"2 Drummartin Road, Kilmacud, D",Dublin,390000.0,No,Kilmacud,Dublin 14,q2,30%
05/03/2012,"Apartment 6, Hazelbrook, Upper Kilmacud Road",Dublin,215859.0,Yes,Kilmacud,Dublin 14,q1,10%
09/03/2012,"31 Hazelbrook, Upper Kilmacud Road, Dublin 14",Dublin,185975.0,Yes,Kilmacud,Dublin 14,q1,10%
04/04/2012,"29 Woodley Park, Kilmacud",Dublin,416500.0,No,Kilmacud,Dublin 14,q2,40%
04/04/2012,"51 Hazelbrook, Upper Kilmacud Road",Dublin,225000.0,No,Kilmacud,Dublin 14,q1,10%
09/05/2012,"199 Holywell, Upper Kilmacud Road",Dublin,450000.0,No,Kilmacud,Dublin 14,q2,40%
10/05/2012,"44 Holywell, Kilmacud",Dublin,525000.0,No,Kilmacud,Dublin 14,q3,60%
18/05/2012,"91 Woodley Park, Kilmacud, Dublin 14",Dublin,343000.0,No,Kilmacud,Dublin 14,q1,30%
20/07/2012,"101 Holywell, Upper Kilmacud Road, Dublin 14",Dublin,485000.0,No,Kilmacud,Dublin 14,q2,50%
10/08/2012,"Apt 8, Dromartin Castle, Kilmacud Road",Dublin,235000.0,No,Kilmacud,Dublin 14,q1,10%
24/08/2012,"70 Holywell, Upper Kilmacud Road, Dundum",Dublin,440000.0,No,Kilmacud,Dublin 14,q2,40%
29/08/2012,"10 Hazelbrook, Upper Kilmacud Road",Dublin,230000.0,No,Kilmacud,Dublin 14,q1,10%
10/10/2012,"82 Slieve Rua Drive, Kilmacud",Dublin,150000.0,No,Kilmacud,Dublin 14,q1,10%
19/10/2012,"Apt 26 Hazelbrook, Upper Kilmacud Road",Dublin,240750.0,No,Kilmacud,Dublin 14,q1,10%
24/10/2012,"75 Holywell, Upper Kilmacud Road, Kilmacud",Dublin,396000.0,No,Kilmacud,Dublin 14,q2,40%
19/11/2012,"Apartment No. 27, Hazelbrook Uppr Kilmacud Road, Co. Dublin",Dublin,234000.0,No,Kilmacud,Dublin 14,q1,10%
05/12/2012,"63A Holywell, Upper Kilmacud Road",Dublin,875000.0,No,Kilmacud,Dublin 14,q4,100%
06/12/2012,"34 Hazel Avenue, Kilmacud",Dublin,358000.0,No,Kilmacud,Dublin 14,q1,30%
14/12/2012,"38 Hazelbrook, Upper Kilmacud Road, Kilmacud",Dublin,240000.0,No,Kilmacud,Dublin 14,q1,10%
25/02/2013,"61 Woodley Park, Kilmacud",Dublin,308000.0,No,Kilmacud,Dublin 14,q1,20%
12/08/2013,"56 Woodley Park, Kilmacud, Dublin 14",Dublin,395500.0,No,Kilmacud,Dublin 14,q2,40%
30/08/2013,"44A Holywell, Upper Kilmacud Road",Dublin,710000.0,No,Kilmacud,Dublin 14,q4,100%
02/09/2013,"96 Holywell, Upper Kilmacud Road",Dublin,495000.0,No,Kilmacud,Dublin 14,q2,50%
30/09/2013,"Apt. 40 Hazelbrook, Upper Kilmacud Road",Dublin,247000.0,No,Kilmacud,Dublin 14,q1,20%
11/10/2013,"43A The Beeches, Holywell, Upper Kilmacud Road",Dublin,705000.0,No,Kilmacud,Dublin 14,q4,100%
25/10/2013,"3 Woodley Park, Kilmacud, Dublin 14",Dublin,439000.0,No,Kilmacud,Dublin 14,q2,40%
20/11/2013,"37 Hazelbrook, Upper Kilmacud Road",Dublin,195000.0,No,Kilmacud,Dublin 14,q1,10%
12/12/2013,"15 Hazelbrook, Upper Kilmacud Rd, Dublin 14",Dublin,275000.0,No,Kilmacud,Dublin 14,q1,20%
19/12/2013,"172 Holywell, Kilmacud Rd Upper, Dublin 14",Dublin,465000.0,No,Kilmacud,Dublin 14,q2,50%
19/12/2013,"36 Woodley Park, Kilmacud, Dublin 14",Dublin,370000.0,No,Kilmacud,Dublin 14,q1,30%
27/01/2014,"Elmville, Upper Kilmacud Road, Dublin 14",Dublin,335000.0,No,Kilmacud,Dublin 14,q1,20%
12/03/2014,"3 Hazelbrook, Upper Kilmacud Rd, Dublin 14",Dublin,253500.0,No,Kilmacud,Dublin 14,q1,20%
12/05/2014,"85 Mount Anville Wood, Lower Kilmacud Road, Kilmacud",Dublin,550000.0,No,Kilmacud,Dublin 14,q3,70%
16/05/2014,"45 Holywell, Kilmacud Rd Upper, Dublin 14",Dublin,500000.0,No,Kilmacud,Dublin 14,q3,60%
04/06/2014,"28 Hazelbrook, Upper Kilmacud Rd, Dublin 14",Dublin,300000.0,No,Kilmacud,Dublin 14,q1,20%
10/09/2014,"40 Drummartin Park, Kilmacud, Dublin 14",Dublin,480000.0,No,Kilmacud,Dublin 14,q2,50%
23/09/2014,"19 Drummartin Park, Kilmacud, Dublin 14",Dublin,608000.0,No,Kilmacud,Dublin 14,q4,80%
29/09/2014,"40 Sweet Briar Lane, Kilmacud, Dublin 14",Dublin,565000.0,No,Kilmacud,Dublin 14,q3,70%
03/10/2014,"164 Holywell, Kilmacud Rd Upper, Dublin 14",Dublin,640000.0,No,Kilmacud,Dublin 14,q4,90%
15/10/2014,"1 The Beeches, Holywell, Kilmacud Rd Upper Dublin 14",Dublin,860000.0,No,Kilmacud,Dublin 14,q4,100%
24/10/2014,"40 Whateley Place, Upper Kilmacud Rd, Stilorgan",Dublin,322000.0,No,Kilmacud,Dublin 14,q1,20%
