date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
27/01/2010,"Apt 48, Heuston South Quarter, Kilmainham",Dublin,350000.0,Yes,Kilmainham,Dublin 8,q4,80%
29/01/2010,"131 Mcdowell Avenue, Mount Brown, Kilmainham",Dublin,230000.0,No,Kilmainham,Dublin 8,q2,40%
10/03/2010,"23 Suir Road, Kilmainham",Dublin,166000.0,No,Kilmainham,Dublin 8,q1,20%
15/03/2010,"Apt 42 St. James Court, Mount Brown, Kilmainham",Dublin,220264.0,Yes,Kilmainham,Dublin 8,q2,40%
01/04/2010,"Apartment 63 St. John'S Well Way, Old Kilmainham",Dublin,210000.0,No,Kilmainham,Dublin 8,q2,40%
30/04/2010,"1 Camac View, Kilmainham, Dublin 8",Dublin,211454.0,Yes,Kilmainham,Dublin 8,q2,40%
06/05/2010,"83 Old Kilmainham, Dublin",Dublin,281000.0,No,Kilmainham,Dublin 8,q3,60%
11/05/2010,"158 Donnellan Avenue, Mount Brown, Kilmainham",Dublin,285600.0,No,Kilmainham,Dublin 8,q3,60%
25/05/2010,"13 Cameron Square, Kilmainham, Dublin 8",Dublin,220000.0,No,Kilmainham,Dublin 8,q2,40%
16/06/2010,"17 Camac View, Kilmainham Lane, Kilmainham",Dublin,240000.0,Yes,Kilmainham,Dublin 8,q2,50%
01/07/2010,"13 Camac View, Kilmainham Lane, Dublin 8",Dublin,300000.0,Yes,Kilmainham,Dublin 8,q3,70%
05/07/2010,"No 5 The Laundry, Hybreasal South Circular Road, Kilmainham",Dublin,327000.0,No,Kilmainham,Dublin 8,q3,80%
09/07/2010,"Apartment 52  Block C2, Bow Bridge Place, Irwi Street  Kilmainham",Dublin,149950.0,No,Kilmainham,Dublin 8,q1,20%
23/07/2010,"426 Kilmainham Square, Kilmainham",Dublin,261000.0,No,Kilmainham,Dublin 8,q2,50%
04/08/2010,"60 Mount Shannon Road, Kilmainham",Dublin,415000.0,No,Kilmainham,Dublin 8,q4,90%
23/09/2010,"1 Almeida Terrace, Kilmainham, Dublin 8",Dublin,425000.0,No,Kilmainham,Dublin 8,q4,90%
28/09/2010,"5 Tower Terrace, Kilmainham",Dublin,181000.0,No,Kilmainham,Dublin 8,q1,30%
29/10/2010,"117 Kilmainham Square, Kilmainham",Dublin,200000.0,No,Kilmainham,Dublin 8,q2,30%
29/10/2010,"4  The Laundry, Hybreasal, Kilmainham",Dublin,333000.0,No,Kilmainham,Dublin 8,q3,80%
03/11/2010,"7 Shannon Terrace, Kilmainham",Dublin,185000.0,No,Kilmainham,Dublin 8,q1,30%
19/11/2010,"17 Brookfield Road, Kilmainham, Dublin 8",Dublin,410000.0,No,Kilmainham,Dublin 8,q4,90%
03/12/2010,"Apartment 3, Kilmainham Square, Kilmainham",Dublin,6629.38,No,Kilmainham,Dublin 8,q1,10%
13/12/2010,"42 Rothe Abbey, Scr, Kilmainham",Dublin,268000.0,No,Kilmainham,Dublin 8,q3,60%
07/01/2011,"91 Bow Bridge Place, Kilmainham, Dublin 8",Dublin,138000.0,No,Kilmainham,Dublin 8,q1,20%
28/01/2011,"18 Camac View, Kilmainham Lane, Kilmainham",Dublin,217030.0,Yes,Kilmainham,Dublin 8,q2,40%
03/03/2011,"523 South Circular Road, Kilmainham",Dublin,458000.0,No,Kilmainham,Dublin 8,q4,100%
15/04/2011,"Apartment No. 439, Kilmainham Square, Kilmainham",Dublin,251101.0,Yes,Kilmainham,Dublin 8,q2,50%
29/04/2011,"9 Hybreasal, South Circular Road, Kilmainham",Dublin,171000.0,No,Kilmainham,Dublin 8,q1,30%
13/05/2011,"34 Rothe Abbey, Kilmainham, Dublin 8",Dublin,222500.0,No,Kilmainham,Dublin 8,q2,40%
20/05/2011,"11 St. James Wood, Kilmainham",Dublin,175000.0,No,Kilmainham,Dublin 8,q1,30%
10/06/2011,"613 South Circular Road, Kilmainham",Dublin,303000.0,No,Kilmainham,Dublin 8,q3,70%
01/07/2011,"21 St. James Wood, Kilmainham, Dublin 8",Dublin,207000.0,No,Kilmainham,Dublin 8,q2,40%
22/08/2011,"Apartment 84, Bow Bridge Place, Kilmainham",Dublin,105000.0,No,Kilmainham,Dublin 8,q1,10%
08/09/2011,"Apt 104, Bow Bridge Place, Kilmainham",Dublin,127500.0,No,Kilmainham,Dublin 8,q1,20%
26/09/2011,"43 Suir Road, Kilmainham",Dublin,195000.0,No,Kilmainham,Dublin 8,q2,30%
07/10/2011,"23 Rothe Abbey, Kilmainham, Dublin8",Dublin,156000.0,No,Kilmainham,Dublin 8,q1,20%
14/10/2011,"14 Beaconsfield Court, Kilmainham, Dublin 8",Dublin,92000.0,No,Kilmainham,Dublin 8,q1,10%
17/10/2011,"94A Kickham Road, Kilmainham, Dublin 8",Dublin,178000.0,No,Kilmainham,Dublin 8,q1,30%
01/11/2011,"127 Inchicore Road, Kilmainham, Dublin 8",Dublin,250000.0,No,Kilmainham,Dublin 8,q2,50%
17/11/2011,"32 Grand Canal View, St. James'S Walk, Kilmainham",Dublin,134000.0,No,Kilmainham,Dublin 8,q1,20%
18/11/2011,"27 Millbrook Court, Kilmainham, Dublin 8",Dublin,110000.0,No,Kilmainham,Dublin 8,q1,10%
28/11/2011,"Apartment 17 Saint Johns, Well Way  Old Kilmainham, Kilmainham Lane",Dublin,130000.0,No,Kilmainham,Dublin 8,q1,20%
