date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
22/01/2010,"20 Cromcastle Drive, Kilmore",Dublin,250000.0,No,Kilmore,Dublin 5,q3,70%
10/04/2010,"10 Kilbarron Road, Kilmore West, Dublin 5",Dublin,235000.0,No,Kilmore,Dublin 5,q3,60%
16/04/2010,"26 Castletimon Avenue, Kilmore Avenue",Dublin,210000.0,No,Kilmore,Dublin 5,q3,60%
02/07/2010,"21 Cromcastle Road, Kilmore, Dublin",Dublin,206000.0,No,Kilmore,Dublin 5,q2,50%
16/07/2010,"47A Ballyshannon Avenue, Kilmore West",Dublin,199999.99,Yes,Kilmore,Dublin 5,q2,50%
01/09/2010,"130 Kilmore Road, Kilmore, Dublin 5",Dublin,310000.0,No,Kilmore,Dublin 5,q4,100%
06/12/2010,"12 Kilmore Drive, Artame",Dublin,200000.0,No,Kilmore,Dublin 5,q2,50%
08/03/2011,"8 Kilbarron Avenue, Kilmore",Dublin,180000.0,No,Kilmore,Dublin 5,q2,40%
14/04/2011,"47 Ballyshannon Avenue, Kilmore West",Dublin,130000.0,No,Kilmore,Dublin 5,q1,20%
20/06/2011,"66 Castlekevin Rd, Kilmore, Dublin",Dublin,180000.0,No,Kilmore,Dublin 5,q2,40%
22/11/2011,"10 Cromcastle Drive, Kilmore",Dublin,102000.0,No,Kilmore,Dublin 5,q1,10%
16/12/2011,"137 Ballyshannon Road, Kilmore",Dublin,137500.0,No,Kilmore,Dublin 5,q1,20%
27/06/2012,"61   Castlekevin Road, Kilmore, Dublin 5",Dublin,102000.0,No,Kilmore,Dublin 5,q1,10%
05/07/2012,"139 Ballyshannon Road, Kilmore, Dublin 5",Dublin,125000.0,No,Kilmore,Dublin 5,q1,10%
24/08/2012,"24 Castletimon Park, Kilmore West",Dublin,145000.0,No,Kilmore,Dublin 5,q1,20%
24/10/2012,"64 Kilbarron Drive, Kilmore",Dublin,127000.0,No,Kilmore,Dublin 5,q1,20%
26/10/2012,"1 Castletimon Green, Kilmore",Dublin,150000.0,No,Kilmore,Dublin 5,q1,30%
30/11/2012,"16 Ballyshannon Avenue, Kilmore West",Dublin,135000.0,No,Kilmore,Dublin 5,q1,20%
22/04/2013,"30 Dundaniel Road, Kilmore",Dublin,110000.0,No,Kilmore,Dublin 5,q1,10%
07/05/2013,"10 Castletimon Drive, Kilmore West",Dublin,150000.0,No,Kilmore,Dublin 5,q1,30%
03/02/2014,"10 Ballyshannon Ave, Kilmore, Dublin 5",Dublin,190000.0,No,Kilmore,Dublin 5,q2,40%
19/03/2014,"10 Cromcastle Close, Kilmore, Dublin 5",Dublin,110000.0,No,Kilmore,Dublin 5,q1,10%
21/03/2014,"125 Ballyshannon Rd, Kilmore West, Dublin 5",Dublin,141000.0,No,Kilmore,Dublin 5,q1,20%
30/06/2014,"1 Dundaniel Court, Kilmore",Dublin,151260.0,No,Kilmore,Dublin 5,q2,30%
30/06/2014,"2 Dundaniel Court, Kilmore",Dublin,147480.0,No,Kilmore,Dublin 5,q1,20%
30/06/2014,"3 Dundaniel Court, Kilmore",Dublin,151260.0,No,Kilmore,Dublin 5,q2,30%
25/08/2014,"2 Cromcastle Close, Kilmore, Dublin 5",Dublin,153000.0,No,Kilmore,Dublin 5,q2,30%
05/09/2014,"103B Kilbarron Rd, Kilmore, Dublin 5",Dublin,245000.0,No,Kilmore,Dublin 5,q3,70%
31/10/2014,"St Francis, 1A Ballyshannon Rd, Kilmore West",Dublin,265000.0,No,Kilmore,Dublin 5,q4,80%
27/11/2014,"St Jude, 1B Ballyshannon Rd, Kilmore West",Dublin,240000.0,No,Kilmore,Dublin 5,q3,70%
12/12/2014,"1C St Martha, Ballyshannon Rd, Kilmore West Dublin 5",Dublin,255000.0,No,Kilmore,Dublin 5,q3,80%
28/01/2015,"Aileach, 22 Kilmore Rd, Dublin 5",Dublin,360000.0,No,Kilmore,Dublin 5,q4,100%
30/01/2015,"2 Echo Beach, Kilmore Quay",Dublin,410000.0,No,Kilmore,Dublin 5,q4,100%
12/02/2015,"44 Ballyshannon Rd, Kilmore, Dublin 5",Dublin,235000.0,No,Kilmore,Dublin 5,q3,70%
27/03/2015,"129 Cromcastle Road, Kilmore West, Dublin 5",Dublin,95000.0,No,Kilmore,Dublin 5,q1,10%
30/03/2015,"64 Kilmore Ave, Dublin 5, Dublin",Dublin,356000.0,No,Kilmore,Dublin 5,q4,100%
15/06/2015,"2 Dundaniel Court, Dundaniel Rd, Kilmore Dublin 5",Dublin,50000.0,No,Kilmore,Dublin 5,q1,10%
04/11/2015,"103A Kilbarron Rd, Kilmore, Dublin 5",Dublin,200000.0,No,Kilmore,Dublin 5,q2,50%
08/12/2015,"Apt 4, Kilmore, Bailey View",Dublin,475000.0,No,Kilmore,Dublin 5,q4,100%
17/02/2016,"69E Cromcastle Rd, Kilmore West, Dublin 5",Dublin,150000.0,No,Kilmore,Dublin 5,q1,30%
19/02/2016,"69 Cromcastle, Kilmore West, Kilmore",Dublin,75000.0,Yes,Kilmore,Dublin 5,q1,10%
28/06/2016,"62 Castlekevin Rd, Kilmore West, Dublin 5",Dublin,200000.0,No,Kilmore,Dublin 5,q2,50%
18/07/2016,"16 Ballyshannon Ave, Kilmore West, Dublin 5",Dublin,228500.0,No,Kilmore,Dublin 5,q3,60%
16/09/2016,"92 Castletimon Rd, Kilmore, Dublin 5",Dublin,195000.0,No,Kilmore,Dublin 5,q2,40%
20/09/2016,"2 Cromcastle Green, Kilmore, Dublin 5",Dublin,265000.0,No,Kilmore,Dublin 5,q4,90%
06/10/2016,"67A Cromcastle Rd, Kilmore West, Dublin 5",Dublin,170000.0,No,Kilmore,Dublin 5,q2,30%
21/11/2016,"63 Castletimon Road, Kilmore West, Dublin 5",Dublin,225000.0,No,Kilmore,Dublin 5,q3,60%
13/12/2016,"164 Timbermills, Kilmore Road",Dublin,170704.85,Yes,Kilmore,Dublin 5,q2,40%
28/02/2017,"2 Cromcastle Green, Kilmore, Dublin 5",Dublin,230000.0,No,Kilmore,Dublin 5,q3,60%
07/04/2017,"Apt 47, Timber Mills, Kilmore Rd Dublin 5",Dublin,240000.0,No,Kilmore,Dublin 5,q3,70%
13/04/2017,"58 Cromcastle Green, Kilmore West, Dublin 5",Dublin,247000.0,No,Kilmore,Dublin 5,q3,70%
27/04/2017,"16B, Kilbarron Rd, Kilmore West",Dublin,130000.0,No,Kilmore,Dublin 5,q1,20%
12/05/2017,"7 Cromcastle Park, Kilmore, Dublin 5",Dublin,220000.0,No,Kilmore,Dublin 5,q3,60%
15/08/2017,"38 Castletimon Rd, Kilmore, Dublin 5",Dublin,271000.0,No,Kilmore,Dublin 5,q4,90%
25/09/2017,"188 Timber Mills, Kilmore Road, Dublin 5",Dublin,209000.0,No,Kilmore,Dublin 5,q2,50%
01/12/2017,"2 Cromcastle Ave, Kilmore, Dublin 5",Dublin,275500.0,No,Kilmore,Dublin 5,q4,90%
20/12/2017,"137 Ballyshannon Rd, Kilmore, Dublin 5",Dublin,296000.0,No,Kilmore,Dublin 5,q4,100%
31/01/2018,"Apt 141, Timber Mills, Kilmore Rd Dublin 5",Dublin,227000.0,No,Kilmore,Dublin 5,q3,60%
19/04/2018,"2A Cromcastle Green, Kilmore, Dublin 5",Dublin,262831.86,Yes,Kilmore,Dublin 5,q4,80%
19/06/2018,"27A Castletimon Rd, Kilmore, Dublin 5",Dublin,190000.0,No,Kilmore,Dublin 5,q2,40%
03/07/2018,"38 Castletimon Rd, Kilmore, Dublin 5",Dublin,286000.0,No,Kilmore,Dublin 5,q4,90%
09/07/2018,"49 Castletimon Rd, Kilmore West, Dublin 5",Dublin,260000.0,No,Kilmore,Dublin 5,q3,80%
18/07/2018,"44 Cromcastle Drive, Kilmore Road, Dublin 5",Dublin,195000.0,No,Kilmore,Dublin 5,q2,40%
23/07/2018,"173 Ballyshannon Rd, Kilmore West, Dublin 5",Dublin,295000.0,No,Kilmore,Dublin 5,q4,100%
03/08/2018,"41 Timber Mills, Kilmore Rd, Dublin 5",Dublin,259000.0,No,Kilmore,Dublin 5,q3,80%
10/08/2018,"151 Ballyshannon Rd, Kilmore, Dublin 5",Dublin,260000.0,No,Kilmore,Dublin 5,q4,80%
15/08/2018,"4 Kilmore Road, Kilmore",Dublin,180975.0,Yes,Kilmore,Dublin 5,q2,40%
22/11/2018,"55 Kilmore House, Drynam Crescent, Drynam Hall",Dublin,200000.0,No,Kilmore,Dublin 5,q2,50%
14/12/2018,"9 Cromcastle Rd, Kilmore Dublin 5, Dublin",Dublin,290000.0,No,Kilmore,Dublin 5,q4,90%
