date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
22/01/2010,"11 Dunmore Lawns, Kilnamanagh, Dublin 24",Dublin,280000.0,No,Kilnamanagh,Dublin 24,q3,60%
04/06/2010,"19 Redwood Court, Kilnamanagh",Dublin,259000.0,No,Kilnamanagh,Dublin 24,q2,50%
09/07/2010,"10 Parkview, Greenhills Road, Kilnamanagh",Dublin,230000.0,No,Kilnamanagh,Dublin 24,q2,40%
29/07/2010,"18 Birchview Drive, Kilnamanagh",Dublin,275500.0,No,Kilnamanagh,Dublin 24,q3,60%
05/08/2010,"No 4 Redwood Avenue, Kilnamanagh, Dublin 24",Dublin,267000.0,No,Kilnamanagh,Dublin 24,q3,60%
19/08/2010,"23 Tamarisk Drive, Kilnamanagh, Dublin 24",Dublin,250000.0,No,Kilnamanagh,Dublin 24,q2,50%
17/11/2010,"66 Kilnamanagh Road, Walkinstown",Dublin,261000.0,No,Kilnamanagh,Dublin 24,q2,50%
15/03/2011,"4 Parkhill Green, Kilnamanagh",Dublin,190000.0,No,Kilnamanagh,Dublin 24,q1,20%
30/03/2011,"25 Birchview Drive, Kilnamanagh",Dublin,260000.0,No,Kilnamanagh,Dublin 24,q2,50%
05/05/2011,"66 Tamarisk Avenue, Kilnamanagh, Dublin 24",Dublin,225000.0,No,Kilnamanagh,Dublin 24,q2,30%
12/05/2011,"54 Kilnamanagh Road, Walkinstown",Dublin,245000.0,No,Kilnamanagh,Dublin 24,q2,40%
27/05/2011,"14 Treepark Avenue, Kilnamanagh, Dublin 24",Dublin,250000.0,No,Kilnamanagh,Dublin 24,q2,50%
27/05/2011,"2 Elm Castle Green, Kilnamanagh, Dublin 24",Dublin,235000.0,No,Kilnamanagh,Dublin 24,q2,40%
07/07/2011,"1  Redwood View, Kilnamanagh",Dublin,280000.0,No,Kilnamanagh,Dublin 24,q3,70%
15/08/2011,"1 Parkhill Green, Kilnamanagh",Dublin,190000.0,No,Kilnamanagh,Dublin 24,q1,20%
21/10/2011,"21 Kilnamanagh Road, Walkinstown, Dublin 12",Dublin,209000.0,No,Kilnamanagh,Dublin 24,q1,30%
18/11/2011,"2 Parkhill Drive, Kilnamanagh, Dublin 24",Dublin,206000.0,No,Kilnamanagh,Dublin 24,q1,20%
19/04/2012,"36 Parkhill West, Kilnamanagh, Dublin 24",Dublin,136000.0,No,Kilnamanagh,Dublin 24,q1,10%
06/07/2012,"20 Treepark Drive, Kilnamanagh, Dublin 24",Dublin,190000.0,No,Kilnamanagh,Dublin 24,q1,20%
