date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
29/03/2010,"258 Kilternan Cottages, Kilternan",Dublin,260000.0,No,Kilternan,Dublin 18,q1,10%
20/08/2010,"Abbey Grove, Enniskerry Road, Kilternan",Dublin,375000.0,No,Kilternan,Dublin 18,q1,30%
30/09/2010,"Kingston Grove, Ballycorus Road, Kilternan",Dublin,725000.0,No,Kilternan,Dublin 18,q4,90%
24/11/2010,"1 Jamestown Cottages, Kilternan",Dublin,310000.0,No,Kilternan,Dublin 18,q1,10%
25/11/2010,"Willow Cottage, Dixon Lane, Kilternan",Dublin,100000.0,No,Kilternan,Dublin 18,q1,10%
25/08/2011,"Whitelands, Ballycorus  Road, Kilternan",Dublin,567500.0,No,Kilternan,Dublin 18,q3,70%
02/12/2011,"The Mill Cottage, Kilternan",Dublin,100000.0,No,Kilternan,Dublin 18,q1,10%
20/08/2012,"Glencarrick, Glenamuck Road, Kilternan",Dublin,430000.0,No,Kilternan,Dublin 18,q2,50%
05/10/2012,"Jawestown Lodge, Enniskerry Road, Kilternan",Dublin,580000.0,No,Kilternan,Dublin 18,q3,70%
09/10/2012,"Enniskerry Lodge, Kilternan",Dublin,440529.0,Yes,Kilternan,Dublin 18,q2,50%
30/11/2012,"Abbey View, Enniskerry Road, Kilternan",Dublin,290000.0,No,Kilternan,Dublin 18,q1,10%
19/12/2012,"Oleandri  Enniskerry Road, Kilternan",Dublin,415000.0,No,Kilternan,Dublin 18,q2,50%
24/01/2013,"The Old Schoolhouse, Kilternan",Dublin,300000.0,No,Kilternan,Dublin 18,q1,10%
29/01/2013,"1B Wayside Cottages, Kilternan",Dublin,450000.0,No,Kilternan,Dublin 18,q2,50%
08/02/2013,"St. Anne'S, Enniskerry Road, Kilternan",Dublin,450000.0,No,Kilternan,Dublin 18,q2,50%
25/02/2013,"Kilternan, Rathdown",Dublin,125000.0,No,Kilternan,Dublin 18,q1,10%
28/03/2013,"The Den, Ballybetagh Road, Kilternan",Dublin,680000.0,No,Kilternan,Dublin 18,q4,90%
15/07/2013,"Vevey, Glencullen, Kilternan",Dublin,450000.0,No,Kilternan,Dublin 18,q2,50%
16/12/2013,"Verney House, Kilternan",Dublin,2060000.0,No,Kilternan,Dublin 18,q4,100%
19/12/2013,"Santa-Maria, Glencullen, Kilternan",Dublin,275000.0,No,Kilternan,Dublin 18,q1,10%
21/02/2014,"Kingston House, B Arnaslingan, Kilternan",Dublin,495000.0,No,Kilternan,Dublin 18,q3,60%
13/06/2014,"9 Wayside Cottages, Kilternan, Dublin",Dublin,415000.0,No,Kilternan,Dublin 18,q2,50%
17/06/2014,"Merrifield, Barnaslingan Lane, Kilternan Dublin 18",Dublin,625000.0,No,Kilternan,Dublin 18,q3,70%
20/08/2014,"2 Moss Cottages, Enniskerry Rd, Kilternan Dublin 18",Dublin,285000.0,No,Kilternan,Dublin 18,q1,10%
02/09/2014,"Carrig Dolgen, Barnaslingan Lane, Kilternan",Dublin,1217000.0,No,Kilternan,Dublin 18,q4,100%
15/10/2014,"Kilternan Villa, Ballybetagh Rd, Kilternan Dublin 18",Dublin,650000.0,No,Kilternan,Dublin 18,q4,80%
22/12/2014,"Hillside, Enniskerry Road, Kilternan",Dublin,1050000.0,No,Kilternan,Dublin 18,q4,100%
26/02/2015,"3 Sleeping Meadow, Enniskerry Road, Kilternan",Dublin,512500.0,No,Kilternan,Dublin 18,q3,70%
07/05/2015,"1 Sleeping Meadow, Enniskerry Road, Kilternan",Dublin,845000.0,No,Kilternan,Dublin 18,q4,90%
12/10/2015,"5 Moss Cottages, Enniskerry Rd, Kilternan",Dublin,375000.0,No,Kilternan,Dublin 18,q1,30%
18/12/2015,"Seaview, Ballybetagh, Kilternan Dublin 18",Dublin,800000.0,No,Kilternan,Dublin 18,q4,90%
28/01/2016,"Barnaslingan House, Barnaslingan Lane, Kilternan",Dublin,1015000.0,No,Kilternan,Dublin 18,q4,90%
25/05/2016,"4 Struan Glen, Enniskerry Road, Kilternan",Dublin,625551.0,Yes,Kilternan,Dublin 18,q3,80%
26/05/2016,"2 Struan  Glen, Enniskerry Road, Kilternan",Dublin,524229.0,Yes,Kilternan,Dublin 18,q3,70%
26/05/2016,"3 Struan Glen, Enniskerry Road, Kilternan",Dublin,537444.0,Yes,Kilternan,Dublin 18,q3,70%
27/05/2016,"1 Struan Glen, Enniskerry Road, Kilternan",Dublin,528456.0,Yes,Kilternan,Dublin 18,q3,70%
18/07/2016,"Braemar, Ballycorus Rd, Kilternan Dublin 18",Dublin,650000.0,No,Kilternan,Dublin 18,q4,80%
05/08/2016,"Pinecroft, Enniskerry Rd, Kilternan Dublin 18",Dublin,755000.0,No,Kilternan,Dublin 18,q4,90%
23/09/2016,"6 Struan Glen, Enniskerry Road, Kilternan",Dublin,594714.0,Yes,Kilternan,Dublin 18,q3,70%
16/11/2016,"5 Struan Glen, Enniskerry Road, Kilternan",Dublin,627200.0,Yes,Kilternan,Dublin 18,q3,80%
21/12/2016,"Kerross, Enniskerry Rd, Kilternan",Dublin,651650.0,No,Kilternan,Dublin 18,q4,80%
25/01/2017,"Kilternan Lodge, Kilternan, Dublin",Dublin,1900000.0,No,Kilternan,Dublin 18,q4,100%
24/02/2017,"8 Struan Glen, Kilternan, Dublin 18",Dublin,647577.0,Yes,Kilternan,Dublin 18,q3,80%
02/03/2017,"Glen Cottage, Glencullen, Kilternan",Dublin,200000.0,No,Kilternan,Dublin 18,q1,10%
21/03/2017,"Rockhurst, Kilternan, Dublin 18",Dublin,700000.0,No,Kilternan,Dublin 18,q4,90%
01/05/2017,"7 Struan Glen, Enniskerry Road, Kilternan",Dublin,641850.0,Yes,Kilternan,Dublin 18,q3,80%
30/06/2017,"Verney Lodge, Kilternan, Dublin 18",Dublin,45000.0,No,Kilternan,Dublin 18,q1,10%
23/08/2017,"Hillside, Enniskerry Road, Kilternan",Dublin,1200000.0,No,Kilternan,Dublin 18,q4,100%
12/09/2017,"180 Golden Ball Cottages, Enniskerry Rd, Kilternan",Dublin,430000.0,No,Kilternan,Dublin 18,q2,50%
10/11/2017,"Edelehr, Glencullen Rd, Kilternan Dublin 18",Dublin,1300000.0,No,Kilternan,Dublin 18,q4,100%
17/11/2017,"Slievenamon, Ballybetagh Rd, Kilternan Dublin 18",Dublin,1500000.0,No,Kilternan,Dublin 18,q4,100%
23/11/2017,"23 Bishops Gate, Kilternan",Dublin,351982.0,Yes,Kilternan,Dublin 18,q1,10%
24/11/2017,"22 Bishops Gate, Kilternan, Dublin 18",Dublin,367841.0,Yes,Kilternan,Dublin 18,q1,20%
27/11/2017,"13  Bishops  Gate, Kilternan",Dublin,361233.0,Yes,Kilternan,Dublin 18,q1,20%
27/11/2017,"14 Bishops Gate, Enniskerry Road, Kilternan",Dublin,361233.0,Yes,Kilternan,Dublin 18,q1,20%
30/11/2017,"12 Bishops Gate, Enniskerry Road, Kilternan",Dublin,356828.2,Yes,Kilternan,Dublin 18,q1,20%
01/12/2017,"20 Bishop'S Gate, Kilternan",Dublin,393439.0,Yes,Kilternan,Dublin 18,q2,40%
01/12/2017,"21 Bishops Gate, Kilternan",Dublin,488986.78,Yes,Kilternan,Dublin 18,q3,60%
04/12/2017,"19 Bishop'S Gate, Kilternan",Dublin,384826.0,Yes,Kilternan,Dublin 18,q2,30%
04/12/2017,"24 Bishops Gate, Enniskerry Road, Kilternan",Dublin,367842.0,Yes,Kilternan,Dublin 18,q1,20%
05/12/2017,"15 Bishops Gate, Enniskerry Road, Kilternan",Dublin,475771.0,Yes,Kilternan,Dublin 18,q2,50%
06/12/2017,"11 Bishops Gate, Kilternan, Dublin 18",Dublin,356828.19,Yes,Kilternan,Dublin 18,q1,20%
08/12/2017,"25 Bishops Gate, Kilternan, Dublin 18",Dublin,367841.0,Yes,Kilternan,Dublin 18,q1,20%
13/12/2017,"27 Bishop'S Gate, Kilternan",Dublin,372246.0,Yes,Kilternan,Dublin 18,q1,30%
21/12/2017,"10 Struan Glen, Enniskerry Road, Kilternan",Dublin,632158.0,Yes,Kilternan,Dublin 18,q3,80%
18/01/2018,"6 Jamestown Cottages, Enniskerry Rd, Kilternan Dublin 18",Dublin,475000.0,No,Kilternan,Dublin 18,q2,50%
19/01/2018,"29 Bishop'S Gate, Enniskerry Road, Kilternan",Dublin,361233.0,Yes,Kilternan,Dublin 18,q1,20%
25/01/2018,"28 Bishops Gate, Kilternan, Dublin 18",Dublin,378854.0,Yes,Kilternan,Dublin 18,q1,30%
05/02/2018,"30 Bishops Gate, Enniskerry Road, Kilternan",Dublin,371950.0,Yes,Kilternan,Dublin 18,q1,20%
08/02/2018,"32 Bishop'S Gate, Enniskerry Road, Kilternan",Dublin,484581.5,Yes,Kilternan,Dublin 18,q3,60%
08/03/2018,"31 Bishops Gate, Enniskerry Road, Kilternan",Dublin,484581.5,Yes,Kilternan,Dublin 18,q3,60%
14/03/2018,"35 Bishops Gate, Kilternan",Dublin,488986.78,Yes,Kilternan,Dublin 18,q3,60%
15/03/2018,"2 Moss Cottages, Enniskerry Rd, Kilternan Dublin 18",Dublin,300000.0,No,Kilternan,Dublin 18,q1,10%
27/03/2018,"Ona Clearday, Ballyedmonduff Rd, Kilternan Dublin 18",Dublin,788800.0,No,Kilternan,Dublin 18,q4,90%
04/04/2018,"39 Bishops Gate, Enniskerry Road, Kilternan",Dublin,383259.91,Yes,Kilternan,Dublin 18,q1,30%
06/04/2018,"37 Bishops Gate, Enniskerry Road, Kilternan",Dublin,389867.0,Yes,Kilternan,Dublin 18,q2,40%
11/04/2018,"36 Bishops Gate, Kilternan, Dublin 18",Dublin,488986.0,Yes,Kilternan,Dublin 18,q3,60%
18/04/2018,"No. 34 Bishop'S Gate, Kilternan",Dublin,486149.0,Yes,Kilternan,Dublin 18,q3,60%
23/04/2018,"38 Bishops Gate, Enniskerry Road, Kilternan",Dublin,365638.0,Yes,Kilternan,Dublin 18,q1,20%
04/05/2018,"Jamestown House, Enniskerry Rd, Kilternan Dublin 18",Dublin,1475000.0,No,Kilternan,Dublin 18,q4,100%
08/05/2018,"9 Struan Glen, Enniskerry Road, Kilternan",Dublin,625600.0,Yes,Kilternan,Dublin 18,q3,80%
10/05/2018,"Rockville House, Glenamuck Rd, Kilternan",Dublin,1800000.0,No,Kilternan,Dublin 18,q4,100%
30/05/2018,"46 Bishops Gate, Kilternan, Dublin 18",Dublin,361233.0,Yes,Kilternan,Dublin 18,q1,20%
30/05/2018,"51 Bishops Gate, Enniskerry Road, Kilternan",Dublin,405286.0,Yes,Kilternan,Dublin 18,q2,40%
31/05/2018,"Creg Ny Baa, Barnaslingan Lane, Kilternan Dublin 18",Dublin,655000.0,No,Kilternan,Dublin 18,q4,80%
01/06/2018,"1 Jamestown Cottages, Kilternan, Dublin 18",Dublin,800000.0,No,Kilternan,Dublin 18,q4,90%
01/06/2018,"47 Bishops Gate, Kilternan",Dublin,383259.0,Yes,Kilternan,Dublin 18,q1,30%
06/06/2018,"49 Bishops Gate, Enniskerry Road, Kilternan",Dublin,392071.0,Yes,Kilternan,Dublin 18,q2,40%
07/06/2018,"48 Bishops Gate, Kilternan, Dublin 18",Dublin,400881.0,Yes,Kilternan,Dublin 18,q2,40%
22/06/2018,"45 Bishops Gate, Enniskerry Road, Kilternan",Dublin,383259.91,Yes,Kilternan,Dublin 18,q2,30%
27/06/2018,"42 Bishops Gate, Kilternan, Dublin 18",Dublin,383260.0,Yes,Kilternan,Dublin 18,q2,30%
09/07/2018,"41 Bishops Gate, Kilternan, Dublin 18",Dublin,365638.76,Yes,Kilternan,Dublin 18,q1,20%
12/07/2018,"43 Bishop&#039;S Gate, Enniskerry Road, Kilternan",Dublin,508811.0,Yes,Kilternan,Dublin 18,q3,70%
26/07/2018,"52 Bishops Gate, Kilternan, Dublin 18",Dublin,403084.0,Yes,Kilternan,Dublin 18,q2,40%
31/07/2018,"Oleandri Gate Lodge, Enniskerry Road, Kilternan",Dublin,855000.0,No,Kilternan,Dublin 18,q4,90%
01/08/2018,"56 Bishops Gate, Kilternan, Dublin 18",Dublin,406607.92,Yes,Kilternan,Dublin 18,q2,40%
01/08/2018,"57 Bishops Gate, Enniskerry Road, Kilternan",Dublin,403084.0,Yes,Kilternan,Dublin 18,q2,40%
03/08/2018,"55 Bishops Gate, Enniskerry Road, Kilternan",Dublin,385462.0,Yes,Kilternan,Dublin 18,q2,30%
15/08/2018,"53 Bishop'S Gate, Enniskerry Road, Kilternan",Dublin,387700.0,Yes,Kilternan,Dublin 18,q2,40%
27/08/2018,"54 Bishops Gate, Enniskerry Road, Kilternan",Dublin,385500.0,Yes,Kilternan,Dublin 18,q2,40%
04/09/2018,"58 Bishops Gate, Enniskerry Road, Kilternan",Dublin,385462.0,Yes,Kilternan,Dublin 18,q2,30%
