date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
08/01/2010,"38 Ellensborough Copse, Kiltipper, Dublin",Dublin,290000.0,No,Kiltipper,Dublin 24,q4,90%
16/04/2010,"37 Deerpark Close, Kiltipper Way, Kiltipper",Dublin,144500.0,No,Kiltipper,Dublin 24,q1,10%
02/06/2010,"15 Deerpark Close, Kiltipper, Dublin 24",Dublin,140000.0,No,Kiltipper,Dublin 24,q1,10%
16/06/2010,"3 Ellensborough View, Kiltipper, Dublin 24",Dublin,260000.0,No,Kiltipper,Dublin 24,q3,70%
16/07/2010,"29 Deerpark Close, Kiltipper",Dublin,140000.0,No,Kiltipper,Dublin 24,q1,10%
30/07/2010,"3 Ellensborough Park, Kiltipper, Dublin 24",Dublin,245000.0,No,Kiltipper,Dublin 24,q2,40%
11/10/2010,"1A Ellensborough Court, Kiltipper",Dublin,370000.0,No,Kiltipper,Dublin 24,q4,100%
15/10/2010,"17 Marlfield Green, Kiltipper",Dublin,232000.0,No,Kiltipper,Dublin 24,q1,30%
22/09/2011,"36 Ellensborough Crescent, Kiltipper, Dublin 24",Dublin,245000.0,No,Kiltipper,Dublin 24,q2,40%
22/11/2011,"11 Marlfield Grove, Kiltipper",Dublin,105000.0,No,Kiltipper,Dublin 24,q1,10%
30/11/2011,"24 Ellensborough Court, Kiltipper, Dublin 24",Dublin,227000.0,No,Kiltipper,Dublin 24,q1,20%
16/12/2011,"24 Ellensborough Downs, Kiltipper",Dublin,217000.0,No,Kiltipper,Dublin 24,q1,20%
16/12/2011,"8 Ellensborough View, Kiltipper  Tallaght, Dublin 24",Dublin,235000.0,No,Kiltipper,Dublin 24,q1,30%
17/01/2012,"26 Marlfield Mall, Kiltipper",Dublin,70000.0,No,Kiltipper,Dublin 24,q1,10%
04/04/2012,"37 Deer Park Close, Kiltipper",Dublin,106000.0,No,Kiltipper,Dublin 24,q1,10%
05/10/2012,"21 Deerpark Way, Kiltipper",Dublin,87500.0,No,Kiltipper,Dublin 24,q1,10%
18/12/2012,"55 Ellensborough Lodge, Kiltipper Road Tallaght, Dublin 24",Dublin,135000.0,No,Kiltipper,Dublin 24,q1,10%
28/03/2013,"16 Marlfield Close, Kiltipper",Dublin,75000.0,No,Kiltipper,Dublin 24,q1,10%
30/04/2013,"8 Deerpark Place, Kiltipper Way",Dublin,75000.0,No,Kiltipper,Dublin 24,q1,10%
28/06/2013,"1 Deerpark Road, Kiltipper",Dublin,200000.0,No,Kiltipper,Dublin 24,q1,20%
17/07/2013,"33 Ellensborough View, Kiltipper",Dublin,231000.0,No,Kiltipper,Dublin 24,q1,20%
27/11/2013,"11 Deerpark Close, Kiltipper",Dublin,98000.0,No,Kiltipper,Dublin 24,q1,10%
28/11/2013,"Apt 10, Ellensborough Lodge, Kiltipper Rd Dublin 24",Dublin,195000.0,No,Kiltipper,Dublin 24,q1,20%
09/12/2013,"42 Kiltipper Avenue, Aylesbury, Dublin 24",Dublin,192500.0,No,Kiltipper,Dublin 24,q1,20%
09/06/2014,"24 Ellensborough Lodge, Kiltipper, Dublin 24",Dublin,115000.0,No,Kiltipper,Dublin 24,q1,10%
16/12/2014,"3 Elder Heath Avenue, Elder Heath, Kiltipper Road",Dublin,246696.0,Yes,Kiltipper,Dublin 24,q2,40%
16/12/2014,"4 Elder Heath Woods, Elder Heath, Kiltipper Road",Dublin,237886.0,Yes,Kiltipper,Dublin 24,q1,30%
17/12/2014,"2 Elder Heath Avenue, Kiltipper Road, Dublin 24",Dublin,246696.0,Yes,Kiltipper,Dublin 24,q2,40%
22/12/2014,"1 Ellensborough Lodge, Kiltipper Rd, Dublin 24",Dublin,205000.0,No,Kiltipper,Dublin 24,q1,20%
27/01/2015,"Leabeg, Kiltipper Rd, Dublin 24",Dublin,275000.0,No,Kiltipper,Dublin 24,q4,80%
27/02/2015,"5 Elder Heath Woods, Elder Heath, Kiltipper Road",Dublin,281938.32,Yes,Kiltipper,Dublin 24,q4,90%
06/03/2015,"11 Ellensborough Lawn, Kiltipper, Dublin 24",Dublin,300000.0,No,Kiltipper,Dublin 24,q4,100%
31/03/2015,"3 Elderheath Woods, Elder Heath, Kiltipper Road",Dublin,277533.0,Yes,Kiltipper,Dublin 24,q4,90%
10/04/2015,"5 Elder Heath Glade, Elder Heath, Kiltipper Road",Dublin,242290.74,Yes,Kiltipper,Dublin 24,q2,40%
15/04/2015,"2 Elderheath Glade, Kiltipper Road, Dublin 24",Dublin,273572.68,Yes,Kiltipper,Dublin 24,q4,80%
17/04/2015,"68 Deerpark Rd, Kiltipper, Dublin 24",Dublin,135000.0,No,Kiltipper,Dublin 24,q1,10%
24/04/2015,"4 Elder Heath Glade, Kiltipper, Dublin 24",Dublin,242290.75,Yes,Kiltipper,Dublin 24,q2,40%
01/05/2015,"3 Elder Heath Glade, Elder Heath, Kiltipper Road",Dublin,242290.0,Yes,Kiltipper,Dublin 24,q2,30%
20/05/2015,"1 Elder Heath Glade, Kiltipper Road",Dublin,246907.0,Yes,Kiltipper,Dublin 24,q2,50%
27/05/2015,"4 Ellensborough Grange, Kiltipper Rd, Dublin 24",Dublin,250000.0,No,Kiltipper,Dublin 24,q2,50%
09/06/2015,"13 Ellensborough Walk, Kiltipper, Dublin 24",Dublin,287500.0,No,Kiltipper,Dublin 24,q4,90%
09/06/2015,"2 Kiltipper View, Kiltipper, Dublin 24",Dublin,234000.0,No,Kiltipper,Dublin 24,q1,30%
18/06/2015,"6 Elder Heath Glade, Elder Heath, Kiltipper Road",Dublin,242290.75,Yes,Kiltipper,Dublin 24,q2,40%
07/07/2015,"31 The Lawn, Marlfield, Kiltipper Way",Dublin,130000.0,No,Kiltipper,Dublin 24,q1,10%
13/08/2015,"69 Marlfield Place, Kiltipper Way, Dublin 24",Dublin,220000.0,No,Kiltipper,Dublin 24,q1,20%
19/08/2015,"10 Elder Heath Vale, Elder Heath, Kiltipper Road",Dublin,246696.03,Yes,Kiltipper,Dublin 24,q2,50%
