date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
19/01/2010,"103 Royston, Kimmage",Dublin,280000.0,No,Kimmage,Dublin 6W,q2,40%
21/01/2010,"76 Royston, Kimmage Road West, Dublin 12",Dublin,297500.0,No,Kimmage,Dublin 6W,q2,50%
29/01/2010,"43 Kilfenora Road, Kimmage, Dublin 12",Dublin,253000.0,No,Kimmage,Dublin 6W,q2,30%
12/02/2010,"50 Lower Kimmage Road, Dublin 6W",Dublin,410000.0,No,Kimmage,Dublin 6W,q3,80%
15/02/2010,"56 Blarney Park, Kimmage, Dublin 12",Dublin,280000.0,No,Kimmage,Dublin 6W,q2,40%
04/03/2010,"4 Dangan Park, Kimmage Road West, Dublin 12",Dublin,400000.0,No,Kimmage,Dublin 6W,q3,80%
16/03/2010,"108 Rockfield Avenue, Kimmage, Dublin 12",Dublin,343000.0,No,Kimmage,Dublin 6W,q3,60%
16/03/2010,"60 Kimmage Grove, Kimmage",Dublin,350000.0,No,Kimmage,Dublin 6W,q3,60%
29/03/2010,"7 Poddle Park, Kimmage, Dublin 12",Dublin,272500.0,No,Kimmage,Dublin 6W,q2,40%
09/04/2010,"54 Brookfield Green, Kimmage, Dublin 6W",Dublin,335000.0,No,Kimmage,Dublin 6W,q3,60%
15/04/2010,"22 Stanaway Road, Kimmage, Dublin 12",Dublin,260000.0,No,Kimmage,Dublin 6W,q2,40%
21/04/2010,"46 Blarney Park, Kimmage, Dublin",Dublin,322000.0,No,Kimmage,Dublin 6W,q3,60%
07/05/2010,"41 Fortfield Drive, Kimmage",Dublin,572500.0,No,Kimmage,Dublin 6W,q4,100%
18/05/2010,"79 Sundrive Road, Kimmage",Dublin,150000.0,No,Kimmage,Dublin 6W,q1,10%
26/05/2010,"98 St Annes, Kimmage Road West, Dublin 12",Dublin,280000.0,No,Kimmage,Dublin 6W,q2,40%
15/06/2010,"83 Devenish Road, Kimmage, Dublin 12",Dublin,155000.0,No,Kimmage,Dublin 6W,q1,10%
29/06/2010,"39 St Martins Park, Kimmage",Dublin,380000.0,No,Kimmage,Dublin 6W,q3,70%
01/07/2010,"100A Lower Kimmage Road, Harold'S Cross, Dublin",Dublin,430000.0,No,Kimmage,Dublin 6W,q4,80%
05/07/2010,"8 St Martin'S Park, Kimmage",Dublin,340000.0,No,Kimmage,Dublin 6W,q3,60%
27/07/2010,"23 Larkfield Gardens, Kimmage, Dublin 6W",Dublin,265000.0,No,Kimmage,Dublin 6W,q2,40%
17/08/2010,"38 Brookfield Green, Kimmage",Dublin,315000.0,No,Kimmage,Dublin 6W,q2,50%
20/08/2010,"1 Dangan Park, Kimmage Road West, Dublin",Dublin,310000.0,No,Kimmage,Dublin 6W,q2,50%
20/08/2010,"124 Sundrive Rd, Kimmage",Dublin,175000.0,No,Kimmage,Dublin 6W,q1,20%
20/08/2010,"36 Poddle Park, Kimmage, Dublin 12",Dublin,270000.0,No,Kimmage,Dublin 6W,q2,40%
30/08/2010,"48 Royston, Kimmage Road West, Kimmage",Dublin,282000.0,No,Kimmage,Dublin 6W,q2,40%
01/09/2010,"147 Kimmage Road West, Dublin 12",Dublin,385000.0,No,Kimmage,Dublin 6W,q3,70%
22/09/2010,"48, Brookfield, Kimmage Road",Dublin,357500.0,No,Kimmage,Dublin 6W,q3,70%
30/09/2010,"7 St. Anne'S, Kimmage Road West",Dublin,293000.0,No,Kimmage,Dublin 6W,q2,50%
12/10/2010,"9 Hazel Park, Lower Kimmage Road, .",Dublin,265000.0,No,Kimmage,Dublin 6W,q2,40%
21/10/2010,"24 Blarney Park, Kimmage, .",Dublin,210000.0,No,Kimmage,Dublin 6W,q1,20%
06/12/2010,"13 Blarney Park, Kimmage, Dubin 12",Dublin,235000.0,No,Kimmage,Dublin 6W,q1,30%
09/12/2010,"14 Shelton Grove, Kimmage Road West",Dublin,347500.0,No,Kimmage,Dublin 6W,q3,60%
20/12/2010,"Apt 17 Brookfield Court, Brookfield Green, Kimmage",Dublin,130000.0,No,Kimmage,Dublin 6W,q1,10%
22/12/2010,"280 Captains Road, Kimmage",Dublin,123000.0,No,Kimmage,Dublin 6W,q1,10%
21/01/2011,"9 Brookfield, Kimmage Road West",Dublin,327000.0,No,Kimmage,Dublin 6W,q3,60%
25/03/2011,"No198, Lower Kimmage Road, Dublin6",Dublin,416250.0,No,Kimmage,Dublin 6W,q3,80%
30/03/2011,"111 Stanaway Road, Kimmage",Dublin,128000.0,No,Kimmage,Dublin 6W,q1,10%
21/04/2011,"47 St Anne'S, Kimmage Road West",Dublin,295000.0,No,Kimmage,Dublin 6W,q2,50%
11/05/2011,"2 Shelton Grove, Kimmage",Dublin,250000.0,No,Kimmage,Dublin 6W,q2,30%
20/05/2011,"69 St Annes, Kimmage Road West",Dublin,290000.0,No,Kimmage,Dublin 6W,q2,50%
27/05/2011,"25 Shelton Drive, Kimmage Road West",Dublin,305000.0,No,Kimmage,Dublin 6W,q2,50%
20/06/2011,"Apt. 5 Baroma, 300 Lower Kimmage Road, Kimmage",Dublin,100500.0,No,Kimmage,Dublin 6W,q1,10%
01/07/2011,"15 Mount Argus Court, Lr Kimmage Rd",Dublin,260000.0,No,Kimmage,Dublin 6W,q2,40%
12/07/2011,"172 Kimmage Road West, Kimmage, Dublin 12",Dublin,350000.0,No,Kimmage,Dublin 6W,q3,60%
04/08/2011,"103 Stannaway Road, Kimmage",Dublin,185000.0,No,Kimmage,Dublin 6W,q1,20%
16/09/2011,"178 Lower Kimmage Road, Kimmage",Dublin,252000.0,No,Kimmage,Dublin 6W,q2,30%
16/09/2011,"58 Ferns Road, Kimmage, Dublin 12",Dublin,110000.0,No,Kimmage,Dublin 6W,q1,10%
05/10/2011,"27 Blarney Park, Kimmage",Dublin,225000.0,No,Kimmage,Dublin 6W,q1,30%
03/11/2011,"7 Clonfert Road, Kimmage",Dublin,122000.0,No,Kimmage,Dublin 6W,q1,10%
10/11/2011,"136 Kimmage Road West, Kimmage",Dublin,210000.0,No,Kimmage,Dublin 6W,q1,20%
18/11/2011,"16 Sundrive Park, Kimmage, Dublin 12",Dublin,280000.0,No,Kimmage,Dublin 6W,q2,40%
22/11/2011,"42 Larkfield Grove, Kimmage, Dublin 6W",Dublin,263000.0,No,Kimmage,Dublin 6W,q2,40%
07/12/2011,"10 St Anne'S, Kimmage Road West",Dublin,272000.0,No,Kimmage,Dublin 6W,q2,40%
07/12/2011,"15 Sundrive Park, Kimmage, Dublin 6W",Dublin,255000.0,No,Kimmage,Dublin 6W,q2,30%
07/12/2011,"39 Devenish Road, Kimmage, Dublin 12",Dublin,180000.0,No,Kimmage,Dublin 6W,q1,20%
16/12/2011,"20 Dangan Park, Kimmage Road West, Dublin 12.",Dublin,292500.0,No,Kimmage,Dublin 6W,q2,50%
16/12/2011,"50 Kimmage Road West, Kimmage, Dublin",Dublin,510000.0,No,Kimmage,Dublin 6W,q4,90%
20/12/2011,"13 Aideen Avenue, Lr Kimmage Road",Dublin,165000.0,No,Kimmage,Dublin 6W,q1,10%
22/12/2011,"34 St. Annes, Kimmage Road West",Dublin,183000.0,No,Kimmage,Dublin 6W,q1,20%
20/01/2012,"41 Lower Kimmage Road, Harol'S Cross, Dublin",Dublin,250000.0,No,Kimmage,Dublin 6W,q2,30%
02/03/2012,"12 Shelton Gardens, Kimmage, Dublin 12",Dublin,285000.0,No,Kimmage,Dublin 6W,q2,50%
30/03/2012,"418 Clonard Road, Kimmage",Dublin,240000.0,No,Kimmage,Dublin 6W,q1,30%
03/04/2012,"26 Shelton Park, Kimmage Road West, Kimmage  Dublin 12",Dublin,225000.0,No,Kimmage,Dublin 6W,q1,30%
13/04/2012,"606 Poddle Park, Clonard Road, Kimmage",Dublin,115000.0,No,Kimmage,Dublin 6W,q1,10%
30/04/2012,"72 Kilfenora Road, Kimmage",Dublin,135000.0,No,Kimmage,Dublin 6W,q1,10%
23/05/2012,"237B Kimmage Road Lr, Kimmage, Dublin 6W",Dublin,250000.0,No,Kimmage,Dublin 6W,q2,30%
28/05/2012,"17 Mount Argus Court, Lower Kimmage Road, Dublin 6W",Dublin,220000.0,No,Kimmage,Dublin 6W,q1,20%
29/06/2012,"22 Shelton Drive, Kimmage, Dublin",Dublin,270000.0,No,Kimmage,Dublin 6W,q2,40%
05/07/2012,"20 Shelton Grove, Kimmage Road West",Dublin,367500.0,No,Kimmage,Dublin 6W,q3,70%
06/07/2012,"11 Poddle Green, Kimmage",Dublin,157500.0,No,Kimmage,Dublin 6W,q1,10%
31/07/2012,"20 Ravensdale Park, Kimmage",Dublin,175000.0,No,Kimmage,Dublin 6W,q1,20%
02/08/2012,"33 St. Annes, Kimmage",Dublin,225000.0,No,Kimmage,Dublin 6W,q1,30%
15/08/2012,"44 Cloyne Road, Kimmage, Dublin 12",Dublin,90000.0,No,Kimmage,Dublin 6W,q1,10%
17/08/2012,"21 Cloyne Road, Kimmage, Dublin",Dublin,115000.0,No,Kimmage,Dublin 6W,q1,10%
31/08/2012,"82 Kimmage Road West, Kimmage, Dublin 12",Dublin,455000.0,No,Kimmage,Dublin 6W,q4,90%
05/09/2012,"55 Kimmage Road West, Terenue",Dublin,650000.0,No,Kimmage,Dublin 6W,q4,100%
07/09/2012,"21 Tonguefield Road, Kimmage, Dublin 6W",Dublin,112000.0,No,Kimmage,Dublin 6W,q1,10%
14/09/2012,"50 Royston, Kimmage Road West",Dublin,210000.0,No,Kimmage,Dublin 6W,q1,20%
28/09/2012,"34 St. Teresas Road, Kimmage Road West, Dublin 12",Dublin,210000.0,No,Kimmage,Dublin 6W,q1,20%
28/09/2012,"76 Kimmage Road West, Kimmage",Dublin,610000.0,No,Kimmage,Dublin 6W,q4,100%
01/10/2012,"Apartment 3B, Bedford Court, Lower Kimmage Road",Dublin,125000.0,No,Kimmage,Dublin 6W,q1,10%
03/10/2012,"79 Sundrive Road, Kimmage",Dublin,225000.0,No,Kimmage,Dublin 6W,q1,30%
05/10/2012,"90 Royston, Kimmage Road West",Dublin,200000.0,No,Kimmage,Dublin 6W,q1,20%
19/10/2012,"Flat No. 4 Granuaile, 225A Lower Kimmage Road",Dublin,127000.0,No,Kimmage,Dublin 6W,q1,10%
31/10/2012,"60  Lower Kimmage Road, Harold'S Cross",Dublin,491000.0,No,Kimmage,Dublin 6W,q4,90%
07/11/2012,"15 Dangan Drive, Kimmage",Dublin,265000.0,No,Kimmage,Dublin 6W,q2,40%
08/11/2012,"62 Kimmage Road, West  Kimmage",Dublin,470000.0,No,Kimmage,Dublin 6W,q4,90%
14/11/2012,"87 Royston, Kimmage Road West",Dublin,180000.0,No,Kimmage,Dublin 6W,q1,20%
20/11/2012,"108 St Annes Estate, Kimmage Road West, Dublin 12",Dublin,285000.0,No,Kimmage,Dublin 6W,q2,50%
21/11/2012,"82 Blarney Park, Kimmage",Dublin,156000.0,No,Kimmage,Dublin 6W,q1,10%
29/11/2012,"26 Larkfield Gardens, Kimmage",Dublin,200000.0,No,Kimmage,Dublin 6W,q1,20%
17/12/2012,"236 Lower Kimmage Road, Dublin 6W",Dublin,246000.0,No,Kimmage,Dublin 6W,q2,30%
18/12/2012,"154 Lower Kimmage Road, Kimmage",Dublin,238000.0,No,Kimmage,Dublin 6W,q1,30%
21/12/2012,"84 Lower Kimmage Road, Dublin 6W",Dublin,585000.0,No,Kimmage,Dublin 6W,q4,100%
31/12/2012,"14 Aideen Avenue, Lower Kimmage Road",Dublin,235000.0,No,Kimmage,Dublin 6W,q1,30%
07/01/2013,"34  Ravensdale Drive, Kimmage, Dublin 12",Dublin,350000.0,No,Kimmage,Dublin 6W,q3,70%
11/01/2013,"9 Sundrive Park, Kimmage, Dublin 12",Dublin,227000.0,No,Kimmage,Dublin 6W,q1,30%
22/01/2013,"78 Kilfenora Road, Kimmage, Dublin",Dublin,115000.0,No,Kimmage,Dublin 6W,q1,10%
24/01/2013,"30  Poddle Park, Kimmage",Dublin,250000.0,No,Kimmage,Dublin 6W,q2,30%
01/02/2013,"19 Ravensdale Park, Kimmage, Dublin 12",Dublin,91000.0,No,Kimmage,Dublin 6W,q1,10%
01/02/2013,"21 Ravensdale Park, Kimmage",Dublin,78000.0,No,Kimmage,Dublin 6W,q1,10%
01/02/2013,"33 Ravensdale Park, Kimmage",Dublin,92000.0,No,Kimmage,Dublin 6W,q1,10%
