date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
08/01/2010,"29 Sycamore Drive, Kingswood Heights",Dublin,325000.0,No,Kingswood,Dublin 24,q4,90%
30/03/2010,"39 Kingswood Drive, Kingswood",Dublin,287000.0,No,Kingswood,Dublin 24,q3,80%
23/04/2010,"21  Forest Green, Kingswood",Dublin,230000.0,No,Kingswood,Dublin 24,q2,30%
05/05/2010,"12 Silken Park Lane, Old Naas Road, Kingswood",Dublin,257500.0,Yes,Kingswood,Dublin 24,q2,50%
05/05/2010,"12 Silken Park Lane, Silken Park  Old Naas Rd., Kingswood",Dublin,257500.0,Yes,Kingswood,Dublin 24,q2,50%
21/05/2010,"4A Forest Avenue, Kingswood, Kingswood Heights",Dublin,267500.0,No,Kingswood,Dublin 24,q3,60%
04/06/2010,"2 Dunmore Grove, Kingswood, Dublin 24",Dublin,340000.0,No,Kingswood,Dublin 24,q4,90%
14/07/2010,"12 Silken Park Drive, Old Naas Road, Kingswood",Dublin,225000.0,Yes,Kingswood,Dublin 24,q2,30%
23/07/2010,"167 Dunmore Lawns, Kingswood, Dublin 24",Dublin,330000.0,No,Kingswood,Dublin 24,q4,90%
06/08/2010,"7 The Park, Kingswood Heights, Dublin 24",Dublin,325000.0,No,Kingswood,Dublin 24,q4,90%
01/09/2010,"46 Sycamore Avenue, Kingswood Heights, Dublin 24",Dublin,275000.0,No,Kingswood,Dublin 24,q3,70%
28/04/2011,"34  Forest Drive, Kingswood, Ballymount",Dublin,242000.0,No,Kingswood,Dublin 24,q2,40%
06/05/2011,"23 Ashfield Avenue, Kingswood",Dublin,232000.0,No,Kingswood,Dublin 24,q2,40%
13/05/2011,"11 Silken Park, Old Naas Road, Kingswood",Dublin,195000.0,Yes,Kingswood,Dublin 24,q1,20%
26/07/2011,"Site At Rear, 167 Dunmore Lawn, Kingswood",Dublin,9500.0,No,Kingswood,Dublin 24,q1,10%
13/10/2011,"2 Silken Park Lane, Silken Park, Old Naas Road  Kingswood",Dublin,315725.0,Yes,Kingswood,Dublin 24,q4,90%
14/11/2011,"26 Dunmore Park, Kingswood",Dublin,145000.0,No,Kingswood,Dublin 24,q1,10%
19/12/2011,"27 The Dale, Kingswood Heights",Dublin,187750.0,No,Kingswood,Dublin 24,q1,20%
15/03/2012,"42 Dunmore Park, Kingswood",Dublin,205000.0,No,Kingswood,Dublin 24,q1,20%
17/04/2012,"77 Forest Drive, Kingswood, Dublin 24",Dublin,221000.0,No,Kingswood,Dublin 24,q1,30%
03/05/2012,"1A Dunmore Grove, Kingswood",Dublin,175000.0,No,Kingswood,Dublin 24,q1,10%
14/05/2012,"16 Forest Avenue, Kingswood",Dublin,195000.0,No,Kingswood,Dublin 24,q1,20%
29/05/2012,"42 The Rise, Kingswood Heights, Dublin 24",Dublin,141000.0,No,Kingswood,Dublin 24,q1,10%
10/07/2012,"22 Ashfield Park, Kingswood, Dublin 24",Dublin,175000.0,No,Kingswood,Dublin 24,q1,10%
20/07/2012,"16 Dunmore Grove, Kingswood",Dublin,155000.0,No,Kingswood,Dublin 24,q1,10%
05/10/2012,"5  Forest Avenue, Kingswood, Dublin 24",Dublin,158000.0,No,Kingswood,Dublin 24,q1,10%
16/10/2012,"24 Dunmore Park, Kingswood",Dublin,120000.0,No,Kingswood,Dublin 24,q1,10%
24/10/2012,"3 Chestnut Grove, Kingswood",Dublin,185000.0,No,Kingswood,Dublin 24,q1,20%
05/12/2012,"9 Walnut Avenue, Kingswood, Dublin 24",Dublin,145000.0,No,Kingswood,Dublin 24,q1,10%
28/03/2013,"Gennazzano, Kingswood, Dublin 22",Dublin,180000.0,No,Kingswood,Dublin 24,q1,20%
02/05/2013,"38 Browns Barn Wood, Kingswood, Clondalkin",Dublin,246696.0,Yes,Kingswood,Dublin 24,q2,50%
08/05/2013,"31 The Rise, Kingswood Heights",Dublin,165000.0,No,Kingswood,Dublin 24,q1,10%
10/05/2013,"7 The Dale, Kingswood, Dublin 24",Dublin,168500.0,No,Kingswood,Dublin 24,q1,10%
13/06/2013,"30 Browns Barn Wood, Kingswood, Clondalkin",Dublin,233550.0,Yes,Kingswood,Dublin 24,q2,40%
05/07/2013,"29 Kingswood Castle, Kingswood, Dublin 24",Dublin,232500.0,No,Kingswood,Dublin 24,q2,40%
20/08/2013,"12 Tynan Hall Avenue, Kingswood",Dublin,214000.0,No,Kingswood,Dublin 24,q1,20%
16/09/2013,"89 Dunmore Park, Kingswood",Dublin,153000.0,No,Kingswood,Dublin 24,q1,10%
20/09/2013,"44 Dunmore Park, Kingswood, Ballymount",Dublin,299950.0,No,Kingswood,Dublin 24,q3,80%
