date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
13/06/2010,"12 Drynam Walk, Drynam Hall, Kettles Lane  Kinsealy",Dublin,279000.0,Yes,Kinsealy,Co. Dublin,q2,40%
18/06/2010,"22 Myra Manor, Kinsealy",Dublin,1162995.59,Yes,Kinsealy,Co. Dublin,q4,100%
09/07/2010,"20 Birchdale Close, Kinsealy",Dublin,270000.0,No,Kinsealy,Co. Dublin,q2,30%
15/07/2010,"20 The Villa, Melrose Park, Kinsealy",Dublin,270000.0,No,Kinsealy,Co. Dublin,q2,30%
19/07/2010,"15 Aspen Drive, Kinsealy, Dublin",Dublin,285000.0,No,Kinsealy,Co. Dublin,q2,40%
22/07/2010,"19 Mount Drinan Grove, Kinsealy Downs, Kinsealy",Dublin,231000.0,No,Kinsealy,Co. Dublin,q1,20%
30/07/2010,"27 Abby Well, Chapel Road, Kinsealy",Dublin,320000.0,No,Kinsealy,Co. Dublin,q3,60%
03/09/2010,"19 Birchdale Park, Kinsealy Court, Kinsealy",Dublin,240000.0,No,Kinsealy,Co. Dublin,q1,30%
27/09/2010,"15 Ashgrove, Baskin Lane, Kinsealy",Dublin,255000.0,No,Kinsealy,Co. Dublin,q2,30%
27/09/2010,"37 St. Olave'S, Malahide Road, Kinsealy",Dublin,178414.1,Yes,Kinsealy,Co. Dublin,q1,10%
30/09/2010,"24 St Olaves, Malahide Road, Kinsealy",Dublin,215000.0,Yes,Kinsealy,Co. Dublin,q1,20%
13/12/2010,"45 St Olaves, Kinsealy, Co. Dublin",Dublin,237006.0,Yes,Kinsealy,Co. Dublin,q1,20%
17/12/2010,"54 Abbeywell, Chapel Road, Kinsealy",Dublin,355000.0,No,Kinsealy,Co. Dublin,q3,80%
31/01/2011,"1A Mount Drinan Grove, Kinsealy Downs, Kinsealy",Dublin,240000.0,No,Kinsealy,Co. Dublin,q1,30%
04/02/2011,"33 St. Olave'S, Malahide Road, Kinsealy",Dublin,194000.0,Yes,Kinsealy,Co. Dublin,q1,20%
06/04/2011,"30 The Grove, Melrose Park, Kinsealy",Dublin,235000.0,No,Kinsealy,Co. Dublin,q1,20%
12/04/2011,"Westbrook House, Kinsealy",Dublin,1140000.0,No,Kinsealy,Co. Dublin,q4,100%
10/05/2011,"25 Baskin Cottages, Kinsealy",Dublin,192000.0,No,Kinsealy,Co. Dublin,q1,20%
13/05/2011,"21 The Rise, Melrose Park, Kinsealy",Dublin,245000.0,No,Kinsealy,Co. Dublin,q1,30%
05/07/2011,"24 The Green, Melrose Park, Kinsealy",Dublin,120000.0,No,Kinsealy,Co. Dublin,q1,10%
