date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
13/01/2010,"47 Dalriada, Knocklyon, Dublin 16",Dublin,70000.0,No,Knocklyon,Dublin 16,q1,10%
14/01/2010,"13 Ros Mor View, Scholarstown Road, Knocklyon",Dublin,270000.0,No,Knocklyon,Dublin 16,q1,10%
20/01/2010,"215 Glenvara Park, Knocklyon",Dublin,282000.0,No,Knocklyon,Dublin 16,q1,20%
22/01/2010,"11 Dalriada Square, Knocklyon",Dublin,257665.0,Yes,Knocklyon,Dublin 16,q1,10%
25/01/2010,"22 Idrone Drive, Knocklyon",Dublin,325000.0,No,Knocklyon,Dublin 16,q1,30%
08/02/2010,"3 Woodstown Drive, Knocklyon, Dublin 16",Dublin,409500.0,No,Knocklyon,Dublin 16,q3,60%
10/02/2010,"2 Dalriada Hall, Knocklyon",Dublin,293000.0,Yes,Knocklyon,Dublin 16,q1,20%
11/02/2010,"2 Woodstown Dale, Knocklyon, Dublin 16",Dublin,400000.0,No,Knocklyon,Dublin 16,q3,60%
16/02/2010,"Site No. 40 Dalriada, Knocklyon",Dublin,328149.78,Yes,Knocklyon,Dublin 16,q2,30%
19/02/2010,"32 Beverly Heights, Knocklyon",Dublin,360000.0,No,Knocklyon,Dublin 16,q2,40%
19/03/2010,"97 Coolamber Park, Knocklyon",Dublin,440000.0,No,Knocklyon,Dublin 16,q3,70%
24/03/2010,"25 Glenvara Park, Knocklyon",Dublin,415000.0,No,Knocklyon,Dublin 16,q3,60%
01/04/2010,"27 Woodstown Parade, Knocklyon",Dublin,377000.0,No,Knocklyon,Dublin 16,q2,50%
09/04/2010,"4 Woodstown Parade, Knocklyon",Dublin,345000.0,No,Knocklyon,Dublin 16,q2,40%
21/04/2010,"18 Delwood Grove, Knocklyon, Dublin 16",Dublin,440000.0,No,Knocklyon,Dublin 16,q3,70%
26/04/2010,"11 Castlefield Way, Knocklyon",Dublin,375000.0,No,Knocklyon,Dublin 16,q2,50%
