date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
13/01/2010,"Apartment 8 The Sycamore, Elmfield  Ballyogan Road, Leopardstown",Dublin,248898.68,Yes,Leopardstown,Dublin 18,q1,10%
28/01/2010,"Apt 111  Vantage Central, Central Park, Leopardstown  Dublin 18",Dublin,365110.13,Yes,Leopardstown,Dublin 18,q2,50%
02/02/2010,"12 Glencairn Copse, The Gallops, Leopardstown",Dublin,410000.0,No,Leopardstown,Dublin 18,q3,60%
08/02/2010,"56 Glencairn Lawn, The Gallops, Leopardstown",Dublin,391700.0,No,Leopardstown,Dublin 18,q2,50%
10/02/2010,"4 Glencairn Park, The Gallops, Leopardstown",Dublin,470000.0,No,Leopardstown,Dublin 18,q3,80%
04/03/2010,"18 Orby Lawn, The Gallops, Leopardstown",Dublin,105000.0,No,Leopardstown,Dublin 18,q1,10%
04/03/2010,"51 Glencairn Drive, The Gallops, Leopardstown",Dublin,500000.0,No,Leopardstown,Dublin 18,q4,80%
10/03/2010,"9 Glencairn Road, The Gallops, Leopardstown",Dublin,465000.0,No,Leopardstown,Dublin 18,q3,80%
01/04/2010,"15 Mountain Eagle View, Leopardstown Heights",Dublin,484500.0,No,Leopardstown,Dublin 18,q3,80%
14/04/2010,"21 Glenbourne Road, Leopardstown",Dublin,450000.0,No,Leopardstown,Dublin 18,q3,70%
19/05/2010,"16 Orby Avenue, The Gallops, Leopardstown",Dublin,400000.0,No,Leopardstown,Dublin 18,q3,60%
24/05/2010,"Apartment 314  Vantage Central, Central Park, Leopardstown",Dublin,288849.0,Yes,Leopardstown,Dublin 18,q1,20%
25/05/2010,"Apartment 814, Vantage East  Central Park, Leopardstown",Dublin,246558.0,Yes,Leopardstown,Dublin 18,q1,10%
28/05/2010,"5 Glenbourne Green, Leopardstown Valley",Dublin,377500.0,No,Leopardstown,Dublin 18,q2,50%
02/06/2010,"22 Levmoss Avenue, The Gallops, Leopardstown",Dublin,337000.0,Yes,Leopardstown,Dublin 18,q2,40%
04/06/2010,"88 Murphystown Road, Leopardstown Heights, Leopardstown",Dublin,405000.0,No,Leopardstown,Dublin 18,q3,60%
08/06/2010,"Apt 511  Vantage East, Central Park, Leopardstown",Dublin,317180.62,Yes,Leopardstown,Dublin 18,q1,30%
17/06/2010,"34 Glenbourne View, Leopardstown Valley, Dublin 18",Dublin,442000.0,No,Leopardstown,Dublin 18,q3,70%
18/06/2010,"2  Glenbourne Crescent, Leopardstown Valley, Leopardstown",Dublin,572500.0,No,Leopardstown,Dublin 18,q4,100%
05/07/2010,"10 Leopardstown Avenue, Leopardstown",Dublin,550000.0,No,Leopardstown,Dublin 18,q4,100%
09/07/2010,"12 Orby Way, The Gallops, Leopardstown",Dublin,390000.0,No,Leopardstown,Dublin 18,q2,50%
16/07/2010,"21 Arkle Square, The Chase, Leopardstown",Dublin,360000.0,No,Leopardstown,Dublin 18,q2,50%
23/07/2010,"24 Mount Eagle Rise, Leopardstown",Dublin,362000.0,No,Leopardstown,Dublin 18,q2,50%
28/07/2010,"10 Glencairn Dale, The Gallops, Leopardstown",Dublin,350000.0,No,Leopardstown,Dublin 18,q2,50%
12/08/2010,"12 Glencairn Oaks, The Gallops, Leopardstown",Dublin,365000.0,No,Leopardstown,Dublin 18,q2,50%
27/08/2010,"38 Glencairn Walk, Leopardstown",Dublin,401000.0,No,Leopardstown,Dublin 18,q3,60%
09/09/2010,"7 Mount Eagle Lawn, Leopardstown, Dublin 18",Dublin,338000.0,No,Leopardstown,Dublin 18,q2,40%
10/09/2010,"9 Mount Eagle Drive, Leopardstown Heights, Leopardstown",Dublin,360000.0,No,Leopardstown,Dublin 18,q2,50%
20/09/2010,"15 Leopardstown Grove, Leopardstown, Co. Dublin",Dublin,552000.0,No,Leopardstown,Dublin 18,q4,100%
01/10/2010,"48  Glencairn Crescent, The Gallops, Leopardstown",Dublin,405000.0,No,Leopardstown,Dublin 18,q3,60%
08/10/2010,"18 Glencairn Rise, The Gallops, Leopardstown",Dublin,570000.0,No,Leopardstown,Dublin 18,q4,100%
19/10/2010,"34 Mimosa Hall, The Gallops, Leopardstown",Dublin,198237.88,Yes,Leopardstown,Dublin 18,q1,10%
01/11/2010,"14 Glencairn Rise, Leopardstown",Dublin,335000.0,No,Leopardstown,Dublin 18,q2,40%
05/11/2010,"19 Glencairn Rise, The Gallops, Leopardstown",Dublin,372260.0,No,Leopardstown,Dublin 18,q2,50%
10/11/2010,"28 Levmoss Avenue, The Gallops, Leopardstown",Dublin,335000.0,Yes,Leopardstown,Dublin 18,q2,40%
12/11/2010,"11 Glencairn Heights, The Gallops, Leopardstown",Dublin,400000.0,No,Leopardstown,Dublin 18,q3,60%
01/12/2010,"23 Glencairn Lawn, Leopardstown",Dublin,395000.0,No,Leopardstown,Dublin 18,q2,50%
20/12/2010,"13 Mount Eagle Lawn, Leopardstown Heights, Leopardstown",Dublin,362500.0,No,Leopardstown,Dublin 18,q2,50%
28/01/2011,"46 Leopardstown Grove, Leopardstown, Dublin 18",Dublin,445000.0,No,Leopardstown,Dublin 18,q3,70%
08/02/2011,"46 Orby Avenue, The Gallops, Leopardstown",Dublin,430000.0,No,Leopardstown,Dublin 18,q3,60%
10/03/2011,"Apartment No. 31, Elmfield  Ballyogan Road, Leopardstown",Dublin,285000.0,Yes,Leopardstown,Dublin 18,q1,20%
25/03/2011,"3 Glencairn Lawn, The Gallops, Leopardstown",Dublin,308500.0,No,Leopardstown,Dublin 18,q1,20%
01/04/2011,"Apartment No. 6 Elmfield, Ballyogan Road, Leopardstown",Dublin,237885.46,Yes,Leopardstown,Dublin 18,q1,10%
20/04/2011,"14 Glenbourne Green, Leopardstown, Dublin 18",Dublin,353000.0,No,Leopardstown,Dublin 18,q2,50%
16/05/2011,"Apt 16 The Sycamore, Elmfield, Leopardstown",Dublin,270925.11,Yes,Leopardstown,Dublin 18,q1,10%
20/05/2011,"2  Mount Eagle Drive, Leopardstown, Dublin",Dublin,380000.0,No,Leopardstown,Dublin 18,q2,50%
20/05/2011,"34 Mount Eagle View, Leopardstown Heights",Dublin,315000.0,No,Leopardstown,Dublin 18,q1,30%
26/05/2011,"47 Glencairn Lawn, The Gallops, Leopardstown",Dublin,338000.0,No,Leopardstown,Dublin 18,q2,40%
