date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
13/01/2010,"26 The Croft, Parc Na Silla  Loughlinstown",Dublin,250000.0,Yes,Loughlinstown,Dublin 18,q2,40%
15/01/2010,"17D  Cherrywood, Loughlinstown",Dublin,285000.0,No,Loughlinstown,Dublin 18,q2,50%
15/01/2010,"St. John'S, 4  Cherrywood, Loughlinstown",Dublin,222000.0,No,Loughlinstown,Dublin 18,q1,20%
12/02/2010,"15 Parc Na Silla Rise, Loughlinstown",Dublin,345000.0,No,Loughlinstown,Dublin 18,q3,60%
18/03/2010,"Apt 28 The Croft, Parc Na Silla, Loughlinstown",Dublin,241434.77,Yes,Loughlinstown,Dublin 18,q2,30%
23/04/2010,"Apt 31 The Croft, Parc Na Silla, Loughlinstown",Dublin,237885.47,Yes,Loughlinstown,Dublin 18,q2,30%
23/04/2010,"Apt 31 The Croft, Parc Na Silla, Loughlinstown",Dublin,237885.47,Yes,Loughlinstown,Dublin 18,q2,30%
30/04/2010,"104 Grove Cottages, Loughlinstown",Dublin,275000.0,No,Loughlinstown,Dublin 18,q2,40%
13/05/2010,"52 Cherrywood, Loughlinstown",Dublin,290000.0,No,Loughlinstown,Dublin 18,q2,50%
28/05/2010,"21 The Croft, Parc Na Silla, Loughlinstown",Dublin,180616.0,Yes,Loughlinstown,Dublin 18,q1,10%
21/06/2010,"13 Loughlinstown Park, Loughlinstown, County Dublin",Dublin,256000.0,No,Loughlinstown,Dublin 18,q2,40%
30/06/2010,"Apartment 30  The Croft, Parc Na Silla, Loughlinstown",Dublin,180616.0,Yes,Loughlinstown,Dublin 18,q1,10%
30/06/2010,"Apartment 33  The Croft, Parc Na Silla, Loughlinstown",Dublin,180616.0,Yes,Loughlinstown,Dublin 18,q1,10%
16/07/2010,"88The Ramparts, Loughlinstown",Dublin,412000.0,No,Loughlinstown,Dublin 18,q3,80%
26/11/2010,"10 Rathmichael Manor, Loughlinstown",Dublin,342500.0,No,Loughlinstown,Dublin 18,q3,60%
10/12/2010,"49 Cromlech Fields, Loughlinstown",Dublin,160000.0,No,Loughlinstown,Dublin 18,q1,10%
10/12/2010,"Apartment 81, The Ramparts, Loughlinstown",Dublin,200000.0,No,Loughlinstown,Dublin 18,q1,10%
13/12/2010,"17 Cherrycourt, Cherrywood, Loughlinstown",Dublin,240000.0,No,Loughlinstown,Dublin 18,q2,30%
18/02/2011,"Apartment 44, The Croft, Parc Na Silla Loughlinstown",Dublin,264317.0,Yes,Loughlinstown,Dublin 18,q2,40%
25/03/2011,"19 Rathmichael Manor, Loughlinstown, Co. Dublin",Dublin,318000.0,No,Loughlinstown,Dublin 18,q3,60%
08/04/2011,"23  Wyattville Park, Loughlinstown",Dublin,385000.0,No,Loughlinstown,Dublin 18,q3,70%
21/04/2011,"24 Cherrycourt, Loughlinstown",Dublin,188000.0,No,Loughlinstown,Dublin 18,q1,10%
30/05/2011,"97 Wyattville Park, Loughlinstown",Dublin,304000.0,No,Loughlinstown,Dublin 18,q2,50%
07/06/2011,"32 Cherrywood, Loughlinstown",Dublin,200000.0,No,Loughlinstown,Dublin 18,q1,20%
01/07/2011,"6 The Oaks, Loughlinstown, County Dublin",Dublin,255000.0,No,Loughlinstown,Dublin 18,q2,40%
07/07/2011,"43 Wyattville Park, Loughlinstown, Co. Dublin",Dublin,307000.0,No,Loughlinstown,Dublin 18,q2,50%
20/07/2011,"1 Gleanntan, Loughlinstown",Dublin,199000.0,No,Loughlinstown,Dublin 18,q1,10%
16/08/2011,"Apartment 6C, The Croft  Parc Na Silla, Loughlinstown",Dublin,220000.0,Yes,Loughlinstown,Dublin 18,q1,20%
21/10/2011,"96 Beechgrove Cottages, Loughlinstown, County Dublin",Dublin,220000.0,No,Loughlinstown,Dublin 18,q1,20%
28/10/2011,"4  Parc Na Silla Lane, Loughlinstown",Dublin,250000.0,No,Loughlinstown,Dublin 18,q2,40%
08/11/2011,"8  Parc Na Silla Avenue, Loughlinstown",Dublin,250000.0,No,Loughlinstown,Dublin 18,q2,40%
18/11/2011,"29 Cherrywood, Loughlinstown",Dublin,110000.0,No,Loughlinstown,Dublin 18,q1,10%
09/12/2011,"23 Cherrywood, Loughlinstown",Dublin,235000.0,No,Loughlinstown,Dublin 18,q1,30%
01/02/2012,"21 Wyattville Park, Loughlinstown",Dublin,335000.0,No,Loughlinstown,Dublin 18,q3,60%
13/02/2012,"105 Cherrywood Road, Loughlinstown",Dublin,275000.0,No,Loughlinstown,Dublin 18,q2,40%
30/03/2012,"99 Wyattville Park, Loughlinstown",Dublin,315000.0,No,Loughlinstown,Dublin 18,q2,50%
11/06/2012,"23 Parc Na Silla Rise, Loughlinstown",Dublin,225000.0,No,Loughlinstown,Dublin 18,q1,30%
17/07/2012,"39 Cherrywood, Loughlinstown",Dublin,212000.0,No,Loughlinstown,Dublin 18,q1,20%
07/08/2012,"56 Cherrywood, Loughlinstown",Dublin,190000.0,No,Loughlinstown,Dublin 18,q1,10%
01/10/2012,"19 Wyattville Close, Loughlinstown",Dublin,277000.0,No,Loughlinstown,Dublin 18,q2,40%
15/10/2012,"4 Whilte Gables, Loughlinstown",Dublin,570000.0,No,Loughlinstown,Dublin 18,q4,100%
19/10/2012,"10 Cherry Court, Loughlinstown, County Dublin",Dublin,180000.0,No,Loughlinstown,Dublin 18,q1,10%
03/12/2012,"48A Cherrywood, Loughlinstown",Dublin,275000.0,No,Loughlinstown,Dublin 18,q2,40%
19/12/2012,"52 Cois Culainn, Loughlinstown",Dublin,245000.0,No,Loughlinstown,Dublin 18,q2,30%
20/12/2012,"9 Cherry Court, Loughlinstown",Dublin,222000.0,No,Loughlinstown,Dublin 18,q1,30%
20/12/2012,"House And Land At Bride'S Glen, Rathmichael, Or Loughlinstown",Dublin,500000.0,No,Loughlinstown,Dublin 18,q4,90%
09/01/2013,"15 Rathmichael Manor  Whitegables, Loughlinstown Co Dublin",Dublin,334000.0,No,Loughlinstown,Dublin 18,q3,60%
08/02/2013,"10 Parc Na Silla Rise, Loughlinstown, Co Dublin",Dublin,243000.0,No,Loughlinstown,Dublin 18,q2,30%
08/03/2013,"68 Cherrywood, Loughlinstown",Dublin,210000.0,No,Loughlinstown,Dublin 18,q1,20%
28/03/2013,"101 Wyattville Park, Loughlinstown",Dublin,390000.0,No,Loughlinstown,Dublin 18,q3,70%
19/04/2013,"80 Cherrywood, Loughlinstown",Dublin,240000.0,No,Loughlinstown,Dublin 18,q2,30%
02/05/2013,"26 Parc Na Silla Rise, Loughlinstown",Dublin,370000.0,No,Loughlinstown,Dublin 18,q3,70%
22/05/2013,"11 Rathmichael Manor, Loughlinstown",Dublin,338000.0,No,Loughlinstown,Dublin 18,q3,60%
31/05/2013,"29 Parc Na Silla Rise, Loughlinstown, Dublin 18",Dublin,255000.0,No,Loughlinstown,Dublin 18,q2,40%
10/06/2013,"9A Cherry Court, Loughlinstown",Dublin,315000.0,No,Loughlinstown,Dublin 18,q2,50%
12/06/2013,"26 Rathmichael Manor, Loughlinstown",Dublin,348500.0,No,Loughlinstown,Dublin 18,q3,60%
08/07/2013,"No 4 Wyattsville Park, Loughlinstown",Dublin,415000.0,No,Loughlinstown,Dublin 18,q3,80%
12/07/2013,"40  Cherrywood, Loughlinstown",Dublin,255000.0,No,Loughlinstown,Dublin 18,q2,40%
26/07/2013,"7A The Rise, Parc Na Silla, Loughlinstown",Dublin,100000.0,No,Loughlinstown,Dublin 18,q1,10%
30/07/2013,"Apt 71 The Ramparts, Loughlinstown, Dublin 18",Dublin,205000.0,No,Loughlinstown,Dublin 18,q1,20%
30/07/2013,"Apt 72 The Ramparts, Loughlinstown, Dublin 18",Dublin,200000.0,No,Loughlinstown,Dublin 18,q1,20%
10/09/2013,"1  The Oaks, Loughlinstown, Dublin 18.",Dublin,310000.0,No,Loughlinstown,Dublin 18,q2,50%
10/09/2013,"2 Cherrywood, Loughlinstown",Dublin,208000.0,No,Loughlinstown,Dublin 18,q1,20%
18/09/2013,"28 Parc Na Silla Rise, Loughlinstown",Dublin,255000.0,No,Loughlinstown,Dublin 18,q2,40%
11/10/2013,"12 Rathmichael Manor, Loughlinstown",Dublin,309000.0,No,Loughlinstown,Dublin 18,q2,50%
20/12/2013,"16C Cherrywood, Loughlinstown, Dublin",Dublin,215000.0,No,Loughlinstown,Dublin 18,q1,20%
23/12/2013,"42 The Croft, Parc Na Silla, Loughlinstown",Dublin,209300.0,Yes,Loughlinstown,Dublin 18,q1,20%
23/12/2013,"Apartment 41, The Croft, Loughlinstown",Dublin,230000.0,Yes,Loughlinstown,Dublin 18,q1,30%
31/12/2013,"43 The Croft, Parc Na Silla, Loughlinstown",Dublin,213216.0,Yes,Loughlinstown,Dublin 18,q1,20%
20/01/2014,"27 The Croft, Parc Na Silla, Loughlinstown",Dublin,119383.25,Yes,Loughlinstown,Dublin 18,q1,10%
17/02/2014,"Apt 36 The Croft, Parc Na Silla, Loughlinstown",Dublin,203275.0,Yes,Loughlinstown,Dublin 18,q1,20%
19/02/2014,"34 The Croft, Parc Na Silla, Loughlinstown",Dublin,206000.0,Yes,Loughlinstown,Dublin 18,q1,20%
21/02/2014,"39 The Croft, Parc Na Sille Loughlinstown, County Dublin",Dublin,201321.0,Yes,Loughlinstown,Dublin 18,q1,20%
27/02/2014,"Apt 32  The Croft, Parc Na Silla, Loughlinstown",Dublin,187224.66,Yes,Loughlinstown,Dublin 18,q1,10%
05/03/2014,"Apartment 22 The Croft, Parc Na Silla, Loughlinstown",Dublin,185022.02,Yes,Loughlinstown,Dublin 18,q1,10%
