Unnamed: 0,date_of_sale,address,postal_code,county,price,vat_exclusive,property_description,property_size,town,area_code
24,06/01/2010,"18 Earlsfort Court, Lucan, Co. Dublin",,Dublin,280000.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
28,06/01/2010,"9 Colthurst Green, Huntington Glen, Lucan",,Dublin,228000.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
208,21/01/2010,"4 Caislean Riada Avenue, Lucan",,Dublin,272500.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
226,22/01/2010,"13 Beech Park, Lucan",,Dublin,478000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,Lucan,Co. Dublin
248,22/01/2010,"4 Larkfield Grove, Lucan",,Dublin,230000.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
263,25/01/2010,"63 Hillcrest Drive, Lucan",,Dublin,268000.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
288,27/01/2010,"13 Castlegate Terrace, Adamstown Castle, Lucan",,Dublin,185022.02,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Lucan,Co. Dublin
323,28/01/2010,"21 Esker Woods Drive, Lucan, Co Dublin",,Dublin,315000.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
333,28/01/2010,"44 Dodsboro Cottages, Lucan",,Dublin,255500.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
372,29/01/2010,"35 Castle Riada Grove, Lucan",,Dublin,280000.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
376,29/01/2010,"4 Johnsbridge Avenue, Lucan",,Dublin,260000.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
396,01/02/2010,"21 Willsbrook Crescent, Lucan, Co. Dublin",,Dublin,262500.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
409,01/02/2010,"9 Foxborough Green, Lucan",,Dublin,241000.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
433,03/02/2010,"12 Hermitage Road, Lucan",,Dublin,276100.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
451,04/02/2010,"11 Griffeen Glen Boulevard, Lucan",,Dublin,270000.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
528,08/02/2010,"43 Castle Riada Grove, Lucan",,Dublin,277500.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
539,09/02/2010,"14 Tullyhall Park, Lucan",,Dublin,305000.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
564,10/02/2010,"84 Castle Riada Grove, Lucan",,Dublin,223000.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
584,11/02/2010,"6 Mount Andrew Dale, Lucan",,Dublin,320000.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
593,12/02/2010,"1 Cannon Brook Park, Lucan",,Dublin,250000.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
620,12/02/2010,"43D Fforester Square, Ballydowd Manor, Lucan",,Dublin,181650.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Lucan,Co. Dublin
630,12/02/2010,"Apartment 1, Rosse Court Hall, Lucan",,Dublin,157500.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
653,15/02/2010,"48 Hansted Close, Lucan",,Dublin,222500.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
683,17/02/2010,"27 Foxborough Court, Lucan",,Dublin,208000.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
752,19/02/2010,"9 Liffey Green, Liffey Valley Park, Lucan",,Dublin,228000.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
785,23/02/2010,"27 Castle Riada Avenue, Lucan",,Dublin,275000.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
798,24/02/2010,"14 Esker Lawns, Lucan",,Dublin,321000.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
834,26/02/2010,"15 Foxford Court, Lucan",,Dublin,133000.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
885,01/03/2010,"2 Sarsfield Terrace, Lucan",,Dublin,155000.0,No,Second-Hand Dwelling house /Apartment,,Lucan,Co. Dublin
