date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
05/02/2010,"4 Tyrells Row, Lusk Village, Lusk",Dublin,190000.0,No,Lusk,Co. Dublin,q1,30%
13/04/2010,"2 Scribes Court, Lusk",Dublin,170000.0,No,Lusk,Co. Dublin,q1,20%
14/04/2010,"5 Great Commons, Lusk Village, Lusk",Dublin,240000.0,No,Lusk,Co. Dublin,q3,60%
15/04/2010,"32 Dun Emer Walk, Lusk",Dublin,195000.0,No,Lusk,Co. Dublin,q2,30%
29/04/2010,"29 Joyce Road, Lusk Village, Lusk",Dublin,185022.0,Yes,Lusk,Co. Dublin,q1,30%
06/05/2010,"34 Chapel Farm Drive, Lusk",Dublin,25000.0,No,Lusk,Co. Dublin,q1,10%
17/05/2010,"10 Windward Way, Lusk Village, Lusk",Dublin,270000.0,No,Lusk,Co. Dublin,q3,70%
25/05/2010,"4 Abbeylands, Lusk, Lusk",Dublin,236000.0,No,Lusk,Co. Dublin,q2,50%
21/06/2010,"54 Dun Emer Avenue, Dun Emer, Lusk",Dublin,285000.0,No,Lusk,Co. Dublin,q3,80%
30/06/2010,"5 Dun Emer Road, Lusk",Dublin,291000.0,No,Lusk,Co. Dublin,q4,80%
01/07/2010,"21 The Park, Orlynn Park, Lusk",Dublin,230000.0,No,Lusk,Co. Dublin,q2,50%
05/07/2010,"15 Gleann Ribh, Lusk",Dublin,170000.0,No,Lusk,Co. Dublin,q1,20%
14/07/2010,"9 Dun Emer Avenue, Lusk, Dublin",Dublin,250000.0,No,Lusk,Co. Dublin,q3,60%
19/07/2010,"21 Forge Avenue, Lusk",Dublin,254950.0,Yes,Lusk,Co. Dublin,q3,60%
21/07/2010,"19 Forge Avenue, The Forge, Lusk",Dublin,224625.55,Yes,Lusk,Co. Dublin,q2,50%
06/08/2010,"10 Chapel Farm Avenue, Lusk",Dublin,228000.0,No,Lusk,Co. Dublin,q2,50%
06/08/2010,"2 Coopers Walk, Lusk Village, Lusk",Dublin,221000.0,No,Lusk,Co. Dublin,q2,40%
16/08/2010,"Tirnanog, Rogerstown Lane, Lusk",Dublin,350000.0,No,Lusk,Co. Dublin,q4,100%
18/08/2010,"8 Stonemasons Road, Lusk",Dublin,250000.0,No,Lusk,Co. Dublin,q3,60%
26/08/2010,"16 Chapel Farm Grove, Lusk",Dublin,240000.0,No,Lusk,Co. Dublin,q3,60%
01/09/2010,"5 The Forge Avenue, Lusk",Dublin,245950.0,Yes,Lusk,Co. Dublin,q3,60%
08/09/2010,"32 Dun Emer Avenue, Lusk.",Dublin,240000.0,No,Lusk,Co. Dublin,q3,60%
15/09/2010,"3  The Forge Avenue, The Forge, Lusk",Dublin,220531.74,Yes,Lusk,Co. Dublin,q2,40%
24/09/2010,"Ferrier House, Ballaghstown Lane, Lusk",Dublin,365000.0,Yes,Lusk,Co. Dublin,q4,100%
29/09/2010,"11 Forge Avenue, The Forge  Lusk",Dublin,228404.46,Yes,Lusk,Co. Dublin,q2,50%
05/10/2010,"15 Dun Emer Crescent, Lusk",Dublin,287000.0,No,Lusk,Co. Dublin,q3,80%
05/10/2010,"15 Dun Emer Crescent, Lusk, County Dublin",Dublin,287000.0,No,Lusk,Co. Dublin,q3,80%
07/10/2010,"31 Forge Avenue, The Forge  Lusk",Dublin,315000.0,Yes,Lusk,Co. Dublin,q4,90%
15/10/2010,"Rosewood, Station Road, Lusk",Dublin,465000.0,No,Lusk,Co. Dublin,q4,100%
28/10/2010,"15 Ministers Road, Lusk",Dublin,110000.0,No,Lusk,Co. Dublin,q1,10%
05/11/2010,"29 The Forge Avenue, Lusk, Co Dublin",Dublin,224625.55,Yes,Lusk,Co. Dublin,q2,50%
26/11/2010,"21 Chapel Farm Road, Lusk",Dublin,200000.0,No,Lusk,Co. Dublin,q2,30%
01/12/2010,"13 Theforge Avenue, The Forge, Lusk",Dublin,250000.0,Yes,Lusk,Co. Dublin,q3,60%
20/12/2010,"22 Dun Emer Glade, Dun Emer, Lusk",Dublin,145374.0,Yes,Lusk,Co. Dublin,q1,10%
07/01/2011,"3 Great Commons, Lusk Village, Lusk",Dublin,195000.0,No,Lusk,Co. Dublin,q2,30%
28/01/2011,"15 Dun Emer Avenue, Lusk",Dublin,225000.0,No,Lusk,Co. Dublin,q2,50%
31/01/2011,"23 Forge Avenue, The Forge, Lusk",Dublin,280176.0,Yes,Lusk,Co. Dublin,q3,80%
17/02/2011,"San Antonio, The Commons, Lusk",Dublin,215000.0,No,Lusk,Co. Dublin,q2,40%
28/02/2011,"45 Dun Emer Drive, Lusk",Dublin,225000.0,No,Lusk,Co. Dublin,q2,50%
04/03/2011,"The Nevitt, Lusk",Dublin,178500.0,No,Lusk,Co. Dublin,q1,20%
15/03/2011,"35 The Close, Orlynn Park, Lusk",Dublin,203000.0,No,Lusk,Co. Dublin,q2,30%
