Unnamed: 0,date_of_sale,address,postal_code,county,price,vat_exclusive,property_description,property_size,town,area_code
37,08/01/2010,"14 Castleview Park, Malahide",,Dublin,620000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
90,13/01/2010,"231 Seapark, Malahide, Dublin",,Dublin,750000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
140,15/01/2010,"4 Old Estuary Hill, Malahide",,Dublin,651982.37,Yes,New Dwelling house /Apartment,greater than 125 sq metres,Malahide,Co. Dublin
141,15/01/2010,"40 Talbot Road, Malahide, Co. Dublin",,Dublin,450000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
148,15/01/2010,"8 Bissets Strand, Malahide",,Dublin,350000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
181,20/01/2010,"20A The Bawn, Malahide",,Dublin,360000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
245,22/01/2010,"39  Waterside Lawn, Swords Road, Malahide",,Dublin,281938.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
273,26/01/2010,"20 Talbot Avenue, Malahide, Co. Dublin",,Dublin,405000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
303,27/01/2010,"8  Waterside Walk, Swords Road, Malahide",,Dublin,310000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
345,29/01/2010,"109 Galtrim Grange, Broomfield, Malahide",,Dublin,273127.76,Yes,New Dwelling house /Apartment,less than 38 sq metres,Malahide,Co. Dublin
512,05/02/2010,"9 Gainsborough Crescent, Malahide",,Dublin,452500.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
575,11/02/2010,"210 Malahide Road, Donnycarney, Dublin 3",,Dublin,216000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
615,12/02/2010,"29 Seabury Close, Malahide, Co Dublin",,Dublin,400000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
668,16/02/2010,"18 The Cove, Malahide",,Dublin,395000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
837,26/02/2010,"17 The Sycamores, Malahide, Co. Dublin",,Dublin,325000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
843,26/02/2010,"19 Seabury Place, Malahide",,Dublin,350000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
870,26/02/2010,"9 Waterside Park, Malahide",,Dublin,300000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
921,03/03/2010,"1 Old Estuary Mill, Malahide",,Dublin,625550.66,Yes,New Dwelling house /Apartment,greater than 125 sq metres,Malahide,Co. Dublin
965,05/03/2010,"160 Biscayne Estate, Coast Road, Malahide",,Dublin,600000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
967,05/03/2010,"17  The Heights, Robswall, Malahide",,Dublin,546255.51,Yes,New Dwelling house /Apartment,greater than 125 sq metres,Malahide,Co. Dublin
977,05/03/2010,"32 Waterside Lawn, Waterside, Swords Road  Malahide",,Dublin,320000.0,Yes,New Dwelling house /Apartment,less than 38 sq metres,Malahide,Co. Dublin
989,05/03/2010,"Apartment 33 Waterside Lawn, Swords Road, Malahide",,Dublin,210000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
1020,09/03/2010,"270 Malahide Road, Artane, Dublin",,Dublin,235000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
1079,11/03/2010,"Mountview, Seamount Road, Malahide",,Dublin,160000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
1102,12/03/2010,"36 Castleheath, Malahide, County Dublin",,Dublin,415000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
1111,12/03/2010,"7 The Hill, Malahide",,Dublin,360000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
1170,18/03/2010,"14 Estuary Road, Malahide",,Dublin,355000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
1198,19/03/2010,"30 The Golf Links, Malahide",,Dublin,1250000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
1203,19/03/2010,"42 Parkview, Robswall, Malahide",,Dublin,315000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
1215,19/03/2010,"Apt 26 Waterside Lawn, Waterside Swords Rd, Malahide",,Dublin,174144.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
1228,22/03/2010,"4 The Anchorage, Townyard Lane, Malahide",,Dublin,177500.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
