date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
04/01/2010,"206 Philipsburgh Avenue, Marino, Dublin 3",Dublin,430000.0,No,Marino,Dublin 3,q3,80%
19/01/2010,"15  Croydon Green, Marino",Dublin,323500.0,No,Marino,Dublin 3,q2,40%
16/03/2010,"22 Shelmartin Avenue, Marino",Dublin,330000.0,No,Marino,Dublin 3,q2,50%
30/03/2010,"34 Fairview Green, Marino",Dublin,280000.0,No,Marino,Dublin 3,q2,40%
01/04/2010,"55 Brian Road, Marino, Dublin 3",Dublin,347500.0,No,Marino,Dublin 3,q2,50%
14/04/2010,"48 Annadale Crescent, Marino, Dublin 9",Dublin,285000.0,No,Marino,Dublin 3,q2,40%
28/05/2010,"9 Fairview Green, Marino, Dublin 3",Dublin,270000.0,No,Marino,Dublin 3,q2,30%
17/06/2010,"23 Croyden Green, Marino, Dublin 3",Dublin,272000.0,No,Marino,Dublin 3,q2,40%
18/06/2010,"89 Shelmartin Ave, Marino",Dublin,355000.0,No,Marino,Dublin 3,q2,50%
30/06/2010,"49 A Brian Avenue, Marino",Dublin,285000.0,No,Marino,Dublin 3,q2,40%
05/08/2010,"61 St. Declans Road, Marino",Dublin,375000.0,No,Marino,Dublin 3,q3,60%
09/08/2010,"79 Brian Road, Marino",Dublin,270000.0,No,Marino,Dublin 3,q2,30%
12/08/2010,"80 Shelmartin Avenue, Marino",Dublin,315000.0,No,Marino,Dublin 3,q2,40%
01/09/2010,"133 St Declans Road, Marino, Dublin 3",Dublin,290000.0,No,Marino,Dublin 3,q2,40%
10/09/2010,"37 Croydon Park Avenue, Marino, Dublin 3",Dublin,330000.0,No,Marino,Dublin 3,q2,50%
10/09/2010,"49A Brian Avenue, Marino",Dublin,235000.0,No,Marino,Dublin 3,q1,20%
17/09/2010,"109 Brian Road, Marino, Dublin 3",Dublin,282000.0,No,Marino,Dublin 3,q2,40%
20/09/2010,"1 Croydon Park Avenue, Marino, Dublin 3",Dublin,260000.0,No,Marino,Dublin 3,q1,30%
21/09/2010,"15 Carleton Road, Marino",Dublin,300000.0,No,Marino,Dublin 3,q2,40%
07/10/2010,"2 Casino Road, Marino, Dublin",Dublin,250000.0,No,Marino,Dublin 3,q1,30%
08/10/2010,"13 Carleton Road, Marino",Dublin,262000.0,No,Marino,Dublin 3,q2,30%
26/10/2010,"2 St. Declans Tce, Marino, Dublin3",Dublin,350000.0,No,Marino,Dublin 3,q2,50%
11/11/2010,"31 Croydon Green, Marino, Dublin 3",Dublin,330000.0,No,Marino,Dublin 3,q2,50%
09/12/2010,"39 St Declan'S Road, Marino",Dublin,240000.0,No,Marino,Dublin 3,q1,20%
17/12/2010,"13 Marino Park Avenue, Marino",Dublin,307000.0,No,Marino,Dublin 3,q2,40%
18/01/2011,"3 Morrogh Terrace, Marino",Dublin,220000.0,No,Marino,Dublin 3,q1,20%
28/01/2011,"46 Carlton Road, Marino, Dublin 3",Dublin,420000.0,No,Marino,Dublin 3,q3,80%
14/02/2011,"50 St. Declan'S Road, Marino",Dublin,220000.0,No,Marino,Dublin 3,q1,20%
24/02/2011,"52  Croydon Green, Marino",Dublin,297000.0,No,Marino,Dublin 3,q2,40%
15/03/2011,"12 St Declan'S Road, Marino, Dublin 3",Dublin,220000.0,No,Marino,Dublin 3,q1,20%
15/03/2011,"19 St Aidans Park Avenue, Marino",Dublin,377500.0,No,Marino,Dublin 3,q3,60%
29/03/2011,"33 Brian Avenue, Marino",Dublin,245000.0,No,Marino,Dublin 3,q1,30%
31/03/2011,"93 Brian Avenue, Marino",Dublin,225000.0,No,Marino,Dublin 3,q1,20%
01/04/2011,"119 Brian Road, Marino, Dublin 3",Dublin,255000.0,No,Marino,Dublin 3,q1,30%
19/05/2011,"15 Croydon Park Avenue, Marino, Dublin 3",Dublin,253500.0,No,Marino,Dublin 3,q1,30%
07/06/2011,"25 St. Declans Road, Marino, Dublin 3",Dublin,354250.0,No,Marino,Dublin 3,q2,50%
13/07/2011,"43 Croydon Park Avenue, Marino, Dublin 3",Dublin,258000.0,No,Marino,Dublin 3,q1,30%
15/07/2011,"41 Sheilmartin Avenue, Marino, Dublin 3",Dublin,190000.0,No,Marino,Dublin 3,q1,10%
29/07/2011,"19 Brian Road, Marino",Dublin,235000.0,No,Marino,Dublin 3,q1,20%
05/08/2011,"14 Croydon Terrace, Marino",Dublin,270000.0,No,Marino,Dublin 3,q2,30%
18/08/2011,"17 Marino Park, Marino",Dublin,230000.0,No,Marino,Dublin 3,q1,20%
22/08/2011,"148 Brian Road, Marino",Dublin,303800.0,No,Marino,Dublin 3,q2,40%
24/08/2011,"127 St Declan'S Road, Marino, Dublin 3",Dublin,180000.0,No,Marino,Dublin 3,q1,10%
05/09/2011,"97 Brian Road, Marino, Dublin 3",Dublin,235000.0,No,Marino,Dublin 3,q1,20%
08/09/2011,"56 Brian Avenue, Marino",Dublin,153000.0,No,Marino,Dublin 3,q1,10%
12/09/2011,"8 St. Declan'S Road, Marino, Dublin 3.",Dublin,242500.0,No,Marino,Dublin 3,q1,30%
14/09/2011,"12 Marino Park, Marino",Dublin,260000.0,No,Marino,Dublin 3,q2,30%
16/09/2011,"32 St. Declans Road, Marino, Dublin 3",Dublin,285000.0,No,Marino,Dublin 3,q2,40%
19/09/2011,"30 St. Declan'S, Marino, Dublin 3",Dublin,360000.0,No,Marino,Dublin 3,q2,50%
