date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
20/01/2010,"34 Seagrave Drive, Meakstown",Dublin,152000.0,No,Meakstown,Dublin 11,q2,40%
08/02/2010,"34 Creston Avenue, Meakstown",Dublin,270000.0,Yes,Meakstown,Dublin 11,q4,100%
03/03/2010,"31 Creston Avenue, Meakstown",Dublin,250000.0,Yes,Meakstown,Dublin 11,q4,90%
08/03/2010,"109 Creston Avenue, Meakstown, Dublin",Dublin,130000.0,Yes,Meakstown,Dublin 11,q1,30%
16/03/2010,"128 Creston Aveune, Meakstown",Dublin,185022.03,Yes,Meakstown,Dublin 11,q3,60%
21/05/2010,"32 Creston Ave, Meakstown, Dublin 11",Dublin,255000.0,Yes,Meakstown,Dublin 11,q4,90%
28/06/2010,"38 Melville Way, Cityside  Meakstown, Dublin 11",Dublin,147500.0,No,Meakstown,Dublin 11,q2,40%
17/09/2010,"19 Melville View, Meakstown, Dublin 11",Dublin,150000.0,No,Meakstown,Dublin 11,q2,40%
04/03/2011,"1 Seagrave Terrace, Meakstown, Dublin 11",Dublin,215000.0,No,Meakstown,Dublin 11,q3,80%
02/06/2011,"21 Seagrave Close, Meakstown, Dublin 11",Dublin,110000.0,No,Meakstown,Dublin 11,q1,10%
11/07/2011,"63 Seagrave Drive, Meakstown",Dublin,100000.0,No,Meakstown,Dublin 11,q1,10%
03/08/2011,"8 Seagrave Terrace, Meakstown, Dublin 11",Dublin,175000.0,No,Meakstown,Dublin 11,q2,50%
22/08/2011,"34 Melville Rise, Meakstown, Dublin 11",Dublin,110000.0,No,Meakstown,Dublin 11,q1,20%
22/11/2011,"37 Melville Way, Meakstown, Dublin 11",Dublin,122500.0,No,Meakstown,Dublin 11,q1,20%
16/01/2012,"1 Seagrave Close, Meakstown",Dublin,180000.0,No,Meakstown,Dublin 11,q3,60%
27/01/2012,"5  Melville Green, Cityside, Meakstown",Dublin,175000.0,No,Meakstown,Dublin 11,q3,60%
09/03/2012,"5 Seagrave Court, Citygate, Meakstown",Dublin,78000.0,No,Meakstown,Dublin 11,q1,10%
09/03/2012,"Apartment 64 Seagrave Drive, City Gate, Meakstown",Dublin,110000.0,No,Meakstown,Dublin 11,q1,20%
05/04/2012,"26, Lanesborough Crescent, Meakstown",Dublin,121000.0,No,Meakstown,Dublin 11,q1,20%
27/07/2012,"18 Melville Rise, Meakstown, Dublin 11",Dublin,80000.0,No,Meakstown,Dublin 11,q1,10%
03/09/2012,"14 Seagrave Rise, St. Margarets Road, Meakstown",Dublin,140000.0,No,Meakstown,Dublin 11,q2,30%
21/12/2012,"9 Seagrave Rise, Meakstown, Dublin 11",Dublin,140000.0,No,Meakstown,Dublin 11,q2,30%
18/01/2013,"2 Seagrave Terrace, Citygate, Meakstown",Dublin,140000.0,No,Meakstown,Dublin 11,q2,40%
24/01/2013,"16 Lanesborough Grove, St Margaret'S Road, Meakstown",Dublin,180000.0,No,Meakstown,Dublin 11,q3,60%
22/02/2013,"8 Seagrave Rise, Meakstown, Dublin 11",Dublin,140000.0,No,Meakstown,Dublin 11,q2,40%
28/03/2013,"Apt.73 Lanesborough Mews, Meakstown",Dublin,80000.0,No,Meakstown,Dublin 11,q1,10%
13/12/2013,"7 Seagrave Terrace, Meakstown, Dublin 11",Dublin,135000.0,No,Meakstown,Dublin 11,q1,30%
18/02/2014,"15 Melville Rise, Meakstown, Dublin 11",Dublin,70000.0,No,Meakstown,Dublin 11,q1,10%
18/02/2014,"16 Melville Rise, Meakstown, Dublin 11",Dublin,102000.0,No,Meakstown,Dublin 11,q1,10%
18/02/2014,"35 Melville Rise, Meakstown, Dublin 11",Dublin,70000.0,No,Meakstown,Dublin 11,q1,10%
18/02/2014,"39 Melville Rise, Meakstown, Dublin 11",Dublin,102000.0,No,Meakstown,Dublin 11,q1,10%
18/02/2014,"6 Seagrave Terrace, Meakstown, Dublin 11",Dublin,125000.0,No,Meakstown,Dublin 11,q1,20%
18/02/2014,"65 Seagrave Dr, Meakstown, Dublin 11",Dublin,70000.0,No,Meakstown,Dublin 11,q1,10%
18/02/2014,"66 Seagrave Dr, Meakstown, Dublin 11",Dublin,70000.0,No,Meakstown,Dublin 11,q1,10%
18/02/2014,"7 Seagrave Rise, Meakstown, Dublin 11",Dublin,125000.0,No,Meakstown,Dublin 11,q1,30%
18/02/2014,"70 Seagrave Dr, Meakstown, Dublin 11",Dublin,102000.0,No,Meakstown,Dublin 11,q1,10%
24/03/2014,"10 Melville Court, Cityside, Meakstown",Dublin,123000.0,No,Meakstown,Dublin 11,q1,20%
