date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
28/01/2010,"39 Merrion Strand, Strand Road, Dublin",Dublin,360000.0,No,Merrion,Dublin 4,q3,70%
27/10/2010,"Apt 30 Block B, Merrion Court, Ailesbury Rd",Dublin,310000.0,No,Merrion,Dublin 4,q3,60%
15/12/2010,"Apt 12 Dunloe Hall, Upper Merrion Street, Dublin 2",Dublin,665000.0,No,Merrion,Dublin 4,q4,90%
21/04/2011,"Apartment 14, Dunloe Hall  Merrion Street",Dublin,695000.0,No,Merrion,Dublin 4,q4,90%
16/05/2011,"Apartment 3 Merrion Hotel, 21/24 Upper Merrion Street",Dublin,2650000.0,No,Merrion,Dublin 4,q4,100%
28/06/2011,"Flat No 148 Fourth Floor, Merrion Village, Merrion Road",Dublin,250000.0,No,Merrion,Dublin 4,q2,50%
10/08/2011,"1 Merrion Village, Merrion Road",Dublin,330000.0,No,Merrion,Dublin 4,q3,60%
28/11/2011,"95 Merrion Square, Dublin",Dublin,111766.0,No,Merrion,Dublin 4,q1,10%
29/11/2011,"8 Lynton Court, Merrion Road",Dublin,420000.0,No,Merrion,Dublin 4,q3,80%
21/03/2012,"137 Merrion Village, Merrion Road",Dublin,215000.0,No,Merrion,Dublin 4,q2,50%
03/08/2012,"47 The Bay, Merrion Road, Dublin 4",Dublin,299000.0,No,Merrion,Dublin 4,q3,60%
16/10/2012,"86 The Rise, Nount Merrion",Dublin,780000.0,No,Merrion,Dublin 4,q4,90%
18/01/2013,"30 Elm Park, Merrion Road, Dublin 4",Dublin,158000.0,No,Merrion,Dublin 4,q1,30%
22/02/2013,"86 Shrewsbury, Shrewsbury Park, Merrion Road",Dublin,273000.0,No,Merrion,Dublin 4,q2,50%
07/03/2013,"20 The Bay, Elm Park, Merrion Road",Dublin,295000.0,No,Merrion,Dublin 4,q3,60%
05/04/2013,"41 Merrion Village, Merrion",Dublin,350000.0,No,Merrion,Dublin 4,q3,70%
09/05/2013,"Apt 13  Merrion Court, Ailesbury Road, Dublin 4",Dublin,340000.0,No,Merrion,Dublin 4,q3,70%
17/05/2013,"24 Merrion Village, Merrion Road",Dublin,402312.0,No,Merrion,Dublin 4,q3,80%
10/09/2013,"19 Merrion Village, Merrion Road, Dublin 4",Dublin,666000.0,No,Merrion,Dublin 4,q4,90%
20/11/2013,"12 Malton, 31 33 Merrion Rd, Merrion Road",Dublin,319780.0,No,Merrion,Dublin 4,q3,60%
20/11/2013,"2 Linden, 31 33 Merrion Rd, Merrion Rd Dublin 4",Dublin,246280.0,No,Merrion,Dublin 4,q2,50%
20/11/2013,"2 Malton, 31 33 Merrion Rd, Merrion Road",Dublin,246280.0,No,Merrion,Dublin 4,q2,50%
20/11/2013,"20 Malton, 31 33 Merrion Rd, Merrion Road",Dublin,260470.0,No,Merrion,Dublin 4,q2,50%
20/11/2013,"3 Grafton, 31 33 Merrion Rd, Merrion Rd Dublin 4",Dublin,322360.0,No,Merrion,Dublin 4,q3,60%
20/11/2013,"4 Malton, 31 33 Merrion Rd, Merrion Road",Dublin,299150.0,No,Merrion,Dublin 4,q3,60%
20/11/2013,"6 Linden, 31 33 Merrion Rd, Merrion Road",Dublin,246020.0,No,Merrion,Dublin 4,q2,50%
20/11/2013,"8 Malton, 31 33 Merrion Rd, Merrion Road",Dublin,306880.0,No,Merrion,Dublin 4,q3,60%
04/12/2013,"30 Trimleston Ave, Merrion Rd, Dublin 4",Dublin,681500.0,No,Merrion,Dublin 4,q4,90%
06/12/2013,"Apt 211 The Links, Elm Park, Merrion Rd Dublin 4",Dublin,361000.0,No,Merrion,Dublin 4,q3,70%
17/12/2013,"43 Merrion Court, Ailesbury Rd, Dublin 4",Dublin,137500.0,No,Merrion,Dublin 4,q1,20%
19/12/2013,"51 Shrewsbury, Merrion Rd, Dublin 4",Dublin,500000.0,No,Merrion,Dublin 4,q4,80%
10/01/2014,"129 The Links, Elmpark, Merrion Rd Dublin 4",Dublin,235000.0,No,Merrion,Dublin 4,q2,50%
10/01/2014,"130 The Links, Elmpark, Merrion Rd Dublin 4",Dublin,345000.0,No,Merrion,Dublin 4,q3,70%
27/02/2014,"6 Bellevue Park Ave, Merrion Rd, Dublin 4",Dublin,358000.0,No,Merrion,Dublin 4,q3,70%
08/04/2014,"12 Fortlands, Herbert Ave, Merrion Rd Dublin 4",Dublin,425000.0,No,Merrion,Dublin 4,q3,80%
