date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
18/01/2010,"9 The Odl Schoolhouse, Mount Saint Annes, Milltown",Dublin,310000.0,No,Milltown,Dublin 6,q1,30%
11/02/2010,"213 Richmond Court, Milltown Road, Dublin 6",Dublin,17780.0,Yes,Milltown,Dublin 6,q1,10%
17/02/2010,"10 Ramleh Park, Milltown",Dublin,575000.0,No,Milltown,Dublin 6,q4,90%
24/02/2010,"14, Patrick Doyle Road, Milltown",Dublin,320000.0,No,Milltown,Dublin 6,q1,30%
02/03/2010,"64 Glenmalure Square, Milltown, Dublin 6",Dublin,300000.0,No,Milltown,Dublin 6,q1,20%
16/03/2010,"12 Merton Walk, Mount St. Annes, Milltown",Dublin,731000.0,No,Milltown,Dublin 6,q4,100%
25/03/2010,"13 Merton Crescent, Mount Saint Annes, Milltown",Dublin,925000.0,No,Milltown,Dublin 6,q4,100%
04/05/2010,"29 Milltown Avenue, Mount St. Anne'S, Milltown",Dublin,731000.0,No,Milltown,Dublin 6,q4,100%
07/05/2010,"6 The Pines, Grove House, Milltown Road",Dublin,440000.0,No,Milltown,Dublin 6,q3,60%
11/05/2010,"7 Farrenboley Cottages, Milltown, Dublin 14",Dublin,200000.0,No,Milltown,Dublin 6,q1,10%
14/05/2010,"25 Churchfields, Milltown",Dublin,567000.0,No,Milltown,Dublin 6,q4,90%
24/05/2010,"57 Patrick Doyle Road, Milltown, Dublin 14",Dublin,297500.0,No,Milltown,Dublin 6,q1,20%
02/06/2010,"Apt 7 Rowan Hall, Millbrook Court, Milltown",Dublin,300000.0,No,Milltown,Dublin 6,q1,20%
08/06/2010,"Apartment 15  Abbeyfield, Milltown Road, Barony Of Uppercross",Dublin,392500.0,No,Milltown,Dublin 6,q2,50%
11/06/2010,"110 St Columbanus Road, Milltown, Dublin 14.",Dublin,270000.0,No,Milltown,Dublin 6,q1,10%
25/06/2010,"43 Temple Hall, Mount St. Annes, Milltown",Dublin,317180.61,Yes,Milltown,Dublin 6,q1,30%
27/06/2010,"30 Rowan Hall, Millbrook Court, Milltown Road",Dublin,310000.0,No,Milltown,Dublin 6,q1,30%
06/07/2010,"Apt. 5 Shanagarry, Milltown",Dublin,170000.0,No,Milltown,Dublin 6,q1,10%
09/07/2010,"Apartment 9  First Floor, Block No 1  Shanagarry, Milltown",Dublin,275000.0,No,Milltown,Dublin 6,q1,10%
22/07/2010,"82 Abbeyfield, Milltown, Dublin 6",Dublin,380000.0,No,Milltown,Dublin 6,q2,40%
23/07/2010,"75 Ramleh Park, Milltown",Dublin,975000.0,No,Milltown,Dublin 6,q4,100%
28/07/2010,"19 Merton Walk, Mount St. Anne'S, Milltown",Dublin,476000.0,No,Milltown,Dublin 6,q3,70%
04/08/2010,"103 St. Columbanus Road, Milltown, Dublin 14",Dublin,265000.0,No,Milltown,Dublin 6,q1,10%
12/08/2010,"6 St Columbanus Road, Milltown, Dublin 14",Dublin,316000.0,No,Milltown,Dublin 6,q1,30%
13/08/2010,"50 Milltown Avenue, Mount St Anne'S, Milltown",Dublin,497500.0,No,Milltown,Dublin 6,q3,70%
26/08/2010,"43 Patrick Doyle Road, Milltown",Dublin,332000.0,No,Milltown,Dublin 6,q2,30%
27/08/2010,"7  The Pines, Grove House, Milltown",Dublin,490000.0,No,Milltown,Dublin 6,q3,70%
01/09/2010,"Elm Lodge, Milltown Avenue, Mount Saint Annes  Milltown",Dublin,511013.21,Yes,Milltown,Dublin 6,q3,80%
02/09/2010,"Apartment 12 Convent Hall, Milltown, Mount Saint Annes",Dublin,540000.0,No,Milltown,Dublin 6,q4,80%
08/10/2010,"1 Ramleh Park, Milltown, Dublin 6",Dublin,501000.0,No,Milltown,Dublin 6,q3,80%
04/11/2010,"Elm House, 17 Milltown Road, Milltown",Dublin,1000000.0,No,Milltown,Dublin 6,q4,100%
08/11/2010,"5 Milltown Court, Milltown Road",Dublin,377500.0,No,Milltown,Dublin 6,q2,40%
30/11/2010,"Apartment No. 4  Block A, Milltown Hill, Milltown Road",Dublin,150000.0,No,Milltown,Dublin 6,q1,10%
13/12/2010,"86 Ramleh Park, Milltown, Dublin 6",Dublin,485000.0,No,Milltown,Dublin 6,q3,70%
21/12/2010,"56 Churchfields, Milltown, Dublin 14",Dublin,450000.0,No,Milltown,Dublin 6,q3,60%
18/02/2011,"5 Millbrook Village, Millbrook Court, Milltown",Dublin,262500.0,No,Milltown,Dublin 6,q1,10%
10/03/2011,"43 Ramleh Hall, Mount St. Anne'S, Milltown",Dublin,392500.0,No,Milltown,Dublin 6,q2,50%
18/03/2011,"60 Abbeyfield, Milltown Road",Dublin,232000.0,No,Milltown,Dublin 6,q1,10%
17/05/2011,"89 Shanagarry, Milltown",Dublin,290000.0,No,Milltown,Dublin 6,q1,20%
17/05/2011,"Apartment 34, Abbeyfield, Milltown Road",Dublin,380000.0,No,Milltown,Dublin 6,q2,40%
31/05/2011,"34 Mount Sandford, Milltown",Dublin,33972.0,No,Milltown,Dublin 6,q1,10%
16/06/2011,"70 Ramleh Park, Milltown",Dublin,833000.0,No,Milltown,Dublin 6,q4,100%
17/06/2011,"Apartment 11, Mount Sandford, Milltown Road",Dublin,325000.0,No,Milltown,Dublin 6,q1,30%
22/07/2011,"Apartment 22  2Nd Floor  Block E, Milltown Hall, Mount Saint Annes",Dublin,212500.0,No,Milltown,Dublin 6,q1,10%
29/07/2011,"25 Patrick Doyle Road, Milltown",Dublin,206750.0,No,Milltown,Dublin 6,q1,10%
24/08/2011,"14 Ramleh Villas, Milltown",Dublin,560000.0,No,Milltown,Dublin 6,q4,80%
16/09/2011,"Apt 99 Abbeyfield, Milltown, Dublin 6",Dublin,341000.0,No,Milltown,Dublin 6,q2,30%
19/09/2011,"22 Merton Walk, Mount St Annes, Milltown",Dublin,302500.0,No,Milltown,Dublin 6,q1,20%
22/09/2011,"7 Mount Sandford, Milltown Road, Dublin",Dublin,280000.0,No,Milltown,Dublin 6,q1,20%
23/09/2011,"80 Ramleh Park, Milltown, Dublin 6",Dublin,665000.0,No,Milltown,Dublin 6,q4,90%
14/10/2011,"6 Temple Hall, Mount St. Annes, Milltown",Dublin,294100.0,Yes,Milltown,Dublin 6,q1,20%
28/10/2011,"7 Woodhaven, Milltown Bridge Road",Dublin,400000.0,No,Milltown,Dublin 6,q2,50%
22/11/2011,"6 The Courtyard, Milltown Avenue, Mount Saint Annes",Dublin,270000.0,No,Milltown,Dublin 6,q1,10%
01/12/2011,"1 The Elms, Grove House, Milltown Road",Dublin,355000.0,No,Milltown,Dublin 6,q2,40%
19/12/2011,"6, Millbrook Village, Milltown",Dublin,230000.0,No,Milltown,Dublin 6,q1,10%
16/01/2012,"86 Shanagarry, Milltown",Dublin,270000.0,No,Milltown,Dublin 6,q1,10%
23/01/2012,"1 The Cedars, Grove House, Milltown",Dublin,330000.0,No,Milltown,Dublin 6,q2,30%
23/01/2012,"11 Merton Hall, Mount Saint Anne'S, Milltown",Dublin,165500.0,No,Milltown,Dublin 6,q1,10%
31/01/2012,"26 Milltown Grove, Milltown, Dublin 6",Dublin,293000.0,No,Milltown,Dublin 6,q1,20%
01/02/2012,"4 Geraldine Terrace, Milltown",Dublin,271500.0,No,Milltown,Dublin 6,q1,10%
09/03/2012,"9 Abbeyfield, Milltown Road",Dublin,210000.0,No,Milltown,Dublin 6,q1,10%
27/04/2012,"65 Abbeyfield, Milltown",Dublin,257500.0,No,Milltown,Dublin 6,q1,10%
10/05/2012,"22 Mount Sandford, Milltown",Dublin,290000.0,No,Milltown,Dublin 6,q1,20%
01/06/2012,"120 Saint Columbanus Road, Milltown, Dublin 14",Dublin,225000.0,No,Milltown,Dublin 6,q1,10%
