date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
15/01/2010,"42 Oliver Plunkett Avenue, Monkstown",Dublin,285000.0,No,Monkstown,Co. Dublin,q2,30%
29/01/2010,"4 Ardenza Terrace, Monkstown",Dublin,1170000.0,No,Monkstown,Co. Dublin,q4,90%
04/02/2010,"3 Oliver Plunkett Avenue, Monkstown Farm, Monkstown",Dublin,270000.0,No,Monkstown,Co. Dublin,q1,30%
24/03/2010,"32 Brook Court, Monkstown, Co Dublin",Dublin,725000.0,No,Monkstown,Co. Dublin,q3,80%
25/03/2010,"10 Abbey Court, St. Fintans Park, Monkstown",Dublin,430000.0,No,Monkstown,Co. Dublin,q2,50%
25/03/2010,"14 Trafalgar Terrace, Monkstown, Dublin",Dublin,1250000.0,No,Monkstown,Co. Dublin,q4,90%
26/03/2010,"100 Windsor Drive, Monkstown, Dublin",Dublin,532000.0,No,Monkstown,Co. Dublin,q3,70%
01/04/2010,"27 Windsor Park, Monkstown",Dublin,510000.0,No,Monkstown,Co. Dublin,q3,60%
07/04/2010,"18 The Poplars, Monkstown Valley, Monkstown",Dublin,316000.0,No,Monkstown,Co. Dublin,q2,40%
07/04/2010,"Belmont, The Hill, Monkstown",Dublin,2424000.0,No,Monkstown,Co. Dublin,q4,100%
26/04/2010,"14 Windsor Park, Monkstown",Dublin,512000.0,No,Monkstown,Co. Dublin,q3,60%
05/05/2010,"10 Laurel Park, Off Monkstown Ave, Monkstown",Dublin,340000.0,No,Monkstown,Co. Dublin,q2,40%
21/05/2010,"5 Lanesville Mews, Monkstown",Dublin,400000.0,No,Monkstown,Co. Dublin,q2,50%
31/05/2010,"Apartment 25 The Maples, Monkstown Valley, Monkstown",Dublin,300000.0,No,Monkstown,Co. Dublin,q2,30%
16/06/2010,"11 De Vesci Terrace, Monkstown, Co. Dublin",Dublin,505000.0,No,Monkstown,Co. Dublin,q3,60%
21/06/2010,"28 Oliver Plunkett Avenue, Monkstown Farm, Monkstown",Dublin,200000.0,No,Monkstown,Co. Dublin,q1,10%
02/07/2010,"28 The Beeches, Monkstown",Dublin,317500.0,No,Monkstown,Co. Dublin,q2,40%
05/07/2010,"4 The Cedars, Monkstown Valley, Monkstown",Dublin,230000.0,No,Monkstown,Co. Dublin,q1,20%
14/07/2010,"29A Packenham, The Slopes, Monkstown",Dublin,160000.0,No,Monkstown,Co. Dublin,q1,10%
16/07/2010,"10 Richmond Green, Monkstown",Dublin,381000.0,No,Monkstown,Co. Dublin,q2,50%
16/07/2010,"47 Abbey Road, Monkstown",Dublin,305000.0,No,Monkstown,Co. Dublin,q2,30%
27/07/2010,"4 Richmond Green, Monkstown",Dublin,395000.0,No,Monkstown,Co. Dublin,q2,50%
29/07/2010,"82 Richmond Park, Monkstown",Dublin,385000.0,No,Monkstown,Co. Dublin,q2,50%
11/08/2010,"Apartment 1 The Maples, Monkstown Valley, Monkstown",Dublin,300000.0,No,Monkstown,Co. Dublin,q2,30%
17/08/2010,"Santa Maria, Seapoint Avenue, Monkstown",Dublin,2815000.0,No,Monkstown,Co. Dublin,q4,100%
19/08/2010,"29 Eaton Square, Monkstown",Dublin,285000.0,No,Monkstown,Co. Dublin,q2,30%
23/08/2010,"54 Abbey Road, Monkstown",Dublin,330000.0,No,Monkstown,Co. Dublin,q2,40%
26/08/2010,"Albany House, Albany Avenue, Monkstown",Dublin,3740000.0,No,Monkstown,Co. Dublin,q4,100%
10/09/2010,"74 Monkstown Road, Monkstown",Dublin,815000.0,No,Monkstown,Co. Dublin,q4,90%
16/09/2010,"Apartment 4, 97 Seapoint Avenue, Monkstown",Dublin,505000.0,No,Monkstown,Co. Dublin,q3,60%
07/10/2010,"4 Belgrave Road, Monkstown",Dublin,1075000.0,No,Monkstown,Co. Dublin,q4,90%
