date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
20/01/2010,"37 Ceannt Fort, Mount Brown",Dublin,235000.0,No,Mount Brown,Dublin 8,q3,60%
05/09/2011,"110 Burke Place, Mount Brown",Dublin,188000.0,No,Mount Brown,Dublin 8,q2,40%
19/09/2011,"18 Mcdowell Avenue, Mount Brown",Dublin,220000.0,No,Mount Brown,Dublin 8,q2,50%
07/10/2011,"100 Ceannt Fort, Mount Brown",Dublin,157000.0,No,Mount Brown,Dublin 8,q1,20%
03/02/2012,"82 Ceannt Fort, Mount Brown, Dublin 8",Dublin,120000.0,No,Mount Brown,Dublin 8,q1,10%
09/02/2012,"164 Ceannt Fort, Mount Brown",Dublin,157000.0,No,Mount Brown,Dublin 8,q1,30%
02/10/2012,"46 Donnellan Avenue, Ceant Fort, Mount Brown",Dublin,145000.0,No,Mount Brown,Dublin 8,q1,20%
21/01/2013,"94 Ceannt Fort, Mount Brown, Dublin 8",Dublin,130000.0,No,Mount Brown,Dublin 8,q1,10%
22/03/2013,"Apartment 35 Manor Hall, Mount Brown  Kilmainham, Dublin 8",Dublin,135000.0,No,Mount Brown,Dublin 8,q1,10%
07/06/2013,"1 St John'S Terrace, Mount Brown",Dublin,210000.0,No,Mount Brown,Dublin 8,q2,50%
17/12/2013,"33 Manor Hall, Mount Brown, Dublin 8",Dublin,152000.0,No,Mount Brown,Dublin 8,q1,20%
19/12/2013,"14 Cammock, Mount Brown",Dublin,163000.0,No,Mount Brown,Dublin 8,q1,30%
20/12/2013,"19 Faulkner Terrace, Mount Brown, Dublin 8",Dublin,237000.0,No,Mount Brown,Dublin 8,q3,60%
14/02/2014,"187 Oreilly Ave, Mount Brown, Dublin 8",Dublin,200000.0,No,Mount Brown,Dublin 8,q2,40%
17/02/2014,"124 Ceannt Fort, Mount Brown, Dublin 8",Dublin,189000.0,No,Mount Brown,Dublin 8,q2,40%
21/05/2014,"31 Millbrook Court, Mount Brown, Dublin 8",Dublin,139000.0,No,Mount Brown,Dublin 8,q1,10%
24/06/2014,"28 Manor Hall, Mount Brown, Dublin 8",Dublin,143000.0,No,Mount Brown,Dublin 8,q1,10%
27/06/2014,"34 Camac Mount Brown, Mount Brown Dublin 8, Dublin",Dublin,164000.0,No,Mount Brown,Dublin 8,q2,30%
19/08/2014,"28 Mcdowell Ave, Ceannt Fort, Mount Brown Dublin 8",Dublin,320000.0,No,Mount Brown,Dublin 8,q4,80%
11/12/2014,"111 Oreilly Place, Ceannt Fort, Mount Brown",Dublin,236000.0,No,Mount Brown,Dublin 8,q3,60%
22/12/2014,"59 Oreilly Ave, Mount Brown, Dublin 8",Dublin,238159.0,No,Mount Brown,Dublin 8,q3,60%
02/02/2015,"161 Ceannt Fort, Mount Brown, Dublin 8",Dublin,360000.0,No,Mount Brown,Dublin 8,q4,100%
02/02/2015,"9 Manor Hall, Mount Brown, Dublin 8",Dublin,182000.0,No,Mount Brown,Dublin 8,q2,40%
03/07/2015,"25 Faulkner Terrace, Mount Brown, Dublin 8",Dublin,180000.0,No,Mount Brown,Dublin 8,q2,30%
26/08/2015,"143 Burke Place, Ceannt Fort, Mount Brown Dublin 8",Dublin,260000.0,No,Mount Brown,Dublin 8,q3,70%
21/09/2015,"32 Manor Hall, Mount Brown, Dublin 8",Dublin,209000.0,No,Mount Brown,Dublin 8,q2,50%
22/12/2015,"3 Millbrook Court, Mount Brown",Dublin,152500.0,No,Mount Brown,Dublin 8,q1,20%
01/02/2016,"Apt 39 Manor Hall, Mount Brown, Kilmanham Dublin 8",Dublin,150000.0,No,Mount Brown,Dublin 8,q1,20%
01/03/2016,"Apt 40 Manor Hall, Mount Brown, Kilmanham Dublin 8",Dublin,200000.0,No,Mount Brown,Dublin 8,q2,40%
09/05/2016,"104 Ceannts Fort, Mount Brown, Dublin 8",Dublin,50400.0,No,Mount Brown,Dublin 8,q1,10%
17/06/2016,"129 Mcdowell Ave, Ceannt Fort, Mount Brown Dublin 8",Dublin,260000.0,No,Mount Brown,Dublin 8,q3,70%
16/08/2016,"Apt 44, Manor Hall, Mount Browne Dublin 8",Dublin,220000.0,No,Mount Brown,Dublin 8,q2,50%
29/11/2016,"9 Millbrook Court, Mount Brown, Dublin 8",Dublin,173000.0,No,Mount Brown,Dublin 8,q2,30%
24/03/2017,"22 Millbrook Court, Mount Brown, Dublin 8",Dublin,312000.0,No,Mount Brown,Dublin 8,q4,80%
04/05/2017,"166 Quinn Ave, Ceannt Fort, Mount Brown Dublin 8",Dublin,395500.0,No,Mount Brown,Dublin 8,q4,100%
26/06/2017,"Apt 13 Manor Hall, Mount Brown, Dublin 8",Dublin,270000.0,No,Mount Brown,Dublin 8,q3,70%
07/07/2017,"171 Ceannt Fort, Mount Brown, Dublin 8",Dublin,365000.0,No,Mount Brown,Dublin 8,q4,100%
20/10/2017,"Apt 27, The Cammock, Mount Brown Dublin 8",Dublin,245000.0,No,Mount Brown,Dublin 8,q3,60%
31/10/2017,"30 Manor Hall, Mount Brown, Dublin 8",Dublin,247000.0,No,Mount Brown,Dublin 8,q3,70%
24/11/2017,"3 Manor Hall, Mount Brown, Dublin 8",Dublin,275000.0,No,Mount Brown,Dublin 8,q3,80%
14/12/2017,"85 Ceannt Fort, Mount Brown, Dublin 8",Dublin,336000.0,No,Mount Brown,Dublin 8,q4,90%
19/01/2018,"Apt 8 Manor Hall, Mount Brown, Dublin 8",Dublin,200000.0,No,Mount Brown,Dublin 8,q2,50%
13/04/2018,"117 Ceannts Fort, Mount Brown, Dublin 8",Dublin,392000.0,No,Mount Brown,Dublin 8,q4,100%
22/05/2018,"28 Camock, Mount Brown, Dublin 8",Dublin,275000.0,No,Mount Brown,Dublin 8,q3,80%
19/06/2018,"25 Faulkner Terrace, Mount Brown, Dublin 8",Dublin,355000.0,No,Mount Brown,Dublin 8,q4,90%
22/06/2018,"122 Ceannt Fort, Mount Brown, Dublin 8",Dublin,355000.0,No,Mount Brown,Dublin 8,q4,90%
16/07/2018,"150 Owens Ave, Ceannt Fort, Mount Brown Dublin 8",Dublin,411200.0,No,Mount Brown,Dublin 8,q4,100%
01/02/2019,"89 Ceannt Fort, Mount Brown, Dublin 8",Dublin,355000.0,No,Mount Brown,Dublin 8,q4,100%
07/03/2019,"Apt 35, Manor Hall, Mount Brown Dublin 8",Dublin,285000.0,No,Mount Brown,Dublin 8,q3,80%
20/08/2019,"Apt 40 Manor Hall, Mount Brown, Kilmanham Dublin 8",Dublin,326000.0,No,Mount Brown,Dublin 8,q4,90%
21/08/2019,"Apt 43 Manor Hall, Mount Brown, Dublin 8",Dublin,260000.0,No,Mount Brown,Dublin 8,q3,70%
15/10/2019,"119 Quinn Ave, Ceannt Fort, Mount Brown Dublin 8",Dublin,350000.0,No,Mount Brown,Dublin 8,q4,90%
