date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
11/02/2010,"5 Sycamore Crescent, Mount Merrion",Dublin,815000.0,No,Mount Merrion,Co. Dublin,q3,70%
26/02/2010,"62 Deerpark Road, Mount Merrion",Dublin,780000.0,No,Mount Merrion,Co. Dublin,q3,70%
02/03/2010,"8 Sycamore Road, Mount Merrion",Dublin,782000.0,No,Mount Merrion,Co. Dublin,q3,70%
15/03/2010,"18 Sycamore Crescent, Mount Merrion",Dublin,793000.0,No,Mount Merrion,Co. Dublin,q3,70%
26/03/2010,"18 Cedarmount Road, Mount Merrion",Dublin,632000.0,No,Mount Merrion,Co. Dublin,q2,50%
07/04/2010,"67 Belfield Park, Stillorgan Road, Mount Merrion",Dublin,290000.0,No,Mount Merrion,Co. Dublin,q1,20%
09/04/2010,"25 Mather Road, Mount Merrion",Dublin,990000.0,No,Mount Merrion,Co. Dublin,q4,90%
14/04/2010,"49 Trees Road, Mount Merrion, Co.Dublin",Dublin,640000.0,No,Mount Merrion,Co. Dublin,q2,50%
30/04/2010,"83 Foster Avenue, Mount Merrion",Dublin,847500.0,No,Mount Merrion,Co. Dublin,q3,80%
30/04/2010,"Apartment 54 Third Floor, The Pavillion  Roebuck Hill, Roebuck Road  Mount Merrion",Dublin,380000.0,No,Mount Merrion,Co. Dublin,q1,20%
05/05/2010,"100 Belfield Park, Stillorgan Road, Mount Merrion",Dublin,276000.0,No,Mount Merrion,Co. Dublin,q1,10%
17/05/2010,"78 Trees Road, Mount Merrion, County Dublin",Dublin,770000.0,No,Mount Merrion,Co. Dublin,q3,70%
18/05/2010,"20 Trees Road, Mount Merrion, County Dublin",Dublin,715000.0,No,Mount Merrion,Co. Dublin,q3,60%
28/05/2010,"18 The Rise, Mount Merrion",Dublin,846000.0,No,Mount Merrion,Co. Dublin,q3,80%
28/05/2010,"51 Trees Road, Mount Merrion",Dublin,580000.0,No,Mount Merrion,Co. Dublin,q2,50%
28/05/2010,"69 South Avenue, Mount Merrion, Co. Dublin",Dublin,565000.0,No,Mount Merrion,Co. Dublin,q2,40%
03/06/2010,"38  Wilson Road, Mount Merrion, County Dublin",Dublin,770000.0,No,Mount Merrion,Co. Dublin,q3,70%
18/06/2010,"96A Trees Road Upper, Mount Merrion",Dublin,624500.0,No,Mount Merrion,Co. Dublin,q2,50%
