date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
01/03/2010,"71 Powers Court, Mount Street, Dublin2",Dublin,320000.0,No,Mount St,Dublin 2,q2,40%
19/05/2010,"14 Grants Row, Lower Mount Street, Dublin 2",Dublin,387500.0,No,Mount St,Dublin 2,q3,70%
07/07/2010,"141 The Northumberlands, Lower Mount Street",Dublin,135000.0,No,Mount St,Dublin 2,q1,10%
14/10/2010,"Apartment 145, The Northumberlands, Lower Mount Street",Dublin,200000.0,No,Mount St,Dublin 2,q1,20%
07/06/2011,"Apartment 128, The Northumberlands, Lower Mount Street",Dublin,180000.0,No,Mount St,Dublin 2,q1,10%
18/08/2011,"132 Northumberlands, Lower Mount Street, Dublin 2",Dublin,138000.0,No,Mount St,Dublin 2,q1,10%
15/02/2012,"Apartment 11, 18-21 Mount Street Lower",Dublin,315000.0,Yes,Mount St,Dublin 2,q2,40%
21/02/2012,"12 Grattan Hall, Lower Mount Street",Dublin,166000.0,No,Mount St,Dublin 2,q1,10%
02/03/2012,"Apartment 25, 18-21 Mount Street Lower",Dublin,352422.9,Yes,Mount St,Dublin 2,q3,60%
02/03/2012,"Apartment 6, 1821 Existing Building, Lower Mount Street",Dublin,466960.0,Yes,Mount St,Dublin 2,q4,90%
02/04/2012,"Apt 14, 1821 Mount Street Lower, 18-21 Lr Mount St",Dublin,281125.0,Yes,Mount St,Dublin 2,q2,30%
25/04/2012,"Apartment 24, 18/21 Mount Street Lower",Dublin,600000.0,Yes,Mount St,Dublin 2,q4,90%
07/08/2012,"Apartment 19, 1821 Lower Mount Street, Dublin 2",Dublin,360000.0,No,Mount St,Dublin 2,q3,60%
07/09/2012,"Apartment 17, 18/21 Lower Mount Street",Dublin,308370.04,Yes,Mount St,Dublin 2,q2,40%
07/09/2012,"Apartment 21, 18-21 Lower Mount Street, Dublin 2",Dublin,350000.0,Yes,Mount St,Dublin 2,q2,50%
26/09/2012,"2 Madison Court, Lower Mount Street, Dublin 2",Dublin,150000.0,No,Mount St,Dublin 2,q1,10%
26/09/2012,"Apartment 23, 1821 Mount Street Lower, 18-21 Lower Mount Street",Dublin,321585.9,Yes,Mount St,Dublin 2,q2,40%
17/10/2012,"5 Clanwilliam Court, Lower Mount Street",Dublin,125000.0,No,Mount St,Dublin 2,q1,10%
24/10/2012,"39 The Northumberlands, Lower Mount Street, Dublin 2",Dublin,181500.0,No,Mount St,Dublin 2,q1,20%
24/10/2012,"Apartment 5, 18 - 21 Mount Street Lower, Dublin 2",Dublin,537445.0,Yes,Mount St,Dublin 2,q4,90%
29/11/2012,"Apt 20, 18 - 21 Mount Street Lower",Dublin,317180.0,Yes,Mount St,Dublin 2,q2,40%
18/12/2012,"Apt 102 The Northumberlands, Lower Mount Street",Dublin,252800.0,No,Mount St,Dublin 2,q1,30%
19/12/2012,"Apartment No. 22, 1821 Mount Street Lower",Dublin,350000.0,Yes,Mount St,Dublin 2,q3,60%
21/12/2012,"Apartment 51, The Northumberlands, Lower Mount Street",Dublin,205000.0,No,Mount St,Dublin 2,q1,20%
16/01/2013,"Apt 75 & Car Park Space No.137, The Northumberlands, Lower Mount Street",Dublin,192500.0,No,Mount St,Dublin 2,q1,20%
13/02/2013,"Apt 13, 18-21 Mount Street Lower, Dublin 2",Dublin,299560.0,Yes,Mount St,Dublin 2,q2,30%
11/03/2013,"Apartment No. 16, 18-21 Mount Street",Dublin,340969.16,Yes,Mount St,Dublin 2,q2,50%
14/03/2013,"Apartment 4, 18-21 Lower Mount Street",Dublin,436123.34,Yes,Mount St,Dublin 2,q3,80%
22/03/2013,"Apartment No. 18, 1821 Mount Street Lower, Dublin 2",Dublin,380000.0,Yes,Mount St,Dublin 2,q3,60%
28/03/2013,"Apt 12, 18-21 Mount Street Lower, Dublin 2",Dublin,330000.0,No,Mount St,Dublin 2,q2,50%
02/04/2013,"Apartment 26, 18-21 Lower Mount Street",Dublin,389250.0,Yes,Mount St,Dublin 2,q3,70%
22/04/2013,"Apartment 8, 18-21 Mount Street Lower",Dublin,462555.0,Yes,Mount St,Dublin 2,q4,80%
10/05/2013,"Apartment 10, 1821 Mount Street, 18-21 Mount Street",Dublin,383259.0,Yes,Mount St,Dublin 2,q3,70%
15/05/2013,"Apartment 3, 18-21 Lr. Mount Street, Dublin 2",Dublin,440528.63,Yes,Mount St,Dublin 2,q3,80%
30/05/2013,"Apartment 9, 18/21 Mount Street Lower",Dublin,449339.0,No,Mount St,Dublin 2,q4,80%
03/07/2013,"Apartment 7, 18-22 Mount Street Lower",Dublin,453744.49,Yes,Mount St,Dublin 2,q4,80%
04/07/2013,"Apt 27, 1821 Mount Street Lower, 18-21 Mount Street Lower",Dublin,400881.05,Yes,Mount St,Dublin 2,q3,70%
17/07/2013,"11 The Northumberlands, Lower Mount Street",Dublin,230000.0,No,Mount St,Dublin 2,q1,30%
05/08/2013,"11 Grattan Hall, Lower Mount Street",Dublin,182000.0,No,Mount St,Dublin 2,q1,20%
07/08/2013,"Apartment 1, 18-21 Lower Mount Street",Dublin,440528.63,Yes,Mount St,Dublin 2,q3,80%
21/08/2013,"16 Clanwilliam Court, Lower Mount Street, Dublin 2",Dublin,133000.0,No,Mount St,Dublin 2,q1,10%
