date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
09/03/2010,"Apartment 1, 55 Mountjoy Square",Dublin,170000.0,No,Mountjoy Sq,Dublin 1,q2,50%
26/03/2010,"Apt 35 Stapleton House, 33 Mountjoy Square, Dublin 1",Dublin,125000.0,No,Mountjoy Sq,Dublin 1,q2,30%
16/06/2010,"Apt 40, Number 47-52 Mountjoy Square, Dublin 1",Dublin,180000.0,No,Mountjoy Sq,Dublin 1,q3,60%
30/06/2010,"Apartment 2, 64  Mountjoy Square",Dublin,112000.0,No,Mountjoy Sq,Dublin 1,q1,30%
23/07/2010,"Apartment 53, 52 Mountjoy Square",Dublin,179000.0,No,Mountjoy Sq,Dublin 1,q3,60%
10/11/2010,"Apt 51 No. 55, Mountjoy Square, Dublin 1.",Dublin,110000.0,No,Mountjoy Sq,Dublin 1,q1,20%
16/08/2011,"Apartment 39, 55 Mountjoy Square, Dublin 1",Dublin,100000.0,No,Mountjoy Sq,Dublin 1,q1,20%
16/12/2011,"52 Mountjoy Square, Dublin 1",Dublin,75000.0,No,Mountjoy Sq,Dublin 1,q1,10%
28/02/2012,"Apartment 14, 52 Mountjoy Square",Dublin,90000.0,No,Mountjoy Sq,Dublin 1,q1,10%
04/05/2012,"Apt. 16, 55 Mountjoy Square",Dublin,135000.0,No,Mountjoy Sq,Dublin 1,q2,40%
11/05/2012,"Apt. 39  Stapleton House, 33 Mountjoy Sq., Dublin 1",Dublin,69000.0,No,Mountjoy Sq,Dublin 1,q1,10%
29/06/2012,"Apt.10 Mountjoy Square, Dublin 1",Dublin,91000.0,No,Mountjoy Sq,Dublin 1,q1,10%
13/07/2012,"Apt. 108, 35 Mountjoy Square, Dublin 1",Dublin,100000.0,No,Mountjoy Sq,Dublin 1,q1,20%
02/08/2012,"Apartment 3, 33 Mountjoy Square",Dublin,190000.0,No,Mountjoy Sq,Dublin 1,q3,60%
02/10/2012,"33 Stapleton House, Mountjoy Square",Dublin,70000.0,No,Mountjoy Sq,Dublin 1,q1,10%
09/10/2012,"Apartment No. 50, Block A 35 Mountjoy Square, Dublin City",Dublin,100000.0,No,Mountjoy Sq,Dublin 1,q1,20%
30/11/2012,"Apartment 26, 35 Mountjoy Square, Dublin1",Dublin,90000.0,No,Mountjoy Sq,Dublin 1,q1,10%
12/03/2013,"Apt 17  64 Mountjoy Square, Mountjoy Square, Dublin 1",Dublin,134000.0,No,Mountjoy Sq,Dublin 1,q2,30%
09/04/2013,"37 No 52 Mountjoy Square, Dublin 1",Dublin,99500.0,No,Mountjoy Sq,Dublin 1,q1,20%
03/05/2013,"No. 35  52 Mountjoy Square, Dublin 1",Dublin,82500.0,No,Mountjoy Sq,Dublin 1,q1,10%
14/06/2013,"Apartment 49, 35 Mountjoy Square, Dublin 1",Dublin,84000.0,No,Mountjoy Sq,Dublin 1,q1,10%
09/07/2013,"Apt 19, 64 Mountjoy Sq.",Dublin,95000.0,No,Mountjoy Sq,Dublin 1,q1,20%
26/08/2013,"Apt. 18, 52 Mountjoy Square",Dublin,120000.0,No,Mountjoy Sq,Dublin 1,q1,30%
29/08/2013,"67A  Mountjoy Square Rear To 67, Otherwise 27 Grenville Lane, Dublin 1",Dublin,35000.0,No,Mountjoy Sq,Dublin 1,q1,10%
11/11/2013,"Apt 6, 52 Mountjoy Sq, Dublin 1",Dublin,83000.0,No,Mountjoy Sq,Dublin 1,q1,10%
20/11/2013,"55  No. 52 Mountjoy Square, Dublin 1",Dublin,123000.0,No,Mountjoy Sq,Dublin 1,q1,30%
20/11/2013,"Apartment 44, 33 Mountjoy Sqaure, Dublin 1",Dublin,82000.0,No,Mountjoy Sq,Dublin 1,q1,10%
06/12/2013,"Apartment 29, 52 Mountjoy Sq, Dublin 1",Dublin,78000.0,No,Mountjoy Sq,Dublin 1,q1,10%
19/12/2013,"Apt 95, 33 Mountjoy Sq, Dublin 1",Dublin,107000.0,No,Mountjoy Sq,Dublin 1,q1,20%
23/12/2013,"16 Mountjoy Square, Dublin 1",Dublin,200000.0,No,Mountjoy Sq,Dublin 1,q3,70%
16/01/2014,"Apartment 4, 6 Mountjoy Square, Dublin 1",Dublin,95000.0,No,Mountjoy Sq,Dublin 1,q1,20%
17/01/2014,"Apt 73 Russel House, 33 Mountjoy Sq, Dublin 1",Dublin,160000.0,No,Mountjoy Sq,Dublin 1,q2,50%
20/02/2014,"Apartment 107, 35 Mountjoy Square, Dublin 1",Dublin,138000.0,No,Mountjoy Sq,Dublin 1,q2,40%
25/02/2014,"39 Stapleton House, 33 Mountjoy Square, Dublin",Dublin,110000.0,No,Mountjoy Sq,Dublin 1,q1,30%
25/02/2014,"Apartment 30, 52 Mountjoy Square, Dublin 1",Dublin,130000.0,No,Mountjoy Sq,Dublin 1,q2,30%
12/03/2014,"24 Stapleton House, 33 Mountjoy Sq, Dublin 1",Dublin,88000.0,No,Mountjoy Sq,Dublin 1,q1,10%
26/05/2014,"Basement Apartment, 5 Mountjoy Square, Dublin 1",Dublin,100000.0,No,Mountjoy Sq,Dublin 1,q1,20%
10/06/2014,"13 Mountjoy Square, Dublin 1",Dublin,650000.0,No,Mountjoy Sq,Dublin 1,q4,100%
10/06/2014,"Apt 36, 55 Mountjoy Sq, Dublin 1",Dublin,90000.0,No,Mountjoy Sq,Dublin 1,q1,10%
13/06/2014,"Apartment 27, 35 Mountjoy Square, Dublin 1",Dublin,145000.0,No,Mountjoy Sq,Dublin 1,q2,40%
18/07/2014,"Apartment 3, 52 Mountjoy Square, Dublin",Dublin,140000.0,No,Mountjoy Sq,Dublin 1,q2,40%
29/07/2014,"Apartment 3, 6 Mountjoy Square, Dublin 1",Dublin,100000.0,No,Mountjoy Sq,Dublin 1,q1,20%
26/08/2014,"Apt 81 Russell House, 33 Mountjoy Sq, Dublin 1",Dublin,175000.0,No,Mountjoy Sq,Dublin 1,q3,60%
11/09/2014,"Apt 33, 55 Mountjoy Sq, Dublin",Dublin,60000.0,No,Mountjoy Sq,Dublin 1,q1,10%
15/09/2014,"Apartment 7, 6 Mountjoy Square, Dublin 1",Dublin,97000.0,No,Mountjoy Sq,Dublin 1,q1,20%
19/09/2014,"Ground Floor Apt 7, 7 Mountjoy Square, Dublin 1",Dublin,144000.0,No,Mountjoy Sq,Dublin 1,q2,40%
25/09/2014,"Apartment 8, 6 Mountjoy Square, Dublin 1",Dublin,101000.0,No,Mountjoy Sq,Dublin 1,q1,20%
21/11/2014,"Apartment 5, 6 Mountjoy Square, Dublin 1",Dublin,141000.0,No,Mountjoy Sq,Dublin 1,q2,40%
16/12/2014,"Apt 14, 63 64 Mountjoy Sq, Dublin 1",Dublin,130000.0,No,Mountjoy Sq,Dublin 1,q2,30%
18/12/2014,"Ground Floor Apartment, 5 Mountjoy Square, Dublin 1",Dublin,146000.0,No,Mountjoy Sq,Dublin 1,q2,40%
19/12/2014,"Apt. 2, 64 Mountjoy Square",Dublin,155000.0,No,Mountjoy Sq,Dublin 1,q2,40%
19/01/2015,"14 Russell House, Mountjoy Square",Dublin,135000.0,No,Mountjoy Sq,Dublin 1,q2,40%
22/01/2015,"Apartment 1, 6 Mountjoy Square, Dublin 1",Dublin,140000.0,No,Mountjoy Sq,Dublin 1,q2,40%
30/01/2015,"Apt 6, 6 Mountjoy Sq, Dublin 1",Dublin,117000.0,No,Mountjoy Sq,Dublin 1,q1,30%
11/03/2015,"Apartment 2, 6 Mountjoy Square, Dublin 1",Dublin,225000.0,No,Mountjoy Sq,Dublin 1,q4,80%
10/04/2015,"Aparatment 4, 4 Mountjoy Square, Dublin 1",Dublin,140000.0,No,Mountjoy Sq,Dublin 1,q2,40%
10/04/2015,"Apartment 1, 4 Mountjoy Square, Dublin 1",Dublin,160000.0,No,Mountjoy Sq,Dublin 1,q2,50%
10/04/2015,"Apartment 2, 4 Mountjoy Square, Dublin 1",Dublin,120000.0,No,Mountjoy Sq,Dublin 1,q1,30%
10/04/2015,"Apartment 3, 4 Mountjoy Square, Dublin 1",Dublin,140000.0,No,Mountjoy Sq,Dublin 1,q2,40%
10/04/2015,"Apartment 5, 4 Mountjoy Square, Dublin 1",Dublin,180000.0,No,Mountjoy Sq,Dublin 1,q3,60%
01/05/2015,"48 Mountjoy Sq, Dublin 1, Dublin",Dublin,225000.0,No,Mountjoy Sq,Dublin 1,q4,80%
28/05/2015,"Apartment 14, 6 Mountjoy Square, Dublin 1",Dublin,106000.0,No,Mountjoy Sq,Dublin 1,q1,20%
