date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
15/01/2010,"50 Ashfield Green, Mulhuddart",Dublin,200000.0,No,Mulhuddart,Dublin 15,q3,70%
26/03/2010,"178 Castlecurragh Vale, Mulhuddart, Dublin 14",Dublin,210000.0,No,Mulhuddart,Dublin 15,q3,70%
17/05/2010,"20 Castlecurragh Park, Mulhuddart, Dublin 15.",Dublin,130000.0,No,Mulhuddart,Dublin 15,q1,30%
21/05/2010,"289 Castlecurragh Heath, Mulhuddart, Dublin 15",Dublin,160000.0,No,Mulhuddart,Dublin 15,q2,50%
11/06/2010,"302 Castlecurragh Heath, Mulhuddart",Dublin,175000.0,No,Mulhuddart,Dublin 15,q3,60%
17/06/2010,"310 Castlecurragh Heath, Mulhuddart",Dublin,155000.0,No,Mulhuddart,Dublin 15,q2,50%
30/08/2010,"294 Castlecurragh Heath, Mulhuddart, Dublin 15",Dublin,152000.0,No,Mulhuddart,Dublin 15,q2,40%
02/09/2010,"Mountainview House, Mulhuddart",Dublin,105000.0,No,Mulhuddart,Dublin 15,q1,20%
03/09/2010,"7 Saddlers Avenue, Mulhuddart, Dublin 15",Dublin,188000.0,No,Mulhuddart,Dublin 15,q3,60%
20/09/2010,"130 Castlecurragh Heath, Mulhuddart, Dublin 15",Dublin,149950.0,No,Mulhuddart,Dublin 15,q2,40%
27/09/2010,"9 Saddlers Crescent, Mulhuddart",Dublin,217500.0,No,Mulhuddart,Dublin 15,q3,80%
08/10/2010,"13 The Court, Mulhuddart, Dublin 15",Dublin,162000.0,No,Mulhuddart,Dublin 15,q2,50%
20/10/2010,"42 Ladyswell Road, Mulhuddart, Dublin 15",Dublin,150000.0,No,Mulhuddart,Dublin 15,q2,40%
21/10/2010,"Ard Eadrad, Blakestown Road, Mulhuddart",Dublin,1418502.0,No,Mulhuddart,Dublin 15,q4,100%
06/11/2010,"Apt 17 Ard Eadrad, Blakestown Road, Mulhuddart",Dublin,31375.0,No,Mulhuddart,Dublin 15,q1,10%
01/12/2010,"160 Castlecurragh Heath, Mulhuddart",Dublin,132000.0,No,Mulhuddart,Dublin 15,q1,30%
01/12/2010,"21 The Court, Mulhuddart Wood, Mulhuddart",Dublin,157500.0,No,Mulhuddart,Dublin 15,q2,50%
03/12/2010,"140 Castlecurragh Heath, Mulhuddart, Dublin 15",Dublin,140000.0,No,Mulhuddart,Dublin 15,q2,30%
06/12/2010,"338 Castlecurragh Heath, Mulhuddart",Dublin,130000.0,No,Mulhuddart,Dublin 15,q1,30%
07/12/2010,"163 Castlecurragh Vale, Mulhuddart, Dublin 15",Dublin,143000.0,No,Mulhuddart,Dublin 15,q2,40%
13/01/2011,"7 Huntstown Park, Mulhuddart, Dublin 15",Dublin,200000.0,No,Mulhuddart,Dublin 15,q3,70%
15/03/2011,"337 Castlecurragh Heath, Mulhuddart",Dublin,123000.0,No,Mulhuddart,Dublin 15,q1,20%
29/04/2011,"114 Castlecurragh Vale, Mulhuddart",Dublin,137000.0,No,Mulhuddart,Dublin 15,q2,30%
10/05/2011,"182 Castlecurragh Vale, Mulhuddart",Dublin,100000.0,No,Mulhuddart,Dublin 15,q1,10%
11/05/2011,"3 Dromheath Gardens, Mulhuddart, Dublin",Dublin,90000.0,No,Mulhuddart,Dublin 15,q1,10%
11/05/2011,"33 Ashfield Park, Mulhuddart, Dublin 15",Dublin,220000.0,No,Mulhuddart,Dublin 15,q3,80%
24/05/2011,"17 Saddlers Crescent, Mulhuddart, Dublin 15",Dublin,180000.0,No,Mulhuddart,Dublin 15,q3,60%
27/06/2011,"100 Castlecurragh Park, Mulhuddart",Dublin,155000.0,No,Mulhuddart,Dublin 15,q2,50%
05/07/2011,"271 Castlecurragh Heath, Mulhuddart, Dublin 15",Dublin,145000.0,No,Mulhuddart,Dublin 15,q2,40%
26/08/2011,"4 Dromheath Grove, Ladyswell, Mulhuddart",Dublin,141500.0,No,Mulhuddart,Dublin 15,q2,40%
02/09/2011,"136 Briarwood Park, Mulhuddart",Dublin,141500.0,No,Mulhuddart,Dublin 15,q2,40%
07/09/2011,"174 Castlecurragh Heath, Mulhuddart",Dublin,98000.0,No,Mulhuddart,Dublin 15,q1,10%
04/10/2011,"11 Wellview Crescent, Mulhuddart",Dublin,89000.0,No,Mulhuddart,Dublin 15,q1,10%
23/11/2011,"88 Castlecurragh Heath, Mulhuddart",Dublin,148000.0,No,Mulhuddart,Dublin 15,q2,40%
21/12/2011,"6  The Green, Mulhuddart Wood, Mulhuddart",Dublin,118000.0,No,Mulhuddart,Dublin 15,q1,20%
24/01/2012,"335 Castlecurragh Heath, Mulhuddart",Dublin,85000.0,No,Mulhuddart,Dublin 15,q1,10%
25/01/2012,"43 Castlecurragh Heath, Mulhuddart, Dublin 15",Dublin,136000.0,No,Mulhuddart,Dublin 15,q2,30%
