date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
05/02/2010,"14 Weston Avenue, Naul",Dublin,340000.0,Yes,Naul,Co. Dublin,q3,80%
04/03/2010,"25 Delvin Banks, Naul",Dublin,361233.49,Yes,Naul,Co. Dublin,q4,90%
07/12/2010,"The Coach Houses And The Courtyard, Grangemount, Naul",Dublin,15000.0,No,Naul,Co. Dublin,q1,10%
07/12/2010,"The Coach Houses And The Courtyard, Grangemount, Naul",Dublin,15000.0,No,Naul,Co. Dublin,q1,10%
15/12/2010,"1 Delvin Banks, Naul",Dublin,361074.0,Yes,Naul,Co. Dublin,q4,90%
21/12/2010,"68 Delvin Banks, Naul Village",Dublin,185022.0,Yes,Naul,Co. Dublin,q2,30%
17/02/2011,"34 Delvin Banks, Naul Village, The Naul",Dublin,288112.5,Yes,Naul,Co. Dublin,q3,70%
10/05/2011,"Old Health Centre, Main Street, The Naul",Dublin,215500.0,No,Naul,Co. Dublin,q2,40%
01/07/2011,"8 Westown Avenue, Naul",Dublin,226211.0,Yes,Naul,Co. Dublin,q2,50%
04/11/2011,"51 Delvin Banks, The Naul, Co. Dublin",Dublin,211640.0,Yes,Naul,Co. Dublin,q2,40%
09/11/2011,"Belgee, Naul",Dublin,467500.0,No,Naul,Co. Dublin,q4,100%
07/12/2011,"26 Delvin Banks, Naul",Dublin,299532.0,Yes,Naul,Co. Dublin,q3,70%
14/12/2011,"Great Rath, Naul",Dublin,150000.0,No,Naul,Co. Dublin,q1,20%
31/03/2012,"The Cottate, Balbriggan Road, Naul",Dublin,190000.0,No,Naul,Co. Dublin,q2,30%
02/04/2012,"4 Westown Avenue, Naul",Dublin,182158.59,Yes,Naul,Co. Dublin,q2,30%
26/03/2013,"56 Delvin Banks, Naul Village",Dublin,125000.0,Yes,Naul,Co. Dublin,q1,20%
21/05/2013,"59 Delvin Banks, Naul",Dublin,135000.0,Yes,Naul,Co. Dublin,q1,20%
30/05/2013,"9 Delvin Banks, Naul",Dublin,251101.0,Yes,Naul,Co. Dublin,q3,60%
14/06/2013,"6 Delvin Banks, Naul, Dublin",Dublin,208948.17,Yes,Naul,Co. Dublin,q2,40%
15/07/2013,"66 Delvin Banks, Naul",Dublin,125000.0,Yes,Naul,Co. Dublin,q1,20%
18/07/2013,"10 The Old Mill, Naul, Dublin",Dublin,199500.0,No,Naul,Co. Dublin,q2,40%
19/07/2013,"10 Westown Avenue, Naul",Dublin,164350.0,Yes,Naul,Co. Dublin,q1,30%
07/08/2013,"2 Westown Avenue, Naul, Co. Dublin",Dublin,149339.2,Yes,Naul,Co. Dublin,q1,20%
08/08/2013,"Dermotsown, Ring Commons, Naul",Dublin,95000.0,No,Naul,Co. Dublin,q1,10%
19/08/2013,"7 Weston Avenue, Naul",Dublin,151541.84,Yes,Naul,Co. Dublin,q1,30%
20/08/2013,"31 Delvin Banks, The Naul",Dublin,280000.0,Yes,Naul,Co. Dublin,q3,70%
28/08/2013,"29 Delvin Banks, Naul",Dublin,275000.0,Yes,Naul,Co. Dublin,q3,70%
20/09/2013,"Killougher, Ring Commons, Naul",Dublin,181000.0,No,Naul,Co. Dublin,q2,30%
03/10/2013,"Naul Hill, Naul",Dublin,266750.0,No,Naul,Co. Dublin,q3,60%
16/10/2013,"8 Delvin Banks, The Naul, Co Dublin",Dublin,240000.0,No,Naul,Co. Dublin,q2,50%
06/11/2013,"79 Delvin Banks, The Naul",Dublin,206247.24,Yes,Naul,Co. Dublin,q2,40%
25/11/2013,"6 Westown Avenue, Naul",Dublin,122830.0,Yes,Naul,Co. Dublin,q1,20%
06/12/2013,"41 Delvin Banks, The Naul  Co. Dublin",Dublin,250000.0,Yes,Naul,Co. Dublin,q3,60%
16/12/2013,"27 Delvin Banks, Naul Village, Naul",Dublin,215859.02,Yes,Naul,Co. Dublin,q2,50%
18/12/2013,"3 Weston Wood, Naul",Dublin,365000.0,No,Naul,Co. Dublin,q4,90%
23/01/2014,"13 Westown Avenue, The Naul",Dublin,167753.3,Yes,Naul,Co. Dublin,q1,30%
29/01/2014,"39 Delvin Banks, Naul Village",Dublin,259110.0,Yes,Naul,Co. Dublin,q3,60%
14/02/2014,"30 Delvin Banks, Naul Village",Dublin,264317.0,Yes,Naul,Co. Dublin,q3,60%
28/02/2014,"West Curragh, Naul, Co. Dublin",Dublin,305000.0,No,Naul,Co. Dublin,q3,70%
01/05/2014,"23 Delvin Bank, The Naul",Dublin,206247.24,Yes,Naul,Co. Dublin,q2,40%
01/05/2014,"7 Delvin Banks, The Naul",Dublin,223868.99,Yes,Naul,Co. Dublin,q2,50%
