date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
18/12/2012,"104 Kinvara Park, Navan Rd",Dublin,265000.0,No,Navan Rd,Dublin 7,q1,20%
17/10/2013,"216 Hampton Square, Navan Rd",Dublin,180000.0,No,Navan Rd,Dublin 7,q1,10%
28/10/2013,"45 Ashington Dale, Navan Rd, Dublin 7",Dublin,270000.0,No,Navan Rd,Dublin 7,q1,20%
12/12/2013,"71 Nephin Rd, Navan Rd, Dublin 7",Dublin,349000.0,No,Navan Rd,Dublin 7,q2,40%
13/12/2013,"173 Hampton Sq, Navan Rd, Dublin 7",Dublin,175000.0,No,Navan Rd,Dublin 7,q1,10%
14/12/2013,"15 Spire View, Riverston Abbey, Navan Rd Dublin 7",Dublin,320000.0,No,Navan Rd,Dublin 7,q2,30%
17/12/2013,"6 Hampton Sq, Navan Rd, Dublin 7",Dublin,325000.0,No,Navan Rd,Dublin 7,q2,40%
23/12/2013,"17 Kinvara Park, Navan Rd, Dublin 7",Dublin,268000.0,No,Navan Rd,Dublin 7,q1,20%
10/01/2014,"10 Kinvara Ave, Navan Rd, Dublin 7",Dublin,216000.0,No,Navan Rd,Dublin 7,q1,10%
17/01/2014,"22 Ashington Grove, Navan Rd, Dublin 7",Dublin,280000.0,No,Navan Rd,Dublin 7,q1,30%
20/01/2014,"59 Conor Clune Rd, Navan Rd, Dublin 7",Dublin,220000.0,No,Navan Rd,Dublin 7,q1,10%
24/01/2014,"27 Church Walk, Riverston Abbey, Navan Rd Dublin 7",Dublin,312000.0,No,Navan Rd,Dublin 7,q2,30%
31/01/2014,"14 Ashington Crescent, Navan Rd, Dublin 7",Dublin,220000.0,No,Navan Rd,Dublin 7,q1,10%
31/01/2014,"54 Kinvara Ave, Navan Rd, Dublin 7",Dublin,250000.0,No,Navan Rd,Dublin 7,q1,20%
11/02/2014,"108 Kinvara Park, Navan Rd, Dublin 7",Dublin,272000.0,No,Navan Rd,Dublin 7,q1,20%
28/02/2014,"98 Kinvara Park, Navan Rd, Dublin 7",Dublin,312000.0,No,Navan Rd,Dublin 7,q2,30%
14/03/2014,"108 Hazelbury Park, Navan Rd, Dublin 15",Dublin,195500.0,No,Navan Rd,Dublin 7,q1,10%
14/04/2014,"26 Ardpatrick Rd, Navan Rd, Dublin 7",Dublin,340000.0,No,Navan Rd,Dublin 7,q2,40%
23/04/2014,"6 Darling Est, Navan Rd, Dublin 7",Dublin,313000.0,No,Navan Rd,Dublin 7,q2,30%
14/05/2014,"92 Nephin Rd, Navan Rd, Dublin 7",Dublin,380000.0,No,Navan Rd,Dublin 7,q3,60%
06/06/2014,"197 Hampton Sq, Navan Rd, Dublin 7",Dublin,223000.0,No,Navan Rd,Dublin 7,q1,10%
06/06/2014,"65 Nephin Rd, Navan Rd, Dublin 7",Dublin,326000.0,No,Navan Rd,Dublin 7,q2,40%
11/06/2014,"27 Croaghpatrick Rd, Navan Rd, Dublin 7",Dublin,550000.0,No,Navan Rd,Dublin 7,q4,100%
17/06/2014,"6 Glendhu Park, Navan Rd, Dublin 7",Dublin,383000.0,No,Navan Rd,Dublin 7,q3,60%
18/06/2014,"29 Ratra Park, Navan Rd, Dublin 7",Dublin,320000.0,No,Navan Rd,Dublin 7,q2,30%
26/06/2014,"367 Navan Rd, Dublin 7, Dublin",Dublin,395000.0,No,Navan Rd,Dublin 7,q3,60%
04/07/2014,"122 Ashington Rise, Navan Rd, Dublin 7",Dublin,345000.0,No,Navan Rd,Dublin 7,q2,40%
07/07/2014,"8 Kinvara Rd, Navan Rd, Dublin 7",Dublin,239000.0,No,Navan Rd,Dublin 7,q1,20%
18/07/2014,"54 Kinvara Park, Navan Rd, Dublin 7",Dublin,340000.0,No,Navan Rd,Dublin 7,q2,40%
21/07/2014,"15 Nephin Rd, Navan Rd, Dublin 7",Dublin,535000.0,No,Navan Rd,Dublin 7,q4,100%
21/07/2014,"28 Ashington Close, Navan Rd, Dublin 7",Dublin,325000.0,No,Navan Rd,Dublin 7,q2,40%
23/07/2014,"47 Kinvara Rd, Navan Rd, Dublin 7",Dublin,352500.0,No,Navan Rd,Dublin 7,q2,50%
25/07/2014,"189 Hampton Sq, Navan Rd, Dublin 7",Dublin,225000.0,No,Navan Rd,Dublin 7,q1,20%
29/07/2014,"17 Kempton View, Navan Rd, Dublin 7",Dublin,444000.0,No,Navan Rd,Dublin 7,q4,80%
29/07/2014,"24 Ashington Close, Navan Rd, Dublin 7",Dublin,350000.0,No,Navan Rd,Dublin 7,q2,50%
31/07/2014,"25 Villa Park Ave, Navan Rd, Dublin 7",Dublin,378500.0,No,Navan Rd,Dublin 7,q3,60%
31/07/2014,"54 Riverdale, Rathbourne, Navan Rd Dublin 7",Dublin,170000.0,No,Navan Rd,Dublin 7,q1,10%
05/08/2014,"22 Ashington Mews, Navan Rd, Dublin 7",Dublin,292000.0,No,Navan Rd,Dublin 7,q1,30%
07/08/2014,"29 Ashington Ave, Navan Rd, Dublin 7",Dublin,305000.0,No,Navan Rd,Dublin 7,q2,30%
13/08/2014,"76A Ardpatrick Rd, Navan Rd, Dublin 7",Dublin,355000.0,No,Navan Rd,Dublin 7,q2,50%
15/08/2014,"29 Ashington Close, Cabra, Navan Rd",Dublin,335000.0,No,Navan Rd,Dublin 7,q2,40%
15/08/2014,"74 Millrace Rd, Navan Rd, Dublin 7",Dublin,255000.0,No,Navan Rd,Dublin 7,q1,20%
27/08/2014,"64 The West Priory, Navan Rd, Dublin 7",Dublin,354500.0,No,Navan Rd,Dublin 7,q2,50%
09/09/2014,"1A Baggot Rd, Navan Rd, Dublin 7",Dublin,350000.0,No,Navan Rd,Dublin 7,q2,50%
12/09/2014,"156 Navan Rd, Dublin 7, Dublin",Dublin,371000.0,No,Navan Rd,Dublin 7,q2,50%
15/09/2014,"25 Croaghpatrick Rd, Navan Rd, Dublin 7",Dublin,525000.0,No,Navan Rd,Dublin 7,q4,100%
19/09/2014,"3 Kinvara Rd, Navan Rd, Dublin 7",Dublin,361000.0,No,Navan Rd,Dublin 7,q2,50%
22/09/2014,"19 Chapel Crescent, Ashington, Navan Rd Dublin 7",Dublin,400000.0,No,Navan Rd,Dublin 7,q3,70%
24/09/2014,"84 Kinvara Park, Navan Rd, Dublin 7",Dublin,338000.0,No,Navan Rd,Dublin 7,q2,40%
03/10/2014,"8 Kinvara Dr, Navan Rd, Dublin 7",Dublin,325000.0,No,Navan Rd,Dublin 7,q2,40%
09/10/2014,"105 Villa Park Gardens, Navan Rd, Dublin 7",Dublin,435000.0,No,Navan Rd,Dublin 7,q3,80%
09/10/2014,"20 Glenarriff Rd, Navan Rd, Dublin 7",Dublin,320000.0,No,Navan Rd,Dublin 7,q2,30%
10/10/2014,"124 Navan Rd, Dublin 7, Dublin",Dublin,500000.0,No,Navan Rd,Dublin 7,q4,90%
17/10/2014,"95 Ashington Rise, Navan Rd, Dublin 7",Dublin,345000.0,No,Navan Rd,Dublin 7,q2,40%
24/10/2014,"72 Ashington Rise, Navan Rd, Dublin 7",Dublin,346000.0,No,Navan Rd,Dublin 7,q2,40%
29/10/2014,"38 Ard Partick Rd, Navan Rd, Dublin 7",Dublin,425000.0,No,Navan Rd,Dublin 7,q3,70%
05/11/2014,"193 Hampton Sq, Navan Rd, Dublin 7",Dublin,170000.0,No,Navan Rd,Dublin 7,q1,10%
14/11/2014,"22A Villa Park Rd, Navan Rd, Dublin",Dublin,460000.0,No,Navan Rd,Dublin 7,q4,90%
17/11/2014,"37 Ardpatrick Rd, Navan Rd, Dublin 7",Dublin,425000.0,No,Navan Rd,Dublin 7,q3,80%
21/11/2014,"120 Abbey Dr, Riverston Abbey, Navan Rd Dublin 7",Dublin,395000.0,No,Navan Rd,Dublin 7,q3,70%
10/12/2014,"36 Hampton Sq, Navan Rd, Dublin 7",Dublin,275000.0,No,Navan Rd,Dublin 7,q1,20%
12/12/2014,"Apt 5, 18 Villa Park Gardens, Navan Rd",Dublin,132000.0,No,Navan Rd,Dublin 7,q1,10%
17/12/2014,"68 Ashington Ave, Navan Rd, Dublin 7",Dublin,436000.0,No,Navan Rd,Dublin 7,q3,80%
05/01/2015,"12 Villa Park Ave, Navan Rd, Dublin 7",Dublin,510000.0,No,Navan Rd,Dublin 7,q4,100%
15/01/2015,"13 Croagh Patrick Rd, Navan Rd, Dublin 7",Dublin,531213.0,No,Navan Rd,Dublin 7,q4,100%
27/01/2015,"52 Hampton Green, Navan Rd, Dublin 7",Dublin,365000.0,No,Navan Rd,Dublin 7,q2,50%
30/01/2015,"40 Glenarriff Rd, Navan Rd, Dublin",Dublin,397500.0,No,Navan Rd,Dublin 7,q3,70%
04/02/2015,"22 Chapel Crescent, Riverston Abbey, Navan Rd Dublin 7",Dublin,411000.0,No,Navan Rd,Dublin 7,q3,70%
