date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
05/01/2010,"66 Villa Park Gardens, Navan Road",Dublin,410000.0,No,Navan Road,Dublin 7,q4,80%
08/01/2010,"27 North  Priory, Navan Road",Dublin,302500.0,No,Navan Road,Dublin 7,q3,60%
28/01/2010,"23 Slemish Road, Navan Road, Dublin 7",Dublin,770000.0,No,Navan Road,Dublin 7,q4,100%
08/02/2010,"60 Villa Park Avenue, Navan Road",Dublin,310000.0,No,Navan Road,Dublin 7,q3,60%
18/02/2010,"5 Kempton Heath, Navan Road, Dublin 7",Dublin,430000.0,No,Navan Road,Dublin 7,q4,90%
22/02/2010,"Apt. 176 Hampton Sq, Navan Road, Dublin 7",Dublin,240000.0,No,Navan Road,Dublin 7,q2,30%
26/02/2010,"1 Kempton Rise, Navan Road, Dublin 7",Dublin,560000.0,No,Navan Road,Dublin 7,q4,100%
26/02/2010,"23 Ashington Heath, Navan Road, Dublin 7",Dublin,305000.0,No,Navan Road,Dublin 7,q3,60%
26/02/2010,"54A Ashington Court, Navan Road, Dublin 7",Dublin,440000.0,No,Navan Road,Dublin 7,q4,90%
22/03/2010,"88 Ashington Park, Navan Road, Dublin 7",Dublin,286000.0,No,Navan Road,Dublin 7,q2,50%
16/04/2010,"19  Chancel Mews, Riverton Abbey, Navan Road",Dublin,360000.0,No,Navan Road,Dublin 7,q3,70%
16/04/2010,"4 West Priory, Navan Road",Dublin,286000.0,No,Navan Road,Dublin 7,q2,50%
22/04/2010,"19 Hampton Square, Navan Road",Dublin,345000.0,No,Navan Road,Dublin 7,q3,70%
22/04/2010,"Apt. 176 Hampton Square, Navan Road, Dublin 7",Dublin,240000.0,No,Navan Road,Dublin 7,q2,30%
18/05/2010,"94 Nephin Road, Navan Road, Dublin 7",Dublin,320000.0,No,Navan Road,Dublin 7,q3,60%
20/05/2010,"24 Glenarriff Road, Navan Road",Dublin,330000.0,No,Navan Road,Dublin 7,q3,70%
21/05/2010,"305 Navan Road, Dublin 7",Dublin,410000.0,No,Navan Road,Dublin 7,q4,90%
28/05/2010,"53 Kinvara Road, Navan Road, Dublin 17",Dublin,315000.0,No,Navan Road,Dublin 7,q3,60%
31/05/2010,"39 Ashington Rise, Navan Road",Dublin,280000.0,No,Navan Road,Dublin 7,q2,50%
31/05/2010,"5 Chapel Crescent, Riverston Abbey, Navan Road",Dublin,368000.0,No,Navan Road,Dublin 7,q3,70%
04/06/2010,"10 Ashington Rise, Navan Road, Dublin 7",Dublin,310000.0,No,Navan Road,Dublin 7,q3,60%
04/06/2010,"9 Park Road, Navan Road, Dublin 7",Dublin,300000.0,No,Navan Road,Dublin 7,q2,50%
08/06/2010,"57 Bellville, Navan Road, Dublin15",Dublin,107000.0,No,Navan Road,Dublin 7,q1,10%
11/06/2010,"26 Ashingtonavenue, Navan Road",Dublin,299500.0,No,Navan Road,Dublin 7,q2,50%
16/06/2010,"19 Villa Park Avenue, Navan Road",Dublin,307500.0,No,Navan Road,Dublin 7,q3,60%
17/06/2010,"54 Hampton Square, Navan Road, Dublin 7",Dublin,150000.0,No,Navan Road,Dublin 7,q1,10%
24/06/2010,"4 Villa Park Road, Navan Road",Dublin,332000.0,No,Navan Road,Dublin 7,q3,70%
30/06/2010,"132 Nephin Road, Off Navan Road",Dublin,355000.0,No,Navan Road,Dublin 7,q3,70%
08/07/2010,"75 Villa Park Gardens, Navan Road, Dublin 7",Dublin,427000.0,No,Navan Road,Dublin 7,q4,90%
