date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
04/01/2010,"49 Ballynakelly Green, Newcastle",Dublin,499600.0,Yes,Newcastle,Co. Dublin,q4,100%
19/01/2010,"4 Kenilworth Road, Parish Of St. Peter, Barony Of Newcastle",Dublin,1000000.0,No,Newcastle,Co. Dublin,q4,100%
26/01/2010,"4 Parsons Court, Newcastle",Dublin,400000.0,Yes,Newcastle,Co. Dublin,q4,100%
12/02/2010,"2 Main Street, Newcastle, County Dublin",Dublin,190000.0,No,Newcastle,Co. Dublin,q2,40%
12/02/2010,"40 Ballynakelly Green, Newcastle, Co. Dublin",Dublin,211454.0,Yes,Newcastle,Co. Dublin,q2,50%
17/02/2010,"42 Ballykelly Green, Newcastle",Dublin,242000.0,Yes,Newcastle,Co. Dublin,q3,60%
19/02/2010,"18 Ballynakelly Court, Newcastle, Co Dublin",Dublin,193832.59,Yes,Newcastle,Co. Dublin,q2,40%
22/02/2010,"17, Burgage Crtescent, Newcastle",Dublin,267500.0,Yes,Newcastle,Co. Dublin,q3,70%
26/02/2010,"6 Lyons Street, Newcastle",Dublin,170000.0,Yes,Newcastle,Co. Dublin,q1,30%
09/03/2010,"Oakfield House, Newcastle",Dublin,367500.0,No,Newcastle,Co. Dublin,q4,100%
12/03/2010,"43 Ballynakelly Green, Newcastle",Dublin,220265.0,Yes,Newcastle,Co. Dublin,q2,50%
16/03/2010,"33 Ballynakelly Green, Newcastle",Dublin,247500.0,Yes,Newcastle,Co. Dublin,q3,60%
18/03/2010,"23  Lyons Avenue South, Newcastle",Dublin,239175.0,Yes,Newcastle,Co. Dublin,q2,50%
20/03/2010,"56 Newcastle Boulevard, Newcastle",Dublin,225000.0,Yes,Newcastle,Co. Dublin,q2,50%
22/03/2010,"11 Lyons Avenue, Newcastle",Dublin,198237.88,Yes,Newcastle,Co. Dublin,q2,40%
22/03/2010,"49 Aylmer Drive, Aylmer Heath, Newcastle",Dublin,255000.0,Yes,Newcastle,Co. Dublin,q3,60%
26/03/2010,"36 Ballynakelly Green, Newcastle, Co. Dublin",Dublin,224670.0,Yes,Newcastle,Co. Dublin,q2,50%
30/03/2010,"59 Newcastle Boulevard, Newcastle",Dublin,149779.73,Yes,Newcastle,Co. Dublin,q1,20%
07/04/2010,"38 Ballynakelly Green, Newcastle",Dublin,204545.45,Yes,Newcastle,Co. Dublin,q2,40%
13/04/2010,"21 Burgage Crescent, Newcastle Lyons, Dublin",Dublin,218845.0,Yes,Newcastle,Co. Dublin,q2,50%
14/04/2010,"9 Burgage Green, Newcastle",Dublin,137168.0,Yes,Newcastle,Co. Dublin,q1,20%
21/04/2010,"48 Ballynakelly Green, Newcastle",Dublin,217621.0,Yes,Newcastle,Co. Dublin,q2,50%
22/04/2010,"46 Ballynakelly Green, Newcastle",Dublin,250000.0,Yes,Newcastle,Co. Dublin,q3,60%
28/04/2010,"4 Ballynakelly Rise, Newcastle Lyons, Newcastle",Dublin,119950.0,Yes,Newcastle,Co. Dublin,q1,20%
