date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
30/04/2010,"34 Ellenmere Avenue, North Circular Road, Dublin 7",Dublin,450000.0,No,North Circular,Dublin 7,q4,90%
11/05/2010,"55 North Circular Road, Dublin",Dublin,400000.0,No,North Circular,Dublin 7,q4,80%
23/06/2010,"9 St. Joseph Street, North Circular Road",Dublin,460000.0,No,North Circular,Dublin 7,q4,90%
14/10/2010,"12 Ardmore Avenue, Off Ellesmere Avenue, North Circular Rd  D7",Dublin,390000.0,No,North Circular,Dublin 7,q4,80%
01/11/2010,"183 North Circular Road, Dublin 7",Dublin,435000.0,No,North Circular,Dublin 7,q4,90%
08/11/2010,"2 Glenard Avenue, North Circular Road, Dublin 7",Dublin,399000.0,No,North Circular,Dublin 7,q4,80%
15/12/2010,"227 North Circular Road, Dublin 7",Dublin,550000.0,No,North Circular,Dublin 7,q4,90%
15/12/2010,"227 North Circular Road, Dublin 7",Dublin,550000.0,No,North Circular,Dublin 7,q4,90%
23/02/2011,"340 North Circular Road, Dublin 7",Dublin,97500.0,No,North Circular,Dublin 7,q1,10%
28/02/2011,"418 North Circular Road, Dublin 7",Dublin,200000.0,No,North Circular,Dublin 7,q2,40%
10/05/2011,"16 St. Josephs Street, North Circular Road, Dublin 7",Dublin,232500.0,No,North Circular,Dublin 7,q2,40%
12/05/2011,"1 Glenbeigh Road, North Circular Road",Dublin,218000.0,No,North Circular,Dublin 7,q2,40%
20/05/2011,"16 Rosemount Road, North Circular Road",Dublin,235000.0,No,North Circular,Dublin 7,q2,40%
11/08/2011,"3 St. Joseph'S Street, North Circular Road, Dublin",Dublin,347500.0,No,North Circular,Dublin 7,q3,80%
25/08/2011,"1 Muckross Parade, North Circular Road, Dublin 7",Dublin,99000.0,No,North Circular,Dublin 7,q1,10%
29/08/2011,"15  Valentia Parade, North Circular Road, Dublin 7",Dublin,80000.0,No,North Circular,Dublin 7,q1,10%
21/10/2011,"5 Finn Street, North Circular Road, Dublin 7",Dublin,150000.0,No,North Circular,Dublin 7,q1,20%
07/02/2012,"15 Portland Street North, North Circular Road",Dublin,105000.0,No,North Circular,Dublin 7,q1,10%
17/02/2012,"8 Marlborough Road, North Circular Road, Dublin 7",Dublin,395000.0,No,North Circular,Dublin 7,q4,80%
25/05/2012,"225 North Circular Road, Dublin 7",Dublin,340000.0,No,North Circular,Dublin 7,q3,70%
04/07/2012,"12 Muckross Parade, North Circular Road",Dublin,80000.0,No,North Circular,Dublin 7,q1,10%
16/07/2012,"The Villa, 44A Ellesmere Avenue, North Circular Road",Dublin,210000.0,No,North Circular,Dublin 7,q2,40%
16/08/2012,"Apartment 3, 436 North Circular Road, Dublin 7",Dublin,70000.0,No,North Circular,Dublin 7,q1,10%
22/08/2012,"3 Glenmore Road, North Circular Road, Dublin 7",Dublin,195000.0,No,North Circular,Dublin 7,q2,30%
11/09/2012,"25 Ellesmere Avenue, North Circular Road, Dublin 7",Dublin,260000.0,No,North Circular,Dublin 7,q3,60%
20/09/2012,"2 St Josephs Terrace, North Circular Road",Dublin,150000.0,No,North Circular,Dublin 7,q1,20%
04/10/2012,"3 Belvedere Avenue, North Circular Road, Dublin 1",Dublin,175000.0,No,North Circular,Dublin 7,q2,30%
04/10/2012,"40 Rathdown Square, North Circular Road, Dublin 7",Dublin,105000.0,No,North Circular,Dublin 7,q1,10%
08/10/2012,"5 Healy Street, Off North Circular Road, Dublin 1",Dublin,57000.0,No,North Circular,Dublin 7,q1,10%
12/10/2012,"Apartment 3, Valentia House, North Circular Road",Dublin,82750.0,No,North Circular,Dublin 7,q1,10%
15/10/2012,"300 North Circular Road, Dublin 7",Dublin,280000.0,No,North Circular,Dublin 7,q3,60%
23/10/2012,"302 North Circular Road, Dublin 7",Dublin,196500.0,No,North Circular,Dublin 7,q2,30%
31/10/2012,"11 Sherrard Avenue, North Circular Road, Dublin 1",Dublin,70000.0,No,North Circular,Dublin 7,q1,10%
01/11/2012,"26, Sherrard Avenue, North Circular Road",Dublin,70000.0,No,North Circular,Dublin 7,q1,10%
16/11/2012,"11 North Circular Road, Dublin 7",Dublin,320000.0,No,North Circular,Dublin 7,q3,70%
23/11/2012,"405 North Circular Road, Dublin 7",Dublin,140000.0,No,North Circular,Dublin 7,q1,20%
13/12/2012,"6 Richmond Parade, Off North Circular Road, Dublin",Dublin,143000.0,No,North Circular,Dublin 7,q1,20%
17/12/2012,"55, North Circular Road",Dublin,369000.0,No,North Circular,Dublin 7,q3,80%
21/12/2012,"Ivy Cottage 43A North Circular Road, Dublin 7",Dublin,249750.0,No,North Circular,Dublin 7,q2,50%
07/01/2013,"247, North Circular Road, Dublin 8",Dublin,339000.0,No,North Circular,Dublin 7,q3,70%
21/01/2013,"74 Innisfallen Parade, North Circular Road",Dublin,90000.0,No,North Circular,Dublin 7,q1,10%
14/02/2013,"4 Glenmore Road, North Circular Road",Dublin,170000.0,No,North Circular,Dublin 7,q1,30%
21/02/2013,"Park Lodge, 5 7 And 9 North Circular Road, Dublin",Dublin,9601711.0,No,North Circular,Dublin 7,q4,100%
21/03/2013,"9 Rutland Place, Off North Circular Road, Dublin 1",Dublin,80000.0,No,North Circular,Dublin 7,q1,10%
08/04/2013,"6 Leo Avenue, Off North Circular Road, Dublin 7",Dublin,150000.0,No,North Circular,Dublin 7,q1,20%
16/04/2013,"67 North Circular Road, Dublin 7",Dublin,170000.0,No,North Circular,Dublin 7,q1,30%
16/04/2013,"69 North Circular Road, Dublin 7",Dublin,170000.0,No,North Circular,Dublin 7,q1,30%
17/04/2013,"609 North Circular Road, Dublin 1",Dublin,240000.0,No,North Circular,Dublin 7,q2,40%
01/05/2013,"456 North Circular Road, Dublin 7",Dublin,155000.0,No,North Circular,Dublin 7,q1,20%
12/06/2013,"10 North Circular Road, Dublin 7",Dublin,420000.0,No,North Circular,Dublin 7,q4,80%
18/07/2013,"70 Ellesmere Avenue, North Circular Road",Dublin,130000.0,No,North Circular,Dublin 7,q1,20%
23/07/2013,"7 Ashford Street, North Circular Road, Dublin 7",Dublin,80000.0,No,North Circular,Dublin 7,q1,10%
23/08/2013,"39 Ellesmere Avenue, North Circular Road, Dublin 7",Dublin,279000.0,No,North Circular,Dublin 7,q3,60%
29/08/2013,"13 Muckross Parade, North Circular Road",Dublin,118000.0,No,North Circular,Dublin 7,q1,20%
18/09/2013,"609 North Circular Road, Dublin 1",Dublin,248000.0,No,North Circular,Dublin 7,q2,50%
20/09/2013,"Apartment 1, 382 North Circular Road, Dublin 7",Dublin,96000.0,No,North Circular,Dublin 7,q1,10%
26/09/2013,"1 Marlborough Court, North Circular Road",Dublin,120000.0,No,North Circular,Dublin 7,q1,20%
08/10/2013,"7 Inisfallen Parade, North Circular Road, Dublin 7",Dublin,118000.0,No,North Circular,Dublin 7,q1,20%
16/10/2013,"65 North Circular Road, Dublin 7",Dublin,205000.0,No,North Circular,Dublin 7,q2,40%
18/10/2013,"245 North Circular Road, Dublin",Dublin,451000.0,No,North Circular,Dublin 7,q4,90%
13/11/2013,"253 North Circular Road, Dublin 7",Dublin,220000.0,No,North Circular,Dublin 7,q2,40%
28/11/2013,"2 North Circular Road, Dublin 7",Dublin,340000.0,No,North Circular,Dublin 7,q3,70%
28/11/2013,"2 North Circular Road, Dublin 7",Dublin,340000.0,No,North Circular,Dublin 7,q3,70%
04/12/2013,"Apt 8 Valentia House, 457 North Circular Rd",Dublin,120000.0,No,North Circular,Dublin 7,q1,20%
11/12/2013,"3 Annamoe Rd, North Circular Rd, Dublin 7",Dublin,380000.0,No,North Circular,Dublin 7,q4,80%
13/12/2013,"76 North Circular Rd, Dublin 7, Dublin",Dublin,395000.0,No,North Circular,Dublin 7,q4,80%
11/02/2014,"33 Rathdown Sq, North Circular Rd, Dublin 7",Dublin,130000.0,No,North Circular,Dublin 7,q1,20%
14/03/2014,"135 North Circular Rd, Dublin 7, Dublin City",Dublin,340000.0,No,North Circular,Dublin 7,q3,80%
21/03/2014,"10 Simmons Place, Off North Circular Rd, Dublin 1",Dublin,155000.0,No,North Circular,Dublin 7,q1,20%
28/03/2014,"241 North Circular Road, Dublin 7",Dublin,353000.0,No,North Circular,Dublin 7,q3,80%
03/04/2014,"5 Glengarriff Parade, North Circular Road, Dublin 7",Dublin,190000.0,No,North Circular,Dublin 7,q2,30%
09/04/2014,"26 Belvedere Place, North Circular Rd, Dublin 1",Dublin,232000.0,No,North Circular,Dublin 7,q2,40%
23/04/2014,"20 A Rutland Place, North Circular Road, Dublin 7",Dublin,53048.0,No,North Circular,Dublin 7,q1,10%
12/05/2014,"6 Sherrard Court, North Circular Rd, Dublin 1",Dublin,222000.0,No,North Circular,Dublin 7,q2,40%
23/05/2014,"275 North Circular Road, Dublin 7",Dublin,360000.0,No,North Circular,Dublin 7,q3,80%
30/05/2014,"415 North Circular Road, Dublin 7",Dublin,295000.0,No,North Circular,Dublin 7,q3,70%
30/05/2014,"59 North Circular Road, Dublin",Dublin,302000.0,No,North Circular,Dublin 7,q3,70%
11/06/2014,"82 Glengarriff Parade, North Circular Road",Dublin,140000.0,No,North Circular,Dublin 7,q1,20%
15/06/2014,"437 North Circular Rd, Dublin 7, Dublin",Dublin,320000.0,No,North Circular,Dublin 7,q3,70%
23/06/2014,"4 Everton Ave, North Circular Rd, Dublin 7",Dublin,430000.0,No,North Circular,Dublin 7,q4,90%
27/06/2014,"294 North Circular Road, Dublin 7",Dublin,168123.0,No,North Circular,Dublin 7,q1,30%
30/06/2014,"9 Marlborough Road, Off North Circular Road, Dublin 7",Dublin,200000.0,No,North Circular,Dublin 7,q2,40%
01/07/2014,"77 North Circular Rd, Dublin 7, Dublin",Dublin,270000.0,No,North Circular,Dublin 7,q3,60%
09/07/2014,"123 Campbells Row, North Circular Road, Dublin 1",Dublin,53500.0,No,North Circular,Dublin 7,q1,10%
15/07/2014,"131 North Circular Road, Dublin 7",Dublin,354400.0,No,North Circular,Dublin 7,q3,80%
15/07/2014,"15 Rutland Place, North Circular Road",Dublin,151900.0,No,North Circular,Dublin 7,q1,20%
15/07/2014,"474 North Circular Road, Dublin",Dublin,182300.0,No,North Circular,Dublin 7,q2,30%
15/07/2014,"5 Sherrard Street Lower, Off North Circular Road",Dublin,354400.0,No,North Circular,Dublin 7,q3,80%
15/07/2014,"6 Sherrard Street Lower, Off North Circular Road",Dublin,405000.0,No,North Circular,Dublin 7,q4,80%
16/07/2014,"45 Rathdown Sq, North Circular Rd, Dublin 7",Dublin,150000.0,No,North Circular,Dublin 7,q1,20%
18/07/2014,"11 Ardmore Avenue, North Circular Road",Dublin,368750.0,No,North Circular,Dublin 7,q3,80%
21/07/2014,"Apt 4, 436 North Circular Rd, Dublin 7",Dublin,104000.0,No,North Circular,Dublin 7,q1,10%
24/07/2014,"Apartment 4, 382 North Circular Road, Dublin 7",Dublin,150000.0,No,North Circular,Dublin 7,q1,20%
06/08/2014,"564 North Circular Road, Dublin 1",Dublin,315000.0,No,North Circular,Dublin 7,q3,70%
05/09/2014,"63 North Circular Rd, Dublin 7",Dublin,315000.0,No,North Circular,Dublin 7,q3,70%
16/09/2014,"207 North Circular Road, Dublin 7",Dublin,253000.0,No,North Circular,Dublin 7,q2,50%
26/09/2014,"Fern House, 383A North Circular Rd, Dublin 7",Dublin,292500.0,No,North Circular,Dublin 7,q3,70%
01/10/2014,"Apt 7, 436 North Circular Rd, Dublin 7",Dublin,105000.0,No,North Circular,Dublin 7,q1,10%
10/10/2014,"Apt D, 273 North Circular Rd, Dublin 7",Dublin,420000.0,No,North Circular,Dublin 7,q4,90%
13/10/2014,"37 Innisfallen Parade, North Circular Rd, Dublin 7",Dublin,267500.0,No,North Circular,Dublin 7,q3,60%
21/10/2014,"1 Sherrard Ave, North Circular Rd, Dublin 7",Dublin,111000.0,No,North Circular,Dublin 7,q1,20%
21/10/2014,"Apartment 4, 382 North Circular Road, Dublin 7",Dublin,115000.0,No,North Circular,Dublin 7,q1,20%
23/10/2014,"436 North Circular Road, Dublin 7",Dublin,157000.0,No,North Circular,Dublin 7,q1,20%
24/10/2014,"57 Rathdown Sq, North Circular Rd, Dublin 7",Dublin,172000.0,No,North Circular,Dublin 7,q1,30%
25/11/2014,"578 North Circular Rd, Dublin 1, Dublin",Dublin,195000.0,No,North Circular,Dublin 7,q2,30%
26/11/2014,"43 Rathdown Sq, North Circular Rd, Dublin",Dublin,212500.0,No,North Circular,Dublin 7,q2,40%
27/11/2014,"37, North Circular Road, Dublin",Dublin,364000.0,No,North Circular,Dublin 7,q3,80%
28/11/2014,"541 North Circular  Road, Dublin 1",Dublin,606000.0,No,North Circular,Dublin 7,q4,100%
10/12/2014,"48 Annamoe Rd, North Circular Rd, Dublin 7",Dublin,520000.0,No,North Circular,Dublin 7,q4,90%
12/12/2014,"53 North Circular Rd, Dublin 4, Dublin",Dublin,385000.0,No,North Circular,Dublin 7,q4,80%
17/12/2014,"3 Rathdown Sq, North Circular Rd, Dublin 7",Dublin,250000.0,No,North Circular,Dublin 7,q2,50%
13/01/2015,"67 Marlborough Mews, North Circular Road, Dublin 7",Dublin,230000.0,No,North Circular,Dublin 7,q2,40%
15/01/2015,"69 Marlborough Mews, North Circular Road, Dublin 7",Dublin,220000.0,No,North Circular,Dublin 7,q2,40%
28/01/2015,"No 588 North Circular Road, Dublin 7",Dublin,285000.0,No,North Circular,Dublin 7,q3,60%
06/02/2015,"187 North Circular Road, Dublin 7",Dublin,220000.0,No,North Circular,Dublin 7,q2,40%
17/02/2015,"5 Sherrard Ave, North Circular Rd, Dublin 1",Dublin,152000.0,No,North Circular,Dublin 7,q1,20%
18/02/2015,"7 Drumalee Ave, North Circular Road, Dublin 7",Dublin,210000.0,No,North Circular,Dublin 7,q2,40%
19/03/2015,"Apt 1 -3, 377 North Circular Road, Dublin 7",Dublin,200000.0,No,North Circular,Dublin 7,q2,40%
20/03/2015,"289 North Circular Rd, Dublin 7, Dublin",Dublin,500000.0,No,North Circular,Dublin 7,q4,90%
20/03/2015,"Apt 7 Portland Lock, Portland Place, North Circular Rd Dublin 1",Dublin,150000.0,No,North Circular,Dublin 7,q1,20%
25/03/2015,"10 Leo Street, North Circular Road, Dublin 7",Dublin,50000.0,No,North Circular,Dublin 7,q1,10%
27/03/2015,"Apartment 4, 382 North Circular Road, Dublin 7",Dublin,255000.0,No,North Circular,Dublin 7,q2,50%
30/03/2015,"569 North Circular Rd, Dublin 7, Dublin",Dublin,446200.0,No,North Circular,Dublin 7,q4,90%
10/04/2015,"Apartment 1  Park Lodge, 7-9 North Circular Road",Dublin,243696.67,No,North Circular,Dublin 7,q2,40%
10/04/2015,"Apartment 10  Park Lodge, 7-9 North Circular Road",Dublin,247898.33,No,North Circular,Dublin 7,q2,50%
10/04/2015,"Apartment 11  Park Lodge, 7-9 North Circular Road",Dublin,247898.33,No,North Circular,Dublin 7,q2,50%
10/04/2015,"Apartment 12  Park Lodge, 7-9 North Circular Road",Dublin,247898.33,No,North Circular,Dublin 7,q2,50%
10/04/2015,"Apartment 13  Park Lodge, 7-9 North Circular Road",Dublin,247898.33,No,North Circular,Dublin 7,q2,50%
10/04/2015,"Apartment 14  Park Lodge, 7-9 North Circular Road",Dublin,165965.83,No,North Circular,Dublin 7,q1,30%
10/04/2015,"Apartment 15  Park Lodge, 7-9 North Circular Road",Dublin,165965.83,No,North Circular,Dublin 7,q1,30%
10/04/2015,"Apartment 16  Park Lodge, 7-9 North Circular Road",Dublin,165965.83,No,North Circular,Dublin 7,q1,30%
